,Hotel_Name,Negative_Review,Positive_Review
392603,Exe Vienna,No Negative, Very nice staff one of the biggest room I ve ever been in hotel clean and quiet room all hygiene supplies in bathroom Easy to park right in front of the hotel for free Near by U bahn 20min to the center 
392604,Exe Vienna, Stayed here for one night Went to the pool at 10 AM before checkout During these 30 minutes the maid came in and took some of my stuff unopened food in packages rearranged some of my things didn t clean the room Looked like someone broke in so I had to check all my belongings Felt very uncomfortable Reception and maid denied Offered compensation of 7 instead of 10 to have breakfast at their hotel which I of course refused Condition of a 2 star shabby hotel not even close to 4 stars Avoid the hotel that allows their personnel stealing and covers it up ,No Positive
392605,Exe Vienna, Too small room for three persons tiny bathroom poor air conditioning not cooling enough and water was dripping from a c Some equipments wasn t wiped from dust for a long long time windowsill heater wall lamp etc Small elevator , Great breakfast comfortable beds nice views from window 
392606,Exe Vienna, Service at the reception very poor Young blond guy did the misteake in prize calculation twice of course not in our favour He was not nice and arrogant He did not understand english or he didnt want to listen The smell in the room was not pleasant probably previous gests were smokers , Lokalization OK 30 min walk from the downtown 
392607,Exe Vienna, the room was a lot smaller and less cozy than it seemed to be on the pictures same for the pool but that is not surprising It was not bad though but i expected more based on the pictures My partner thought the same , Staff was nice thank you ladies Location is good tram and metro stops are relatively close 
392608,Exe Vienna, We asked for two extra pillows on two separate occasions and didn t ask again as they don t seem to have good communication between reception and housekeeping We had asked for an iron and board the first time we asked for extra pillows Got a brand new iron but they didn t give or maybe didn t have an ironing board The mattress was firm but we slept well as we were pretty tired from our long days exploring Vienna , We stayed in room 503 The room was clean and the hotel was very quiet at night The staff were friendly and helpful We stayed 6 nights and the breakfast was very good We didn t use the gym or pool but can see if people would be upset as pool is quite small 10m X 3m maybe The neighbourhood is safe and the hotel is close to both tram and train lines 
392609,Exe Vienna, Cleaning service waking me up on my last day Sunday around 8 or 9am to ask what time I m going to check out in order for them to plan room cleaning Besides that one service slip I would still recommend the hotel, The location was very good rooms clean and staff at the reception desk very friendly 
392610,Exe Vienna, i booked a double room i end up with a single room and i got charged even extra than the amount ibooked with when i start questioned the manager he was really rude and he didnt give me clear answer,No Positive
392611,Exe Vienna, The room was a bit too warm and the A C wasn t working very good but it was not a big problem , The girl at the reception was very professional she should be an example for many Free apples at the reception 
392612,Exe Vienna, it happend that the room was not cleaned for a day and in another day bathroom missed new shampoos the swimming pool is also small size, Some of staff members were friendly 
