,Hotel_Name,Negative_Review,Positive_Review
211869,Fifty Four Boutique Hotel, Air conditioning in Room 10 made an odd noise throughout the night which disturbed my sleep The room safe was in the locked position and we weren t able to use it despite mentioning it during our stay We arrived ahead of check in and we re told we could leave our bags by reception and they would be taken to our room once it was ready When we returned someone else s bag was in our room and ours still by reception There were some cracked tiles in the bathroom and some mould in the shower whilst the shower was a bit temperamental It just felt as though it needed a bit of a spruce up We didn t have breakfast here preferring to eat out , The room was quiet and the bed comfortable The hotel is very well located for the Albert Hall 
211870,Fifty Four Boutique Hotel, The room was underground with no view even though it was only a 1 night stay, The room was clean water pressure an temprature in the bathroom was good Wifi was quick and location was excellent
211871,Fifty Four Boutique Hotel, Bathroom very small steep stairs lift only went to second floor and we were on top floor , Very comfy bed and linen helpful friendly reception staff looked after our luggage as we were early 
211872,Fifty Four Boutique Hotel, No complaints at all It was exceptional , One of the best hotels we stayed in on our trip Luxuriously furnished VERY QUIET air conditioned in a great street close to the Victoria and Albert Museum Science Museum Natural History Museum easy walk to Harrods and Kensington Gardens The staff were great and responded to every request in a positive and professional manner It was a great London experience 
211873,Fifty Four Boutique Hotel,No Negative, The rooms are quite big and spacious for London we even had a balcony The internet is also working fast The location of the hotel is great just 2 minutes walk away from Kensington Gardens and Gloucester Road tube station This hotel is definitely great value for money 
211874,Fifty Four Boutique Hotel, Lift only went to second floor and we were on the 4th, The staff were friendly and pleasant Bed really comfortable very clean great location good value for money We would definitely choose this hotel again if travelling to this location 
211875,Fifty Four Boutique Hotel, Didn t feel like a Hotel staff were lovely but 172 for overnight stay no breakfast just felt it didn t have any qualities I would want to book again or recommend such a shame , Lovely property but room on the forth floor no lift staff didn t offer to help with bags Bit of a shame very clean but no Hotel qualities 
211876,Fifty Four Boutique Hotel, Although the main parts of the bedroom thankfully were very clean the light switches and plugs were a bit old and grubby not what I would expect at that price with a 4star rating , Very comfy bed 
211877,Fifty Four Boutique Hotel, The tap in the bathrooms did not work correctly The lift only goes to floor 2 As our rooms were on floor 4 one had to climb 4 more staircases with luggage Just be aware for this No help w carrying one s luggage to the room or from the room at check out At the breakfast on Sunday morning the plain yoghurt was finished , People were friendly 
211878,Fifty Four Boutique Hotel, Like a lot of London Hotels there isn t any parking We got a great parking rate using Just Park and it turned out to be only 5 minute walk away , Very close to Royal Albert Hall for our visit and also for our afternoon in the Natural History Museum which was just across the road Hyde Park is only a short walk 
211879,Fifty Four Boutique Hotel, This hotel is only Boutique in name it is NOT a boutique hotel Just a reasonably decorated hotel in a large house Lift only serves first 2 floors If I was disabled in any way I would not want to stay here Wifi limited to one device at a time No restaurant just breakfast which was basic , Location is good and was quiet Everything worked Staff were pleasant It had airco 
211880,Fifty Four Boutique Hotel, My search in booking com was for breakfast included but when I got to the hotel the booking was room only Check the offers , Very friendly and helpful staff comfy good sized room although bathroom was small Air con wasn t working efficient when I was there but room was cool enough
211881,Fifty Four Boutique Hotel,No Negative, Great location for our visit to the a Royal Albert Hall also Science Museum and Natural History Museum directly opposite if we d had the time to visit Pleasantly surprised to gave a ground floor room with French doors and a small terrace 
211882,Fifty Four Boutique Hotel, Had a single room which was unbelievably cramped not enough room to open my suitcase unless put it on bed incredibly claustrophobic as window opened on to brick wall For 150 pounds excluding breakfast thought could have been better , location was excellent for Kennsington palace and gardens Staff very helpful and bed comfortable 
211883,Fifty Four Boutique Hotel,No Negative, The staff were outstanding We had an overnight flight so were very early and tired to say the least when we arrived They had the room ready for us within the hour just time to grab a quick coffee at least 4 hours earlier than expected check in time and were so friendly and helpful regarding details of the surrounding area I would highly recommend this hotel for staff cleanliness location and price 
211884,Fifty Four Boutique Hotel, the only drawback was that the lift only went up two floors and we were staying on the fourth floor so had to walk up the other two flights of stairs I ve recently had a knee op so found it a little difficult but other than that it was a nice hotel and would use again, All in all it was a very nice clean hotel
211885,Fifty Four Boutique Hotel, Elevator to 2nd floor only There were 25 steps down and up a very narrow staircase Terrible for a mid 70 s guy with a bad back This info needs to be available before booking I would not have booked this hotel if I had known this beforehand We had some help when we left but a very small female receptionist only on arrival , Bathroom OK Bedroom small but OK Tube station fairly close Also nice pub and a very nice Lebanese restaurant
211886,Fifty Four Boutique Hotel, Breakfast is continental which was fine with me I would have liked some fresh cut fruit though , Excellent location I was going to a concert at The Albert Hall Took the oppportunity of visiting The Natural History Museum the entrance just across the road Bathroom towels and bed linen all good quality Good shower very powerful 
211887,Fifty Four Boutique Hotel, The room was a little small for fine for a couple of nights Wasn t keen on the coffee at breakfast but I am quite fussy , The location was perfect for us as we were going to a show at the Royal Albert Hall just a few minutes walk away The staff were pleasant and friendly like the fact there was a bar we could use all night if we wished The air con worked fine and bed was comfortable 
211888,Fifty Four Boutique Hotel, The hotel is in desperate need of a complete refurbishment Rarely warm in London but we scored a very warm week A C didn t work in 2 rooms we were in several rooms have nothing more than light wells for windows beds were average and small , the staff are great
