,Hotel_Name,Negative_Review,Positive_Review
87125,First Hotel Paris Tour Eiffel, The only drawback was that the train ran right in front of our window which was noisy and times I still would have chosen the room for the view , The room was small yet expected in Paris Very clean and comfortable We described the decour as crisp Staff were all very nice and helpful Breakfast was great to start the day quickly Hotel itself was very quiet We had an amazing view of the Eiffel Tower which is the main reason I chose the hotel Walk to the tower was about 15 minutes Shopping nearby 
87126,First Hotel Paris Tour Eiffel,No Negative, Good location near the Eiffel Tower can see it from on the bed across the road from the Metro not noisy and near a few restaurants for easy dinner options 
87127,First Hotel Paris Tour Eiffel,No Negative, We had a wonderful stay The staff was very friendly and helpful the location was great with easy access to transportation and restaurants The room was very clean and the bed very comfortable 
87128,First Hotel Paris Tour Eiffel, Poor communication with staff inadequate plumbing often no water at busy times paid for view of the Eiffel Tower required leaning out of the window no bar and no enough staff at the desk for checking in or out , Very close to Metro
87129,First Hotel Paris Tour Eiffel,No Negative, Very friendly people and great shopping easy city to get around both by walking and Metro the station was only across the street but the rooms are sound proof you can t hear anything 
87130,First Hotel Paris Tour Eiffel, The small croissants and chocolate croissants for breakfast were unfortunately quite dry not what I expected from pastry in Paris , Fresh orange juice for breakfast The staff was very friendly and changed our initial room from the 1st to 4th floor as we were afraid of the noise of the metro just in front of the hotel From the 4th floor we even had a beautiful view of the top of the Eiffel Tower The location of the hotel is great there are a lot of shops and restaurants around the metro stop is just in front On Sunday s there is a market 5 minutes away 
87131,First Hotel Paris Tour Eiffel, The room size is typically Parisean ie small and being here for the marathon made this a challenge to prepare The storage could be improved to reduce this issue, Staff were extremely pleasant and went out of their way to help with our requests They made us feel welcome and personalised our stay 
87132,First Hotel Paris Tour Eiffel, Very bad service Staff very rude No free wifi as you said Over priced Room very small, Very bad service Staff very rude No free wifi as you said Over priced Room very small
87133,First Hotel Paris Tour Eiffel, Poor wifi in room very cramped space bed too large little place to put things not enough hooks and bars to hang things , Location good service from staff
87134,First Hotel Paris Tour Eiffel, We stayed in room 606 No View at all in that room in fact the windows are small but there s nothing to look at anyway Any room on the left side of the hallway will not have a view at all The room was VERY small The bed was not comfortable Our room wasn t cleaned everyday Actually it was only cleaned twice in 7 days Also just about ALL of the tv channels were in French We brought our Apple TV with us just in case that happened but the wifi was horrible so it kept cutting out last but certainly not least there was a fee of 60 euros for a late checkout plus a prorated fee for the time we were late Checkout is at 11 we Thought checkout was at 1pm at 1pm we received a call from the lady at the front desk I informed her I didn t know what time checkout was we d be right down We got downstairs at 1 30 and we were charged a late fee plus a prorated fee for every late hour so it s a charge on top of a charge I have never been charged for a late checkout I was very upset , The location of the hotel is perfect it s directly across the street from Cambronne metro station The gentleman who checked us in was very pleasant 
