,Hotel_Name,Negative_Review,Positive_Review
129479,Forest Hill Paris la Villette, 2 bed room very small Bed had problem and it took 2 requests to get it fixed , the location is good The nearby park is nice and shopping center useful Good access to Metro and bus went directly but fairly slow to the Stade de France
129480,Forest Hill Paris la Villette, no free breakfast checking in was a hassle We needed to wait more than 2 hours before our room was ready you continually have to sign in for wifi each time you come back to the hotel not far from the hotel is a neighbourhood which does not look safe quite far from the city centre but doable the atm is not near You have to walk approximately 10 minutes to find one, The rooms are clean and totally doable across the street are a few restaurants and also a small supermarket close to the metrostation on the 4th floor there is a place where you can iron your clothes youself wifi is good
129481,Forest Hill Paris la Villette, Room was very very small Definitely not for three persons and not on par with American standards given the price service is not that quick one evening I asked for an extra blanket and I got it the day after , Nothing I really liked
129482,Forest Hill Paris la Villette, No sink in toilet have to walk round to separate bathroom No safety deposit box in room as standard have to ask Had to give deposit upon arrival and don t know when it will be returned Lampshade cracked on arrival so hope this will not be deducted from deposit, Location very close to metro Clean hotel quiet at night however cleaners woke me up in morning cleaning next doors rooms 
129483,Forest Hill Paris la Villette, The foam of the beds can be improved , The hotel is situated very close to the public transport and it is just in La Villette which is a very nice park The hotel was cleaned tidily everyday 
129484,Forest Hill Paris la Villette, No coffee in the room parking costs 25 Euro per day and it is not hotel owned , The room was perfect clean big for Paris standard 20 meters from metro station 
129485,Forest Hill Paris la Villette, Long wait for the lift in the morning The odd procedure of needing a voucher for breakfast The exceptionally greasy crisps in the bar The price fluctuates a lot and can at times be too high for what the hotel offers, The room and bar are good The hotel location is good for my work
129486,Forest Hill Paris la Villette, The location wasn t the best There is a lot of restaurant across the street which is a plus but it was a bit sketchy if we walked just three minutes past the hotel , The hotel itself was very good Very clean spacious we had a family room three bed two rooms staff was excellent Taxi is very expensive to get to the hotel they won t let you use the meter it is a standard price About 57 I believe We had breakfast included the food was very good Simple but tasty and fresh Wifi was very good It did disconnect over night which I didn t mind because when it was connected it worked great 
129487,Forest Hill Paris la Villette, This hotel was terrible Avoid them This was the only place we regret staying at out of all the places we stayed on our 2 week trip They were unpleasant and overcharged us despite assuring us that we would be charged the advertised rate for the night we stayed and assuring us that a pre confirmed adjustment to staying 1 night was fine The hotel is poor quality and they are dishonest and unpleasant Avoid this hotel ,No Positive
129488,Forest Hill Paris la Villette, I was prior to travelling to paris that I could cash on arrival however on getting there I was then told they would only accept card payment which was against what I had previously been told they also asked for 100 euro deposit which I had not previously ben told, staff were friendly and helpfull
129489,Forest Hill Paris la Villette, There is no safebox in the room There is no hot water in shower only a little warm , Comfortable clean room Friendly and fast room service Good location
129490,Forest Hill Paris la Villette, Very long wait in the morning for the lift Busy time with many of the lifts too full A real let down when 10 minutes wait for the lift and no nearby stairs The voucher system for breakfast is also unnecessary , Very good balance of value and quality Good room bar staff and location 
129491,Forest Hill Paris la Villette, Breakfast was weak non attractive 2 types of cheese and 2 types of ham blend of cut fresh fruit and yogurt types bread and pastry packaged cereals for yogurt There was no toaster for the bread There was no fresh vegetables tomato cucumber pepper ,No Positive
129492,Forest Hill Paris la Villette, The breakfast was not good especially the coffee , The gentlemen at the front desk are very friendly unfortunately I forgot their names They were very helpful and caring I really appreciated very much their help and care The location is very close to metro station The room is clean and comfortable 
129493,Forest Hill Paris la Villette, Room could have been bigger well appointed hotel, Good newish fixtures and fittings Whole place clean in good working order providing good environment Staff helpful 
129494,Forest Hill Paris la Villette, Smelly room and wet sticky coffee spillage on the carpet Long check in not great check in staff although they have been great in the past Really uncomfortable mattress Loud inside and outside the room , In the past I have had much better service and and rooms 
129495,Forest Hill Paris la Villette, I booked this hotel for one night for 18th 19th Feb for 78 Euros I paid full amount at the time of booking online Although I paid full amount I was charged 100 Euros as advance on my same card on the date of check in I have receipt of this advance payment with me I was told that at the time of check out this transaction would be revered and 100 Euros would be credit back to my card Now till now I have not got my 100 Euros back Moreover Staff was not at all friendly I don t know if got this treatment because I am Indian Often we get such treatment There body language was not so good My room key did not work and I had to keeping coming from 8th floor to ground floor quite often to change it I was very tiered of travel and not so good service No water offered even for water you have to pay 2 Euros Apart from 100 Euros for which I am still waiting for refund they charged me service tax of 2 40 Euros So Indians and if you cannot act like you are super rich please do not go there , Near to metro station
129496,Forest Hill Paris la Villette, The comfort of the room The double room is too small No space for a big luggage We could fit in only one or two cabin sized luggage No double bed available The hotel just put two twin beds together to make one big bed , Good location next to a metro and restaurants 
129497,Forest Hill Paris la Villette, I don t know why people complain about the location If its to far from Eiffel tower for you then don t book here If you book here and complain about it being too far then you are just plain stupid Fact , The staff is friendly The rooms are clean even tho they are quite small I have stayed here many times because the hotel offers me good value for money It is just one hour to the airport by Bus 152 and Train RER B 
129498,Forest Hill Paris la Villette, The staff were very unhelpful Tried asking where to park and was told that there was only one carpark that cost 20 euros for the whole time This information was not accurate , The room was very clean very spacious and beautiful Very good value for money 
129499,Forest Hill Paris la Villette, room was very small for 2 persons with only weekend luggage, right next to metro 10mins into city and car park would never drive in Paris with our brand new car besides all the rusty compact cars newly renovated rooms facilities like gym and sauna and just for below 60Eur per night after xmas for a double room original price table in the hotel says 250Eur and the room was good but far not worth 250Eur 
129500,Forest Hill Paris la Villette, The hotel told me that my card was declined for security deposit I kept having them re swipe I checked my statement and had been charged five 100 deposits that they said were declined When I went to the front desk to explain I overheard someone having an identical situation It took some time about two weeks for the charges to be removed which was an inconvenience on vacation , Price was more than reasonable for the area Location was not near to sites but the metro was directly next to hotel and was extremely easy to use The bathroom was modern and the housekeeping ladies were superb 
129501,Forest Hill Paris la Villette, double bed was just 2 single beds combined Uncomfortable room is small noisy staff was unprofessional asked irrelevant questions about nationality during check in picked up calls in the middle of check out , clean bathroom close to metro station
