,Hotel_Name,Negative_Review,Positive_Review
146513,Four Seasons Hotel George V Paris, The price tag to stay here is high , A beautiful hotel in a great area of Paris with very high retail shopping and nice restaurants Hotel staff was very accommodating with great attitudes The room was large and very clean and comfortable 
146514,Four Seasons Hotel George V Paris, Coffee took over 15 minutes to come out at breakfast but I assume they were busy The sauna and stream were closed for renovation, The hotel restaurants were amazing and they had an excellent concierge that helped us arrange all of our bookings during our stay Staff was all extra friendly
146515,Four Seasons Hotel George V Paris, Lack of English speaking programs on TV and although a very nice place we felt that it was overpriced we expected more wow for the money only saw a lukewarm small water bottle and a couple of cookies in our room upon arrival in other places we were treated to a spread of cheeses sausage snacks pates crackers etc and that was for less money for the room , Liked the air conditioning and the service
146516,Four Seasons Hotel George V Paris,No Negative, it is geroge v so worth the expense we arrived very early around 11 am and staffs at the front told us we could check in as soon as room is ready for us didn t mention check in time is 3 pm and we were just trying to keep our luaggues before check in They were doing everyting they could to check us in as early as possible Meanwhile we were just shopping at shops on george v and they called us to let us know that room is ready it was around noon so we checked in around 12 Everything was so smooth and and people were very nice Room is lovely and comfortable we had a wonderful stay for 3 nights 
146517,Four Seasons Hotel George V Paris, Bit overpriced , Exceptional and attentive staff Met and accommodated every need Genuine kindness and helpful The suite we stayed in a suite that overlooked the city and Eiffel tower as it sparked at night City was quiet and peaceful just after the election 
146518,Four Seasons Hotel George V Paris, nothing, I recommend this hotel in every way don t care about how expensive the hotel is it worth every dollar you pay the looks on my wife s face when we reached her smile when we entered the lobby made me love this hotel compared to any hotel with its price range George V four season tops them all without thinking for me id rather pay more live in this luxurious hotel if your visiting Paris you didn t stay at least once in your life here you haven t been to Paris I felt like royal when I was there 
146519,Four Seasons Hotel George V Paris, The property was like a Las Vegas hotel Decor was opulent and tacky I usually stay in Paris at boutique hotels but stayed here because we thought it would be nice for Valentine s Day I travel constantly and always in the most luxurious hotels The decor of this hotel was boring and I don t really love the neighborhood too commercial Paris is so magical but this place makes it feel like you re in any other city Also if you don t like perfume do not stay here The halls and rooms have so much perfume you can barely breathe Definitely not worth the money , Customer service was great 
146520,Four Seasons Hotel George V Paris, Room service is way too slow I ve lived in hotel end of last month and they still holding the deposit from my credit card for almost one month when will they finally charge the bill from my credit card , Location 
146521,Four Seasons Hotel George V Paris, Waiting for friends in the lobby was very difficult nowhere to sit The bar especially from early evening onwards was always full, The croissants were excellent The staff very helpful and friendly
146522,Four Seasons Hotel George V Paris,No Negative, The staff was superb We were there for business and to celebrate my birthday Everyone was friendly and we were greeted with courtesy and a big smile Love the George 
146523,Four Seasons Hotel George V Paris, The Hotel had Electricity Breakdown for 2 hours between 19 00 21 00 hour on Friday and another 1 hour on Saturday Also on Sunday the Lobby wah hosting an event of a Travel Agency BAr and restaurant were not open for Hotel Guest We are regularly customers of Four Seasons Hotel around the world but this time it was very disspaointing and they denied to compensate us ,No Positive
146524,Four Seasons Hotel George V Paris, The pool has disappeared to make room for the extended Spa facilities It was also the first time that I have experienced a power cut at a hotel but this was probably out of their control and after about 2 hours all was restored Otherwise very little not to like , Wonderful attentive service amongst the best that I have experienced anywhere The concierge service is very efficient organising tickets for special events and for pre booking at art galleries and museums A charming hotel with excellent choice of restaurants Lovely spa and small gym beautifully decorated with fresh flowers and choice of refreshments Has a glamorous feel but still feels quite homely 
146525,Four Seasons Hotel George V Paris, The prices for meal and room service transcended obscene and were quite offensive I get that this is an expensive hotel but 200 for a buffet breakfast of pastries cereal smoked salmon cold cuts and cheese for two is ridiculous when five star Sydney hotels with harbour views charge a fraction of this We ate out every single meal breakfast lunch and dinner , The room was truly sumptuous as you d expect from the price 
146526,Four Seasons Hotel George V Paris, The bathroom toilet area smelled musty In comparison to other 5 star hotels we were not addressed by our names which would have been a nice touch , I got a beautiful view of the Eiffel Tower at night and appreciated the extra attention given to my young daughter I am also thankful that arrangements were easy to make with their Concierge for transportation pick up from the airport after a very long flight 
146527,Four Seasons Hotel George V Paris,No Negative, We were celebrating our 30th wedding anniversary and had the most fabulous experience Room service came w Evian water and a bowl when our friends dog was thirsty That s service 
146528,Four Seasons Hotel George V Paris, Difficult to identify what we would like to see improved as we thoroughly enjoyed our stay this time just as much as the previous year I would like to hope that the prices for the accommodation do not elevate to an unreasonable level over the next few years I do think the breakfast buffet price is a little high and would like to have seen a nominal price for a coffee croissant light breakfast alternative It would suit those of us who are down for breakfast at 9 30am and planning to lunch at 12 , Enjoyed the luxurious ambiance throughout the Hotel Appreciated the extra attention by the staff who were friendly and helpful at all times They provide a small but well equipped fitness room and lovely pool in the Spa The Hotel Bar is very comfortable and the service by the bar staff was brilliant Dining at the Hotel is also a great experience the finest quality produce and wonderful varied menu s 
146529,Four Seasons Hotel George V Paris, Nothing, The Best thing about my stay was the staff I know a thing about customer service and they were the best Its always the little things that count eg remembering my name etc I didn t get the opportunity to eat breakfast there but the spa and the pool facilities are beautiful and accessible The location is 15 minutes from most places so yes LOVED IT
146530,Four Seasons Hotel George V Paris, The food in the inside Resturant are not the best and the price are so high , The location is perfect and also the staff are so nice and the best concierge in all other hotels 
146531,Four Seasons Hotel George V Paris,No Negative, What a beautiful hotel this is the location service facilities staff are second to none the attention to detail in fact there is just nothing negative I can say about it
