,Hotel_Name,Negative_Review,Positive_Review
434602,Gallery Hotel, nothing, the stuff was very polite and helpful the room was as expected and described the breakfast was very good even if it had limited options the property is close to many stations bus and metro and therefore easy to go around music and dancing events have been taking place while we where there 
434603,Gallery Hotel, The swimming pool was a little small ok for the children as long as no more than 6 or 7 people were in it at the same time Strangely the cleaners did not bother to remove used glasses and the bathroom wasn t always fully cleaned , The rooms were a generous size and well equipped there were toothbrushes and razors along with the hairdryer gowns slippers etc The bar on the top was fun with friendly staff serving good food and drinks Also the gym and sauna were a nice added bonus 
434604,Gallery Hotel, The pool was very shallow and no where near long enough and the fitness centre could do with having heavier weights The tea in the room was replaced enough either but apart from that the hotel was fantastic Will definitely recommend , The staff were amazing and very caring The airport had lost our luggage and the receptionists offered to take care of everything to help find the suitcase When the suitcase turned up they were just as happy as we were The beds were very comfy the View was exceptional The bathroom was very clean and modernised 
434605,Gallery Hotel, For a weeks stay I was given a tiny room not enough space to unpack all clothes Worse still window opening onto inner yard view onto other rooms covered by a glass roof No fresh air I left after one night went to another hotel This was my 5th stay at this hotel booked well in advance I don t feel like going back again,No Positive
434606,Gallery Hotel, The staff around the pool and the pool restaurant did nothing to manage some very obnoxious children and teenagers in the pool We literally couldn t even sit in our son chairs and get some sun because these children super so poorly behaved and were splashing water and other guests The staff clearly should ve manage this and did not The pool area is also very short on lounge chairs and there are too many tables for food and beverage that are just not being used This whole experience really makes the pool area of no value , Desk staff were very helpful 
434607,Gallery Hotel, Small room without air and window to the wall If you open the window it s still impossible to breath because it s closed inside Awful night I couldn t sleep and it s spoiled everything This is what you get for 188 euro , Nothing
434608,Gallery Hotel, Absence of pegs in the bathroom No mirror in the entrance hall could have been attached to the door of the wardrobe which did not allow to store a dress too short for this , Very helpful and attentive staff
434609,Gallery Hotel, There was nothing that disappointed us , The staff at the reception desk and in the bar and the restaurant were very courteous helpful and friendly The buffet breakfast was expansive in choices and was delicious It was an unexpected bonus to enjoy the same coffee at breakfast as we have at our own home Nespresso capsule varieties 
434610,Gallery Hotel, Watch the prices in the bar mostly good but expensive cocktails , Excellent friendly staff in a very safe area of Barcelona stayed 3 times before will stay again 30 Euro taxi fare from airport Underground on the corner very easy to get about 
434611,Gallery Hotel, All entertainment channels on the TV are in Spanish It would be nice if possible to have an entertainment channel or two in english if at all possible This is not a big deal though just a nice to have , Excellent location within walking distance of a variety of shops restaurants and tourist attractions Rooms were comfortable and air conditioned The roof top bar had an excellent choice of beverages and bar meals The staff were friendly courteous and extremely helpful and spoke a variety of languages 
434612,Gallery Hotel,No Negative, Great location to access public transportation as well as a hop on hop off bus tour Good food at the hotel as well as local establishments Great little boutiques across the street with locally or at least in Europe made items The roof top bar was great and SUPER friendly staff 
434613,Gallery Hotel,No Negative, The Gallery Hotel was everything we expected The Hotel was clean and modern The staff was very helpful in making recommendations for dinner and booking tickets for local events Great restaurants and attractions were within walking distance lots of taxis in the area and the metro stop is on the corner of the block lots of options I would highly recommend this hotel for couples families traveling with teenage children or for business travelers it had everything we needed Would love to stay here again next time we are in Barcelona
434614,Gallery Hotel, One quirky thing only one heavy room key did not use the typical cards Overall an excellent hotel , Beautiful Hotel in a great part of Barcelona Eixemple with good restaurants close to the metro friendly and helpful staff contemporary design Wonderful experience in all regards 
434615,Gallery Hotel, The rooftop pool was a little underwhelming , Extremely helpful and eager staff Near to the Guadi Casas and walking distance 20 mins to Sagrada Familia Surrounded by excellent restaurants 
434616,Gallery Hotel, I booked a one person room and it was tiny they are transparent about the size of the room so no surprise there I guess it is how it was supposed to be but for more than 200 EUR the night ,No Positive
434617,Gallery Hotel,No Negative, It s a cute single room with color boxes on the wall The desk is a smart way to arrange the space of this little room The bed is double bed which is comfy n big enough for a good sleep 
434618,Gallery Hotel,No Negative, The room was gorgeous which had a living room and a bedroom The bed was super big and the mattress had proper softness The bathroom provided full range of utensils The computer and the printer were at the lounge The top fitness room offered the gym facilities and bathrooms It organised the morning exercise session for early birds 
434619,Gallery Hotel, My stay was a bit on the short side to try the pool for instance but that was just my schedule not a fault with the hotel , Located within walking distance of the old town and the seafront Helpful friendly staff Room was spacious comfortable and well furnished Very good breakfast Taxis readily available at short notice too Would happily stay there again 
434620,Gallery Hotel, Nothing we had a great stay , Fantastic hotel super friendly staff who made us feel very welcome they even gave our daughter a little present when we checked in which she loved Clean and modern facilities beds were comfortable tea coffee available and mini bar We could easily fit a baby cot into a standard double room so the rooms were very spacious Amazing terrace with a small pool and great space to just relax have a drink and soak up some sunshine 
434621,Gallery Hotel,No Negative, Excellent service very kind personnel The hotel is well located in a nice area of town Breakfast was good and not too pricey The room was in the back because I had asked for a quiet room and it was totally noiseless Clean room nice bed There was complimentary water and a water heater for a quick coffee which I appreciated Price quality was good
434622,Gallery Hotel, Reception slightly crowded Rooftop opening hours could be longer on Sunday it closed at 8 PM, Nice designed room very clean very comfortable bed and pillow menu Super helpful and smiling staff great location Didn t try their food nice toiletries Underground parking Rooftop nice atmosphere
434623,Gallery Hotel, Breakfast was too expensive so we had it in the gallery next door, Upgraded to a lovely comfortable suite Staff very friendly and most helpful Hotel in a perfect location for central Barcelona Unfortunately had such a busy schedule we couldn t enjoy the rooftop pool Would definitely stay here when we come back
434624,Gallery Hotel, Didn t like that we could only stay the 2 nights would have liked to stay longer Enjoyed the Gallery Hotel beautiful Barcelona , Excellent coffee Hermes Begonia Juanna looked after us so well All of the food was fresh just a great place to stay 
434625,Gallery Hotel, Two beds side by side Fell down the middle a couple of times One day room not serviced until we asked Then we learned to put sign on door for servicing , Staff exceptionally helpful A couple of bars Breakfast very good Good location Easy walking distance to most attractions Would stay there again 
434626,Gallery Hotel,No Negative, The staff were very friendly and helpful Room was great and bed and pillows were very comfortable We also enjoyed the food we had in the restaurant The location was great and we found it was in walking distance to everything if you do enjoy walking 
434627,Gallery Hotel, They give you only one set of keys and you have to leave it at the reception It is not a big deal but I would prefer to avoid that , The stuff is very friendly location is good and it is very clean 
434628,Gallery Hotel, If I had to pinpoint one very minor fault it would be that when the rooms were cleaned they didn t replace the complementary teas coffees but the positives certainly out weighed this minor fault, The staff were exceptional from the reception through to the bar staff all made our stay a special one Location was fantastic ideal for restaurants bars the sites and shopping 
434629,Gallery Hotel, The roof top terrace was closed we did not realise this until we got to the hotel , Staff were extremely helpful room was excellent complementary toiletries were really good 
434630,Gallery Hotel, The outdoor roof top poool was under renovation while we were there in March 2017 , The hotel was well situated at the cusp of downtown and local neighborhood restaurants and shops The breakfast was excellent The hotel was a great value for what they delivered The staff was very helpful and made outstanding restaurant recommendations close to the hotel I would stay there again 
434631,Gallery Hotel, This visit was in March and the roof top bar wasn t open , Extremely helpful friendly staff Great location in an up market area of Barcelona Very handy for the metro the Diagonal station is only a few yards away Small but very cosy rooms 
434632,Gallery Hotel, Nothing Everything was great , Great staff best location in Barcelona Tons of great restaurants around If you like to walk it is on good walking distance from most of the interesting points But it is also in front of the Diagonal metro station in case you prefer 
434633,Gallery Hotel,No Negative, The staff were exceptionally helpful and very friendly and cheerful all the time Nothing was too much trouble We particularly enjoyed the well presented little touches in our very comfortable Superior room from coffee and tea making facilities unusual in Spain lovely range of toiletries and useful information about Barcelona to chocolates on the pillows at night There was even a small savoury snack of local delicacies waiting in our room when we arrived We were also loaned a 4G dongle by the hotel so we had secure roaming data for the duration of our stay which was very handy indeed Location is excellent Its a lovely area and within walking distance to most attractions but the metro station is only about 50m away if that and easy to navigate so it is easy to get around the city Lots of places to eat and drink close by as well We did not eat in the hotel at all as we don t do breakfast and were out and about in the evenings We loved the hotel and Barcelona and will definitely be back 
434634,Gallery Hotel, the bed was tooooo soft for me but my husband liked it , the staff were really helpful and the hotel is great the room was comfortable and location is good 
434635,Gallery Hotel,No Negative, The rooms seem to have been recently renovated so it s very clean Although the rooms was small it was well designed with everything fitting nicely inside and making good use of space especially in the modern style bathroom Staff were kind and provided a nice little touch with artisan chocolate as a greeting gift 
434636,Gallery Hotel, The bathrooms could use more of an update they re cramped and not well ventilated Sometimes the housekeeping felt unfinished and rushed and it was hard to tell when they would come to clean Room service was quick but mediocre food , The room was spacious we had the deluxe It had the most comfortable bed I ve ever slept on The staff was welcoming and are great with early check ins It was so easy to find In the heart of the shopping district The location and overall atmosphere is great and casual 
434637,Gallery Hotel, nothing at all, great room lovely bed and shower good choice at breakfast really helpful staff nice location about 20 minutes from airport bus drop off
434638,Gallery Hotel, The foyer is a little tired and could do with a BH Spin bike and water in the gym , The room Suite was perfect for a young family with the closed bedroom and living room The staff and in particular Hermes at breakfast where all very helpful I had to take a call at breakfast for work Hermes kept me fuelled with coffee and pastries without request He also went out of his way to entertain my 2yo son Clearly the location is excellent 
434639,Gallery Hotel, Lack of magnetic key cards locks , Probably the perfect location to get around Barcelona whether by taxi metro or walking Also the hotel location puts you directly between a buzzing atmosphere of places to shop eat and drink The hotel itself is very welcoming and accommodating Only thing that surprised me about the hotel really was the use of the standard key versus electronic magnetic key cards 
434640,Gallery Hotel, We had a bag stolen from the small restaurant at breakfast on our first morning It was captured on CCTV and the perpetrators entered through the main door of the hotel past reception and past the restaurant staff Despite our foolishness in our view the security needs to be improved All the staff were kind empathic and helpful but it would have been good if they had contacted the police directly as we lost a whole day of a very short break reporting the theft making statements etc We had half board and felt the 2 choices of main course was too limiting A milk jug for our breakfast tea would have been a nice addition but that s just plain pernickety , A substantial breakfast with good choices Comfortable beds clean rooms good service The restaurant staff were all amazing pleasant kind helpful The food was generally very good with a good choice of wines Would definitely stay again and recommend 
434641,Gallery Hotel, The temp in the shower fluctuated a bit but just encouraged a quicker shower , EVERYTHING was amazing We were offered an upgraded room upon checkin for a very reasonable 34 euro a night including all minibar contents and the room was worth every cent The room a junior suite I believe was perfect We weren t in the room for 2 minutes before receiving a phone call asking if a the room was alright and b if they could come make up the spare bed for our son Someone arrived right away and got it all sorted for us The staff was very kind and friendly remembering our names and room number any time we spoke to them One even popped by during breakfast to give my son a bottle of jelly beans Breakfast was a typical continental breakfast and included everything you could want Beds and pillows were comfy Room was beautifully appointed Location is also great and central to everything we wanted to be near In all a wonderful hotel and we look forward to our next stay Thank you 
434642,Gallery Hotel, The bed was extremely hard which to me was uncomfortable The couches were worn and soft which was also uncomfortable , We were upgraded to a suite upon our arrival which was nice The bathroom was upgraded nicely and having the extra toilet was a plus 
434643,Gallery Hotel, Waiter on the 6th floor was not nice Lack of information in the room about the city and local area Lack of staff in the restaurant and reception waited too long to be served , Bed was extremely comfortable some staff were really lovely but no consistency Location was good not too far from main attractions and easy to access them by foot car or public transport 
434644,Gallery Hotel, N A, The hotel is in a perfect location Within minutes from the station to the airport and walking distance to all major attractions Plenty of shops close by for the shoppers and lots of cafes restaurants and bars The staff friendly and helpful Hotel very clean Bed extremely comfy Rooftop perfect place to catch the late afternoon sun and enjoy a few drinks 
434645,Gallery Hotel,No Negative, The room was gorgeous and comfortable The staff were so incredibly helpful and generous with their time We had great restaurant recommendations from them This is also a perfect location to stroll from and enjoy all Barcelona has to offer 
