,Hotel_Name,Negative_Review,Positive_Review
404728,Glam Milano, Unfortunately some of the other guests spoiled the dining experience for us as because as it was a buffet meal a lot of people seemed intent on eating as much as they could in a short space of time even though the staff kept refilling the trays of food On one occasion it took only 22 seconds for two large trays of cakes to be devoured I would add that this is not the hotel or staffs fault , As we traveled by train to Milan the hotel was in a really good location 5 minutes walk away from Milan Centrale The hotel was excellent and all of the staff were very helpful both in the dining room and on reception The breakfast was amazing and although the evening meal was included in the price which was a real bonus we did go out on a couple of occasions preferring to eat in the old part of the city Would certainly recommend to friends or other travelers 
404729,Glam Milano, I am not very sure how safe the area around the central station is because of the people gathering there in the square it was dirty noisy but I wouldn t say they were aggressive , Nice hotel good location and great staff The room was quiet spacious clean and comfortable The food was delicious Wifi was OK 
404730,Glam Milano, The restaurant was a bit small to accommodate all the guests It got very overcrowded at breakfast Slow to replenish food after it ran out , Excellent location very modern and very well maintained The staff were very helpful and courtious Rooms are a good size and very comfortable We had a few small issues on arrival that were sorted out very promptly and efficently We stayed at the hotel at the beginning and the end of our holiday to Lake Como and it suited our needs as a link to the city centre and the airport I ll definitely use again if I m when I visit Milan 
404731,Glam Milano, The restaurant was too small to accommodate all the guests The food was put out in small inadequate quantities I appreciate they are trying to manage waste but they go too far Dinner was like feeding time at the zoo it promotes greed , The hotel is modern and well maintained Situated right beside Milan Central Station and the metro Airport shuttle buses stop directly beside the station Very helpful staff Would definitely stay again if in Milan 
404732,Glam Milano, I travel to Milan every week I have tried many hotels This hotel was OK The tourist were tourists given the location it is quite touristy The breakfast was worth a look however I recommend you avoid the orange juice Not sure what the machine thinks it is doing but it really isn t orange juice not even close Go Water or Coffee Dinner well If i was on holiday and had my family we could eat It wasn t so bad Nothing there for me after a long day in the office , I travel to Milan every week I have tried many hotels This hotel was OK The tourist were tourists given the location it is quite touristy The breakfast was worth a look however I recommend you avoid the orange juice Not sure what the machine thinks it is doing but it really isn t orange juice not even close Go Water or Coffee Dinner well If i was on holiday and had my family we could eat It wasn t so bad Nothing there for me after a long day in the office 
404733,Glam Milano, If they add more food choices for breakfast and dinner will be better , Glam hotel is one of the best in the area It is near the centeral station The tourist s buses stop few steps from the hotel and can take you to all Italy outlets and sightseeing tours There are many geat restaurants in nearby 
404734,Glam Milano, Restaurant space feels like you are in a corridor Too cramped But for the price the food was good and the overall experience was good , Very helpful staff Great cappuccino 
404735,Glam Milano, It s a little expensive for the location and the service offers , It s very close to the central rail station transiting travellers to other parts of Italy will like staying here they were sweet to let us keep our bags for 3 days till we come back from Florence 
404736,Glam Milano, The evening meal experience was not good The space where it is eaten is not adequate The food itself was fine But we chose to eat out of the hotel on a number of occasions although we had paid for the evening meal in hotel as we simply didn t enjoy the in hotel experience , Bed very comfy bedroom good quality and well sound proofed 
404737,Glam Milano, Forgot to clean our room for one day They did it the next day Construction site is next to hotel Quite noisy in early morning Seems to be completed not long It s better after we changed our room facing the street , Very good location Metro station is a few steps from the hotel as well as the shuttle bus to Outlet Few minutes to the train station Good enough breakfast and dinner Sometimes they provide seafood dishes for dinner Helpful and sincere staff My husband checked in hotel very late and tried to get some food at the restaurant just before 10 30 pm A young waiter immediately arranged two plates of food including cold cut meat dessert etc for my husband although one was enough for him Much appreciated for the initiativeness and thoughtfulness of this young staff Comfy bed new style with nice decoration 
404738,Glam Milano, The food at dinner Wait at check in take more time than usual but it is not a very big issue, Very near to Milano train station about 3 minutes walk Staff at reception are nice and willing to help
404739,Glam Milano, We were given a family room on the 2nd floor directly facing the train station Walls are not sound proof That evening we could hear every train that went by central station music and people talking from the street below The next day we complained to reception and was offered another room on level 6 at rear of the building The room was much quieter Unfortunately there was a drainage problem with the shower our bathroom was flooded We were offered another room Very disappointed with the facilities of the hotel As we had spent the previous 3 weeks in other cities in Italy and stayed at hotels much older than the Glam with no issues ,No Positive
404740,Glam Milano, We were 3 in the room but the house keeping only provided 2 coffee sachets one of them decaf and no milk We paid for half board but the dinner wasn t worth it at all Not good variety of food and if you arrive less than an hour after the dinner start time the good stuff in the buffet is finished and they don t provide more We had to have the same food every day I could have spared the half board money and had dinner at any good restaurant nearby , Modern room adequate for 3 Very good bathroom Hotel right in front of the central station and easy to find 
404741,Glam Milano, Nothing, 2nd stay improved rating We wrote a review a couple of years ago and took off 1 star 4 out of 5 for the quality of food dinner and breakfast were part of the rate with no choice to opt out We stayed again this year because the rooms are great and it is so convenient to the train station metro and airport express THE MEALS WERE GOOD THIS TIME With this improvement we d give the hotel a 5 out of 5 
404742,Glam Milano,No Negative, Lovely hotel with very good facilities in a pretty good location in Milan Excellent value for money with the meals included which were all top quality Would definitely stay here again 
404743,Glam Milano, Breakfast was a bit busy and the quality of the food did not appear very high however overall it was reasonable as included in the price , Location and view fantastic room overlooking the Centrale Station Family room was huge compared to most hotels essentially 2 rooms with proper beds for everyone Staff all very cheerful and helpful Left luggage they kept our cases for a few hours for free
404744,Glam Milano, WIFI is not stable not working during the late evening and early morning No separate concierge desk to ask for help The front office are busy with check in and out The dinner buffet is so so , Big room big comfortable bed air condition fridge The location is 3 min walk from Milan Central station 
404745,Glam Milano, Drinks with dinner were too expensive and spoilt the dining experience a little , Buffet breakfast and dinner were very good Hotel lovely and staff were excellent 
