,Hotel_Name,Negative_Review,Positive_Review
315440,Graben Hotel, Nothing , The personnel during breakfast were some of the nicest I ve met they couldn t do enough for you Excellent range of options at breakfast The hotel could not have been more central and despite that the cost was very reasonable and the area was very quiet at night 
315441,Graben Hotel, Nothing was problematic, Everything I remember was just fine courteous accommodating well informed staff cozy room with all the basics excellent location for travelers Viennese charm The price was right for the level of services and facilities offered 
315442,Graben Hotel, Originally when I arrived after a long journey they told me the hotel was fully booked and I had no room available to me , The original problem was solved swiftly and professionally After that my stay was very good Nice room if not maybe a bit old fashioned but clean and well looked after I would stay here again 
315443,Graben Hotel, THE TOPPING UP OF JUICES SCRAMBLED EGGS IN THE MORNING WAS SLOW, THE BEDS WERE LOVELY AND THE EVENING RESTAURANT WAS REALLY GOOD AND THE STAFF FRIENDLY
315444,Graben Hotel, I am not sure if the fact that the hotel still uses keys which you have to leave at reception may be thought of as outdated by some It did not bother us in the least as we belong to the key generation , We were given only 2 low pillows but forgot to ask for extra ones before we went out in the morning We asked for them in the evening thinking they would be put in the room in the morning but 5 minutes after we got to the room the pillows were delivered 
315445,Graben Hotel, Noise in street outside late into night and early mornings by street cleaners etc Not hotel s fault but be aware with being right in the centre of the city has a price , Very helpful and pleasant staff room kept spotlessly clean 
315446,Graben Hotel, We couldn t get the ac to work so the room was quite stuffy considering it was March But the windows opened so no real probl em, Breakfast was very good with lots of options Location v central Reception staff v helpful WiFi excellent and free 
315447,Graben Hotel, It s an old building and most rooms are small but that can t be changed and doesn t matter hugely unless you have a need for rooms like small apartments However if I d paid a 4 star price I d have been disappointed with the many of the room facilities e g warm minibar small TV minimal towels few toiletries no tea kettle But then maybe if I d paid full price the offerings would have been different So given the low rate I paid which my Viennese friends could hardly believe I m not really complaining , Its great location for the opera house and its excellent breakfast I stayed here several times in the 1990s for the same reasons until it upgraded from 3 to 4 stars and became too expensive so I moved elsewhere I made the 2017 bookings because I saw rooms offered on line at an extraordinary price and knew I was on a winner 
315448,Graben Hotel, We booked a double room but were provided a twin room on arrival We were given a much smaller room when we pointed this out Room was so small that we had no space where to put luggage Also we were provided with single quilts which are not ideal for a double bed On more than one occasion I came across dirty cups in the breakfast room , Excellent location next to St Stephen s Cathedral Staff very helpful and liked the buffet breakfast
315449,Graben Hotel, A small room for the toilet was separate from the bathroom both within the room of course The problem was that the toilet room was not connected to the central ventilation system so no way to ventilate the toilet room We had to open the room windows in freezing temperatures while we were out of the room When we asked about this they were ok with us changing rooms but the entire ventilation system in the hotel was not working During our 4 night stay this was not fixed , Right at the center of town Pleasant rooms Good and flexible service Quite clean 
315450,Graben Hotel,No Negative, Location location location in the middle of it all at a great price and a good breakfast to start the day Great restaurant and a caf across the street 
315451,Graben Hotel, Staff was rather slow at check in and check out We were not warned about the possibility to be fined for just stopping the car to get out the suitcases Although the hotel offers parking service to park in the public garage it can take some time and you can still be fined 40 for stopping near the hotel Parking is available in the underground garages 20 if you parked by yourself and 30 35 if they park mind that you can lose the difference while checking the options with the receptionist parking inspectors are literally lurking from every corner There is no shower cap Towels need to be replaced , Location was great Looking at the rooftops or at the roof windows was very romantic Breakfast was rich try goat cheese it was amazing Food was very good at their trattoria Prices are reasonable Clean rooms 
315452,Graben Hotel, Room and bathroom pretty small Shower slippery and no safety handle No shower cap , Friendly staff Decoration simple but stylish Location is the best possible one for a tourist Right in the middle of Silvesterfpad The restaurant is quite good and very convenient to avoid getting frozen in the cold winter nights 
315453,Graben Hotel, Breakfast selection was awful 2 single beds shoved together for a double room and they kept moving apart every few minutes Shower kept going scalding hot and cold , Location was perfect City centre
315454,Graben Hotel, It was said that there is a parking while there wasn t It is a parking service where someone takes your car in the evening and brings it back in the morning against payment of course , The location
315455,Graben Hotel, Nothing everything was perfect , Perfect hotel very very cozy and beautiful with its special character the hotel is situated on the very quiet small street in old city two minutes walk to San Stefan cathedral the staff also is very nice Breakfast is very tasty and includes cold cuts salads scrambles eggs bacon and sausages What I ve liked the most that the combination of a very quiet street in the middle of the old center of the city No doubt that in my next visit to Vienna I will choose to stay here again 
315456,Graben Hotel, Early morning construction noise starting 7am Audible if you have a room at the front of the hotel may not be if your room is at the back , Good shower Spotlessly clean rooms Helpful staff happy to help with restaurant reservations etc 
315457,Graben Hotel, Rooms are very smal Out of the window I looked onto another wall 3 meters away The Elevator is incredible slow thus I waited 2 3 Minutes every time I can t see why this should be a 4 star Hotel , location is nice just beside St Stefans Cathedral Many choices to eat nearby Breakfast is ok though not exciting 
315458,Graben Hotel, The view from the window there was none Made it very dull , Room was excellent Nice quiet Lovely bathroom Fabulous breakfast every morning staff there were very friendly helpful 
315459,Graben Hotel, Our AC was broken and they tried to move us to another room where the AC was broken as well We were very hot , Location is good the room was a decent size The attached restaurant was great 
315460,Graben Hotel,No Negative, STAFF you don t have even to ask They each one of the staff receptionist bell boy room cleaner restaurant they ask you if they can help You see that they are really happy to help 
315461,Graben Hotel, In a perfect world cheaper, Really comfortable rooms good air conditioning in the heat found us a room when we arrived at 8am All staff were always friendly and so were other guests Nice view of rooftops from room Very central and handy but not noisy Great breakfasts too Handy to metro Lots of restaurants nearby
315462,Graben Hotel, Can t really complain about anything but I would have preferred two smaller pillows rather than a large one but that s a really small thing , Location perfect just 2 minutes away from the cathedral yet the room was really quiet The staff were really friendly and helpful the breakfast was good except the gluten free bread which was terrible but they did their best the room was comfortable and the wifi fast 
315463,Graben Hotel, Absolutely nothing, Not a classy sumptuous hotel which you would normally pay a fortune to stay but excellent in every way Location superb restaurant excellent and the most pleasant and helpful staff Would certainly recommend it for anyone on a short break Everything is within walking distance
