,Hotel_Name,Negative_Review,Positive_Review
349369,Gran Hotel Barcino, You can only buy coffee in the vending machine it s not very good Late check in 14 00 No good cosmetics in the bathroom just simple shower gel , Great location The beds very comfortable 
349370,Gran Hotel Barcino, We would have liked tea coffee machine in the room The bathroom shower needs attention , This is a great location lots of places around to eat in very good tapas bar next door Lots of narrow alleys to explore very close to Barcelonas catheradal and near Metro The room was comfortable but we were at the front and there was noise until midnight Ac really good and quiet 
349371,Gran Hotel Barcino, There was a lot of noise at night and also the hotel had a strange smell inside due to its ancient furnitures maybe But it was close to the center and the metro ,No Positive
349372,Gran Hotel Barcino, Window does not close properly so a lot of noise from outside travels through to inside the room and could not sleep well There are 2 euro per night for security box , Location was nice for walking around Gothic Quarter 
349373,Gran Hotel Barcino, Bath was old and grubby I put a Shirt in for ironing at 10 15am the cut off time for that day was 10 30am it should of bin back to the Hotel for 7pm it never arived back till 8 15pm I had a table booked at a Tapas bar for 7 30pm wich I lost my advise is don t use this service, Location
349374,Gran Hotel Barcino, Stuff was not friendly nor effective nor responsible the room was really small the shower gel shampoo was not added after one day of stay and the quantity of if at the beginning was very small , Location
349375,Gran Hotel Barcino, Lots of outdated hardware Elevator a bit rickety dark corridir lights as you advance along but too slowly Bed covers looked shabby felt prickly had some holes in them A missing corner in a floor tile Room 403 But top of the negatives was the hardly lukewarm water in the shower my 12yo wouldn t have it so went unshowered to the airport , Location was the best attribute of the Barcino no doubt Ramblas Gothic quarter Wham bang center of everything 100m to a Metro station buses port 
349376,Gran Hotel Barcino, No drinking water no tooth brash no lotion very old shower towels uncomfortable bed very bad and old blankets without cover no slippers no kettle no glasses no soundproofing dark corridors no climate control It s not at all like 4 stars hotel , The location
349377,Gran Hotel Barcino, Hotel internet was very bad the rooms are very very hot the rooms are very dark no sunshine comes ever In the toilet we saw 2 insects the stuff of hotel is not so kind I can only say good words for this hotel is the location unfotunately I am not advicing this hotel ,No Positive
349378,Gran Hotel Barcino, Staff again some of the people working there should probably do something else unfriendly and kind of arrogant also if you work in the reception don t stand in the entrance and smoke Kind of basic hotel dosen t feels like 4 stars, Helpful staff specially the cleaning staff
349379,Gran Hotel Barcino, I was forced to pay for a breakfast more than I had Due to booking made on 2 vouchers paid by 2 different creditcards The breakfast was paid on one voucher but could only be used that day not the next This is not a Hotel with any etics or it is very poorly managed or mayby in financial trouble since they must trick their guests like this They get their money for booking com but it is lost for the guest because it was on the wrong voucher Don t book in this hotel ,No Positive
349380,Gran Hotel Barcino, Curtains need to be darker to block light and sound out Steps down to my room with heavy suitcases not great , Comfy bed location amazing right near Barcelona festival and the mall and market 
