,Hotel_Name,Negative_Review,Positive_Review
177947,Grand H tel Du Palais Royal,No Negative, The hotel is close to everything and the staff is amazing they were friendly and very helpful The breakfast is excellent We had cocktails at the bar which I would rate as 5 star We will definately stay at this hotel again and I would recommend it to anybody 
177948,Grand H tel Du Palais Royal, There is a apparently disconnection between the reception and the concergerie service I travel around the world for bussiness purposes and in my trips I just say make my request one time I don t know if the disconnection was between booking and the hotel I don t think so because even the requests made directly on the phone were not performed as expected or not with the quality and profesionality that would be expected of the services promoted in the webs and advertisings of the hotel Normally I don t complaint and the high price of the services is not an issue for me if I get back a good service for what I m paying for Other misinformation was regarding the service offered by the hotel Meet and Greet it s promoted as a service offered to wait the customers at the airplain door or at least I understood like this Actually the person that received us was waiting for us at the baggage claim aerea We wouldn t get lost in this terminal in Paris It s not Schiphol airport or Frankfort but customer expect something special and even the person was very kind and attend the service is not as special as we expected Also in our trip back to the airport the driver dropped us at the wrong place and we had to walk a bit to find the right place to drop out luggages we were waiting that the driver would escort us till the check in area For a service that cost 290 and 160 there are taxis and other kind of transport services that for much less they perform better and more professional Summarizing Big prices for very normal services The room was good I would say better than normal For a luxury room it was not as good as I saw in my trips for rooms with the price this room had Again I m use to this kind of prices but it s too expensive I think the customer only pays for the location Excellency is something else and I didn t get this in my journey , Very well located hotel boutique hotel If you are familiar with the cold bussiness environment where people even don t look to you this is your hotel If you are looking for a warm hotel where you can feel the people forget it The staff is very nice good concergerie I would put more enphasys in the arrangement and quality of the activities that the concergies organice In my case through booking I made a couple of requests and they were not excellent as I expected for this kind of hotel examples bouquette of roses with an inscription as it was my wedding anniversary the roses were old and not very elegant and the inscription that I requested to put I with the flowers was forgotten Really a pity 2 we arranged a guide with the concergie to take us around in Paris with a chronological trip as said we needed a very simple but nice journey as it was the first time of my partner in Paris above the cost of the arrangement that was exaggerated I was expecting even a super special and well prepared person the trip was as I say correct let s leave it like this my knowledge of the city and historical background was I think better We repeated the tour with one of the guys that makes free tours and it was much much better and professional All the respect for the guide Sophie She was amazing as person but she didn t perform as well as we expected for the price 390 
177949,Grand H tel Du Palais Royal, Rooms too small even the deluxe Too pricey Only give water in evening at turn down service, Fab location Comfy beds Staff friendly Views onto central courtyard
177950,Grand H tel Du Palais Royal,No Negative, Fantastic location near the Louvre Terrific staff and concierge who recommended a fantastic cafe around the corner I would highly recommend the hotel and wish we could have stayed longer 
177951,Grand H tel Du Palais Royal, Value for money is extremely poor Breakfast is simple Mini bar prices are laughable Room is very very small, Location is very good Just a few steps away from Louvre and Metro
177952,Grand H tel Du Palais Royal, Nothing, Everything especially the staff Staff were attentive and very helpful They were so kind as to upgrade us to the homeyroom suite Beautiful room 
177953,Grand H tel Du Palais Royal, The wait staff and room service although good could be improved , The staff is very friendly and very knowledgeable Front desk and concierge attentive and result oriented They made us feel very special 
177954,Grand H tel Du Palais Royal, The only thing we weren t that happy with and it s not really the hotel s fault is that the rooms the basic standard size are extremely small and there were few places to put our things We were packed for a two week trip and things were tight They did however provide us with a rolling rack on which to hang stuff so it ended up working out ok , The hotel is beautiful and located between the Louvre on one side and the Palais Royal on the other Even though we didn t visit the Louvre we found the location to be ideal for walking to different places We were originally going to stay in the Invalides area and are glad we decided not to The hotel was exceptionally clean and elegant yet not over the top Very tasteful The staff were so nice and accommodating and helped us with all of our questions A simply wonderful experience 
177955,Grand H tel Du Palais Royal,No Negative, Perfect service and wonderful suggestions from the concierge Great breakfast We had a small but cosy and clean room with a relatively big bathroom Excellent location for going by feet and public transport Would definitely come back and fully recommend 
177956,Grand H tel Du Palais Royal,No Negative, The staff and property were wonderful This is my favorite hotel in Paris Tasteful discreet intimate layered and very causal yet sophisticated I plan to be back in the Fall 
