,Hotel_Name,Negative_Review,Positive_Review
315636,Grand Hotel Downtown, I am picking hairs as it was fab room slightly small compared to balcony and no teaspoons only wooden sticks, Great balcony with amazing views Modern spacious room Nice location close to town but more local feel
315637,Grand Hotel Downtown, Air conditionning we felt cold even at the max temperature 25 C One of the receptionists gave us false or inappropriate indications, We liked the breakfast The position of the hotel was great several tram lines go through the hotel road If you prefer biking you can rent some in the hotel Reception 24 7 with a lot of services available such as museums tickets tram tickets etc 
315638,Grand Hotel Downtown, Family room beds wasn t ready Super expensive car park and u have to pay for extra for later i think 40 for car park is too much , Good location and clean room
315639,Grand Hotel Downtown, Busy mornings you have to wake up early to get the full breakfast They try to fill the finishing foods but it may be better for such 4 star hotel , Location is perfect if you are aiming to visit the park museums and at the same time close enough to the center of city this is a perfect hotel Rooms are in the first floor since the upper floors are penthouses windows looking for the interior garden Rooms are clean quite and peaceful to rest but just ten minutes walk you are in the center of the city We love that part so much Beds are so comfortable so you can rest the whole day of walking by sleeping at nights Bathroom and shower is also clean new and perfect Breakfast is good enough for such a hotel 
315640,Grand Hotel Downtown, Room was not cleaned on the second day of our stay I contacted reception twice before fresh towels and toiletries were delivered but used towels were left in bathroom and bins were not emptied ,No Positive
315641,Grand Hotel Downtown, It would be great to add a portable ceiling Garden Umbrella on the terrace Penthouse rooms to protect from rain which will greatly allow guests to enjoy the terrace during rainy days The price during high season is just too pricey and it should be reconsidered given that the rooms are getting old and require full maintenance and renovation , Location is great very nice shops and restaurants around close by most attractions Public transportation stops are just few steps away This is my third time staying at the hotel and I would highly recommend it 
315642,Grand Hotel Downtown, Each day we had to ask for tea and milk and our room although was nice enough could have been sorted better TV was not too good , Excellent location 20 mins walk to the Museum Quarter Very good value Would recommend 
315643,Grand Hotel Downtown, The hotel rooms weren t extremely clean the floor was gritty and the room was dusty and the duvets had hairs on them but the room was presented nicely Do not waste your money buying breakfast as it is extremely limited and although the food was in a warmer it was all stone cold , It was modern with excellent Wi Fi and it was very quiet Good aircon in rooms Staff were extremely helpful and accommodating and you could buy tickets for public transport and trips like the canal trips via the reception at discount prices The hotel is a 5 minute walk from 2 main tram lines 
315644,Grand Hotel Downtown, everything ok the location is a bit worse than hotels we stayed previously but also the price is much lower but still everything is in walking distance, nice clean enough space helpful front desk
315645,Grand Hotel Downtown, There isn t really much of a common area Which I think is always a great thing to have , The private rooftop terrace was beautiful and definitely a nice place to get away Bed was comfortable and well suited to our needs 
