,Hotel_Name,Negative_Review,Positive_Review
81591,Grand Hotel Saint Michel, The double bed was two twin beds put together so the seam in the middle of the two mattresses was a bit uncomfortable , Staff were amazing particularly Clothilde The facility was very clean and staff responded to requests quickly Breakfast was excellent 
81592,Grand Hotel Saint Michel,No Negative, Our stay was lovely the staff very friendly and knowledgeable We were close to the Latin quarter so seeing the sights around Notre dame and the Louvre was convenient We had to use the hop on hop off bus to see everything else but that s a great way to see Paris Recommend it to anyone 
81593,Grand Hotel Saint Michel, Room view Bed comfort Neighbours other guests were fighting having an argument and slamming doors throughout the night from 4am until 8am , Location Modern decoration Coffee machine
81594,Grand Hotel Saint Michel,No Negative, Our room was upgraded and had a balcony with a sitting space inside Small quarters but very comfortable Staff at front desk was extremely helpful especially with restaurant recommendations 
81595,Grand Hotel Saint Michel, Nothing negative , Amazing hotel in a marvellous district of Paris The room was very comfortable the amenities in the bathroom were excellent The reception desk was exceptionally friendly and immediately offered me fresh squeezed orange juice and coffee with excellent p tisseries on the next day everything on the house No reason to choose another hotel in Paris 
81596,Grand Hotel Saint Michel,No Negative, We were so pleased with everything The staff was extremely helpful My husband and I loved the workout room A member of our party has a disability and his accommodations were perfect for him 
81597,Grand Hotel Saint Michel, Room space was adequate only for Paris standards but I suppose most people are aware of these limitations when they are looking for accommodation in Paris, Nice hotel in one of the best neighborhoods of Paris Excellent and extremely polite staff in all hotel positions Breakfast area and quality We received a room upgrade and we were also entitled to breakfast as booking com genious members
81598,Grand Hotel Saint Michel,No Negative, The room was excellent The balcony was an added bonus Loved the toiletries provided in the bathroom Location was great too easy to get around anywhere in Paris with the option of Metro or the RER Near to St Germain Luxembourg garden and to the Notre Dame Overall an amazing stay wish I could stay longer 
81599,Grand Hotel Saint Michel, the spoon is not provided in the room room a bit small but it is paris style, place very safe and within walking distance to most tourist spots staff very friendly
81600,Grand Hotel Saint Michel, No coffee tea facilities available in the room No cancellation date change available despite high season and several requests with several months notice My fault as did not review booking but unfortunate as room would was sought by other potential guests Difficulty with TV reception , This friendly hotel was located in a convenient location Close to Latin Quarter Metro and buses Classic room was small but comfortable The hotel provided afternoon tea in the foyer which was a bonus and filtered water was available The staff offered helpful advice and useful suggestions Nothing seemed too much trouble This was my second visit 
81601,Grand Hotel Saint Michel, Air con broken one piece of soap for 2 provided for 3 nights Customer service marginal disinterested shrug of shoulders when assistance requested, Good location good breakfadt
81602,Grand Hotel Saint Michel, Be aware there is no kettle in the room but there is tea served on the ground floor every afternoon , What a beautiful little hotel We stayed in a Superior Room which was whilst a little small very well appointed and tastefully decorated much like the rest of the hotel As a Booking com genius member breakfast was included in the room price and was served in a lovely converted wine cellar downstairs All the staff were very helpful and friendly however I must mention one in particular Clotilde who was extremely helpful and more than willing to go above and beyond Very highly recommended 
81603,Grand Hotel Saint Michel,No Negative, I have stayed in the property for 2 nights 13 14 05 2017 and I have to say that the hotel is in an excellent location great area close to most of Paris s attraction shops pubs there s a great Irish Pub right beside the hotel very easy to travel from even by foot The service was worth every penny with very friendly staff and professional approach and extremely helpful First time in Paris so didn t know what to expect but was an unforgettable experience and my choice of the hotel couldn t of been any better Superb I will be back again there 
81604,Grand Hotel Saint Michel, Nothing it was great , The breakfast was wonderful staff delightful and the gym facilities were such a plus after traveling for so long Very easy to walk around to major sights from this hotel as well 
81605,Grand Hotel Saint Michel, Would have been nice to have a small bar , Within easy walking distance of shops and restaurants Some of the sites were a little far we are older but taxis were reasonable 
81606,Grand Hotel Saint Michel, Hammam facility doesn t meet my expectations so I cancelled the reservation , Great location in Latin quartier closer to Notre Dame and walkable distance to St Germain Cozy bed Clean Nice breakfast in a cozy atmosphere restaurant Free afternoon tea time Kind staff
81607,Grand Hotel Saint Michel, Honestly can t think of anything I didn t like about the hotel , The service was top notch We didn t speak the language so getting around was a concern of ours but the staff made it extremely easy Their recommendations for food should not be missed because they never fail to impress The bed was warm and comfortable with pillows like clouds The tea time in the lobby was a nice way to rewind after a long day and before dinner I have been all over Europe a dozen times and this is my favorite hotel so far 
81608,Grand Hotel Saint Michel, Room a bit small but typical for a city centre tea coffee maker in room would be a bonus , Good location great staff nice facilities and very clean 
81609,Grand Hotel Saint Michel, little bit noisy at night, comfy beds with nice bedding great location with metro a couple of minutes away and within walking distance of sights lovely helpful staff couldn t ask for more
81610,Grand Hotel Saint Michel, Room was tiny despite paying extra for a superior room I am from Ireland and apart from news no English speaking channels but they had other language channels Wifi only worked intermittently, Excellent breakfast Very helpful staff re sight seeing and local restaurants Easy to navigate city via local metro stop Avoid Moulin Rouge its an overpriced joke
