,Hotel_Name,Negative_Review,Positive_Review
495282,Grand Visconti Palace, The hotel rooms don t have clocks I had to rely on my phone for the time, The hotel staff were wonderful very friendly and helpful with my touristy questions 
495283,Grand Visconti Palace, Arrived at the hotel at 14 00 for check in but our suite was not available until 17 30 very bad managed by the reception staff Me and the family had to sit and wait at the hotel for 3 1 2 hours to get our room with only a excuse as compensation Hotel concierge later offered a fruit basket which at least the kids loved , Nice hotel rooms garden and pool Close to the subway which makes it easy to see the city Hotel concierge Bernie Gallotta made our stay excellent 
495284,Grand Visconti Palace, It cost 15 for two of us to use the swimming pool Pool was quite cold and the jacuzzi was like a bath 29 per night to park , The service over all comfort level cleanliness 
495285,Grand Visconti Palace, The hotel is not a cheap one and they charge extra for using the Pool Free Wifi is so slow you can hardly use it They offer a faster option but against additional payment , Coffee services during breakfast Underground parking garage Only 2 min walk from the metro station
495286,Grand Visconti Palace, The swimming pool didn t open until 10 am We were travelling through milan and an early morning swim would have been great for the kids but it did not work out that way , It was fancy the staff was nice good breakfast The concierge helped us by recommending an great restaurant 1 block away we had a great meal 
495287,Grand Visconti Palace, The price of hotel is not so higth but not cheap either We just get disappointed because of we must pay 15 extra per person to use the pool , Nice location room is comfort staff is friendly
495288,Grand Visconti Palace, Jacuzzi in spa wasn t that great , Hotel was really nice and ideally located to Lodi T I B B metro Room was nice and bed was comfortable Rooms were soundproofed too so I had a great nights sleep The pool was lovely to use and quiet and benefitted from a sauna and steam room Staff were helpful 
495289,Grand Visconti Palace, Product quality at breakfast can be improved It was very hard to get the iron machine in the room Seems was the only one available in the whole hotel The bed was juge but was made of two single beds joined Once in the middle it was easy to split them apart , Thr staff was very kind Metro is nearby Rooms are cozy 
495290,Grand Visconti Palace, Breakfast is sub standard for this price class What you would expect in a 70 holiday inn most fruit from tins bacon not enjoyable no fresh juice eggs boiled to death scrambled egg from the bucket Official breakfast time until 10 30 At 10 20 gardeners started mowing the lawn very noisy and completely ignoring the many guests still having breakfast Everyone was a bit shocked not used to this in a hotel of this price class Felt like comedy, Nice building Good coffee
495291,Grand Visconti Palace,No Negative, The SPA area water in the swimming pool pleasantly warm and even warmer in the whirlpool the SPA experience was super relaxing and reinvigorating Also the restaurant had very good dishes and excellent service 
495292,Grand Visconti Palace, The pool area is not included in the price of the room 15 2 day The pool is verrous The deckchairs are vetuste The jaccuzi does not work properly The hygiene of the cloakroom is completely to review The staff comes with shoes in the pool area This is really disappointing More can send emails requesting an explanation but no continuation Do not expect a quick return This is not a 4 star hotel at all The rooms are pretty good Small bemol when has space that is too small Perfect breakfast , Room and breakfast
495293,Grand Visconti Palace, Nothing to not like, Absolutely fantastic experience of luxury From the first moment we entered the hotel we had such a great personalised experience Staff were attentive and facilities second to none 
495294,Grand Visconti Palace, The staff wasn t very friendly helpful or even welcoming Front reception people avoided eye contact and I stood there for a long time while he was busy staring at a computer screen I dropped laundry at reception early Monday morning 3 guys there doing nothing and one was annoyed because I was supposed to call for pick up , Hotel is a short walk to metro for easy connections Very large rooms and well maintained 
495295,Grand Visconti Palace, Health Leisure Centre Pool should be open in broader schedules so people in business trips can take advantage of it as well 06 00 to 22 00 would be a great pool schedule , Really enjoyed my stay with the Hotel Staff was super nice and friendly and the hotel facilities were great 
495296,Grand Visconti Palace, The rooms looked a little worn out Chipped bathroom door toilet lid was broken The bathroom was not very well thought out Bathtub was very slippery and to make things worse the bottom was round The towel hangers were on the wall opposite to the tub The light wss not enough for shaving We wanted a bed for two persons with one mattress Instead we got two joined one person mattresses For a hotel that was 373 per night I would expect more This seems to plague most hotels in Europe, The staff was very friendly Very clean rooms Nice looking hotel and rooms 
495297,Grand Visconti Palace, wifi is a ridiculous free version is hardly able to send mails proper internet access is 10 24h attention you pay for every device After complaining the receptionst only replied in Italian , Direct connection to subway quiet rooms nice breakfast
495298,Grand Visconti Palace, Check out schedule was a bit early for us , Facilities were incredible staff very helpful The view from the living room balcony was magnificent We loved how it felt like home and not an hotel there was also a dog called Zeus walking around the cutest thing We had a welcome gift sent to our room and in the night you can stay in the palace living room when no one is around Breakfast was really good too Impressed 
495299,Grand Visconti Palace, I wasn t impressed with the immediate surrounding area but the hotels interior certainly made it worth it Still very close to the centre of Milan duomo area , The suite was amazing Nicest we have stayed in We didn t even go out our second night as we wanted to enjoy it Beds were so comfy and breakfast was beautiful Especially the scrambled egg Would love to stay again it was perfect 
495300,Grand Visconti Palace, Hairdryer was difficult to use especially for anyone with rheumatic or arthritic fingers , The room was clean spacious and most comfortable Housekeeping was excellent Linen changed every day Bed turned down every evening The Spa facilities were top class as was the swimming pool 
495301,Grand Visconti Palace, We did not realise there was a charge for using the spa facilities pool sauna and steam room It is a spa hotel so you would think using these would be included in the cost of the room especially as it was not cheap Book treatments in advance of going as they get booked up really quick , The hotel was amazing with staff who were couldn t do enough for us The breakfast was really good and set us up for the day the choice on offer was just wonderful The rooms were very plush and comfortable The metro was nearby so there was good access to the Duommo and the shops 
495302,Grand Visconti Palace,No Negative, Very good stay The staff in the reception dest is very nice and they had upgrade the room for me In a word it s very worthy to stay and the subway just in 2 mins walk Strong recommened 
495303,Grand Visconti Palace, We booked the hotel based on its lovely pool and spa and it wasnt until after we checked in that they told us we would have to pay 15 euro each extra to use it We didnt bother Booking com should make this apparent BEFORE customers confirm thier booking not in the smallprint of the confirmation email afterwards Also they were going to charge us 30euro for breakfast so we went to a nice clean cafe globe across the street and had a lovely croissant and coffee each for 4 euros in total I would recommend all guests do that , Cleanliness geandeur comfort
495304,Grand Visconti Palace, We appreciated the bargain rate we got for our stay At full price the hotel lacked the real character and style we so much loved elsewhere in Milan Pool and spa were under renovation and disappointing , Breakfast buffet was generous and varied Location great for central Milan and staff on the door helpful Central garden area must be wonderful in Summer 
495305,Grand Visconti Palace, A shuttle service to the city center would be good since the hotel is located a bit away from the heart of the town , We had a very comfortable stay at the hotel The concierge was very helpful and overall the service was good 
495306,Grand Visconti Palace, The bed need to be changed and we were really surprised by the poor quality of the wifi If we want to have a decent wifi we need to pay for it Same with the use of the swimming pool We have to pay for the entrance to the swimming pool and this is not what you expect from a hotel which carries the word palace in the name , Very nice hotel Very clean The breakfast was excellent and we enjoyed it very much 
495307,Grand Visconti Palace,No Negative, Unfortunately we didn t have enough time to enjoy facilities like wellness indoor pool and restaurant For the rest it is a really good choice for a leisure stay in Milan 
495308,Grand Visconti Palace, Which I didn t like to pay the parking fee because it was very expensive I accept to pay the parking fee but would be nice if the price is normal , The room and breakfast was really good 
495309,Grand Visconti Palace, A lot of signatures required at check in really looks like you re giving them permission to suck all your bank accounts Wifi connexion is also long, Great location great standards Great breakfast
495310,Grand Visconti Palace, Don t recommend the bar menu If you want a light snack go out, Breakfast was excellent Good coffee Location is for metro stops from Duomo Metro is easy to use and the ticket menu has options for English French Italian and others 
495311,Grand Visconti Palace, The only bad thing is the surroundings it s a bad area for such a nice hotel , The room and breakfast were very nice The night receptionist very friendly and professional Beautiful building 
