,Hotel_Name,Negative_Review,Positive_Review
232333,Grange Rochester Hotel, i would have preferred my expenses to be added on to my room bill i had to pay as i went along for wine ect , location and the staff were accommodating
232334,Grange Rochester Hotel, See above, The location was good Off main roads so quiet except our room looked out over another building and their windows One of them must have been someone s WC because they were often nude So we had to keep our curtains closed which made it quite warm in the room Also we had 3 twin beds in a very small room No place for luggage or to walk dress 
232335,Grange Rochester Hotel, Would be nice if they offered breakfast but at least there are tea coffee facilities in the room and no breakfast is preferable to a bad breakfast , Nice room layout Loved the spacious and pretty bathroom with bathtub 
232336,Grange Rochester Hotel, This was labeled a 4 Star hotel yet no A C only two outlets one of which was by the door so not useful no coffee maker no iron barely any walking room We had a triple room for myself my husband and 16 year old daughter we each got a tiny twin size bed one of which was a spring mattress cot Bathtub glass door rubber bottom broken so water leaked all over the floor Truly one of the worst hotels I have stayed Stayed at another 4 Star hotel in London few days prior with a complete opposite experience so I am comparing hotels within the same city , Nothing
232337,Grange Rochester Hotel, Hotels in London in general are overpriced, Hotel is very well located some restaurants are nearby which is convenient when you are arriving at midnight
232338,Grange Rochester Hotel, I chose this hotel for a special weekend away with my wife I had stayed at other Grange hotels on business and based on this positive experience I opted for the Grange Rochester I disliked my trip for three reasons We were staying in a poky top floor room with sloping ceilings I am 6 4 and it was claustrophobic to put it mildly We didn t wish to spend any more time than absolutely necessary in that room While the room was reasonably appointed it was shabby in parts and in need of a refurb as well as being cramped My second disappointment was during check in when the receptionist beamed at two other guests and told them the good news that they d been upgraded to a better room This only exacerbated my disappointment at our room especially on a special trip I appreciate that not everybody can have an upgrade but there must be a more discrete way of telling the lucky guests who do perhaps take them to one side etc Thirdly we arrived before our room was available for check in It was a very hot day and we opted to wait in the air conditioned bar and have a coffee It was impossible to find anybody to serve us and I had to go to reception three times before a waiter finally appeared ,No Positive
232339,Grange Rochester Hotel, There was no air conditioning During a heat wave in the summertime proved to be a tad uncomfortable , Comfy beds great bathroom nice large windows loved the lobby bar elevator everyone was nice 
232340,Grange Rochester Hotel, No air conditioning was very hot so could not sleep all night opened windows but noisy road Also no where to get snacks or cold drinks my grandson and I had to walk outside and find somewhere to get snacks and cold drinks , location was good within walking distance of Westminster and Victoria station
232341,Grange Rochester Hotel, Old Old Old Room needs a refurb The bed was low on slats and was one of those flip up to the wall type Creaked and felt like it could collapse at any time especially with duct tape all of the legs The shower was poor and a huge step up into the tub , Location was good and room looked out on to a lovely green square 
232342,Grange Rochester Hotel, Not aware of room size when booking was made Very small bathroom Shower in bath TV did not work even after switching on the plugs Not easy to make a cup of coffee, Proximity to tourist attractions
232343,Grange Rochester Hotel, No air conditioning on the hottest weekend of the year but appreciate the weather in the UK is rarely like that Disappointed at the fact that the wine bar closed really early when we would have eaten there every night because the food was so good We ve stayed here two years on the trot and would have stayed again the same time next year however I m disappointed that the price seems to have trebled for the same time next year so we won t be returning , Value for money location fabulous the food in the wine bar attached was fantastic 
232344,Grange Rochester Hotel, The cost of breakfast was extortionate even for London so we ended up at a coffee shop down the road I booked a twin executive room via booking com which advertised a balcony standard twin had same facilities except for a trouser press balcony Upon arriving at the hotel we entered our room to find we had been given a standard room and all executive twin rooms were fully booked the staff stated that executive was based on the size of the room not whether a balcony was included hence why I believe this is false advertising on booking com Staff ended up putting myself friend in a double room with balcony which we were happy with , Quiet location Nice view of the green Staff were very friendly After being provided with the incorrect room the staff we re accommodating resolved the issue 
