,Hotel_Name,Negative_Review,Positive_Review
85269,Grange White Hall Hotel, The check in process was very slow and made us run late for a booking we had made after The rooms didn t have air conditioning and was very hot we had one fan for 3 of us which didn t do a lot , The location was good and we could walk easily to Covent Garden 
85270,Grange White Hall Hotel, The bar area was shabby and disorganised The glass lift while being the centre piece of the hotel the glass and shiny bits could do with a clean 17 99 for a continental Breakfast And no air conditioning boiling hot , Reception on arrival and departure were very helpful Room was clean 
85271,Grange White Hall Hotel, Breakfast was too expensive I try to stay in this hotel every time I visit London I found that the room was in need of maintenance in the bathroom large wet patch on the ceiling and the shower recess needed re grouting or cleaning properly Mould The bed needed to be change very old and worn plus the mattress protected was for a single bed and not a double No ironing board and iron as standard 70 for breakfast well out of the ball park for this Hotel Was not as expensive as this the previous times I stayed in this Hotel I will not be returning , convenience of the Hotel to transport theatre and other venues 
85272,Grange White Hall Hotel, In the peak Summer months I imagine the rooms would be quite hot , The location was excellent for the purposes of our trip which was to visit the American Embassy and meet up with a family member The hotel was good value for money and the staff friendly helpful and efficient 
85273,Grange White Hall Hotel, Everything The room was full of flies when I got inside There was no air conditioning and since the place was hot they left the window open All very well then buy a flies screen My room was close to the elevator and the wall made a lot of noise when the elevator was functioning waking me up constantly during the night the carpet was dusty and the bathroom was in desperate need of redoing They should not call it hotel and not charge more than 50 pounds per night I believe even hostels would be more glamorous than this , The position is the only reason of being of this place Stuff quite nice at the reception 
85274,Grange White Hall Hotel, Pricey a bit Breakfast was 20 pound So we didn t bother with that No other complaints Beware of the noisy bottle disposal across the road once a morning though , Bed and pillows were comfy room was super clean perfect for our 3 night stay would stay longer So quiet near a beautiful little Park Near central and picadilly line walking distance
85275,Grange White Hall Hotel, Nothing, Nice helpful friendly staff we were able to store our suitcases whilst out shopping We were upgraded to a better larger room the facilities were very good nice products in the bathroom and tea coffee facilities 
85276,Grange White Hall Hotel, The Bathroom floors are really slippy , The Beds are comfortable We asked to stay the Main Hotel and we were put in the main hotel which was good Staff were happy to help get a Taxi for us when leaving the Hotel The street is quiet and its easy to get to sleep Ask for a room overlooking the gardens for a great view We didn t book a Breakfast but the service is Buffet style to suit everyone every year when we stay in London we book this Hotel and will continue to its location if brilliant and the area is quiet But within easy walking distance of bars restaurants and Russell Square Tube 
85277,Grange White Hall Hotel, Sound insulation between floors wasn t so good we could hear movements of the occupants of the room above us Otherwise the room was quiet overlooking the back of the British Museum to rear , Friendly and helpful staff and excellent location in leafy area just off Russell Square 15 mins walk from Euston and again 15 mins to theatre purpose of our visit 5 mins walk to Russell Square tube to connect to further parts of city Lots of places around this area for breakfast a lot cheaper than the hotel breakfast which wasn t included in the room rate 
85278,Grange White Hall Hotel, The location ease to get there and the park across the road the bed and pillows were to die for , The room was extremely small little space in the wardrobe and the television was inadequate 
85279,Grange White Hall Hotel,No Negative, Great little hotel in a fabulous location 5 minutes walk from Russell Square tube and easy access to central London attractions Area is beautiful and quiet the hotel reception areas are clean and classic and the staff are friendly and helpful The room was a decent size with very comfortable beds only down side was that it was very warm but the windows opened so not a real problem The bar prices were also surprisingly reasonable for central London 
85280,Grange White Hall Hotel, We arrived at 22 30 on a Sunday evening I had specifically booked this hotel because I had stayed in other Grange Hotels and had great experiences and I wanted a 3 bed room not a pull out sofa bed The description of the room and photos showed 3 proper beds but when we arrived I found a double bed and a pull out sofa bed with an awful metal frame and no mattress When I enquirers about the discrepancy I was told I ll just finish cashing up and sort it out We also wanted something to eat and when I asked at reception I was shown a website of fast food places that will deliver to the hotel I asked if there were any restaurants nearby that would still be serving food I was told I don t really know Seeing as how we couldn t go to sleep because of the lack of the 3rd bed we decided to take a short stroll to see what we could find Within 2 blocks of the hotel we found a lot of restaurants with last orders at 1am How can front desk at a hotel not know the surrounding area Customer service by the night staff was completely unacceptable Overall the hotel is fairly run down and tired and it was not at all what I expected from a Grange Hotel , Not very much 
85281,Grange White Hall Hotel,No Negative, Fantastic location quiet side street right next to British Museum Comfy large room fresh air nd large windows looking out onto the back garden I rate this an excellent 10 a great bargain for the money Terrific walkable neighborhood with many restaurants boutique shops and pubs to visit Nice bar and restaurant downstairs In hotel super helpful staff easy access to anywhere in the city Tube stops nearby Russell Square 1 2 block away I will be staying here again Loved it 
85282,Grange White Hall Hotel, Found a hair on my bed and a couple in the bath Also TV guide on tv didn t work which made it tricky to find what is on being picky though , Comfy bed very friendly staff great location
85283,Grange White Hall Hotel,No Negative, The staff were really helpful The bar was open 24 7 and the rooms were well kept with all the extras you would want from a hotel The offer that I got from Booking com was exceptionally good value for money given the location so close to Covent Garden and there was a beautiful park a minute walk down the road Compared with the other prices of other hotels in the same area this four star hotel was amazing for the price I got 
85284,Grange White Hall Hotel, Didn t like the price of the breakfast and also when the person upstairs was having a shower the noise was horrendous thankfully it wasn t too early in the morning , The room was small but nice 
85285,Grange White Hall Hotel, Nothing, Stayed for one night Big room with bath and shower Good selection of tea and coffee in the room Comfortable beds and clean Trouser press in room which I used Staff were so helpfull Very quiet rd for London Only thing is we couldn t figure out how to keep the window open as it kept sliding down and couldn t see a catch But room was a nicer temperature anyway Highly recommend
