,Hotel_Name,Negative_Review,Positive_Review
162278,Great St Helen Hotel, The room was small by American standards and we also brought an infant The hotel isn t kid friendly so unless you are ok with your toddler or kid sleeping in your bed this isn t the place for you There is massive construction going on six days a week outside so if you are looking to sleep in probably isn t going to happen Because it s the financial district nothing is open in this area on the weekends Had to take a taxi to get a coffee , Stafff was very accommodating hotel is located in the center of financial district Complimentary snacks and waters in the mini fridge Walking distance to great restaurants pubs and Tower of London 
162279,Great St Helen Hotel, Wifi went down at night time but no fault of the hotels just unlucky timing , Staff were really helpful and even picked up chocolates as I booked the room for my boyfriends birthday Room was super clean and shower was amazing 
162280,Great St Helen Hotel, our shower flooded the entire bathroom floor every time it was used and we had to use a mop for it after use because we had a wheelchair accessible room The sink in our room was very small and water would splash out onto the floor There was construction work right outside our room which was very noisy early in the morning , The room was modern spacious and comfortable with useful amenities The location was great and the rooms were cleaned daily 
162281,Great St Helen Hotel, The room was one of the smallest I have ever had Everything small bed pillows towels No room for a chair so nowhere to sit except on the bed with knees almost against the wall The shower room was really tiny Not even roomy enough to dry ourselves after showering Storage space very small also , Everything was very clean We had a good TV free wifi tea and coffee and plenty of free snacks in the fridge though no breakfast available The shower was hot and powerful The location was handy for Liverpool Street Station and the Tower Pleasant staff 
162282,Great St Helen Hotel, cannnot complain great location and room for the price, Stayed one night for a concert at Shakespeares Globe Great location and great price Walking distance from Liverpool street station and London bridge Fine for one night small room and on ground floor building works outside at 8am suppose that cant be helped and Bed was lovely and comfy so had a good sleep regardless Great choice of refreshments which made up for lack of breakfast cereal bars biscuits cookies and nuts all included in room Great find would def stay again 
162283,Great St Helen Hotel, 1 when we were there there was construction just next to the room you can hear the noise from the construction and the street 2 one of the rooms I book is just on the ground floor seems there is a wrong design on the bath room there is no difference on the level of the shower nor the barrier so the water flood the whole bath room funnily they provided the broom to sweep the water from the floor, 1 I like the colors ambiance of the room 2 the staff was very attentive to all our questions before and during our stay 
162284,Great St Helen Hotel, No place to open the suitcase other than the bed , Very good location just a 5 minute walk from Liverpool Street station But be careful as it is a but hidden behind some works I booked a double room which was comfortable and clean It had a fridge and a safe The bathroom was fine but no space to put your toiletries The room also lacked a place where you can open the suitcase Service was good and wi fi fine Good value for money for London standards 
162285,Great St Helen Hotel,No Negative, Lovely clean modern rooms with great bed and wifi No breakfast but snacks and coffee in the room free of charge Muffins buiscuits peanuts breakfast bars etc More than enough to set you on your way for the day 
162286,Great St Helen Hotel, Option for breakfast would have been nice but not a big deal Wouldn t like to share a room that size as they are compact but fine for one , Nice compact room almost pod like Good shower and complimentary toiletries Tea coffee and nibbles in the room 
162287,Great St Helen Hotel, Nothing but would have been very small for 2 people, It was a stopover Very close to Liverpool street station Very clean modern and comfortable good shower Very pleasant sraff and very welcome tea coffee and snacks free
162288,Great St Helen Hotel, Finding pubic hair in the sink upon arrival Quite noisy due to lots of building works around the area Broken bathroom blind Dirty cushions on the bed and no mattress protector on the bed just a sheet tucked in The bedroom was tiny the smallest I have ever been in I was too tired to bother the lady on reception and couldn t call down using the internal phone , Very comfortable bed and nice bathroom Good powerful shower Good little mini fridge with snacks 
162289,Great St Helen Hotel,No Negative, Smart hotel in a great location Air conditioning was very welcome on one of the hottest nights of the year Staff were friendly and it s reasonably priced in comparison with others 
162290,Great St Helen Hotel, Reception set up is a little strange as there isn t one and always have to re contact them for an invoice afterwards but they always send this fairly swiftly , Really convenient for a business for the location to ERM offices
162291,Great St Helen Hotel, The window in the room did not shut so the loud work noise across the road could be heard The room was tiny and the wardrobe was not big enough to hang your clothes , The location was really well situated for where we wanted to be Walking distance to main attractions such as the London eye The room was lovely and clean and the air con was a blessing as it was 28 degree outside 
162292,Great St Helen Hotel, To check my credit card they charge me before coming and then returned the money however this operation cost me 30 Euro because of exchange rate , Location and staff
162293,Great St Helen Hotel, I had a basement room at the front The construction of the new building opposite goes on 24 hours so very noisy I suspect this will be ok once finished The room is very small but not dissimilar to other local hotels in the city The immediate basics were clean I e slink shower furniture and bedlinen but the rest was filthy Thick dust on top of the skirting boards all the corners full of dust and debris The phone did not work and there was no extra way of locking the door so I felt a little vulnerable on my own The Bed was rock hard and I like a hard mattress normally So I had a bad nights sleep due to the hard bed and the noise and do not intend to stay there again in the foreseeable future , In a good city location 
