,Hotel_Name,Negative_Review,Positive_Review
382536,Guitart Grand Passage, Take care the hotel brings you to a very old dirty and worn out room If you do not complain it is up to you If you complain you are offered a better room still with problems , The room has good space 
382537,Guitart Grand Passage, Nothing to not like , This hotel is a gem beautiful and huge rooms with a stunning balcony There were no parking spots left in the hotel garage but they gave me a coupon to park at a garage just 1 2 block away where the management was lovely and accommodating The hotel is an easy drive from the highway and only 20 minutes to the airport When I went to collect the car at 7 30 a m the next morning it was waiting for me Since I had only the afternoon to explore Barcelona I took both routes of the Hop On Hop Off bus with a stop right across the street from the hotel for the orange line I would gladly book this hotel again 
382538,Guitart Grand Passage,No Negative, The bathroom was lovely it wasn t noisy at night even though we were facing the street They gave us a choice of a sheet as it was summer or a duvet if u felt the cold 
382539,Guitart Grand Passage, Breakfast really bad The pic shows all hot food they provided We dont even go to eat even we paid already Safe was not free to use house keeper enter my room three times without my permission , Nice location warm staff big room and bathroom 
382540,Guitart Grand Passage, Reception on arrival not helpful No orientation provided Was not made aware of lobby welcome refreshment Limited complimementary coffee in room No instruction on ac use Expected more for price,No Positive
382541,Guitart Grand Passage, The plumbing could be better as had problems with water draining and not the best shower in the world hot then cold and then hot again but minor thing The fridge was very dirty and we had to clean it before using it , Great location easy to get to all areas of Barcelona good reception area The hotel has free wifi which is good welcome drinks in lobby We didn t use hotel for eating as so much in local area to experience Very large room with good balcony and bonus to have a fridge Lots of supermarkets shops restaurants and the best pizza takeaway just round the corner New York Pizza amazing guys pizzas cooked to order 
382542,Guitart Grand Passage,No Negative, room a good size but a bit sparse in furnishing Lacking in information about the restaurant and facilities on offer On balance very well positioned and opposite an excellent Tapas bar and restaurant Would go there again
382543,Guitart Grand Passage, A bit noise at night but acceptable price is a bit high the entrance to room is super narrow overall I have no complain about the hotel , Near to famous shopping street many good restaurant nearby friendly and helpful staff big room with balcoy breakfast is excellent although not many varieties but in very good quality good wifi excellent hotel
382544,Guitart Grand Passage, I found the boiling bottle had remaining tea inside door to toilet cannot be closed glass door to the balcony is actually not a door but an half open window shower water changes from warm to cold unexpectedly breakfast is far below 4 star standard Parking is extremely expensive unlike other hotels which usually offer free or much lower cost for parking Though not very far to scenic spots it still needs a 10 20 minutes walk to the nearest one over all I don t think it is worthy for such a high room rate , big room with balcony they had a very good waiter serving during the breakfast smiling all the time and willing to help upon any of your request 
382545,Guitart Grand Passage, We had over bath shower It was difficult to get In And out of because shower panel opened near toilet and there was nothing to hold onto as the bar to help isn t placed very well, Room was clean and spacious
382546,Guitart Grand Passage, Various problems with the rooms booked by our group Not sure if the staff didn t know their jobs or didn t care This was not a language problem as we understood each other perfectly Many faults were reported by our group lights not working broken tap shower held up with a cable tie Nothing ever done about any of the problems and when reminded simply said yes we have a note of it Took nearly half an hour to check out as the member of staff couldn t get my card to work in the handheld card reader There was no problem with my card just that she didn t seem to know how to operate the machine She became fed up placed the blame with me and asked me to pay by another means as she couldn t take payment Eventually 25 minutes later another member of staff finally pushed the correct buttons and hey ho it worked fine No apology Kettle in the room but nowhere near an electrical socket so had to balance on the bedside cabinet Nespresso pods provided nothing else but no Nespresso machine No fault of the hotel but this is the financial commercial district of Barcelona fine for business but not a leisure trip , Large Junior Suite Comfortable Bed Nice sized bathroom 
382547,Guitart Grand Passage, We had a room on the first floor During the nights over the weekend there was quite some noise until long after midnight As a result it was not easy to fall asleep unless you are very noise resistant, Very kind and helpful personnel Excellent location with various stops from public transport bus metro Big comfortable rooms Very nice and big breakfast buffet 
382548,Guitart Grand Passage, Nothing , The executive room was great very spacious and all amenities The bed was very comfortable great after all the sight seeing The variety for breakfast was excellent Staff were friendly It was only a 10 minute walk through lovely streets to the metro It was very handy on the last day that they looked after our luggage so we could have a nice lust day prior to our flight 
382549,Guitart Grand Passage, The description on Booking com stated there would be a balcony but it was just a glassed area like a conservatory , The bedroom was massive Lovely and clean and a nice big bed
382550,Guitart Grand Passage, The breakfast was often stale and looked as tho it had been the same food from the day before Generally quite disappointed by the breakfast , Loved the whole experience All the staff and facilities were fantastic 
382551,Guitart Grand Passage, 80 ish style apartment Smells like old too In early May 17C outside 17C inside AC setup for summer No heating possible according to the receptionist Far from a pretended S hotel Apartment in close vicinity to an office room and a staff elevator are located or other machine from hell running from 6AM till midnight We asked specifically for a quiet room , Apartment s size was great Clean too 
382552,Guitart Grand Passage, Tea but no coffee in milk in room Tea was only replaced for a fee Kettle had no plug nearby so had to boil up in the bathroom Zip tie holding to shower head , Junior suite was lovely so large 
382553,Guitart Grand Passage, Every thing is fine in this h tel expect the room safe box It is available only if you pay a supplement This is not convenient and not usual for this class of h tel , Gr t h tel Spacious rooms
382554,Guitart Grand Passage,No Negative, Very nice hotel not fur away from downtown 10 minutes to the subway 20 minutes to Sagrada Familia Great design of hotel A lot of cafes restaurants and bars near the hotel 
