,Hotel_Name,Negative_Review,Positive_Review
85180,H tel Ad le Jules, We were offered an upgrade to a Deluxe room booked a superior at an additional 25 Euros per night with a balcony and coffee machine But the balcony was so small only one person could sit on it and no coffee was supplied for the machine we asked on 3 occasions for coffee pods and ended up buying them at a super market The extra charge was not justified we could have bought a coffee machine for that we stayed 6 nights We wish we have stuck with original booking and saved the money This has definitely affected our review of the Hotel and had they taken that extra charge off we would have given more smiles Very small breakfast area on 1 morning there was no where to sit on another morning there was no food left and no one seemed interested in helping put any out so we went out We had a great breakfast for the same price elsewhere 15 Euros , Good location very close to Metro and plenty of good restaurants close by
85181,H tel Ad le Jules, The room was small for two people with big suitcases but it wasn t unbearable , A lovely hotel with friendly staff We had a basic room which was quite small but very nice The bed was very comfortable A short walk to the metro and a big variety of restaurants Good wifi 
85182,H tel Ad le Jules, The main entrance is not easy to find and it s separated into 2 buildings The conceiage is a very small counter The room and lobby are all very small with a old building smell Poor facilities All the pictures on site are taken in wide angle It s not cost for money and there should be lots of choice is more convenience location with much better services facilities and environment I m very disappointed ,No Positive
85183,H tel Ad le Jules, Our room was by the front door and although the hotel is situated on a side street guests leaving early can be heard clattering their cases and talking , Bed was fab 
85184,H tel Ad le Jules, Strange bathroom arrangement with shower and toilet next to each other and shower head getting all the floor very wet , Very comfortable room beautifully decorated Very quiet 
85185,H tel Ad le Jules, Walls are a little thin you can hear people talking in nearby rooms but not enough that you can make out their conversation , The beds are very comfortable the air conditioning works well everything seems new Happy hour from 4 6 is a big plus The bathrooms and shower are large and comfortable by Parisian standards Staff are very helpful One block from the metro so you can get everywhere quickly and easily Our room had a wonderful view of the private street 
85186,H tel Ad le Jules, n a it was a lovely experience , the hotel is very pretty and beautifully located The staff was kind and helpful It was a business trip and I booked a suite for me and my colleague The staff helped us with sleeping arrangements 
85187,H tel Ad le Jules, The breakfast runs out very quickly so rather embarrassingly you re having to ask for more eggs more ham more bread I had a coffee machine in the room but only got 3 pods for the whole stay which were used rather quickly , very friendly staff great room
85188,H tel Ad le Jules, Beds are way too small The double room was too small and the beds were way too small , The staff was friendly and the place was kept clean The location was excellent 
85189,H tel Ad le Jules,No Negative, Great location Not too far from everything and tucked into its own little nook in the city The room we originally booked was not ready because we arrived a few hours early but they upgraded us and found a room that was ready 
85190,H tel Ad le Jules, The bathroom was so pretty but using the shower proved to be a challenge at first as the shower curtain is perhaps not adequate to contain the water or the fall of the bathroom floor is not enough Once we figured out how best to use it it was fine , Bed was comfy and room pretty and fresh with big windows looking out to the closed off street Staff were super friendly and helpful and overall it was a very pleasant experience 
