,Hotel_Name,Negative_Review,Positive_Review
220059,H tel Balzac, The room and corridor stank of cigarettes The smell was being pumped in via the air con it would seem Waking up to a choking smell of cigarettes was terrible , Breakfast was far from value for money in a soul less room 
220060,H tel Balzac, There was only one small issue with the room there was no coffee machine which now comes standard with pretty much all 5 star hotels Another small issue I faced was no help from the bellboy when putting furniture in to the taxi when leaving , The location was excellent It was off the Champs Elysees and a 5 minute walk from the Arc De Triomphe The staff at the reception was extremely friendly and helpful I was travelling with my pregnant wife and the reception staff did their best to ensure that she got the biggest room possible so that she would not feel claustrophobic and had space to walk around The room had beautiful French furniture and the bathroom was great 
220061,H tel Balzac, Not very close to the airport so manage your time before getting there and very far from the city center, A good place to sleep over you have an early flight clean rooms friendly stuff Macdonalds and a busstop just a few meters away
220062,H tel Balzac,No Negative, The staff is incredible and the location is everything You re steps away from the literal heart of Paris The area is very safe during the night as well I had no issue walking from the Tower to the hotel after midnight Ordered room service twice food was excellent and portions were very large My room had a nice view of the streets below and even though it wasn t a walk out balcony you could still sit on it a bit The only issue I had were in some minor details I had some issues with the room phone one of my lights didn t work and the tub wouldn t fill However I was out a majority of the day so I didn t really care The other issue i had was room services letting a door slam repeatedly while cleaning the room next to mine at 9am I actually had to get out of bed to tell them to stop so I could sleep it promptly subsided Taxi service is quick and easy and bike rentals are legit right outside of the hotel doors Tons of restaurants near by The bed will suck you in tons of fluffy pillows and soft bedding 
220063,H tel Balzac,No Negative, Wanted breakfast in our room prior to departure and staff neglected to collect the order that was hanging on the door handle as per instructions BUT when we mentioned the oversight breakfast was provided at no cost in the dining room which was brilliant Great place to stay 
220064,H tel Balzac, 2nd day of check in we found a huge size of spider in the bathroom we killed it but it was horrible during check in the lady on the a female receptionist was very rued with us not smiling antagonize us we do not know why and she gave us very smallest room with very small bed that could accommodate 2 persons not same what the size expected and reserved by us we called the a female duty manager next day inside the room and she saw the huge spider in the bathroom and we told her that we book a big room then she immediately moved us to a spacious room with a side view , location concierge was very helpful
220065,H tel Balzac,No Negative, Great Location the hotel is very nice and chic The staff is friendly and helpful A slight renovation of the hotel would be welcome though as it shows already some signs of fatigue But nothing critical so far 
220066,H tel Balzac, Booking website and in the description of the hotel it was mentioned this is hotel is a Boutique though it is 5 This is I think miss leading Not much variety of the food during breakfast and not worth to the value I paid The hotel is compacted with small corridors and small elevators The temperature of the shower water was hot and couldn t go to lower temperature , The staff were very helpful and found them do their best in making their customers happy 
220067,H tel Balzac, The room had a smell the Conceiage was very poor The worst part was the ability to hear everything in the next door room including what their entertainment choices were need I say more , Reception staff
220068,H tel Balzac,No Negative, I like the people who s working there especially Dune and Stephen they are kind helpful They are working from their heart I strongly recommend this beautiful hotel 
220069,H tel Balzac, This is not a 5 hotel It may have been in the past The d cor and feel of the hotel is dates a classic hotel which has seen better days , Good Location
220070,H tel Balzac, I booked a superior double room expecting a beautiful bed with a princess feel as the images suggested but was sorely disappointed What I got in reality was two large single bed mattresses pushed together which proceeded to slip apart through the night This along with other issues like broken door handles broken shower dials and inattentive staff at breakfast really ruined the entire experience particularly as the hotel was very expensive and booked as an extravagant 40th birthday present did not meet expectations ,No Positive
220071,H tel Balzac, They don t provide coffee and tea like all hotels Also they gave me my request in the next day of my arrival Moreover I rent the room with a big sofa I cam make it as an extra bed but they lied No sofa is available , The location is good especially it is closed to Shamps Allysa
