,Hotel_Name,Negative_Review,Positive_Review
121324,H tel Beauchamps, The service the stuff, The location is good right next to my office but the stuff is very bad I asked the reception for an empty glass for champagne to celebrate my husbands birthday they refuse to give it to me they said it s the roles in this hotel I went to the hotel bar to get the glass the guy said that I have to order a drink from the bar if I want to get the empty glass I was very disappointed Bad service 
121325,H tel Beauchamps, None it s perfect , We didn t expect how close Champ Elysse was only a small block away end of the street pastry shop restaurant bar and walking distance to Arch de Triumph 10 min and Eiffel Tower 20 min Bilingual check in staffs concierge were courteous friendly and helpful They gave us 2 adjoining rooms for family of 5 2 3 beds It s very quiet clean modern and comfortable European size room 5 stars Love the place 
121326,H tel Beauchamps, , The hotel location is superior A few steps from Franklin D Roosevelt Metro station and Disney Store Champs Elysees Very nice classic room we asked for a quiet room and the room we received was indeed very quiet clean HD Tv strong AC with nice control panel big Safe comfortable bed and Bathroom We had breakfast at the hotel very good and tasty If you don t want breakfast at the hotel right in front of the hotel There s a good bakery and coffe If you cross the street you ll find the Pizza Pino restaurant we ate there twice ask for a table next to a window on the second floor so you can look out over the Champs Elysees Last but not least The hotel Staff Very welcoming and helpful Special thanks to Ana Mahmud And very kind man Karim Who ordered us a taxi to the airport and made sure that the taxi arrived on time even though President Trump had come to visit Paris that day so some roads were blocked Karim We hope to see you again when we will come to the Paris Olympic Games No doubt we will return to this hotel strongly recommended 
121327,H tel Beauchamps, The housekeeper did not change my towel even though I placed it on the shower cabinet floor to indicate a request to change it They also took away the face towels and didn t replace them , The location is great and staff is extremely friendly and helpful 
121328,H tel Beauchamps,No Negative, they booked me a room and by the time of arival and as the time was earmy morning i had no choice then accept thereboffer the put me in best in or som no star hotel
121329,H tel Beauchamps, Well after I had made this booking on your website my credit card was compromised and then I had to update my information before travel with my new card details it was confirmed that the hotel had my new details When I arrived they did not and would not accept my new card they even asked to look at a bank statement obviously that wasn t going to happen on my side So we had to cancel the booking and make a new one they were less than happy with this and said they could not do anything as Booking com had not sent the new information who knows but it was frustrating Then we had a leak in our bathroom coming from the ceiling and the same receptionist the next morning when I went to tell them seemed to feel I did not know what a leak was and practically laughed at me so when we returned hours later the leak was still dripping and the bathroom was flooded so I called maintenance and they looked then we were moved to another room immediately Not sure what she was thinking when I said water coming from the ceiling of our bathroom All in all the rest of the staff were very nice and the hotel was pretty comfortable I guess she was just an exception Also a set of headphones were taken while we were out and about and when I told them at reception they said Oh Thank you ,No Positive
121330,H tel Beauchamps, There was smell in bathroom everytime when we took shower seemed like they have problems with they plumbing system Hair on the floor in bathroom and dirty carpet bedside table was broken and you could see it as walking in to the room charged 50 a night deposit huh so we dont take anything from the room QUESTION was there anything to take By the way they said it will be automaticty refunded back to the card but on actual check in I was told it will be refunded to the card by a team member end of 2nd day after ny check out still nothing in my bank account Reception staff being sarcastic most of times small lift and room attendants with unhappy faces like we need to get out from the lift just because they have more important things to do In general small superiour room and I would recommend hotel looks a bit worn out Lobby and bar design nice stylish but plain at the same time seems like something is missing At the bar we waited untill bartender finishes his sigarette outside then we got served straight after he went back to continue his chat with other team members Dont even bother to try connect to wifi it doesnt work we stayed on 6th floor and it has no wiev more like a loft small apartment rather than a 4 hotel, Amazing location with great public transport access and lots of restaurants and shops near by
121331,H tel Beauchamps, Not cheap but then you pay for the location Carpet in the room was worn with a few ominous stains , Excellent location and friendly staff Bathroom was new and very clean We didn t get the chance to use the restaurant but the free sweets on offer in reception are addictive
121332,H tel Beauchamps, A little expensive especially Room Service rates no difference in rates between a salad and a main course or very little , The staff was very helpful especially Jude and Chaachi Service was great Rooms were stylish and comfortable The breakfast was very good especially the croissants The location was spectacular
121333,H tel Beauchamps, Rooms could have been bigger in size slightly cramped in there Also the view from some of the rooms wasn t so good ours was a view of the fire escape and could see directly into other peoples rooms when the curtains were pulled back , Bed was really comfortable Bathroom was amazing good decor and power shower Good service at reception very polite and patient All spoke english quite well Hotel was a 2 minute walk away from major shops and the metro also several places to eat nearby if eating at the hotel wasn t an option 
121334,H tel Beauchamps, It didn t meet my expectations The pictures posted online didn t match the reality , Location The hotel is located close to Champs Elysees so you couldn t ask for a better location 
121335,H tel Beauchamps, Evening staff was fairly rude , The bar was closed one of the days fairly early and we wanted to buy a bottle of water and were told to get it from the mini bar Which we didn t want because prices are even higher than normal Some staff were a bit rude but others where extra helpful 
121336,H tel Beauchamps, Shower in our room was a bit small but super nice updated and very clean , This Hotel is a hidden gem Absolutely fantastic location just a block of the Champs Several great local restaurants on the side streets that surround the Hotel There is a MonoPrix nearby to pick up drinks snacks to keep in your room Best of all the staff Wonderful from the time they greeted us upon arrival was sad to leave this great little spot Karim was especially helpful Kuddos 
121337,H tel Beauchamps, Was put in attick room where I banged head several times on low beams Could only access half the room Was moved following day For around 200 a night I felt the 1st and 2nd room were below standard Was there for my silver anniversary and was expecting it to be very good for what I paid Rooms were good enough for maybe 1 or 2 nights Not for 5 night stay Room not same as advertised Regards James,No Positive
121338,H tel Beauchamps, The rooms were quite small especially for my husband but the bathrooms were spacious , The air conditioning was very good and helped with room temperature Being able to look out onto the streets was very pleasant and the breakfast was very delicious 
121339,H tel Beauchamps, Breakfast staff were a little rude but the reception concierge were great, Comfortable room A little small but beautifully decorated Club opposite our room but didn t hear a thing all night due to 2 double glazed windows Breakfast was small but had hot food cereals yoghurts fruits croissants cakes cold cuts and cheese great Location 2 minutes off the champs Elysee and from a metro Lots of bars and restaurants around hotel 
121340,H tel Beauchamps, Sometimes the elevator had a very bad smell The stairs are a little old , Great location near Champs Elysee The staff was very kind The room was very nice large enough for two persons The bathroom was also great 
121341,H tel Beauchamps,No Negative, The staff were warm and accommodating The bed was extremely comfortable I wanted one for my home Breakfast was good too And very nice location Highly recommend it 
121342,H tel Beauchamps, The room wasn t as nice as i expected The put up bed they used to make it a twin was horrible We just shared the big bed which was better than how it was set up Couldn t check in til 5 30pm as that twin bed hadn t been put in Bathroom bin hadn t been emptied, The staff were very friendly and helpful Great location
121343,H tel Beauchamps, Hotel refused to turn on the aircondition system and insisted on turning on the heaters although it was very hot in the rooms which made the stay extremly uncomfortable, location and cleanliness
121344,H tel Beauchamps, The size of the room, Like the closeness of the location of the property to ChampElysee and access to public transportations helpfulness of rhe staffs
121345,H tel Beauchamps, The size of the room was very small and view wasn t the best just looked out onto other rooms and windows , Staff were very friendly had great help and lovely chats with friendly Indian porter he made the stay more enjoyable Bed was comfy and breakfast great too 
121346,H tel Beauchamps, Everything was perfect, We really enjoyed our stay at H tel Beauchamps The room was quite spacious and each day it was cleaned no matter what time we vacated the room I will definitely be recommending this hotel to friends and family who go to Paris The underground was close to the hotel and tourist attractions were within walking distance The WIFi was excellent The rooom we were in was quiet which made for a relaxing stay Highly recommend this hotel and it was good value for money in my opinion 
121347,H tel Beauchamps, Bathrooms were great but if you wanted a bath they just had showers, Perfect location Great rooms for a family very comfy beds good breakfasts Quiet and had good undisturbed sleeps Friendly helpful staff
121348,H tel Beauchamps, Requested early check in Room wasn t ready upon arrival but was ready with 20 minutes , The Hotel was only one street away from the Champs Elysee and a 10 minute walk from the Arc de Triomphe Loved the d cor of the rooms Upgraded to a larger room which was beautiful 
121349,H tel Beauchamps, Bathroom quite small , Staff very helpful and friendly Room was lovely massive tv We were given lots of directions on where to find everything And everything is in walking distance 
121350,H tel Beauchamps, I was disappointed by the cleanness The rooms were not properly cleaned and out of 7nights they forgot to replace towels 4 times , Amazing location Close to the metro station and a few bus stations 
121351,H tel Beauchamps, In front of the hotel there is a bar disco so in the night there might be a bit of noise so request for the rooms that are facing the other side , The location was very good 2 blocks from Champs Elysse Room was spacious considering that it is in Paris bathroom was clean and the staff were really friendly 
121352,H tel Beauchamps, WIFI does not allow Whats App voice calling VOIP Blocked by hotel Frustrating in todays world , Great location and recently renovated so all is clean and good 
121353,H tel Beauchamps, There is a caf and tea box in our room but it is empty almost every day We have to make a call to ask after we come back We did not call them then we had nothing on our last living day We total booked 5 nights here , Paris is beautiful This is third time I come with my family member 
121354,H tel Beauchamps, Some of the staff didn t speak English so it was hard to communicate some of my requests in terms of food coffee order , The location is great many of the staff were very nice and the room and bathroom were very nice 
121355,H tel Beauchamps,No Negative, Staff was very nice There was a mix up with my reservation out of my fault but the staff resolved everything They were extraordinarily understanding and nice 
121356,H tel Beauchamps, I and my wife stayed at this hotel at end of February I just couldn t give this hotel more than 3 stars Maybe less For wifi you can only use 3 devices Lifts are slow Walls are thin and you can hear your neighbors opposite of our hotel is night club that you can hear at the weekend in nights We stayed four nights our room was cleaned only once and our dust bin wasn t cleaned once Okey one mooring we were at the room when cleaning staff came Cleaning staff don t speak English Room are super small Low ceiling we have to small suitcases and there was not enough space to open them , Nice design bathrooms and super comfy beds Good thing is that windows were street view GOOD EXCELLENT location Wifi speed was good 
121357,H tel Beauchamps, Before we arrive at this hotel we sent a request message while booking for 2 nights 3 weeks ago which was We have a little 4 year old girl and we need a quiet room for my family and for keeping our little girl feel safe and comfort when travelling she will sleep with us When we arrived they asked for extra 30 euros per night and gave us a room with a extra sofa bed on ground floor and we found we couldn t sleep because of the subway noise every 5 minutes We had to request to change to a quiet room and one man of their staff lying to us that there was no subway nearby We insisted changing the room and they said all the rooms occupied and we had to suffer the noisy of the subway at the first night They finnally offered a top floor room for our second night after complaining to their manager For our experience please avoid the rooms on ground floor ,No Positive
121358,H tel Beauchamps, The size of the room is very small and room 261 was very noisy as you can hear the doors in the corridors open and closed which was very loud You can also hear upstairs room too , location was pefect
121359,H tel Beauchamps, However our room was not set up with the correct bed arrangements even though we had emailed them in advance The second day of our stay the room was cleaned in a rush and bathroom not cleaned very well or topped up with the necessary toiletries , Really friendly staff Excellent location 
121360,H tel Beauchamps, A couple of extra day would have been cool, The perfect location for all you could want to do in Paris I can t recommend this hotel its staff and location enough 
121361,H tel Beauchamps, The staff behavior is so very bad the room is too small and too noisy the location is very bad with bad smell around ahotel the service is terrible , I don t like anything everything s too baddddd
121362,H tel Beauchamps, The room was a little small , I liked the quirky room in the loft it was clean the bed was really comfy and it was quiet Great location for the Champs Elysees and the Tuileries 
121363,H tel Beauchamps, The noise from the streets and music booming out of the bars till the early hours of the morning is a huge problem I would never stay in this hotel again, The location is good if you want bars and music 
121364,H tel Beauchamps, The rooms are very nicely designed But even the room that is mentioned as large remains small from the usual hotel rooms We knew that this is the case throughout the Paris Hotels , Hotel s location is very good It is on a street parallel to the Champs Elysee And it s also close to a metro station 
121365,H tel Beauchamps,No Negative, Staff were extremely helpful Room and hotel in general were extremely comfortable and clean Fantastic location within a few minutes walk from the Champs lys es Highly recommended 
121366,H tel Beauchamps, The staff was extremely rude they had no manners at all The kitchen man in the seating area was so rude he didn t know how to speak to costumers In England people are more helpful as in France the staff in that hotel was disgusting rude and they charged me more than they should complete ediots who had no respect one thing I know is I won t be visiting that hotel again I rather Stay at a cheaper hotel bad facilities but they treat you much more better It was a very happy time New Year s Eve and the staff was rude instead of being festive, The sweets in reception
121367,H tel Beauchamps, Cleaning staff vacuuming at 6 15 in the morning was not the most pleasant way to wake up and an odd choice of timing , Bed was super comfy Large bathroom Overall nice room 
121368,H tel Beauchamps, The room is extremely small they must of used graphic to show these luxury rooms however this isn t the fact as you can t even walk between the beds and the walls Wasn t clean the carpet and no shampoo in the bathroom Extremely poor service you can find much nicer for this amount of money and I would rate this as a 2 star hotel , The location was close to where I had to be so I chose this hotel as it was rated at 4 star hotel 
121369,H tel Beauchamps, the staff asked that I accept a smaller room than the one I had booked they eventually reconsidered and gave me the room I asked for , the room and bathroom were newly renovated comfortable bed excellent location
121370,H tel Beauchamps, Elevator is tiny, The best thing about this hotel is it s location Two minutes walk to the Champs Elyese 15 minutes walk to the Arc de Triumph sorry about spelling Room and elevator small but facility very clean and pretty Would definitely stay here again 
121371,H tel Beauchamps, U feel it is made from cartoon u can hear all the rooms beside u no elevator in our room level u will have to take stairs very bad wifi they charged us for smthng we didnt take they decreased the price less then we paid and they gave us v bad room tooo small no place for luggage, Location not bad
121372,H tel Beauchamps, Overpriced Room opposite nightclub very disappointing especially as we were told it was an upgrade Beware , Location excellent for central Paris Clean room 
121373,H tel Beauchamps, Allowing basic utensils in the room would have been the icing on the cake , Great staff location and atmosphere The reception and front house staff were really helpful Big thanks to all of you special mention to Jude for your advice and directions for getting around Paris Wifi really good connection loved it 
121374,H tel Beauchamps, Just that there was no discount for a tourist who always stays at their property, The location is optimum for a tourist the staff are friendly and very helpful The service is really great 
121375,H tel Beauchamps, the air vent in the bathroom didn t seem to shut off so there was a slight noise in the room at night Not a huge problem, Great staff on reception very helpful very polite Room was lovely black walls and quite a classic look bathroom was small but very clean and with good quality fixtures 
