,Hotel_Name,Negative_Review,Positive_Review
106685,H tel Brighton Esprit de France, The only problem we had was poor wifi reception , The hotel is lovely and the rooms very well appointed and comfortable The location is superb But most of all the staff is excellent helpful friendly accommodating and knowledgeable They make this excellent hotel even better 
106686,H tel Brighton Esprit de France, The only thing I can think of to improve is somewhere to plug in the kettle The cord was very short and there were only a couple of power points the only spot we could find was on the floor Not a big issue but could be improved , We stayed for 4 days and interacted with 5 or 6 staff members They were all friendly helpful and good at their jobs The location of this hotel was fantastic It was so nice to be able to cross the road to the gardens go just around the corner to find lovely places to eat and also only a 40 minute very pleasant walk from the Eiffel Tower along the river 
106687,H tel Brighton Esprit de France, Shower didn t have enough pressure we had to use hand held wand , Was clean had nice character super staff friendly bartender Comfy beds and great location 
106688,H tel Brighton Esprit de France, The hotel is extremely dirty staff is incompetent and they don t care there was poop spots on the WC seat and around it on the wall when we checked in at 4 pm we informed the reception who didn t do anything and we discovered this at night Went back to complain and they handed over to me a sponge and cleaning product and advised me to do it myself No manager came in to check about the complaint or bothered calling, Location is good for a new tourist who didn t visit Paris before
106689,H tel Brighton Esprit de France, 5th floor rooms are tiny rooms up in the eaves and they do not have a view of the Eiffel Tower from within the room even those advertised as Eiffel Tower view rooms If you want a view of the tower from your room request 4th floor or lower 3rd and 4th floors probably best views , This hotel has a fantastic location and generally excellent views of the gardens Louvre Eiffel Tower and other landmarks 
106690,H tel Brighton Esprit de France, Had our room key stop working on three different occasions Staff immediately corrected the issue though and was extremely apologetic One elevator was inoperable during our stay but the hotel was in the process of making repairs during our stay and when we left , Great place in a great location Staff was highly professional and went out of their way to meet all our needs 
106691,H tel Brighton Esprit de France, They stated we had transportation to the airport but when it came down to time to leave they were actually just calling a cab fare was not covered and they called it late , Very clean but not worth 600 a night 
106692,H tel Brighton Esprit de France, Nothing, The bed was extremely comfortable the view from the balcony was stunning in fact everything was amazing from the decor of the room to the powerful shower to the wonderful staff and finally the amazing view from our balcony
106693,H tel Brighton Esprit de France, 1 The cleaner threw my coat on the floor 2 They did not give me receipt when I left it seems that they are not professional hotel 3 When I leave the hotel the manager recommend me to take a taxi which requst 70 Euro to the airport But if I take taxi it only need 50 Euro , the location is quite well 
106694,H tel Brighton Esprit de France, Everything was really nice no complaints at all , We liked everything Room was beautiful and large bathrooms well lit and had nice towels View was spectacular Very nice breakfast room Close to metro stations the Louvre Galleries Lafayette and lots of nearby cafes I would recommend to anyone 
106695,H tel Brighton Esprit de France, Bathroom Shower Head needs to be updated Water pressure great but shower head too too small , Warm welcome on arrival room with a view comfy bed great sleep Fantastic breakfast well worth having Location great for setting off from Lots to see and do all within walking distance Metro Bus and Waterbus close by 
106696,H tel Brighton Esprit de France, The private car driver recommended by the hotel was not honest We paid him from the airport to the hotel and later he told his manager he only received 20 Paris taxi is very good we found out later and we should have had used taxi instead , It is close to Louvre and Odyssey Staff were very nice and Breakfast was really good with fresh juice and bread 
106697,H tel Brighton Esprit de France, House keeping came late in the day getting my room cleaned , The location was great It is directly across the street from Tuileries Garden and the Louvre There were some staff that were wonderful 
106698,H tel Brighton Esprit de France,No Negative, The staff were all very friendly and we were made to feel very welcome The bed was very comfortable but the hotel could do to install double glazed windows as we had the noise from the traffic throughout the day and night 
106699,H tel Brighton Esprit de France, The only challenge was the WIFI which was unstable Otherwise nothing to detract , Location was perfect could not be faulted Older style four style hotel with great charm that was improved by our being upgraded for our three night stay to an executive room Space light access to the Metro and fashionable old world furniture Complimentary water was nice touch and housekeeping excellent 
106700,H tel Brighton Esprit de France, nothing, The hotel was much more than we expected We overlooked the Tuileries to our left the Eiffel Tower and to our right the Louvre so wonderful The breakfast was excellent however the room was uncomfortably quiet ad some background music would be nice our only complaint is that we have no complaint Tony and Breda Clear Ireland
106701,H tel Brighton Esprit de France, Wi Fi did not work temporarily during my stay Used computer at lobby as a result No instructions for using in room Nespresso machine Asked gentleman checking capsules to show me My bank balance after shopping and having to leave the property , Very pleasantly surprised to receive a phone call in advance of my stay to confirm my estimated time of arrival This gave me a great impression of the property before checking in Friendly reminder at check in to hide my cross body bag on the Paris Metro Being personally acknowledged by the hotel manager about an issue which was quickly resolved Large bathroom with bath and toilet separated depends on the room Fluffy towels bathrobes and very comfortable bed Clean Complimentary toiletries are SOTHYS PARIS A quality French brand Prime location for art and high end shopping Nice lobby Welcome tray includes Mariage Fr res tea bags Another quality French brand Complimentary bottles of water 
106702,H tel Brighton Esprit de France, Nothing, Concierges were all extremely helpful Actually all the staff were friendly and helpful special mention to Andre for his personal service Breakfast was superb 
106703,H tel Brighton Esprit de France,No Negative, Staff was very helpful with great recommendations for restaurants And especially helpful with airport arrangements Be aware It takes 45 minutes or more to get to the airport and you will need at least 3 hours at CDG to get through security The staff guided us through the timing to be sure we wouldn t run into trouble The hotel is perfectly situated for walking to major sites and areas of Paris The room was extremely comfortable Can t wait to go back 
