,Hotel_Name,Negative_Review,Positive_Review
168654,H tel De Castiglione, We would rather have a sink and running water in the toilet , The location was extremely good The staff were very friendly and professional The room was very nice The bathroom was very spacious We will certainly stay on the this hotel next time we visit Paris I do recommend it for people who wish to visit Paris and stay closer to everything 
168655,H tel De Castiglione, Arrived at 8pm and my room was still not ready I was told to return 30mins later and that they would try their best Lamp next to my bed would randomly switch on whilst asleep Perhaps an electrical wiring glitch , Comfortable room
168656,H tel De Castiglione, The whole place seems to have been in constant dissarray for years and the only work done has been conducted by amateurs The halway carpers are so dirty and worn out that made me sick The room was dirty like the whole place lamps hanging moldy bathroom grime in the shower carpet that was just cut an laid to rest horrible place which should not be open for business , Nothing
168657,H tel De Castiglione, Hotel is under renovation entrance reception is looking awful Room is run down Elevator is very small and gets stuck Stuff is very rude and not helpful ,No Positive
168658,H tel De Castiglione, There is revolution work and small reception They kick my family out of room because they stay on 1 more than check out time Small crorador and trase is shared between all rooms without partion Small elevator , Only the location 
168659,H tel De Castiglione, I have booked triple room and expected to get three single beds Instead of three single beds I had two single beds and one extra beds which was not very comfortable than a single bed , The location is really good and staffs are really kind Breakfast was okay 
168660,H tel De Castiglione, A bit more cleaning would do , What a wonderful staff A big thank you to Loredana Lina and another lovely lady at the reception I do not know the name of sorry The view is spectacular The terace could be taken a bit more care of a really ugly flower box with dead flowers and a pile of hose pipes in the corner But all compensate for a superb location and the best staff 
168661,H tel De Castiglione, The breakfast is very basic It is just ok Renovation is being done in the hotel there is no lobby because it is being renovated There is no lunch or dinner they have no chief the breakfast is brought from another place There is only small left and you gave to climb stairs to reach it I guess that It must be the service left and the main left is in the area being renovated , Excellent location It is only 10 15 minutes from Concord place Taxes and public transport are available and can be easily reached A good grocery is about 200 m from the hotel most of the famous fashions brands have stores on the same street staff are mostly friendly and offer help when needed
168662,H tel De Castiglione, The staff there are thieves We checked out in the morning and left 2 DIOR suits in the wardrobe and an HERMES sandal but when we came back to collect it the staff told us they couldn t find it and even called the manager but she said they didn t find anything We told them we were going to call the police and the manager even told us not to bother as it was late in the night They told us many times to com back the next morning to check with Housekeeping When we actually did call the police to report in front of them the manager immediately took all my stuff down My shoes were actually in the box and all labels when Thye returned it to me it was without the box so they had the intention to keep it , Location was convenient
168663,H tel De Castiglione, The worse experience ever in a hotel in my life Hotel under Construction No main entrance No lobby No reception Poor elevator No room cleaning No room service Noise from workers in the corridors Poor room We reserve our rights for further action,No Positive
168664,H tel De Castiglione, It is 4 hotel but it is not look like even 2 Staff which are cleaning rooms does not speak English I gave to laundry clothes they lost 2 items and insisted that they returned everything and argued with me that I miscalculated Finally the laundry brought my missed items when I was catching a taxi And laundry costs unbelievable money If you are going to stay long time take by yourself to laundry Coffee wasn t taste of coffee No variety of omelettes only two kind scrambled or boiled Also hotel is under renovation and only one microscope lift is working only one person with one luggage may enter Next visit definitely I will not choose that hotel What is this , Only location
168665,H tel De Castiglione, The hotel is old and the room is totally different on web picture It is still under renovation and i will consider not to stay here again Lift is only one life and too compact ,No Positive
168666,H tel De Castiglione, The hotel is currently under renovation so you are staying inside a construction site That says it all For the price you pay you should be at least warned Very disappointed , the location nothin else
168667,H tel De Castiglione, The breakfast room didn t have air conditioning and it was a bit hot, The bedroom and bathroom seemed to have been recently refurbished and everything looked new 
168668,H tel De Castiglione, The hotel did not look like the the pictures on bookings com they are busy with a refurb that we weren t informed about the air conditioner in our room did not work this in the midst of a heatwave in France , Liked location
168669,H tel De Castiglione, No power outlets next to the bed on Friday night there might be some noise if you want to sleep with your window open but if you close it and turn on the AC it s all good very good isolation, Bed was very comfy Very clean room Great shower Position is great walking distance to the Louvre Place Vendome Place de la Madelaine Champs Elysee built in USB charging station 
168670,H tel De Castiglione, The fact that we were NOT informed that we were paying good money to stay on a building site There was and still is until August they hope a major refurbishment taking place Were YOU aware of that The dirt noise inconvenience and general chaos is totally unacceptable The entrance to the hotel is now hidden down a side street and we only found it thanks to the maitre d of a nearby restaurant There is only one working lift servicing 8 floors which is rated to carry four people but only if they are super slim and have no luggage with them In addition to which it was quite evident that the housekeeping staff were jamming the doors open from time to time for their own convenience The room was properly serviced and cleaned only ONCE during our stay and on one occasion it took three phone calls over a 1 hour period to obtain a missing second bath towel and a bath mat Why they had been taken away in the first place remains a mystery , Excellent location and ONE of the reception staff was extremely helpful 
168671,H tel De Castiglione, The hotel is under construction and does not meet the luxury standard set by the advertisement I m guessing it will be great once construction is complete until then try another property For the money it isn t worth it , The coffee was decent
