,Hotel_Name,Negative_Review,Positive_Review
163568,H tel Le Walt,No Negative, The room was spectacular clean and comfy We got an amazing view of the Eiffel Tower We had to leave for a couple of days and leave our luggage and the staff was so friendly they stored our luggage for free We had a blast and we re definitely coming back 
163569,H tel Le Walt,No Negative, This is decent 3 hotel to stay one night or two with a good location However hotel is very small and be mindful that this is boutique hotel dont expect too much hotel
163570,H tel Le Walt, Room was just a bit dirty in a few spots but this was quickly addressed by hotel staff , Amazing location just off the Champs de Mar and Eiffel Tower Great neighborhood with lots of restaurants and shops Hotel staff very friendly and helpful 
163571,H tel Le Walt, If you open the window it s a bit noisy but nothing awkward , The hotel is in a perfect location near many restaurants and exactly infront of Metro station Eiffel tower in a walking distance also The staff is so helpfull and polite and room service are too 
163572,H tel Le Walt, My first room was ahhhmazing ground floor with double doors opening onto the cutest courtyard it did however have a slightly funny smell and I was promptly offered another room so no biggie , Exceptional boutique hotel exceptionally clean larger rooms than a lot in paris beautifully decorated and furnished 24 hour room service wonderful service the extras matter bar room service great courtyard little business centre complimentary mini bar umbrellas The property is in a truly wonderful location 1 minute walk to the base of the Eiffel Tower 5 minute walk to Rodin Invalides Armee museum gorgeous shopping alley 1 minute walk with exceptional boulangerie patisseries fromageries resturaunts on the door step so is a metro and a supermarket across the road I received a great rate much cheaper than the rate direct through booking com which made this exceptional value for money otherwise maybe a but pricey The team should be proud 
163573,H tel Le Walt, The bedding very poor quality and uncomfortable It was suppose to be a queen bed however I noticed they were two single beds put together at night they separate and becomes very uncomfortable, The location
163574,H tel Le Walt, room is smell and very normally furnitured which is not worth the price there s no eiffel tower view even though we booked the Deluxe Room , good location with a convinient transportation access to every sightseeing with the subway very nearby 
163575,H tel Le Walt,No Negative, Upgraded to a room with a view of the Eiffel Tower superb It was a quick visit but I really liked the hotel Boutique and well designed The giant painting bedboard was a nice touch Shower was first class Great communication from Raphael to inform me of the special upgrade Worth every euro 
163576,H tel Le Walt, I did not see anything I did not like , The hotel is very clean The breakfast is excellent The atmosphere is fantastic The location is perfect The room is great with views and windows and very clean 
163577,H tel Le Walt,No Negative, This gorgeous boutique hotel felt like home away from home The staff were exceptionally friendly and helpful Eiffel Tower view room was well worth paying a slightly higher rate Breakfast was delicious 
163578,H tel Le Walt, Room could have been a bit cleaner floor was dusty Quality of rooms is more at a 3 star level than a 4 star , Staff friendly good breakfast and right next to metro for easy access into other parts of Paris
163579,H tel Le Walt, Nothing , Close to everything The boutique hotel was clean services excellent and quiet Mickaella the front desk receptionist even help us get our taxi to Disneyland Paris Felix help us how to get around the city Great guy and speak fluent english 
163580,H tel Le Walt, The view was different from what expected also the room is a bit smaller than what I thought it would be, The location the facilities and specially the toilet in the room are great
163581,H tel Le Walt, If being extra picky bathroom decoration was not as nice as the bedroom No gym , Bed was comfy Hotel right opposite metro and supermarket Room was quite although facing the main street Bathroom is spacious 
163582,H tel Le Walt, To be honest breakfast was good but I expect little bit more , I am really love the staff in Le Walt hotel thank you so much you made my husband s Birthday so special The location so comfortable you can get everywhere so quick and easy 
163583,H tel Le Walt, Our room was facing the inner yard which was ok but the pictures on booking com showed the Eifel Tower and even a small balcony , Hotel staff was extremely friendly 
163584,H tel Le Walt, The pillows weren t to my standard Too soft , Great location and staff Other than one part of asking for a shirt to be dry cleaned mainly to be ironed I received it back folded in a box which defeated the objective of the laundry However money was refunded and two free glasses of champagne for us both Couldn t ask for much more Thank you everyone at Le Walt Hope to be back soon 
163585,H tel Le Walt,No Negative, Amazing location right by metro station Eiffel Tower 5 minutes down the road beautiful room with a view of the Eiffel Tower amazingly welcoming staff who were very friendly large room size and comfortable bed lovely waterfall shower It was my birthday during my visit and they sent me up a bottle of champagne I was a solo traveller and felt 100 safe and looked after 
163586,H tel Le Walt, The large painting in the rooms were part of the appeal to stay at Le Walt but the bed rests right against it without any glass or partition protecting the painting , Loved loved loved our stay here The staff of Le Walt went out of their way from the time we booked until even after we checked out Robert with the reception was accommodating to our requests as my spouse I were staying for our anniversary They ensured we could check in early as we had the morning train We had a view of the Effiel Tower as requested were provided with robes slippers a complimentary bottle of champagne The bedding pillows were very comfortable Although we were on the street side room 502 we had no issues with noise The breakfast spread was fabulous The pictures do not do the area justice Plenty of seating lots of food It was perfect Location was also great whether you are walking to see sights or hopping on the metro Lastly the staff was wonderfully accommodating in providing luggage storage in the back without an extra fee or hassle Everyone we met was warm generous I ve stayed in numerous cities across Europe Berlin Prague London Bruges Rome etc and this place is at the top 
163587,H tel Le Walt,No Negative, Fantastic location with the best concierge we have had in our trip They were so helpful with advice on everything and booked us unit some great restaurants I would not hesitate to stay here again 
163588,H tel Le Walt, Nothing , Nicely decorated room large by Paris standards Well insulted from outside noise very quiet even though we were facing a busy street Convenient to the metro only steps from the Ecole Militaire station Staff was very friendly and helpful Breakfast was good 
163589,H tel Le Walt, Nothing bad , The staff were great location perfect and the room was very comfortable and surprisingly very generous as was the bathroom will be back next time we visit Paris
