,Hotel_Name,Negative_Review,Positive_Review
318744,H10 Art Gallery 4 Sup, We had standard room Window into light well Tiny room Surly reception staff on arrival Each time we dealt with this guy it was surliness incarnate Others on reception were much more helpful Overall not great value , Location was good Surrounded by cafes and longish walking distance to main areas of Barcelona Modern hotel with good bathroom and excellent shower very comfy beds 
318745,H10 Art Gallery 4 Sup,No Negative, Such a lovely place to stay The beautiful courtyard with the olive tree was lovely to relax in before dinnertime The mojitos were fab too Breakfast was gorgeous Shower was so big toiletries were a nice touch also Highly recommend
318746,H10 Art Gallery 4 Sup, Soundproofing could be a little better we heard noise from the hall, Location was great Friendly staff Lovely room and amenities Bike rental was very easy
318747,H10 Art Gallery 4 Sup, A fresh coat of paint in the bedroom to clean it up a bit would have improved the look of the room , The bed and pillows very comfortable Great air con which was much needed Complimentary bottled water replaced daily Lovely outside area to relax and have a cocktail Helpful and friendly staff Very nice breakfast Close to metro and plenty of places to eat and drink in walking distance 
318748,H10 Art Gallery 4 Sup, What s not to like , The roof terrace is stunning they serve the best Pina Coladas Restaurant has yummy food and the bed is so very comfy I could have stayed here for much longer 
318749,H10 Art Gallery 4 Sup, instructions for the expresso machine would be good we are English , great location far enough away from the tourist areas to ensure good quality eateries bars on your doorstep Easy 20 min walk to Ramblas Great roof terrace with plunge pool 
318750,H10 Art Gallery 4 Sup,No Negative, Excellent hotel the beds were super comfortable the room was amazing Lovely sized bathroom The fitness facilities and swimming pool were brilliant 
318751,H10 Art Gallery 4 Sup, The room was very small for two people it is the kind of single room you find in other hotel very small hard to move around small double bed , Perfumed air condition in the lobby
318752,H10 Art Gallery 4 Sup, No evening dining facility at the hotel however lots of restaurants within 5 mins walking distance, Very comfortable room bed is great balcony and really well designed loved the Art work in the foyer and on each themed floor
318753,H10 Art Gallery 4 Sup, More explanation about how to use the pool facilities would have helped Location of towels and bar facility for example, Room was good but bathroom and shower were superb
318754,H10 Art Gallery 4 Sup, The room is really too small even for a classic room I couldn t even open my luggages inside It s quite annoying , The bed is very confortable and everything is clean and well decorated The breakfast is just perfect you have many choices 
318755,H10 Art Gallery 4 Sup, Everything was fine We loved our room 512 which overlooked the street I wouldn t have liked to have been at the back nor one if the central rooms that look into the central courtyard although these are cheaper and smaller It depends what you want and can afford We didn t have the top price room , It is very well situated you can walk to most tourist sites Staff were very very helpful especially Victor in the afternoon on the front desk and the two ladies in the morning The hotel s arty modernistic themes were great Nice outside courtyard in which to have your pre dinner drinks generous G Ts in typical Spanish form before going out to dine in one of the many excellent restaurants We loved the H10 Art Gallery We would stay again 
318756,H10 Art Gallery 4 Sup, Thin wall means u can some times here the people next door, Location was excellent lovely clean traditional part of Barcelona and walking distance from the main shopping area like Zara Gucci also a really nice restaurant right next to hotel would definitely stay there again
318757,H10 Art Gallery 4 Sup, Only fault was the outlook we had from our balcony everything else was perfect we would highly recommend this hotel, The staff here were so helpful friendly with a smile on their faces at all times
318758,H10 Art Gallery 4 Sup,No Negative, We travelled to Barcelona for my partners birthday the hotel was excellent and the staff couldn t do enough for us Excellent location too Would definitely recommend this hotel to anyone 
318759,H10 Art Gallery 4 Sup, A balcony would have been nice but we had the standard room which was still excellent, Everything about the hotel was excellent the staff were really helpful the food and cocktails were lovely if a little expensive nothing bad to say about it 
318760,H10 Art Gallery 4 Sup, Room location facing an inner pier , I was in Barcelona for a convention and booked a regular room through booking com 7 nights Euro 220 per night without breakfast for one person and my tiny room faced an inner pier No window facing the outside world not possibility to know what the weather is like or see anything that is going on outside No way to open the curtains as the see through elevator was going down next to my room and there were other windows facing mine on all sides I think that a 4 star hotel must have all rooms facing the outside and if the room is not this needs to be written in the room description I thought Euro 220 per night without breakfast were enough and did not take the superior room which was an additional Euro 50 60 per night When I saw that my room is facing a pier I asked to change the room but they said they were fully booked I want to stress that the hotel is beautiful has a good location the room was clean and nice the bathroom big and comfortable there was a Nespresso coffee machine and 2 water bottles every day complementary from the hotel But in hindsight I personally would not have chosen this hotel with this view I find that depressing Sorry And the hotel MUST say in the room description that it faces an inner pier Period 
318761,H10 Art Gallery 4 Sup, Walls between rooms are really thin you can hear everything what is going on in the neighboring rooms We were lucky to have quiet neighbors , We had wonderful terrace facing courtyard so it was were calm and quiet in the room Breakfasts were great very tasty and friendly serviced A lot of restaurants bars shops next to hotel 10 minutes walking to main streets 
318762,H10 Art Gallery 4 Sup, The coffee made by night bar staff was pretty good but unfortunately at breakfast it was undrinkable if you ordered a cappuccino A tissue box is required in room The packets in amenities pack ran out quickly and weren t replaced , The bed was fantastically comfortable The art books and art made the place very much like our home which is similar The location and neibourhood were lovely
318763,H10 Art Gallery 4 Sup, Room was very noisy We had a room on the inside of the hotel so we tought it would be a quiet room as we are light sleepers But we could hear the whole hotel flush their toilets during the night and rooms were not very well isolated , Neighborhood was more local but perfect for us Not too many tourists Nice restaurants on every corner You could still walk everywhere The staff was very helpful When we checked in we got a room with a big single bed were we would not fit in with two persons We asked for another room and got a room with a bigger bed The shower was fantastic and even got a small gift on arrival 
318764,H10 Art Gallery 4 Sup,No Negative, Fantastic service and very nice to be welcomed with an ice cold cava in the reception upon checkin Fantastic location with 10 minutes down to Placa de Catalunya La Rambla ad 2 minutes up to the extremely long shopping street Diagonal Lovely little garden where the afternoon drink could be enjoyed 
318765,H10 Art Gallery 4 Sup, Wi fi ONLY works in the lobby Staff not very helpful unfortunately And they did not clear our room for the entire day the next day I had to ask for it They came but a quick 10 minute just tidy up I was very disappointed as the value for money was so bad Better to pay more and get a good value then ever staying here again I tried to explain to the staff in a nice way that they should work on improving as I also am in hospitality but no one was interested and very nonchalant , Not much to be honest Im sorry but no one was eager to do something about it either Im never the one who complaint and gets angry but told the staff many times about the cleaning that I wanted my room cleaned was done after the 4th call to the reception the day after So Im sorry really not worth the money 
318766,H10 Art Gallery 4 Sup,No Negative, The extra touches made it really feel like a 4 hotel from the welcome drink cava on arrival to the Nespresso machine and biscuits in our room The staff were lovely and breakfast was brilliant the food was freshly made to our order every morning it was actually totally worth the 18 which surprised me The pool area was great and I can t wait to go again 
318767,H10 Art Gallery 4 Sup, Room was a little small but had everything we needed All amenities in the room were excellent, Terrace bathroom was spacious and water pressure was excellent Bed was very comfortable
318768,H10 Art Gallery 4 Sup, They missed the cleaning one day but it that was a minor thing all in all it was great, The staff was very helpful and knew everything that I asked about
318769,H10 Art Gallery 4 Sup, we had no television for 24 hours as television was broke but was sorted first thing the next morning as we did not realise it was not work till really late , hotel was gorgeous staff and service was excellent i would defiantly return and recommend
318770,H10 Art Gallery 4 Sup, Quality Price was overrated I paid a lot for the things that the hotel provides , Room was nice All details were keep on the right attitude I didn t miss anything Small details like cookies beside of the bed coffee machine in the room etc makes the difference 
318771,H10 Art Gallery 4 Sup, The bed was uncomfortably small The room was really small and cramped And the hotel roomwas really warm , Location was good staff was pleasant and the breakfast was very good 
318772,H10 Art Gallery 4 Sup,No Negative, The AC worked very well although had an automatic shut off temperature hold The balcony was nice to have and the decor was trendy and clean Selection of pillows to choose from In a location that is a little further from the main Catalonia Square where the bus to the airport goes but has a good selection of restaurants and shopping nearby 
318773,H10 Art Gallery 4 Sup, Ability to make tea in the room Nice to have the coffee machine but would be nice to have the option of tea if you don t drink coffee , Welcome drink on checking in was a nice touch 
318774,H10 Art Gallery 4 Sup, d cor was slightly tired but this is me being very picky, Excellent hotel close enough to all the tourist attractions but yet far enough away to be quiet for a good nights sleep Lovely restaurants and bars in the area as well 
318775,H10 Art Gallery 4 Sup,No Negative, Loved staying in this hotel which was in a good location Great rooms we had 2 superior ones Everywhere was spotlessly clean Staff were very friendly and nothing was too much trouble Breakfast was delicious A real bonus having the small rooftop pool area too just to chill out and sunbathe Would definitely stay here again 
318776,H10 Art Gallery 4 Sup, Our bed was a standard double and we are used to a king size The breakfast was expensive , The room was brilliant everything in it was well thought out We asked for a kettle and they bought us a tray with mugs as well The staff were very helpful The breakfast was excellent 
