,Hotel_Name,Negative_Review,Positive_Review
275602,H10 Marina Barcelona, Every extra had a cost Very limited no extras other than the room For example no tea or coffee in the room only paid for at the bears Not a huge issue but would have been a nice touch , Good location and very comfortable bed 
275603,H10 Marina Barcelona, Small pool terrace not a lot of room around the pool If you re not that bothered about having a pool in the hotel go for a cheaper option City Tax added onto room price not stated on booking com, Staff were extremely helpful and friendly
275604,H10 Marina Barcelona, They argued with us regarding the city tax which said paid on your receipt that we received they said it was our problem and we had to pay again The nights we stayed we could ve booked direct for 200 less than what we paid using booking com so we re not happy The front Desk didn t know the right hand from the left many new people We headed up to the roof top bar only to find an unmanned vacuum cleaner sitting in the elevator leaving little room Once we arrived two people were playing football in the pool on an open top rooftop that was narrow causing concern for those around them to get hit or the ball to go over the edge and hit a person down below The beds were awful They were sunk down The shower glass moved and the tub is narrow with no mat The glass moves leaving risk for slipping or falling The tub had rust all around , nothing it was not worth the monies paid 
275605,H10 Marina Barcelona, I thought the shower was problematic because of it s open design It allowed the whole bathroom to get wet The staff s command of the English language was weak so there direction to near by locations were vague or hard to understand The breakfast options should exclud some American options like French toast or waffles , The bed was very comfortable and the room was very clean I liked the design and how the room was decorated The spa services were good 
275606,H10 Marina Barcelona, I specifically contacted the hotel to ask for something special as it was a honeymoon They replied saying that they would do this and then arrived with nothing I was a little dissapointed that they had agreed to do it so I didnt bother myself and then was a bit let down , Very clean and nice hotel
275607,H10 Marina Barcelona, Our bedroom was directly opposite the lifts which meant that we were woken up every night and morning by people in the corridor More so on the last 2 nights as there was a party of around 10 men who had arrived and were staying on our floor so at around 3am each night we were woken up by them But luckily it was the last couple of days and not for the whole stay , Hotel was in a great location and the staff were really friendly 
275608,H10 Marina Barcelona, I really disliked that I was billed 425 euros for getting my clothing cleaned I only wanted some items to be thrown in the washer instead they ironed and cleaned each piece and handed me a huge bill during checkout I feel that I should have been informed of the price before hand 425 EUROS when I only wanted clean clothes ,No Positive
275609,H10 Marina Barcelona, Expensive I have seen puddles bigger than the pool Booking com lowered the price after my booking so I paid a lot more, Great rooms and nice breakfast Staff very friendly Close to port Olimpic with great bars and restaurants
275610,H10 Marina Barcelona, Gym way too small Air con in the room not working during our stay, Pool area is great Roms are clean andcomfortable location is very good Staffan is very friendly 
275611,H10 Marina Barcelona, When booking we chose to pay a little extra because of proximity to the beach and the design the pools looked amazing Much farther from the beach than we thought What was described as an 11 minute walk was in actuality more like 30 minutes through some winding parks and confusing cross roads No facilities in room and no shop no ice machine no vending machines at all When my partner needed ice for her ankle I had to go buy some from the gas station We had to steal coffee from a business convention as there were no coffee facilities in the room or in the lobby and staff were often absent It was hot but we had no fridge and no way to keep drinks cold The skyline pool looks fabulous but in actuality it only looks over a small portion of the skyline enclosed on three sides and the pool was only open to 7pm which was impractical The indoor pool cost extra 16 euros per day , The design was modern and appealing The hotel was easy to find 
275612,H10 Marina Barcelona, Unfriendly staff Room not ready on check in at 1 pm despite Privilege status Most TV channels do not work Grinder noise in the corridor from 9 am I was working in my room despite Do Not Disturb sign on the door Unwilling to extend check out by one hour Bottom line never again ,No Positive
275613,H10 Marina Barcelona, Air con in room was poor Spa changing rooms very basic but did the job , We were fortunate to be Privileged guests and had access to the Club Lounge with added benefits was worth the extra money Lovely food and cocktails Roof Terrace pool and bar was lovely though city views were not outstanding in my opinion 
275614,H10 Marina Barcelona, It was a little bit off the beaten track and I think the hotel would benefit from its own little shuttle bus to take guests into Barcelona We had quite a long walk with a disabled person to get to the city tourism buses There is a taxi rank by the hotel which is good but it becomes a bit expensive when you have to use them all the time and we did use them a lot especially when it was raining , The hotel was beautiful and had a lovely spa little gym roof top terrace with pool and bar and the staff were above excellent in manner and helpfulness The park nearby was lovely and had a spectacular water feature with a statue of Bodecea on top The zoo was also just two blocks away 
275615,H10 Marina Barcelona, The lack of taxi facilities and being able to call a cab from the hotel, The bed was comfy The hotel finishings were modern and sophisticated The bathroom was nice and spacious
275616,H10 Marina Barcelona, Immediate locality was mixed hotel backs onto large industrial building our room faced this Beds were fairly hard , Hotel is clean and modern good service Very much a business type hotel with facilities Free Wifi was good throughout the hotel Pool and sun terrace on roof provided sea views Close to public transport metro bus station Good value considering it was F1 weekend 
275617,H10 Marina Barcelona, Views from the hotel are not great Hotel name says Mariana thinking it would be near but its not , hotel is in the local residents area so away from the tourist area 10min walk to the beach 2min walk to the underground station
275618,H10 Marina Barcelona, The window in the room can not be opened because it s fixed , Location is really good The beach and the city centre are also easily accessible Really kind staff 
275619,H10 Marina Barcelona, Only thing we were disappointed with was our room wasn t cleaned on our second day meaning we didn t have fresh towels until we notified reception Also our room wasn t cleaned until 4 5 o clock everyday and it made it more of an inconvenience as we were getting ready to go out for the night , We loved our stay and couldn t be happier with our room and facilities We felt so luxurious and looked after very well from the staff 
275620,H10 Marina Barcelona, The rooms were old No douche just a douche bad combo Warm water was not working properly Location was in the middle of a residential area with very limited shops or restaurants ,No Positive
275621,H10 Marina Barcelona, The buffet breakfast could have been to a higher standard , The staff were considerate and very professional The evening dining options were excellent 
