,Hotel_Name,Negative_Review,Positive_Review
413352,H10 Urquinaona Plaza,No Negative, Excellent welcome clean and bright room super comfy bed Staff experienced and very helpful Close to all public transport and walking distance to Les Ramblas and restaurants Loved the rooftop bar very cool
413353,H10 Urquinaona Plaza,No Negative, Booking com was a bit unclear in terms of rooms selection we thought that there will be 2 rooms with a balcony but they told us that the hotel is not possible to join 2 rooms otherwise we would have booked only 1 room and pay half 
413354,H10 Urquinaona Plaza,No Negative, Alexandra at the front desk was so helpful and proactive in helping us as we need to reschedule a new flight So pleasing to see such wonderful customer service when your away from home Thankyou to you all
413355,H10 Urquinaona Plaza, Can t think of a single thing , We travelled to Barcelona as we were celebrating our 30th wedding anniversary We arrived in our room to a bottle of champagne and chocolates and a lovely letter from the hotel wishing us a happy anniversary The staff could not do enough for us They even called one day asking if we required any more complimentary water or pods for the coffee machine We had asked for a room overlooking the front of the hotel to add to our experience of our first time in Barcelona to get a feel for the buzz and not to be looking into other accommodation or other buildings as we were aware the blocks are in a square formation This was what we got Lovely experience all in 
413356,H10 Urquinaona Plaza, The colors of the rooms very small rooms No good lamps lights were really disappointed I have never seen bad lamps like that , The bed was very good
413357,H10 Urquinaona Plaza, No parking onsite but the hotel has an arrangement with an underground public garage adjacent to the hotel Parking was a bit expensive at 21 per night Plunge pool quite small approximately 10 12 square meters , Incredible breakfast Pastries and fruit were fresh and delicious King bed was large enough for two adults to sleep comfortably Climate control very accurate and easy to use 
413358,H10 Urquinaona Plaza, Keep in mind that it wouldn t look like the pictures I am really disappointed with the size of the swimming pool and the value of it doesn t really worth from my opinion they could invest a little bit more in furniture for that type of hotel , Location and the staff are great
413359,H10 Urquinaona Plaza, There was a problem with the keycard machine when we arrived but it was fixed within 24 hours and the staff handled it well , We chose this hotel for a week in Barcelona to celebrate my wife s 30th anniversary We both agree it is the best hotel we have ever stayed in Our room had a balcony with a view of Plaza Urquinaona The entire hotel looks and feels brand new the architect did a really good job turning an old building into a modern 4 star hotel The position is great for visiting all of Barcelona except Park Guell on foot We first planned to get the city tour but didn t have to since everything was within walking distance from the hotel Get the breakfast it may seem expensive at 21 but trust me it s well worth it Great variety with different stuff every day Their chef makes the best poached eggs I have ever eaten got them every morning They also have lots of fresh fruits I especially loved the pineapple Bonus points for the roof terrace it s a great place to chill for half an hour in the evening before going to your room Also good if you like sunbathing we don t We did love the small pool however though it feels more like a jacuzzi then an actual pool If I had to choose my favourite thing about the hotel it would definetly be the staff They are really nice and went out of their way to make sure we enjoy our stay We got 3 complimentary bottles of champagne from them during our stay one as an apology for a problem with the keycards that was fixed the next day another one for my wife s birthday and a third one just wishing us a pleasant stay 
413360,H10 Urquinaona Plaza, Noise from rooftop terrace in room 601 Only an issue if youre planning an early night, Great Base for a trip discovering Barcelona Friendly Staff Comfortable bed Coffee machine
413361,H10 Urquinaona Plaza, Glassdoor to bathroom, We had a private terrace which were really great Great room with plenty of mirrors which suits women Great helpful staff Clean room and facilities Perfect location 
413362,H10 Urquinaona Plaza, 1 layout of en suite wash basin in the main room space 2 Shower floor very slippery when wet Hand rail and non slip mat requested 3 Could see interior of en suite from main room i e not very private , 1 Spacious balcony with furniture although not very private wood type mesh separates adjoining room balcony 2 Very professional and friendly staff 
413363,H10 Urquinaona Plaza, Room space was a little tight but overall of very high quality , Overall outstanding service very pleasant and helpful staff spotlessly clean nice decor in a very accessible and central location Very good and varied selection of breakfast foods including serials eggs meats cold cuts fruits yoghurt with freshly squeezed orange juice Truly outstanding
413364,H10 Urquinaona Plaza, The bar during the day was not always manned and you needed to call via a buzzer the response was a little slow Otherwise nothing else , It was small enough to feel very comfortable it s close proximity to the centre of the city was ideal for entertainment and travel The staff were very helpful and informative 
413365,H10 Urquinaona Plaza,No Negative, Location brilliant Lovely staff who couldn t do enough especially when I asked for fresh towels Breakfast plentiful and eggs cooked fresh on order Terrace bar lovely 
413366,H10 Urquinaona Plaza, nice design and friendly atmosphere , The first lady who welcome us was so helpful and so friendly She quickly solve our problem as we arrive 24 hours in advance Thanks again
413367,H10 Urquinaona Plaza, Menu at the hotel bar , The bed was extra comfy Good shower and Rithuals shampoo and body lotion Nespresso coffe machine and coffe capsule And the terrace we loved that
413368,H10 Urquinaona Plaza, Honestly no negatives at all , The beds were very comfortable The employees were welcoming professional efficient and extremely kind and friendly We loved the entire experience and would definitely stay there on our next visit to Barcelona 
413369,H10 Urquinaona Plaza, Shower flooring was extremely slippery and cost of meals was much too high We ate elsewhere which was more reasonable , The staff was most pleasant and did all they could to accommodate us 
413370,H10 Urquinaona Plaza, The quality of the food on the lunch snack room service menu was extremely poor We ordered two pizzas at 10 euros each and they were easily the worst pizzas I ve had in a long time , Lovely rooms great location Lots of mirrors great for getting ready make up A little bit strange having the sink in the bedroom but we got used to that 
413371,H10 Urquinaona Plaza, The layout of the room was terrible The basin is in the bedroom not the bathroom and is very inconvenient The hairdryer is located in a corner and awkward to use easily There is also a lack of storage space Both days we were there our room was not cleaned until at least 4 30pm and we had been out from immediately after breakfast This meant we had to sit in a communal area until it had been done ,No Positive
