,Hotel_Name,Negative_Review,Positive_Review
369023,Hampshire Hotel Amsterdam American, The only thing we didn t like was that the nespresso machine in our room didn t work , We got a free upgrade to a room with an awesome view Furthermore the breakfast was crazy delicious 
369024,Hampshire Hotel Amsterdam American, Our room was recently redone and the aesthetic choices are pretty awful , Beautiful spot gorgeous architecture breakfast offerings and hall are magnificent
369025,Hampshire Hotel Amsterdam American, the room had unattractive decor and was lacking in comfort eg only one chair to sit on bad lighting although deluxe The hotel was surrounded by noisy and dusty roadworks I think booking com especially as you are in amsterdam should have made potential bookers aware of that the outside cafe etc were unusable and the noise started early in the morning and hindered access it was disappointing , the staff were very helpful and pleasant without road works the location would be good 
369026,Hampshire Hotel Amsterdam American, I attempted to have a car and driver pick us up on our arrival but to whom ever I communicated seemed to think I wanted some sort of airport shuttle I arranged it on my own , Room was better than described and canal view with large windows was as promised 
369027,Hampshire Hotel Amsterdam American, The noises from next doors showers and bathrooms were like a waterfall in the room whenever they were used I was about to ask for a change of room but there was quiet again during the nights , The location is excellent I love the Art Deco restaurant 
369028,Hampshire Hotel Amsterdam American, The hotel is a little outdated and could do with some refurbishing , Great location If you are fond of walking you can basically walk everywhere Check in and check out was swift and easy We took a taxi from the airport and it cost 50 euros compared to about 30 euros on the way back with Uber If you aren t keen on figuring out public transport call an Uber instead of a taxi from the airport 
369029,Hampshire Hotel Amsterdam American, We were put in a river view room with a balcony on the first floor only for there to be extensive work being done on the outside of the property which we hadn t been informed about Work noise started at 7 30am however the hotel were very accommodating when we asked to change rooms ,No Positive
369030,Hampshire Hotel Amsterdam American, The bathroom area was very cramped and being an old building you did hear other guests moving around in their room above, The staff were great We asked for an upgrade and got it for a small extra fee which we were happy to pay The mini bar had a small area for personal use which was great And the complementary various coffee was great 
369031,Hampshire Hotel Amsterdam American,No Negative, This hotel has been around for about 100 years Art Deco design elements bedroom deco reminiscent of that era too but still comfortable Clean friendly helpful staff right on a tram link to the main station near a bus link to the airport near the museum quarter and next to a canal with hop on hop off boats Hotel recommended excellent local restaurants and we re very helpful about public transport options It s a big hotel so could feel a little large and impersonal for some 
369032,Hampshire Hotel Amsterdam American,No Negative, Best location to choose midages wonderful resturant and bar Excellent freindly receptionist Murice although he was a traniee he listned exactly to my concenrs and made sure we were satisfied with our room staff remarkably More professional than others we deal with in other hotels all around the globe Would definitely stay there again and recommend it to anyone 
369033,Hampshire Hotel Amsterdam American, Road works under repair made it a little noisy in the a m Obviously not the hotels fault, Great location good size room makes a pleasant change for Europe heaps of restaurants bars within 2 blocks 
369034,Hampshire Hotel Amsterdam American, The check in and out was super slow Also we booked 2 identical rooms double classic but 1 was the 1 2 in size of the other Also the bathroom was very small and everything felt just a bit outdated , the location was excellent and it was nice to have a terras bar just at the hotel with a fountain in front There was a bath albeit small The bar Americain where breakfast was served was gorgeous and breakfast was impeccable with lots of choices fresh omelet or pancakes prepared la minute and glass of cava 
369035,Hampshire Hotel Amsterdam American, Room amenities are dated especially the bathrooms and the decoration More toiletries would have been appreciated especially given the price of the rooms There was an error made by a staff member during check in which was very annoying and cause for concern , This historical building has a lot of character The staff was courteous and helpful The location was perfect Beautiful setting near the canal Several tram lines just outside made it super easy to travel to other places in Amsterdam 
369036,Hampshire Hotel Amsterdam American, The shower has two identical controls for the water Based on many showers the world over the natural assumption is that the two controls are for hot and cold water respectively In fact the right hand tap is for setting the temperature and the left one the water flow The water is very hot in the bathroom and I had really hot water burning my feet before I found the correct use of the taps There needs to be a notice explaining this The shower is over the bath The bath is very deep sided and many elderly people would struggle to get into it The chair at the desk in the bedroom is very lightly balanced Anyone leaning back in the chair could easily overbalance backwards and injure themselves Both matters brought to the attention of management Given the high standards in other areas there is every likelihood that they will be dealt with positively , Really helpful and friendly staff Hotel full of character and beautifully positioned right in the heart of the old city An imposing design topped by a historic clock tower 
369037,Hampshire Hotel Amsterdam American, Sun every day , Comfortable hotel at top location to explore A dam Breakfast in the prettiest artdeco restaurant in town Nice relaxed staff Good noiseless airco and you can open a window also 
369038,Hampshire Hotel Amsterdam American, The rooms were dated carpets stained balcony and patio furniture old and not cleaned Overall the rooms seemed unclean but think it was really the condition of everything The carpets need to be replaced badly Given I didn t spend much time in the room these things were tolerable But if I wanted to a place to relax it wouldn t be in the rooms , The hotel staff were great They were very friendly engaging and treated us very well The location was in walking distance to great restaurants museums and tram And the bar staff was the best 
369039,Hampshire Hotel Amsterdam American, Windows weren t sound proof couldn t prevent the noise from the outside to come through Breakfast spread doesn t cater enough to people who are vegetarians On Tuesday Jul18th morning they ran out of a type of bread that my niece wanted , Excellent location Everything was within 10 15 mins 
369040,Hampshire Hotel Amsterdam American,No Negative, A good hotel with courteous and helpful staff The location is pleasant notwithstanding present street works in the immediate vicinity In addition it is within walking distance of the major museums 10 minutes on foot and the old city centre 20 minutes Though trams passed frequently we did not feel the need to use pubic transport Two streets of restaurants 200 metres away provided good mainly ethnic choice though not up market In addition however we found some some quality restaurants notably indonesian rijstafel and italian a few minutes walk away and reasonably priced in relation to the quality Did not eat at the hotel We would stay again 
369041,Hampshire Hotel Amsterdam American, Nothing could have been better , We were offered an upgrade while checking in for a nominal fee which we gladly accepted We loved everything from Maurice at reception to the bartenders in the bar We can t wait to go back 
369042,Hampshire Hotel Amsterdam American, Pillows too thick for my neck issues even though I ordered two more pillow choices Motion detector in room turns on bright light when we made excursions to bath during the night I had to cover it with paper to stop it City light through window was adequate , Great concierge Fantastic location Transportation around Amsterdam outstanding Short walk to world class museums dining shopping and people watching 
369043,Hampshire Hotel Amsterdam American, There were only two very minor things I did not like but I wouldn t hold them against the hotel per se I only add there here as some others may dislike them The first was the duvet for the bed Our bed was massive and extremely conformable but the duvet was split into two parts It was as if they were intended for twin beds which is what it ended up feeling like The second is regarding the shower gel The hotel provides a dispenser on the wall in the shower rather than as a separate single use bottle I have only ever seen this been done in the Ibis hotels so it came across as cheap and not what I would have expected from a 4 star hotel I do however see the argument that this method of dispensing the shower gel is more environmental which is why I would not complain about it I just know for some this might be a bigger issue , The hotel exceeded all our expectations Its location is superb The staff are very friendly The rooms are large and the decor is uniquely beautiful The staff accommodated all our needs and we were given a room with a fantastic view overlooking the canal Despite construction on the bridge nearby we found the hotel room to be very quiet and the bed extremely comfy We were well rested following our stay The exterior of the building is also unique and beautiful with a nice fountain in front of the restaurant The tram is less than 2 minutes walk away which will take you pretty much anywhere you need to go at a reasonable rate The major museums and parks are also within a 5 10 minute walk from the hotel 
369044,Hampshire Hotel Amsterdam American, check in and check out too slow rooms with balcony cannot be properly considered double rooms as they are too small and thr bed is too small so they are fine for single occupancy not for double I would have expected a better reception in a four star hotel, wonderful location fascinating historic building nice view from the room with balcony
