,Hotel_Name,Negative_Review,Positive_Review
371164,Hampshire Hotel The Manor Amsterdam,No Negative, Comfy bed and menu food and service in the restaurant was excellent staff were polite helpful and courteous the bar next door The Kuiper was excellent also and very handy for a 3am finish Would definitely recommend and stay again although a little bit pricey not best located although tram line is on your doorstep and taxi was E60 each way from airport 
371165,Hampshire Hotel The Manor Amsterdam, I personally thought that although the room was classed as superior double it was not in my opinion There was only a shower i sometimes think that they keep smaller basic rooms for the likes of booking com etc, small single beds not queen size cosy though
371166,Hampshire Hotel The Manor Amsterdam, Nothing, Spacious Very welcoming with plenty of reception staff available Italian restaurant in the hotel very reasonable Gave us a free upgrade even though only stsying one night 
371167,Hampshire Hotel The Manor Amsterdam, the bed twins put together very soft not so good for people with back problems, great staff great room they gave me an upgrade with nice view on a park 
371168,Hampshire Hotel The Manor Amsterdam, Apart from the cleaning crew leaving my door open for literally 12 hours but nothing got stolen it is difficult to find anything not to like about this hotel Try to avoid ground floor rooms Too much traffic for safety when your door stays open and not enough light , The hotel staff was very very helpful kind and polite even cracking jokes as they were investigating who had left my room door open for the whole day the cleaners while I had been in meetings Altogether very friendly and competent The rooms designs are very friendly and modern with very nice bathrooms 
371169,Hampshire Hotel The Manor Amsterdam, Staff were so so day staff helpful night staff pretty appalling hairdryer in room hopeless bring your own cheap looking decor , Decent facilities for a mid price hotel good transport links quiet comfy bed and good shower 
371170,Hampshire Hotel The Manor Amsterdam, Plumbing issues in first room which were resolved by changing rooms , Tram outside to take you into centre Concierge very friendly and helpful Bar staff accommodating 
371171,Hampshire Hotel The Manor Amsterdam, The people at the front office should review their way of communicating Apart from the tall guy meno and the chinese guy at the reception with a huge smile the rest is just of pure joke and I m saying that on the fact that I travelled a lot and work in the hotel industry before as a manager , Excellent Rooms the front office need to be reviewed Meno the chinese guy will take care of you the rest need to get extra training to work in the hotel industry House keeping is on fleek Bike rent is a good option Tram very easy to hop in Overall nice 
371172,Hampshire Hotel The Manor Amsterdam,No Negative, I loved this hotel The location was perfect It was outside of the city center in a nice safe and lively area It had a yoga studio Yoga4all right across the street I could take yoga classes at multiple bus lines are 5 10 min walk away main train station to travel inside and outside the city is 10 min walk away many restaurants shops cafes bars ect all 5 20 min walk away wonderful park across the street and safe happening area The staff were very friendly and helpful the generously upgraded me for free because I love rooms with a balcony The room itself was very modern wonderful view clean and spacious I have no complaints at all and have recommended the hotel to multiple friends visiting Amsterdam When I return I will be staying here again 
371173,Hampshire Hotel The Manor Amsterdam, Breakfast is on the expensive side , Good option on the outskirts of Amsterdam Is a little ways away but a quick taxi will get you to the city center Front desk was helpful getting a taxi within seconds 
371174,Hampshire Hotel The Manor Amsterdam, Hair dryer did not work Little Lights by bed did not work when paying final bill they didn t discount even a coffee as a gesture That s all it would have taken, The balcony was lovely The room was pretty
371175,Hampshire Hotel The Manor Amsterdam, Small problem with restaurant first evening they were busy and said we could not have table service outside service was good but warm Second evening we sat inside again and everybody else sat outside we realised too late and our service was terribly slow Food is good and reasonable price Second day we came back after having been out for 8 hot hours and room had not been cleaned Sat down for 5 minutes then a knock at the door and it was suggested we left the room while they cleaned it as they had had 8 hours we said no get on with it and work round us they did We mentioned both these things at checkout and they made a couple of decent deductions and very apologetic We did not find a lounge bar snack service area maybe we missed it , We did not want a city centre hotel as they are small and no private parking this hotel is on the outer fringe of the city centre very well placed for walking and transport AND you can park in front of the hotel at a fairly normal charge for city parking Staff are v helpful with advice in house cycle hire attraction tickets tram tickets routes etc CARE there are cyclists everywhere and they have priority there are also pot smokers everywhere and some cyclist smoke pot while they are cycling and answering their phone at the same time so YOU have to keep your eyes open Breakfast is excellent standard E15 or plus E5 00 which includes cooked to order eggs Benedict etc with good service We had a Junior Suite with small balcony on the back overlooking a v small quiet park room very quiet even with all the windows open 2 minute walk to tram stops and Oosterpark a nice green park use the trams they are easy with good route message screens cost 7 50 a day and save miles of walking we came back one evening on a tricycle taxi very refreshing on a warm night Decor is Art and corridors a bit vivid and rooms quirky but not unpleasantly so Nice hotel for our 3 nights
371176,Hampshire Hotel The Manor Amsterdam, There is no A C It was a little warm while we were there so we had to keep the window open Well cracked actually because the window wouldn t open very far The layout of the bathroom is a bit odd as well , Easy to get on the Tram as it stops in front of the hotel Makes getting in and out of the downtown area very easy 
371177,Hampshire Hotel The Manor Amsterdam, The bed was really comfy my only complaint was that the pillows were too plump Also breakfast was quite steep at 15 Euros each but we found a lovely bakery just a few doors away which served lovely waffles croissants and breakfasts , The hotel is located outside of the main city but just a short tram ride away It was nice to get away from the hustle and bustle of central Amsterdam and enjoy the more relaxed atmosphere around the Oosterpark The hotel was excellent very clean the staff were friendly and the room and facilities were fantastic We ate in the restaurant one night which was nice but a bit pricey 
371178,Hampshire Hotel The Manor Amsterdam, Compared to my previous two stays at the hotel the staff service was poor When we arrived we explained we had two rooms booked as my girlfriends sister was accompaning us to which the front of house lady was quite adament that we hadnt even though we had double checked confirmation a few days prior and had already paid in full for the room The lady then found the room and offered no apology as to how stern and adament she was at first Dinner service was slow and not very good We waited about 30 minutes for our starter and then 40 minutes for our main both were ok but nothing worth waiting for Breakfast has changed from self service to wait and order by the waitress which both mornings i had to go up to them to order as i was tired of waitiing for them to take my order even though they wasnt very busy I have stayed here three times in total and thats why i returned this time but i will be looking for another hotel the next time as the service wasnt good enough this time around , Cleanliness was very good beautiful building nice area
371179,Hampshire Hotel The Manor Amsterdam, We got the deluxe room that costs approx 200 euros per night The facilities were a disappointment the mini bar was empty had only a complimentary small bottle of water for 2 persons and for 5 nights In the bathroom there was no soap bar no shampoo body lotion etc Sound isolation is poor, Location of the hotel interior design
371180,Hampshire Hotel The Manor Amsterdam, Parking lot had a high extra cost 25 euros per day , Excellent Staff Rooms are clean and nice The location is perfect Tram stop is infront of the Hotel so you can be at the train station downtown in 5 minutes The rooms are quite small but great if you stay with your couple Overall perfect Hotel 
371181,Hampshire Hotel The Manor Amsterdam, The restaurant Enoteca at hotel despite not really being full seems like staff has trouble coping with the limited number of guests present and I think service at the restaurants needs a big step up , Bed was comfortable Room slightly small for two people but manageable Staff generally helpful and friendly 
