,Hotel_Name,Negative_Review,Positive_Review
395211,Hampton by Hilton Amsterdam Centre East, Nothing , Upon arrival on a hot muggy day we were greeted with a smiling face and a Heineken beer tap right there on the check in counter First decision made The room was fully equipped with great A C and the most comfy bed and pillows we d had on the trip With the next morning free after a lovely breakfast we were happy to be able to book bikes for 3 hours from the hotel No helmets available of course 
395212,Hampton by Hilton Amsterdam Centre East, A bit expensive for what it offers no extra facilites like a gym or a swimming pool , Close to the Central Station 20 min walking and the city centre but at a quiet place The rooms are nice and very clean the bed truly comfortable Expensive as all hotels of this kind in Amsterdam The staff were very kind One thing I really loved was that at the reception you may order some food and hot drinks even late at night we arrived to the hotel at 00 30 and were able to order a pizza and hot milk 
395213,Hampton by Hilton Amsterdam Centre East, The breakfast bar needs to be made bigger it is very narrow and you cannot get to the things you want especially when people are making and waiting for the waffle machine You keep bumping into people , The staff were very friendly and helpful 
395214,Hampton by Hilton Amsterdam Centre East, Access for Taxi had to haul our luggage over cobble stones for quite some distance to ain hotel access Price is very high for type of accommodation , Very good choice at breakfast all the hot food was very good fresh and perfectly cooked Easy tram links to rail station cruise terminal and Rijksmuseum 
395215,Hampton by Hilton Amsterdam Centre East, There weren t many TV options , I enjoyed that the facility had everything you needed for your stay including a wireless printer to print loading passes a safe in the bedroom and breakfast every morning The rooms were large and clean 
395216,Hampton by Hilton Amsterdam Centre East, breakfast could be more various and during the mornings it was a little difficult to find a free table probably due to high season , comfy beds clean hotel nice staff peaceful area
395217,Hampton by Hilton Amsterdam Centre East, Absolutely nothing bad to say about the hotel But Booking com was not really there for us regarding a reservation error misunderstanding When we called booking com to find a solution to our problem we were left with our problem more or less alone the only alternative offered by booking com to split up and to acommodate half of out 5 people family incl 3 kids in another hotel in the RedLight district Nice alternative Thanks to Hampton again they offered more than 1 hour of their time and went the extra mile to find the perfect solution for us , The front desk staff was amazing They helped us with every little detail and went the extra mile to help us even in several situations that had nothing to do with our hotel reservation Thank you so much especially for your first aid kit and your promise that you would never forget us We also loved the breakfast food and display was excellwnt and very clean Thank you 
395218,Hampton by Hilton Amsterdam Centre East, No room service very basic food menu you have to go down to reception for No mini fridge or bottled water in the room No where to eat or buy snacks near the hotel Aircon a bit too strong and hard to control the temperature , Nice comfortable room nice staff Clean spacious rooms with modern furniture Close to tram line makes a trip to the city a 15 minute commute Basic but sufficient breakfast buffet The staff is very nice and accommodating 
395219,Hampton by Hilton Amsterdam Centre East, They did all travel days money guarantee on my card one week before arrival which is not rational and formal I booked free cancelation until two day before booking date but they did whatever they wanted , The staff and breakfast was very good
395220,Hampton by Hilton Amsterdam Centre East,No Negative, Good location with convenient access to public transport links Good selection of food at breakfast The staff were very friendly attentive and always greet with a smile which is a nice touch to making you feel welcome during your stay 
395221,Hampton by Hilton Amsterdam Centre East,No Negative, Staff very helpful and friendly Lovely breakfast Comfy bed and pillows Supermarket and restaurants within 10 mins walking distance Very quiet in hotel Lovely bathroom and shower Spacious room 
395222,Hampton by Hilton Amsterdam Centre East, The frontage of property was very ordinary with cobblestones and steps making it very difficult to access with luggage Also no access to front door for cars The front didn t give a good impression but once inside it was totally different, Breakfast was plentiful and delicious and breakfast room was also very pleasantly decorated Rooms were also spacious and pleasant 
395223,Hampton by Hilton Amsterdam Centre East, There were no bottles of water in the room only tea and coffee , Absolutely fantastic Very friendly and helpful hotel service Delicious breakfast large selection of products tasty waffles Room exactly as on the picture clean and spacious Good location safe and quiet neighborhood but still close to the centre 3 stops 13 minutes to central station by tram I really recommend this hotel Perfect place for a few days in Amsterdam 
395224,Hampton by Hilton Amsterdam Centre East, Breakfast is good warm buffet but it s the exact same every day Variety would be welcome , I recommend this hotel highly The service is excellent as are the rooms They are spotless The location is good it s not central but the tram down the street brings you to the center within a couple of minutes 
395225,Hampton by Hilton Amsterdam Centre East, Perhaps if there was a cycling coach available I would have been less scared to cycle in Amsterdam I found it a daunting prospect , Surprised by the gym wish I brought some sneakers 
395226,Hampton by Hilton Amsterdam Centre East,No Negative, Great hotel It s not located in the center but easy to get there by tram The bed is comfortable the breakfast was delicious and fresh with many options But the best part was staff everyone was really friendly and helpfull 
395227,Hampton by Hilton Amsterdam Centre East, Unfortunately I met a desk manager with very rude manners In addition although I paid the bill by cash after 15 days from my check out I still have my credit card blocked for the equivalent sum of money , The breakfast
395228,Hampton by Hilton Amsterdam Centre East, Liked everything , Located in walking distance to Amsterdam centre main train station or There is a train tram stop about 300 yards from hotel reception Great breakfast friendly helpful staff throughout the hotel 
395229,Hampton by Hilton Amsterdam Centre East, On check out the hotel tried to charge me an extra 71 euros due to an error they said was made when the payment was taken When I booked the hotel it said payment would be taken at the hotel on arrival although the money was taken just a couple of days after booking was placed The lady on the front desk told me that it was their error but I needed to pay the 71 Euros I refused and was then accused of being difficult and then she said that she d not speak to me any further I guess she just expected me to say yes that s fine and pay her All I did was question it and find that it was an error that they had made and not one that I had made I also said that they should have informed me of the error on check in not on check out which I believe would have been the correct way to deal with this issue ,No Positive
395230,Hampton by Hilton Amsterdam Centre East, Everything was fabulous but the cleaning staff although cleaned the rooms exceptionally well they forgot to put mugs in on one day and another day forgot to put towels in but wasn t a problem quick call to reception and they brought them up to us, Everything food staff rooms were all excellent and we will be staying here again if we come to Amsterdam again Cannot fault the hotel 
395231,Hampton by Hilton Amsterdam Centre East, Would like a fridge in the room , Only had one night at this hotel but would have been happy to stay longer Beds comfortable My teenage nephew found the pull out sofa bed very comfortable also Good choice of food for breakfast Quiet Only 2 or 3 tram stops from Amsterdam Central Station 
395232,Hampton by Hilton Amsterdam Centre East, No restaurant only snacks which were quite bad I ordered a pasta salad one evening and it came out frozen sorry sir let me get another one from storage ,No Positive
395233,Hampton by Hilton Amsterdam Centre East, Staff at reception unfriendly and rude The room was delayed for 1 h and the receptionist replied well thats how it is it only lacked what will You do about it The location should be better for this price If You want to walk to the center it is 30 min 20 min by tram The 3 person room had quite an uncomfortable sofa , The staff during the breakfast was really helpful and friendy Specially Mrs Ewelina was really kind and supportive The rooms were clean and small parking made handling a car lot easier 
395234,Hampton by Hilton Amsterdam Centre East, Staff sometime hard to understand explaination not adequate Toilet in room has sliding door Shower has no door, Luggage room Breakfast Close to tram station Big size lift
