,Hotel_Name,Negative_Review,Positive_Review
138470,Henley House Hotel,No Negative, I love the location of this hotel It is right off of Earl s Court Rd and a stone s throw to the Earl s Court tube station There is a pub at the corner and a number of restaurants and other shops right on Earl s Court Rd I will always stay here if there is a free room on my London visits 
138471,Henley House Hotel, Nothing was bad but I thought we would receive a hot breakfast but the continental breakfast was very nice regardless , The room I stayed in was very nice and modern and had amazing lighting The staff were very helpful friendly and attentive Overall a great experience and hope to go back again in the near future 
138472,Henley House Hotel, Porter upon arrival Had to change rooms had a veiw of 4 walls and paid extra for the room change And one of us had to sleep on a sofa bed We needed 2 beds Not enough electrical outlets or adapters Breakfast was terrible They even scorched the capppacino And the Italian restaurant wasn t much better for dinner, The service at the Italian restarant
138473,Henley House Hotel, Bathroom was tiny so tiny that a larger person will have difficulties using the facilities , Staff was kind professional very helpful in assisting with information
138474,Henley House Hotel, No hot water for 2 days with no apology or correction on the bill No place to store clothes or suitcases in the room Air conditioner intermittently worked , Decent breakfast 
138475,Henley House Hotel, Aircon went off overnight and London was in a heatwave so sleeping was difficult due to heat build up , Great room lovely little balcony overlooking a cute park Nice breakfast and fab location 
138476,Henley House Hotel, Since rooms are so small access to breakfast room during day would have been convenient , Although typical small London room it was modern and well laid out with nice view of back garden Frig in room was convenient Good continental breakfast in garden conservatory Very close to great access tube station Earls Court 
138477,Henley House Hotel, Nothing, Great location short walk from the train station Staff were very friendly The bed was very comfortable Shower pressure was reasonable Bathroom was small but has all that we needed 
138478,Henley House Hotel, The shower jet could be stronger and tall single travelers would have felt a bit cramped in the bathroom I am small so no problem , The hotel was conveniently located near Earls Court station and near bus stations Many restaurants and shops are around if you are hungry or need something at short notice Staff is incredibly nice and helpful Breakfast is fine Though I had a room to the street it was incredibly quiet in the night no traffic noise at all 
138479,Henley House Hotel, Bed was quite hard Breakfast not very successful plenty of seeded rolls but no croissants either morning of our stay coffee machine also broken on second morning , Although small the room was well equipped and very clean 
138480,Henley House Hotel, Breakfast finish at 0900 which we and other guests found a little early for vacation makers Staff in the breakfast was so eager to clean and close In my view hotel will benefit a lot from Better hospitality communication skills and good old manners to match the great facilities they have Why not to get an old hotelier from a respectable hotel to train the staff , Quiet location facing Barkson gardens small balcony refurbished new room of appropriate size for twin beds clean relatively spacious bathroom great fluffy towels bathrobes airconditioner quiet elevator available tea coffee facilities fridge with complimentary water only one bottle through for a twin room Excellent and highly recommended restaurant TheoSimplyItalian just next door was a discovery after all day Chelsea Flower show Restaurant is highly recommended for a supper or lunch with award winning chef doing reasonable priced Italian cooking Locals and Italians approve the food Try antipasti and hot starters Cook book is also available Hotel is close to the tube station 5 min walk 
