,Hotel_Name,Negative_Review,Positive_Review
115165,Henry VIII, The pool was of limits as was being cleaned which was a shame couldn t park outside the property we went in to book in came outside already there was a parking attendant by my car air con in room didn t seem to be working, The breakfast was good the accommodation was ok three friends sharing a room with three beds
115166,Henry VIII, Couldn t get wifi with the code provided more fresh fruit selection and dried fruit at breakfast would be good for gluten free sufferers and porridge , Staff were very helpful polite Location was fabulous good value 
115167,Henry VIII, The only down side was the air con was broken and we wasn t told about it , I love the extra mile the staff went for my partners birthday We ve been to over 10 hotels in central London the Henry Viii is in our top 5 We will be back 
115168,Henry VIII, Bathroom was disgusting and shower did not work Hotel in need of complete renovation and the pictures on booking com are nothing like what the hotel is actually like , Location
115169,Henry VIII, Hotel was very drab Room was supposed to be a double and should never have been anything but a single room Not good value for money Would not go back even if offered a free room , The location was excellent Only a short walk to the tube station 
115170,Henry VIII, There is no aircon in the room Although I double checked and it was actually not specified in the room facilities you would expect it in a 4 star expensive hotel The room was really tiny and without room for two luggages Breakfast was dreadful and I ve eaten it just to feel full for the day but not because I enjoyed it The swimming pool and sauna were the reasons I chose the hotel instead of other options but don t get in this trap the facilities are very very basic sauna very tiny and if you can find another hotel with bigger rooms and nicer breakfast go for it and forget about this hotel , The staff was nice although it is quite strange to be in a English hotel and see only Spanish staff sometimes struggling with English fluency
115171,Henry VIII, I couldn t get WiFi in my room and when asked reception about it I was handed a password code that should of been given to me when I booked in as standard The cleaner was cleaning the pool area from the day before whilst my child and I were in the pool at 7 15 Had to tell a fellow guest to shower off before getting in Should be more notices up maybe in the rooms , Nothing stood out
115172,Henry VIII, Tiny tiny rooms need tobe updated was missinformed about the breakfast times and booked train tickets accordingly was told breakfast starts at 07 00 asked the receptionist upon arrival when in fact in weekend it starts at 07 30 , Location
115173,Henry VIII, The decor is a little dated and the sauna could be bigger but that s really the worst thing I can say it s a great place , The staff were amazing so helpful and kind 
115174,Henry VIII, Reception service was friendly but incredibly and frustratingly slow Decor very old fashioned and basic rooms Breakfast poor quality inedible eggs and hot drinks from a row of push button machines, Location quiet and convenient for Hyde Park Royal Albert Hall
115175,Henry VIII, The coffee machine only giving part measures and the television remote did not work It appears it was the wrong one It took quite a while to sort , I make use of the swimming pool
115176,Henry VIII, This is no way a 4 star hotel rooms are very small Carpets in hotel need to be replaced especially floor 5 very dirty No air con working Bar had only I white or 1 red spanish wine no sparkling rose or other country Very poor bathrooms no storage or shelf for toiletries Large crack across our sink ,No Positive
115177,Henry VIII, They froze the 120 cost for the room on the date of booking even though Booking com state no prepayment required When my daughter clerked in they demanded payment from her I called and spoke to two lovely but discussion was difficult as neither appeared to understand me I have a very mild NZ accent often confused as English They are continuing to hold the 120 payment though the stay ended yesterday I want Booking com to look into this matter, Good bed Breakfast was good
115178,Henry VIII, Breakfast was terrible The cook needs a good talking to All the pastries were burnt and the eggs powdered and tasteless and the mushrooms stewed with no flavour One male staff member strutted around with his sleeves rolled up so high on his arms for the purpose of showing his tattoos Very tacky The female staff in the dining room looked very unenthused and stood around talking , Staff at the front desk were friendly and helpful Room was adequate but the sauna and pool were lovely to relax in after a big day 
