,Hotel_Name,Negative_Review,Positive_Review
271263,Hilton Amsterdam, The schooner bar was not open during hours it should have , I ve been staying there offs and on for 50 years Always love the spaciousness friendliness location stay on a quiet canal Rooms are not large but easy to move around with a baby bed 
271264,Hilton Amsterdam, The only thing we didn t like was leaving , The staff members are world class Amazing view in the king junior suite balcony comfortable massive bed and a big thank you for the complimentary honeymoon cake and drinks We shall return 
271265,Hilton Amsterdam, Roberto s restaurant in the evening no option for eating inside sandwiched between other diners no privacy Staff unfriendly Menu poor Took away appetisers bread while my husband was eating these Very expensive And smoking permitted, Breakfast was excellent so much choice and waiting staff friendly and helpful 
271266,Hilton Amsterdam, This isn t a 5 star hotel more like a 4 star We were right next to the lifts Our room was not ready on arrival despite arriving 30 minutes after check in Bar prices were extortionate and to top it all off they had messed up my bill and charged me almost an extra 300 pounds The lady on reception was apologetic and I was reimbursed but I am still very unhappy They blamed Booking com so I will be making a formal complaint , The staff were friendly and the location was lovely The rooms are comfortable enough We were provided with flowers prosecco and a cake for our anniversary which was lovely The rooms are made up daily 
271267,Hilton Amsterdam, Rather expensive for my small dog I thought 30 Euros was far too much on top of the price of the already quite expensive room , Good location and nice for a walk around the random outdoor art pieces nearby Good neighbourhood and good access to city centre by tram number 5 and number 24 Some decent restaurants within walking distance to enjoy a breakfast for less than half of the hotel price Would stay there again for sure 
271268,Hilton Amsterdam, Tram number 16 is currently being reconstructed so there is a long walk to the other trams serving the area The breakfast is far too expensive for people who just want coffee and a croissant and the coffee bar is closed on weekends , This is one of the few hotels in Amsterdam where you can park your car easily although you will have to sell one of your children to pay the bill We first visited this hotel in 1970 the year after John Lennon and Yoko made it famous and back then it was considered a luxury hotel Unfortunately it hasn t changed much and you still have to climb in the tub to shower and the rooms are still the same size We had a canal view room and it does have a wonderful view of Amsterdam but to be honest this is probably the most expensive Hilton we have ever stayed in and really you are paying for the parking lot because nothing else warrants the rate they charge The hotel is in an upmarket neighborhood and there are a lot of restaurants within a few minutes walk If you don t have a car there are probably a lot better options for less money 
271269,Hilton Amsterdam, No pool , Large room Awesome breakfast Waffles smoothie were the best Lovely back terrace canal area Very accommodating staff Staff was wonderful 
271270,Hilton Amsterdam, I have upgraded my booking to executive room to get the benefit of lounge unfortunately the drinks and food is not provided full time only in the meals time you can get drink What I do recommend is to grant a food and drinks as long as the lounge is opened , I like the whole property in general Everything was great and convenient 
271271,Hilton Amsterdam, Euro35 to go to city center Trams is still a fair distance to walk in rain , Too far away from city center Tram tickets ran out at the concierge desk There were hardly any decent restaurants around Robertos on premise was excellent but be prepared for steep price It is well worth it if it is a one off treat Second day went to neighboring hotel restaurant and this was a mistake Breakfast staff were helpful friendly Like the time spread for breakfast Take your pace and no one there to rush you around 7am to 11am on weekends Wow thanks for letting me sleep in Lots to choose from Be prepared for the buffet spread in a large area Walking distance from buffet to the table can be a long walk for our elderly Both mornings I was there cereal bowl run out and had to wait for bowl spoon Taxi voucher Euro35 to airport well worth it Hassle free
271272,Hilton Amsterdam, Old school outdated and very expensive for what it is Need refurb and new concept overall , The staff at front desk and breakfast were very nice and very attentive 
271273,Hilton Amsterdam, n a, Beautiful decor excellent staff clean room comfortable bed fantastic food delicious breakfast experience Walk or tram to rijkmuseum and city centre 
271274,Hilton Amsterdam, Cost of 2 local phone calls was 23 euros , Very nice room and bathroom 5 blocks from a major tram route Walkable to many sightseeing spots Very nice breakfast which was included 
271275,Hilton Amsterdam, The room was very noisy You could actually hear the elevators moving day and night because the noisy from the elevators came through the pipes of the air conditioning right into the room This was extremely annoying especially at night The breakfast 27 EUR was overpriced The furniture in the room looked pretty shabby and out dated Considering the amount I paid it was definitely not worth the money , I liked the view from the room overviewing the city and the location in the south of Amsterdam not far from the city centre 
271276,Hilton Amsterdam, We booked 2 executive plus twin rooms for 2 people in one room and 3 in another The extra bed was put in the smaller room instead of in the bigger room which was very spacious , The breakfast was sumptuous They even had chia seeds and pomegranate 
271277,Hilton Amsterdam, why charge for wifi the signal was bad we also got a invoice under the door for mini bar we didn t use except keeping strawberries in the fridge the city tax wasn t mentioned when we booked we have been to many other plush hotels and haven t paid so much as we did on this one they don t need to charge so much, the hotel was lovely very clean and modern staff were lovely aswell the only downfall was the city tax we had to pay 135euros on a credit card which we have to wait upto 10 days to get back and paid 795 euro each day for wifi and signal very poor come on HILTON the prices you charge you could do free wifi and this city tax weve been all over Europe and not paid this
271278,Hilton Amsterdam, No walk in shower in our 200 night room Only shower over bath with nylon curtain Would need to pay more for upgrade if you can t climb into bath BE AWARE there are currently major roadworks going on to the north of hotel which means convenient travel is more difficult Will last a few weeks be prepared to walk or cycle , King size bed in deluxe room with great view of city Hotel in quiet select area near museums and Voldenpark Follow road to right of hotel for high end shops etc and great Italian Restaurant for pizza pasta at good price Staff in hotel very helpful and efficient 
271279,Hilton Amsterdam, Bad breakfast had to wait in line to get seated some basic things were missing Bad turndown maid service knoking on the door and shouting entering within 3 seconds if you did not answer the door immediately totally unacceptable and nerving behaviour Not in the center taxi to get to the center was between 12 20 Euros one way Booked a corner suite the bathroom was smaller than in standard rooms in other hotels , Nice view over a canal Detached and rather quiet area 
271280,Hilton Amsterdam, Sadly my partner and I experienced an uncomfortable moment on Wed evening 19th April at Robertos We did arrive late for dinner at 10 15pm At the door we stated we wished to sit down to a meal and were invited to a table Sadly we felt we were rushed to make a decision on our meals the waiter was initially quite abrupt and his body language indicated we were a bother to him He did however warm in his manners towards my partner and I after we made an extra effort to be pleasant to him Guilt methinks If the kitchen was closed at the time of our arrival 10 15pm then my partner and I would have been more than understanding if we were advised this and ordered room service At a cost of 185euros the ambience did not meet this cost , Staff were professional in manner helpful with questions and always willing to give a friendly smile Very happy with customerservice standards I am a retired manager and know the value of staff enhancing a business reputation through their presentation 
271281,Hilton Amsterdam, The meniu of the restaurant has only few ways of food not varied The price was to much for very small portions of food Old furniture in room All old in bathroom And they take deposit of 220euro on I make the chekin Nobody tell us when I make the reservation , I like cleaning of the room and breakfast 
271282,Hilton Amsterdam, Was a beautiful area but away from all the shops and restaurants Had to travel a little bit to get to the centre of town , The staff were very helpful with directions in and around Amsterdam there was gentleman from Hong Kong behind reception who was really wonderful and made our stay superb 
271283,Hilton Amsterdam, They lied and said it was only 5 min away from town centre which turned out to be 45 min and cost us a lot For cab every time we went out staff then said we had to stay there or we get charged anyway even know we stated they said It was close to town,No Positive
271284,Hilton Amsterdam, The pillows are too soft have no substance No pool Away from city highlights but being in a quieter area was attractive to me, Clean comfortable Lovely outlook over canal Attractive beer garden Late checkout no problem
271285,Hilton Amsterdam, We wanted to check out late but the late check out fee was extortianate just for a few more hours I would understand if we actually stayed another night but not a fee of 99 tons pend half a day there Apart from that excellent stay , The staff were extremely accommodating and the bed was so comfy very easy to have that much needed lie in We had a lovely weekend 
271286,Hilton Amsterdam, The interior of the room has started getting old and well used The beds were rather hard from the use , The service at the breakfast boufe was the best i have ever experienced The breakfast itself was very good too but the service was extraordinary friendly and professional 
271287,Hilton Amsterdam, Room got very hot during the night Robes were very hard Breakfast service on the Sunday was very slow, Staff were excellent Breakfast was very good on the Saturday Room was very clean And bed was comfortable 
271288,Hilton Amsterdam, 1 Breakfast buffet is way too small for a 5 star hotel 2 Furniture in the rooms is old and slightly damaged 3 Hotel is not in the city center of Amsterdam location is kind of bad ,No Positive
271289,Hilton Amsterdam, Staff a little cold was advised that wi fi would be an extra which I thought was ridiculous for what is a business hotel Got it eventually More for business people as opposed to tourists, very comfortable hotel
271290,Hilton Amsterdam, We arrived and the room that we had booked but the entire hotel was overbooked So for the first night we stayed at a double room and then we got an upgrade for a suite for the following 2 days of our stay but the room was freezing cold The maintenance department came to fix the problem the problem was presumably fixed but it really wasn t Very bad decor and really disappointing facilities I will not visit again , Really great staff at the breakfast room 
271291,Hilton Amsterdam, To have customers paying for th Wi Fi is out dated and feels being insulted , The wonderful half moon bar The tremendous breakfast The dining in the main restaurant
271292,Hilton Amsterdam, Location It was far away from city center Spa area too small, Nice view of the canal Very Clean Excellent service Nice breakfast Value for money
271293,Hilton Amsterdam, Spa health facility closed for maintenance We only found this out on arrival , Service high quality room breakfast attentive and helpful staff Sweet treats on the reception desk were an added bonus 
271294,Hilton Amsterdam, Food location prices , Very kind straff Not that close to center for this price By city train It took us 10 15 minutes To center too Cold to Walk Later on the trip we saw cheaper hotels closer to the centre Food not that good and very Expensive Have to say everything was expensive and that is okay If the standard would live up to It and IT takes 1 h for them to take the deposition but several days to get It back But clean nice hotel and very kind helpfull staff IT would also be fare to the customers IF Hilton hotel could inform you that you pay taxes each night that you stay we got a chock when we saw everything extra that vi had to pay
271295,Hilton Amsterdam,No Negative, The breakfast was very good Room is clean and comfortable Service is good staff is friendly and helpful Free wifi if connection not always jump off will be much better by saying that I am still very satisfied 
271296,Hilton Amsterdam,No Negative, All staff very friendly and helpful rooms very comfortable and comfortable bed Would stay again easy to get to from airport using the train and tram 
271297,Hilton Amsterdam, A fried egg at breakfast would have been nice as I found the scrambled egg mushy with not much other option except hard boiled , Room was clean and comfortable
271298,Hilton Amsterdam, Very expensive parking When we booked a 3 adult room we were squeezed to a 2 people room where the extra bed barely fit the booking details were very misleading Had to complain and argue with the staff to finally get upgraded All and all painful experience , Good breakfast 
271299,Hilton Amsterdam, I booked on my husbands name as it was for his business and I arrived before him They didn t want to grant me access to our room Even when I should them my booking confirmation in the booking com app I was not granted a key After I asked for the manager it was arranged At the same time I was standing at the incheck 2 more people next to me had arguments with the staff One person even walked away and said cancel my booking Also there were no umbrellas offered at the door and it was raining People were complaining everywhere in the hotel In the bar they only speak English no problem but still we are in the Netherlands at least one person should speak Dutch They recently took the Boerenkool a typical Dutch dish off the menu The staff didn t even know what we meant All a big dissapointment , Nothing all very disappointing 
271300,Hilton Amsterdam, I wasn t allowed to smoke indoors I did not see any no smoking signs and I was fined on the dot for 250 I also was not provided with a spare bed , I like the bed it was very comfortable 
271301,Hilton Amsterdam, The elevators move very smoothly You don t feel the moment they stop and the doors are opening When you are alone with your partner in the elevator and kissing enthusiastically you are not aware that the doors are opening What can be embarrassing for some people , We had breakfast in the lounge on the highest floor witch offers a beautiful panoramic view of Amsterdam especially when rainbows are present I appreciated very much the breakfast knives Not to light no to heavy perfect indentation I could cut my croissant in half without much pressure and without any crumbling and with conserving the inner en outer structure of the croissant An amazing feeling 
271302,Hilton Amsterdam, The room was outdated and not that clean especially for a five star We felt that the menu for room service was way over priced And usually at five stars water bottles are complimentary but the water was overpriced in the mini bar , The location was great and the staff was extremely friendly 
271303,Hilton Amsterdam, Didnt like the size of the bathroom with having also the shower inside the bath for a 5 star hotel i was expecting a higher standard the television had only bbc1 bbc2 also 20 for 2 glasses of wine not impressed, The staff was really good the rooms were cleaned regularly
