,Hotel_Name,Negative_Review,Positive_Review
454064,Hilton London Canary Wharf,No Negative, Everything
454065,Hilton London Canary Wharf,No Negative, bed was great the room was really clean and the breakfast excellent
454066,Hilton London Canary Wharf,No Negative, The staff were amazing the room was spacious and comfortable and the food was great My three children and I had the best stay 
454067,Hilton London Canary Wharf, 5 50 for a bottle of water in room , It was just what I expected and the standard was high Room was a good size
454068,Hilton London Canary Wharf, The bed , Staff exceptionally friendly and helpful
454069,Hilton London Canary Wharf, sign approaching hotel hard to locate, very friendly and helpful staff excellent breakfast clean comfortable room
454070,Hilton London Canary Wharf,No Negative, Comfortable bed
454071,Hilton London Canary Wharf, No parking, Breakfast
454072,Hilton London Canary Wharf,No Negative, Excellent welcome for a disabled guest
454073,Hilton London Canary Wharf,No Negative, The breakfast was excellent The location was very good too and the room was spacious 
454074,Hilton London Canary Wharf, Nothing, Breakfast great and hot staff friendly and helpful
454075,Hilton London Canary Wharf,No Negative, Great welcome at reception large spacious room and good breakfast 
454076,Hilton London Canary Wharf,No Negative, very helpful staff could not do enough so handy for tube 
454077,Hilton London Canary Wharf, You had to pay for wifi , Loved the location as had a concert at the 02 disappointed we had to pay for wifi in the room but overall it was great 
454078,Hilton London Canary Wharf, Having to pay quite so much add on s for room service breakfast , Huge room and bed Wonderful room service breakfast 
454079,Hilton London Canary Wharf, nothing, everything was perfect and the staff where helpful friendly
454080,Hilton London Canary Wharf, Room 217 was very cold even with an extra heater,No Positive
454081,Hilton London Canary Wharf,No Negative, Friendly staff
454082,Hilton London Canary Wharf, More teabags milk and sugar in the room Us Brits love a brew , Large room fantastic bed great staff reasonable car parking charges
454083,Hilton London Canary Wharf, Bathroom wasn t as clean as the rest of the room, Bed and room amazing Extremely friendly staff
454084,Hilton London Canary Wharf, Wi fi didnt work half the time, Swan on the bed Complimentary tea coffee water facilities Comfy bed Ice bucket
454085,Hilton London Canary Wharf,No Negative, staff friendliness lovely spacious room and very comfy
454086,Hilton London Canary Wharf, Nothing, The overall feel of the hotel access to tube easy
454087,Hilton London Canary Wharf,No Negative, Great value
454088,Hilton London Canary Wharf,No Negative, The staff were very helpful particularly IZZY He went out of his way to help me 
454089,Hilton London Canary Wharf, Nothing, Everything about this hotel
454090,Hilton London Canary Wharf, Price of breakfast, Comfy beds great location
454091,Hilton London Canary Wharf, pillows to soft,No Positive
454092,Hilton London Canary Wharf, Cheaper breakfast,No Positive
454093,Hilton London Canary Wharf, nothing I liked everything, they upgraded me to an executive room after they heard how terrible my journey to the hotel had been 
454094,Hilton London Canary Wharf,No Negative, great location and good secure parking on site
454095,Hilton London Canary Wharf, Didn t have breakfast as 16 per person, Close to Tube station very clean and spacious rooms
454096,Hilton London Canary Wharf,No Negative, The staff especially stefania
454097,Hilton London Canary Wharf, Price Breakfast should be included in room rate, Location
454098,Hilton London Canary Wharf, We had to park 700 metres away as only 25 spaces at hotel, Large Room staff couldnt do enough 
454099,Hilton London Canary Wharf,No Negative, Great location in Canary W close to tube and DLR
454100,Hilton London Canary Wharf, Duvets were too warm but bed was quite comfy Air con noisy at night , Lovely spacious rooms and fantastic breakfast 
454101,Hilton London Canary Wharf, Nothing, Location Room Breakfast Everything Perfect hotel
454102,Hilton London Canary Wharf,No Negative, Good hotel in convenient location for what we wanted
454103,Hilton London Canary Wharf, Payment car park uncomfortable beds tough to find and Tray service at 5 an order which is a disgrace , Fast lifts large rooms and large to 
454104,Hilton London Canary Wharf, Price of breakfast extortionate , Staff friendly and helpful Facilities clean and welcoming Location excellent 
454105,Hilton London Canary Wharf,No Negative, Plenty of options for breakfast staff delivered pretty quick
454106,Hilton London Canary Wharf,No Negative, Nice rooms
454107,Hilton London Canary Wharf,No Negative, We had an extra bed and a sofa bed for the children Great staff 
454108,Hilton London Canary Wharf, Forgot to clean room but quickly rectified , Nice large room Good wifi
454109,Hilton London Canary Wharf, Mini bar was very overpriced for what it is , Staff are very friendly and helpful Bed was really comfy the room was clean and well laid out
454110,Hilton London Canary Wharf,No Negative, The room was nice and clean
454111,Hilton London Canary Wharf, Bar snacks not good value, Great location 
454112,Hilton London Canary Wharf, Ran out of shampoo shower gel and it wasn t replaced , Very comfy bed
