,Hotel_Name,Negative_Review,Positive_Review
361190,Hilton London Wembley, The swimming pool wasn t as clean as I thought it would be but everything else was amazing , The staff were so nice and the breakfast was delicious and our bed was super big and super comfortable 
361191,Hilton London Wembley, Aircon not up to the job 3 people in the room on full was still warm but hotel provided us with a fan and room did smell a bit damp otherwise perfect, service was great doorman really good and receptionist also Mohan in dinning room was exceptional and location perfect for daughters graduation at Wembley
361192,Hilton London Wembley, Parking was more expensive than I thought although it was validated by hotel even though I left a day early was charged forv2 days stay , The staff were very friendly and did everything possible to help The hotel is clean and the rooms spacious and beautifully decorated The location is ideal although it is out of central London there is a station close by with regular services 
361193,Hilton London Wembley, Nothing , It was my second stay during my trip to london I choose to return back to the same hotel due to the beautiful treatment from the staff to the residents in the hotelso I thought it would be the best option for me to spend night in hilton prior my flight on the next day would like to thank eveyone for their assistance and warm welcoming 
361194,Hilton London Wembley, The breakfast in the executive lounge could have been better by having hash browns so that a full English breakfast could be eaten and more choice of cereals , Bed was amazingly comfortable 
361195,Hilton London Wembley, The front desk was helpful but not what you d except for a four star hotel you will have to repeat yourselves a few times The pool was take up with an outside swimming class which were teaching small children and there was no room for a paying guest but this was the only bad points which id like to see change but i will be back thats for sure , Its easy to find if you live outside of London and your traveling to wembley as its about 2 minutes walk the hotel Its very clean and the staff on the front desk are helpful 
361196,Hilton London Wembley, Lighting was poor I was a bride getting married at the venue and wasn t given a suite after being told a few hours before that I would get it It was disappointing to not get the suite but even more disappointing to know that I didn t even get one of the rooms with better lighting on the other side which should have been common sense to the hotel , The room was spacious and comfortable 
361197,Hilton London Wembley, Can t fault it , The staff were very helpful and friendly beds were comfortable and love the pillows view from the room excellent very clean room love the Bar and the service 
361198,Hilton London Wembley, Nothing , After long trip from Oman we arrived hilton hotel in morning time at 9 00 AM and the receptionist told us our room is ready which was something we appreciate it from the hotel management team rooms are spacious and very comfortable compare with rooms sizes in london hotels Staff are helpful and willing to offer assistance anytime breakfast was delicious and the staff working there are really supportive and smiling all the time we really had wonderful timing in there I would like to thank Mrs Daiva for her great supervision hilton wembley located in very attractive area surrounding with outlet shops and many restaurants and 10 mintue by the train to Paddington station which is another advantage As usual hilton hotels are the best in terms of professionalism of their staff I would like everyone for thier great work and keep it up with the good work 
361199,Hilton London Wembley, The only thing that could have been better was the bed was a little hard , Location was excellent only a couple of stops on the tube from central London and the rooms were large and spacious 
361200,Hilton London Wembley, Terrible customer service in particular the bell boy who was rude The lock in one of our two rooms is spoiled , The hotel is close to the Designer Outlets 
361201,Hilton London Wembley, I was expecting a bigger room than what we had , the location is very good just next to the designer outlet lots of restaurants around it as well Staff are very helpful and friendly Facilities are quite good as well Breakfast are delicious 
361202,Hilton London Wembley, The rooms were far too hot no windows that opened and the air conditioning was appalling It was meant to go down to 18 C and it certainly was nowhere near that we were melting , The Hotel was clean and tidy and the rooms were nice and big The breakfast was great 
361203,Hilton London Wembley, The minibar fridge did not work in one room the fridge in the next room would get locked every time The sink was clogged the counter had horrible stains over all cleanliness was lacking, The room was nice and quiet the bed was comfortable
361204,Hilton London Wembley, Basic nothing special I treated my mother to tthe visit for a family wedding celebration Time looks to have paid a toll on the company as standards improve and gaps are bridged within the hospitality industry , Having stayed at H10 Meloneras Palace Gran Canaria I was hoping for a simila experience My Daughter held her 18th Celebration London Hilton after attending a show and that was excellent 
361205,Hilton London Wembley, Again poor water pressure it can be more comfortable if the water pressure is higher Parking is very expensive I had to park in a commercial car park and paid 40 pounds each car for two days parking I feel this is a little bit pricey , Got my room upgraded with my Hilton membership card Good location close to the tube station The executive lounge provides breakfast and free drink Tastes OK for free breakfast Staff are very helpful 
361206,Hilton London Wembley, Nothing to cause annoyance The accommodation was fine , It was our wedding anniversary and the staff had put Swan shaped towels out and petals on the bed which was lovely Great and kind service 
361207,Hilton London Wembley, The breakfast was a bit of a let down but it had good selection of food and relatively cheap The porter wasn t really helpful and was on phone all the time during the collection , It was a comfortable stay nice room and bathroom Many outlets bars and restaurants nearby which was very convenient 
361208,Hilton London Wembley, Brekkie Buffet Not Large Enough For A 5 Star Spread Cld Have Been Better Probably You guys Shld Waive Off The Charges For Water Btls After All It s Just Water , Toilets Were Clean Rooms Were Pleasent
361209,Hilton London Wembley, Price For big events this is very expensive vs room size quality , Great hotel for Wembley location cannot be better friendly staff and nice room 
361210,Hilton London Wembley, A staff member walked into my room whilst i was naked and did exactly the same to my brother who was in a different room on the same day she was part of the house keeping team knocked the door lightly and let herself in rather than ask if anyone was in I was quite shaken and embarrassed There was also a big ball of blonde hair on the carpet in our room when we checked in It matched with the color of the carpet so was maybe difficult to see , The way the manager delt with my concerns 
361211,Hilton London Wembley, Not a lot really forgot our swimming stuff though so couldn t use the pool our fault not the hotels but will make sure I have them next time , The Executive room was lovely and definitely made our weekend Great location within easy reach of the tube lines and of course Wembley Wembley arena Would highly recommend this hotel
361212,Hilton London Wembley, I thought we were getting an executive suite that over looked the stadium We actually looked out over the shopping centre The Suite was not what I would expect for the cost of the room This was a standard room with extra fittings We only had 1 comfortable chair between us The term suite was not how would classify this room , All the facilities were great The location was exactly what we wanted as we had planned to see Adele 
361213,Hilton London Wembley, The executive lounge was very crowded in the evening , We arrived at the hotel early and were able to check in right away They also gave us late check out when we requested it Asked reception to bring up some champagne flutes which they did with no problem The breakfast was great and we enjoyed using the health club facilities 
361214,Hilton London Wembley, The beds were the only complaint we had We had to change rooms because our bed was so uncomfortable but the matter was delt with quickly and effectively and as mentioned previously the staff were absolutely delightful Yes the first bed we were given was uncomfortable but Hilton really was fantastic in resolving the problem We are very happy customers and we would thoroughly recommend this hotel , The staff were incredibly helpful and friendly One member of staff in particular Janade was absolutely fantastic So friendly and helpful What I think is most important though is that he was human We had a laugh and it truly felt like we were talking to a person rather than a member of staff you know I love that kind of service Very happy 
361215,Hilton London Wembley, The quality of breakfast and room service was mediocre at best That such a prominent hotel did not have its own car park or did not cover the cost in full of the local car park , The location was very convenient for access to the tube Room was spacious 
361216,Hilton London Wembley, It was very expensive and for us it was just very poor value for money we only booked one night there because we were due to go to concert at Wembley The view from our window was of a corrugated wall about two meters away There was three smallish bottles approx 500ml of water which you had to pay 2 99 each for there were no bath robes as it claimed there would be the carpet was stained in various places and the TV did not work properly There was a tray with a kettle for your tea and coffee needs but it contained three small cups three sachets of coffee three decaf coffee two teabags two lemon and ginger teabags two sachets of white sugar two brown two sweetener and three little pots milk We were not impressed we had stayed for three days beforehand at the Travelodge Stratford for half the cost of the one night at the Hilton and it was far superior spotlessly clean nothing was too much trouble and you did not have to pay for the extra things We would definitely not recommend the Hilton the Travelodge was much nicer ,No Positive
361217,Hilton London Wembley, Very expensive for relatively basic room Paying for location presumably , Breakfast was varied and good however Husband was ill later that day and said sausages seemed undercooked Location for Wembley was perfect even though our concert was cancelled 
361218,Hilton London Wembley, The hotel held 600 on my bank card on Wednesday and it s still being held today Monday We paid the bill in full on Thursday morning I find this very disappointing,No Positive
361219,Hilton London Wembley,No Negative, Breakfast was plenty of choice only thing wrong was tea was only warm not enough milk ect in room considering how much we paid price was inflated because of the concert we were there to see but overall enjoyed our stay 
361220,Hilton London Wembley, No dressing gown slippers Bathroom dated No please make up my room sign so had to ask for service one day and woken 8am another, Bed ice gym view
361221,Hilton London Wembley, The strong smell of liniment in the room The fact that more water came out of the shower hose than the shower head Only one small bottle of shampoo and shower gel ,No Positive
361222,Hilton London Wembley, An absolute rip off Appalling service Uncomfortable bed Useless bar staff Rude and despicable behaviour from security No guarantee to get in the bars Extortionate prices for food and drink 24 70 for two glasses of very average wine Buffet only in the restaurant for 120 A complete rip off even with excellent service but the service was SHOCKING 600 for one night just the accommodation for complete GARBAGE , Very little 
361223,Hilton London Wembley, Found the selection of drinks available is limited in Skybar , Staff were extremely helpful from the moment we stepped out of the taxi desk staff and concierge were fabulous Rooms were really clean and beds were very comfortable with plenty of pillows It was well stocked with kettle tea coffee etc All rooms had a hairdryer iron and air con Great unlimited breakfast with choices from the continental to full english pancakes and waffles even omelettes made to your own preference On the 9th floor is Skybar they also have a swimming pool and gym It is a great location for events at Wembley so close to shops SSE arena and much more 
361224,Hilton London Wembley, After concert sky bar was open to all and sundry we couldn t go in executive bar as shut And getting a drink in sky bar impossible as couldn t see the bar for non residents we gave up and went to our room and got room service , Nice room great view room service great 
361225,Hilton London Wembley, Quilt rather on the thin side More TV channels fridge empty Shower a bit weak, I loved the location the staff were very friendly and helpful great hotel to explore if attending events at the stadium or arena Rooms very spacious
361226,Hilton London Wembley, Limited bar menu as event day Hotel price high but again event at stadium so can t blame them, Good room size Helpful staff Good choice at breakfast
361227,Hilton London Wembley, Small uncomfortable bed Basic bathroom Poor amenities in room Very over priced for what we got Very poor service in Ikons and Sky bar by overworked but under skilled staff , Good location
361228,Hilton London Wembley, There s not parking for the hotel however There is parking next door The parking is a little expensive even though the hotel subsidise this , All in all was excellent
361229,Hilton London Wembley,No Negative, Great area to stay plenty to do around the area for shopping and eating Short walk to the train station easy to get to the centre of London by train 
361230,Hilton London Wembley, Being with very poor mobility the car park was a big No No as to price and location A couple of hundred yards to me is like half a mile , Staff were amazing Ambience very good 
361231,Hilton London Wembley, Shower curtain didnt stop the water flooding the bathroom as it didn t reach the floor Mini bar was empty and two bottles of water were on the table which we were charged for without knowing that there was a cost Gym was not 24 7 as the website stated , Room was clean and comfortable Location was really nice Staff were friendly Breakfast and room service were good 
361232,Hilton London Wembley, The clock radio dock in our room didn t work A member of staff attended and advised us that all the music docks had been disconnected to stop people playing music too loudly at night as they had received previous complaints It sounded like a strange excuse to me as he just went and got another one which worked and plugged it in for us Why not just remove them altogether if that really was the case ,No Positive
361233,Hilton London Wembley, Went to executive bar 20 mins before close No beer left Went for a swim in the morning no jets working in pool Went for breakfast no set tables no cutlery no plates They had very limited food left Staff really not sure what they were doing , The bars
361234,Hilton London Wembley, Some of the staff were quite rude and abrupt especially the staff at breakfast because they were not happy we arrived at 15 mins before they took the breakfast off ,No Positive
361235,Hilton London Wembley, Went to eat in the Icons bar and although there were a few meat free options they all had cheese or mayonnaise so I had to settle for a bowl of chips of my dinner Having checked the online menu in advance and then arriving to find a reduced menu on offer severely restricted my food options , Good sized room and bathroom Loved the Wembley wallpaper in the escalator area Really convenient for the stadium and the limited to the bar to residents only so we were able to enjoy a final drink after the show without it being too packed 
361236,Hilton London Wembley,No Negative, From the the moment we checked in to the moment we left the following day everything was spot on The stay was amazing I ll be coming back soon 
361237,Hilton London Wembley, The distance from central London but I guess any closer to London would have been more expensive, The concierge was very friendly and understood the purpose of our trip The room was clean and comfortable The service was perfect in every wat
361238,Hilton London Wembley, The carpet was stained and the view poor but we were only there overnight so that didn t really affect us Also the washbasin didn t empty quickly as the plug was stuck , Friendly staff Very comfortable bed The location for the SSE arena could not have been nearer The breakfast was cooked nicely and there was copious selection and the staff in the restaurant area were lovely and very attentive we did not want for anything Good to see also that we were checked by security on entering the hotel after we had been to the concert therefore we felt safer that only hotel guests were able to enter
361239,Hilton London Wembley, I can t complain about anything but if you really want something the air conditioning in rooms could be renewed Weather was very warm so if you need air con high it s a bit loud But in the great scheme of things it s a trivial matter just turn it down a little , All the staff were very friendly You only had to pause in what you were doing and someone would ask if everything was ok and if they could help We were greeted with smiles from the moment we walked in to the moment we left Rooms were clean and well set out Bedding immaculate Bed very comfortable If this is what every Hilton is like I ll stay in more 
361240,Hilton London Wembley, Our breakfast in bed order wasn t collected from the door handle We d paid for standard breakfast but decided on breakfast in our room There was no cooked breakfast left so Hilton offered us a complimentary pastry basket free of charge with coffee and juices , The bed was huge Bath shower was amazing could have stayed in it all day 
361241,Hilton London Wembley, Hotel said we could park in car park adjacent when we called them to book room and said there was no need to book car park On day of arrival car park was full and nowhere locally to park on event day Wifi is advertised as free but actually costs 10 for 24 hrs , Location and cleanliness of hotel was great 
361242,Hilton London Wembley, Staff where unhelpful no parking after being reassured there would be room service took a long time and when we received it the ice cream was melted and got the drink order wrong, Location was good and was very clean and tidy
361243,Hilton London Wembley, Unable to use car park even though rang day before arriving to see if could pre book and told by Hilton staff we didn t need to So very upset when told as we hadn t booked couldn t park ,No Positive
361244,Hilton London Wembley, Parking facility atrocious Your site stated no need to pre book however this was not the case as an event on 2 hours spent driving round to find parking which was far out from hotel No a great experience for a lady and 5 year old Spoilt the day Hotel were no help at all Stopped off to put bags in and all they were interested in was paying for the room,No Positive
361245,Hilton London Wembley, No parking was a massive issue and we got put into an disabled room without my knowledge before meaning that the facilities were extremely close to the ground and I couldn t fit in the shower because it was to low Also they didn t have free wifi and no phone reception Not ideal for the price we paid , The location was great staff was friendly and the food fantastic 
361246,Hilton London Wembley, Nothing but if I could improve anything it would be in in room air conditioning ours was noisy and the room did not really alter much it felt too warm room 608 , Staff friendliness ease of check in out food fantastic Rooms very clean and everything you d need Location amazing Overall fabulous stay
