,Hotel_Name,Negative_Review,Positive_Review
346406,Holiday Inn Amsterdam Arena Towers, The menu was clearly displayed in the lift available 24 7 so we had decided what to have only to be told that there was only a lesser menu with very little choice because U2 we re on at the stadium and it will be busy not a good enough excuse if you have so many rooms you should be able to cater as advertised , Comfortable rooms and bathrooms
346407,Holiday Inn Amsterdam Arena Towers, Room was supposed to be ready for 15 00 We had a plane delay meaning we didn t arrive until 17 00 We checked in and found the room they had given us hadn t even been made up so returned to reception to get another one We had to wait another 20 minutes for a room to be made up so that was frustrating especially as the gates at the Arena to see our concert opened at 17 00 Staff were efficient in sorting it out though, Location for Amsterdam Arena was excellent
346408,Holiday Inn Amsterdam Arena Towers, The free wifi was not reliable I was only really able to log on and use it for about 3 hours of my stay The breakfast is WAY better than Holiday Inn express and the staff is always friendly and helpful ,No Positive
346409,Holiday Inn Amsterdam Arena Towers, I love everything , I really love the place it was quiet and far from the noise of the city The breakfast has so many choices The transport are very close like 5 minutes walk from the train metro and bus 
346410,Holiday Inn Amsterdam Arena Towers, The breakfast price is too much and the room fridge was empty , The hotel is very comod because it can be reached easly from the airport and you can reach easly the city center 
346411,Holiday Inn Amsterdam Arena Towers, A 5 min walk is required from the nearest metro train station , The staff and the standard of Holiday Inn It was nothing special and all met expectations 
346412,Holiday Inn Amsterdam Arena Towers, Room service was limited on Sunday putting the existing staff under extreme pressure , From the date we started dealing with the staff we felt very comfortable No question was too complicated to answer and was answered immediately received The dining facilities were adequate but we mostly used the coffe shop for a quick breakfast 
346413,Holiday Inn Amsterdam Arena Towers,No Negative, The bed was comfortable Room was spacious and the bathroom was fantastic The staff were all very nice and helpful and the breakfast was great we enjoyed every second of our time there 
346414,Holiday Inn Amsterdam Arena Towers, Nothing , Everything perfect place to stay great staff great food great location amazing breakfast great transport links Great places to eat nearby love it def coming back 
346415,Holiday Inn Amsterdam Arena Towers, after a long day travelling couldnt book in till 3 yet person directly after me was allowed to book in also no coffee making facilities in room, location was great as was cleanliness 
346416,Holiday Inn Amsterdam Arena Towers,No Negative, Chose this hotel as near to Ziggo Dome where I came from the UK for one day and night purely to attend a pop concert Was easy to get to hotel from airport via Metro and easy to walk to and back from at night Very safe and convenient Had trouble finding the hotel initially but on asking anyone could help with directions Staff were very helpful and friendly 
346417,Holiday Inn Amsterdam Arena Towers, There were some minor signs of wear and tear in the room and a little bit of dust , i arrived at midnight at it was no problem all staff were friendly and helpful breakfast is worth it and the additional starbucks meant I could have my coffee exactly how I like it in the morning I had a break in between meetings and could come back to the hotel to work in their open space area brilliant 
346418,Holiday Inn Amsterdam Arena Towers, Inadequate wifi in the room, The staff were so brilliant at the hotel particularly the manager Christel Every question and room adjustment we asked for was met with friendly smiley people who were always happy to help We got extra duvets tea and coffee in the room there was always fresh lemon water at reception just overall welcoming and comfortable Location was great less than 20 minutes from Centraal station by metro last metro back is about midnight and it costs 7EUR for a day pass to go all around the city by tram bus and metro Lots of food options near the hotel as well as their own lovely cafe restaurant which has great internet access and places to sit and plug in your phone or laptop Wifi in the room was pretty poor only complaint from me but could always connect in other parts of the hotel I would definitely recommend if you want comfort away from the craziness of the centre of Amsterdam but want easy and quick access to the centre 
346419,Holiday Inn Amsterdam Arena Towers,No Negative, I was worried about the location as the hotel is not in Amsterdam city centre however travelling by train is very easy to and from the hotel The 3 day pass was excellent and meant that we could use the trams in the city centre too The hotel was extremely comfortable with very friendly and helpful staff even when we arrived at nine o clock on our first night the restaurant prepared a lovely meal for us 
346420,Holiday Inn Amsterdam Arena Towers, The air and he never worked in our room and even after we call maintenance twice to come and fix it Upon check out they only offered us free coffee and fifth if they would fix the air for the next guest That did not help us at all We were uncomfortable our entire stay, The staff was very friendly and it was it easy access to the train
346421,Holiday Inn Amsterdam Arena Towers,No Negative, The room was very nice and the breakfast was perfect A little far from the city but it s only a 15 20 minute metro ride from the central station which is perfectly fine 
346422,Holiday Inn Amsterdam Arena Towers, Absolutely no provision for vegans The people in the cheaper part of the hotel got free breakfast but we didn t The room was incredibly dusty No conditioner provided with the shampoo, One of the desk staff and the man in the bar were lovely
346423,Holiday Inn Amsterdam Arena Towers, Pay attention to reach the good hotel Because we went first in the holiday inn amsterda and not in the Arena Tower Make sure to go in the right holiday inn , The breakfast is just amaaazing the staff is really good and kind The room is super clean and beautiful Close to the metro Really good hotel I recomend 
346424,Holiday Inn Amsterdam Arena Towers, I had to wake up in morning to repark my car in to shopping centre car park Is cheep 5 per day but it s open from 7 till 10, Bath tub with bubbles my favourite and caffe machine Plus everything else was excellent
346425,Holiday Inn Amsterdam Arena Towers, Way more bath towels liquid soaps shampoos slippers shower caps feel good stuff Selection of coffees and teas were a bit basic A fully stocked fridge with drinks snacks beer wine also was sorely missing , Cleanliness of room modern furniture Tv was decent and available WiFi 
346426,Holiday Inn Amsterdam Arena Towers, When my friend and I got to the hotel staff seemed extra rushed and were not very welcoming Upon entering our room my roommate and I noticed that the room had not been or had been minimally cleaned There was bloody snot left on the curtains and there were chunks of black stuff in the shower The shower had the smell of vomit lingering I called hotel reception to complain from my cell phone and was told I d get a response After waiting 45 minutes in the room we noticed that the phone in the room wasn t even functional When I went to reception it seemed like they were bothered and stressed at the fact that I had even requested a new room rather than being apologetic about it Not sure if it s a difference in customer service by country but it didn t feel very welcoming Total bummer from a hotel chain that is usually pretty solid in the US , Breakfast was pretty good The beds were comfortable and room temperature was good They have a semi starbucks located on the first floor which was pretty nice It s about 25 30 minutes away from the center of Amsterdam so if you plan on going into the city you ll need to plan properly 
346427,Holiday Inn Amsterdam Arena Towers, Unprofessional house keeper did not renew wash set in the room Ridiculous city tax ever living in such far away from downtown , Reception was friendly and breakfast was good 
346428,Holiday Inn Amsterdam Arena Towers, Breakfast staff are professional but not welcoming Seems like forced to do the service professionally Run out of Shampoos Soap Dont expect they provide you with the phone call or automatically in next make up Finally you should get it from reception in person , Near Bijlmer Arena station Standard Service Natural orange juice in breakfast menu
346429,Holiday Inn Amsterdam Arena Towers,No Negative, The view and location was really pleasant to relax It was located in a quiet and enormous area with nice design It was close to metro station and did not take a long time to reach the city center 
346430,Holiday Inn Amsterdam Arena Towers, The receptionist at night ruined my stay completely The hotel states they provide 24 7 room service and when I tried to order I was told the food has run out and there s no where to get food from until the morning He was verbally abusive and racist towards me He didn t have a name badge on and refused to give me his name We were then told we would have complimentary breakfast the following day to apologise for the way we were treated but that never happened Someone walked into our room while we were sleeping then walked out the morning we were checking out The hotel claims to be close to the airport but it s 20 mins away by taxi which was very expensive The food is beyond bland and disgusting I ordered a Caesar salad and when it came it had loads of fish in it which it didn t state on the menu We ordered a margarita pizza and when it came there was eggs rocket and slices of tomato all over it The towels were left on the floor as advised when you want fresh ones and we had to call up and wait over an hour for clean towels Generally a horrible experience and would never stay at a holiday inn again purely based on how badly we were treated , The only thing that s good about this hotel is the location which is perfect if you have an event at the ziggo dome but if you don t your far from the airport and city centre 
346431,Holiday Inn Amsterdam Arena Towers, Just the view but it wouldn t be a reason for us not to book again, Staff at the hotel were excellent it was a busy and full I m the hotel at the weekend but the staff were still as friendly and accommodating
346432,Holiday Inn Amsterdam Arena Towers, Although we had required in our booking a double bed initially two single separated beds were given to us The receptionist was not accepting that this is a mistake of the hotel since double bed is a preference and not a requirement I did not like that I had to argue a lot before we finally get what we wanted , Personel was kind and helpful on providing information about the city and attractions 
346433,Holiday Inn Amsterdam Arena Towers, On arrival my cousin and I took a taxi to the the hotel The driver was very friendly but I thought the taxi seats did not look clean and I asked how much it would cost we were told it would be on the clock As we were traveling I looked for the clock and there was none to be seen On arrival he asked for fifty seven euros which for a twenty minute ride I thought that was a bit extortionate To us that was not a good start , Staff were extremely friendly and nothing was too much trouble Very helpful with information as to where places were and regards local transport A lovely stay 
346434,Holiday Inn Amsterdam Arena Towers, The pillows were very hard and too big Woke up with a stiff neck , The location was great for the event we attended at the ziggo dome and a train station was a 2 minute walk with a direct train to central station Hotel was clean spacious and staff were friendly Great value for money would recommend 
346435,Holiday Inn Amsterdam Arena Towers, Menu choice for evening meal very limited few options round about so returned to hotel for evening meal However food was better than it sounded on the menu , Great Breakfast Comfortable bed Nice clean modern room Friendly helpful staff 
346436,Holiday Inn Amsterdam Arena Towers, Car parking fees Park near the station travel by train into centre of Amsterdam 96 hours parking for 3 Get on train 30 minutes after parking car pick up car 30 minutes after getting of train , Friendly staff Good location near underground
346437,Holiday Inn Amsterdam Arena Towers, All was perfect Nothing to complain , The Hotel was perfect for Business or for a Holiday Staff very polite breakfast perfect food very delicious We have booked the Holiday Inn side It has also an Express part Our part was clean and the employees are very helpful The Atmosphere in general was very nice The Lobby on the First Floor gives you a chance to sit and enjoy your coffee after Breackfast The Coffee is from Starbucks and the food is delicious Plenty of choice warm cold fresh Orange Juice etc Big Thanks to all the Staff and the Chefs This is the Place to stay in Amsterdam Just five minutes walk to the Metro Bus to the Airport just a few meters away Do not hesitate to book We will come back again for sure 
346438,Holiday Inn Amsterdam Arena Towers,No Negative, Excellent atmosphere location is near to ArenA metro station which is 5 6 mins away by walk Breakfast is excellent and hotel staff is very cooperative and professional 
346439,Holiday Inn Amsterdam Arena Towers,No Negative, Room and en suit were spotlessly clean and spacious Bar was lovely and open till 1am excellent for a quick nightcap Good value for money and a short walk to the Metro Train to central was a quick ride and we never had to wait long for one to arrive in either direction 12 Euro s each for unlimited 48 hour travel was very reasonable Would happily stay again and definitely recommend 
