,Hotel_Name,Negative_Review,Positive_Review
309557,Holiday Inn Amsterdam, Upon arrival the staff told that my room was sold and I had to go and find another hotel It was a guaranteed booking prepaid It took me up to the GM and to call booking com to get the staff to get me a room ,No Positive
309558,Holiday Inn Amsterdam, We weren t given a room until one and a half hours after the designated check in time which coupled together with us arriving a bit early meant that we had to spend our first two hours in Amsterdam waiting at a hotel reception While the room we ended up having was on the top floor and it was a larger room one of the executive floors I would have happily stayed in a normal room which was available on time We had booked a standard room More annoyingly the staff kept telling us the room will be ready in 30 minutes Once we were in the room it turned out that it wasn t even cleaned properly The only alternative we were given was a room with better disabled access which we didn t want in case somebody else needs it more than us One of our towels was not replaced after the first night and we found the general cleanliness of the room was not great There was rubbish on the balcony from the previous stay , Bed was very comfortable Location is great as both the city and the airport are within 15 minutes by metro train The hotel is also very close to Amstelpark which is amazing on a nice day We were offered free Starbucks coffee because of the delay which was nice But again I would have preferred not to have been delayed in the first place 
309559,Holiday Inn Amsterdam, One thing that can be better in this hotel is the breakfast I think the hotel with these facilities must have a better breakfast it should be available for different nationalities with different religous , I had a comfortable stay in Holiday Inn hotel I went to Amsterdam to visit the exhibition it was very close to the exhibition about 5 min walk and also to the subway and tram too so I could go to city center easily Generally it was a good stay for me 
309560,Holiday Inn Amsterdam, In January booked and paid for 2 executive rooms for 2 nights inJune We arrived early so our rooms were not ready We checked in and left our bags in a locked room at reception On returning to the hotel at 6pm we were told they had given away one of our rooms that afternoon and told no other rooms available but had a room available in another hotel As we were travelling with a larger group of 40 people this was not acceptable When we asked to speak to a manager we were told there was none on the premises When the trainee receptionist realised we were not going to go away she went into the room behind reception and would not come out After standing there for over an hour we were given keys to a second executive room Unbelievable , Close to trains and trams 
309561,Holiday Inn Amsterdam, When I booked I put in close to the railway unfortunatly it was not amsterdam central but amsterdam rai Saying this the transport link between each of the stations was very easy and frequent , The room was spacious and the bed was very wide could have slept 3 in the bed with comfort 
309562,Holiday Inn Amsterdam, Breakfast was hectic the first day and coffee facilities weren t fully working also the bacon was undercooked to our liking two of three days, Perfectly situated for our trip with very friendly staff
309563,Holiday Inn Amsterdam, Room warm, Had a nice relaxing bath but only realised in the morning that there was a minibar with cold water in it room quite warm but couldn t keep the window open Certainly would recommend and stay again 
309564,Holiday Inn Amsterdam, Drinks expensive and is around 15 20 minutes by tram into the centre of Amsterdam , Bed very comfy hotel very clean staff friendly and helpful good breakfast and evening meals were lovely Great location for Rai convention centre and tram and train station 2 minutes walk
309565,Holiday Inn Amsterdam, The windows couldn t be opened I would ve liked to see extra blankets or covers in the room s cabinets , The comfort of the bed was amazing
309566,Holiday Inn Amsterdam,No Negative, Verry nice good food the breakfast was delicious huge variety of food The rooms are very big am comfortable I higly recomand this hotel This was thw best hotel in which I ever staied 
309567,Holiday Inn Amsterdam, A little far from the city center but super close to the metro and tram Also information regarding the breakfast I lost it on Monday because on the weekends it s served until 11 but no one informed that on the weekdays it was until 10 , The room is great super confortble bed love the bathrobe and the size of the room
309568,Holiday Inn Amsterdam, Staff were very rude and sarcastic When I asked the lady at the reception how long it would take to go to the airport in the morning and how much time in advance do I need to go to the airport The lady was rude and sarcastic and said that as I don t have a private jet and I am a private airport and as I am not the only person flying I should go there early It was not a joking conversation either Such sarcasm was not required for a simple question for a new visitor to the city I arrived late as my flight was delayed tired and hungry only to be told that the kitchen was closed and the only thing available was a pizza or Cheese platter The location of the hotel is so far from city centre that there was literally no options to eat The receptionist then gave me a website for a local delivery I could order which took more than an hour and half to arrive by which time I was already sleeping I asked for a Iron board and a UK plug adapter for which I was told to sign a declaration that I would be charged 50 euro s if not returned or damaged The adapter never worked in the first place and I had to go to reception everytime to change it to a working one poor service I checked out early in the morning as I had an early flight The receptionist took it upon himself to order a taxi although I had arranged one myself through Uber and was upset that I did not take his taxi I would not go back to this hotel and would not recommend If you have a choice stay elsewhere , Convenient to walk to the Convention centre 
309569,Holiday Inn Amsterdam, No restaurants near the area of the hotel, Area is good but it far from center about half an hour by the tram But the hotel is near the station easy to find transport
309570,Holiday Inn Amsterdam,No Negative, Very convenient access to public transport and location for visiting Amsterdam 15 minutes by Metro to Central Station All you need for good breakfast is available 
309571,Holiday Inn Amsterdam, It s a 4 start hotel just because of the Holiday Inn legacy Otherwise the room itself was not up to the standard Wardrobe hinges were broken Toiletries were not sufficient and not replaced Iron didn t work intercom didn t work However the staff did take corrective measures as soon as they were informed But I had to inform them , Location was great Easy access from the airport via a 10 mins direct train to Amsterdam RAI station Hotel is at 3 mins walk from the station Getting to Central is also very convenient by Tram 4 and by Metro 
309572,Holiday Inn Amsterdam, Far too noisy old windows that need to be replaced by windows better stopping the noise of the very busy traffic Old airco system continuously making noise even when switched off , Hotel and rooms comfortable but without any character 
309573,Holiday Inn Amsterdam, we liked everything, The hotel was conveniently located close to the RAI Convention Centre The open lobby area had a good vibe The staff were friendly and welcoming
309574,Holiday Inn Amsterdam, Booking a table for 7 30pm and eating our mains at 10pm leftover food from previous occupant in fridge for whole of stay I even put a note on it Tea and coffee tray not replenished floors not clean from previous guest and very dusty room all reported to reception but nothing fine about it , A wonderful reception to promote new lobby
309575,Holiday Inn Amsterdam, Air conditioning didn t work which made it uncomfortable we advised staff and moved room but didnt work in that room either, Awesome breakfast and really helpful staff 
309576,Holiday Inn Amsterdam,No Negative, Can t fault this hotel the staff especially bar staff and facilities were just phenomenal defiantly will return to see some friendly faces highly recommend this hotel 
309577,Holiday Inn Amsterdam,No Negative, Great stay at the holiday inn will def be back the receptionist Daphne was the most cheerful helpful receptionist ever she s very welcoming loved the hotel overall great location and easy to get to dam spuare on tram etc barman was a funny wee man too great craic 
309578,Holiday Inn Amsterdam, When I checked in they gave me the house rules for having a dog at the room where it was mentioned that it is not allowed to leave the dog alone at the room only when you visit the hotel restaurant or hotel bar why not restaurants bar outside of the hotel I came all the way to Amsterdam from Luxembourg to go out with friends so I didn t have the intention to take my dog with me After the hotel created an uncertain situation they came with a solution, The hotel gave me a free upgrade 2 free drinks and I only had to pay 15 Euro for 24hrs parking The room was brand new clean modern and comfortable Staff is friendly and helpful
309579,Holiday Inn Amsterdam, the location there is a bit of a suburban feel already where the hotel is located although it is just besides a major transit terminal , the breakfast buffet was great with big selections and lots of healthy fruity options
309580,Holiday Inn Amsterdam, Bathrooms require overhaul Stained toilet and tub Overall cleanliness needs improvement , Location next to RAI Conference Center and public transportation access 
309581,Holiday Inn Amsterdam, The service at check in was very slow we had to wait 20 minutes as there was only one staff member on the desk although others were sitting in the office We also had to change rooms as the tv was broken We were shocked at the price of the bottled water and were disappointed not to be given clean cups and supplies of tea and coffee everyday ,No Positive
