,Hotel_Name,Negative_Review,Positive_Review
300953,Holiday Inn London Bloomsbury, Room needed renovation looking very tired Was very hot and stuffy with poor ventilation Hairs on carpet by bed , Decent breakfast nice choice of drinks 
300954,Holiday Inn London Bloomsbury, Huge crowds at breakfast time which was extremely off putting Ordered room service couple of times Food was not good , Room was clean Requested twin room which was not available Camp bed was provided for second person Initially not happy about it but was comfortable Breakfast menu was good Staff were nice and helpful 
300955,Holiday Inn London Bloomsbury, Service and room was not fit for purpose When complained staff indifferent and not interested Kept saying we d booked through a third party and refused to help, Breakfast
300956,Holiday Inn London Bloomsbury, Room and bathroom slightly bigger , From check in at reception though to us checking out all staff very friendly extremely helpful Breakfast was very good various hot and cold items to choose from again staff very helpful and obliging
300957,Holiday Inn London Bloomsbury, Breakfast was average coffee was awful , Front desk staff were fantastic The rooms are clean and comfortable The location is amazing Very close to the Russell Square station good food shopping Nice safe area great if you are travelling with kids 
300958,Holiday Inn London Bloomsbury, Everything was ok for me , Brilliant central location Easy walk to British Museum Covent Garden Soho theatres Plenty of restaurants pubs and cafes nearby I ve stayed here many times Can walk or bus from St Pancras Good wifi 
300959,Holiday Inn London Bloomsbury, No complaints at all , The beds were very comfortable I am a disabled person who walks with need of a rollator the room was as reguested with the biggest bathroom I have ever had in any hotel A lovely big bedroom with plenty of room to move about great wardrobe and draw space for clothing This hotel was in a good area and easy for myself and my granddaughter who accompanied me to attend my grandsons MA graduation in the near by university There is a very nice shopping centre with coffee shops restaurants etc Just a tiny walk from the hotel We were very pleased with this hotel and hope the next Holiday Inn we will be stopping at in Vauxhall because this is near my grandsons home will be as good Full marks for all from both of us Carol and Ally Fryer 
300960,Holiday Inn London Bloomsbury, Unfortunately there were a few things that need improvements 1 Upon arriving the receptionists could not locate our invitation although we presented our booking confirmation 2 Maybe that s why the room included only 2 towels when we just arrived and no floor mat for the bathroom 3 The bed was really really uncomfortable and both of us suffered back pains 4 No refrigerator in the room 5 No hair dryer and minimal toiletries soap bar and shampoo no conditioner body lotion and so on 6 Food is reasonable not enough vegetables and bad coffee 7 We selected the holiday Inn thinking we can add this stay to our holiday inn card unfortunately we found out that it cannot be added when ordering through booking com , 1 The staff was very polite and helpful Everything we asked for missing towels extra pillows help with the TV was answered very quickly 2 The location is very convenient not in the center but 2 minutes the Russell Sq station 3 There s a nice shopping center 2 minutes from the hotel with stores supermarket post office and restaurants 
300961,Holiday Inn London Bloomsbury, A bit expensive, Excellent location with Waitrose and many restaurants nearby Modern cozy and comfortable room Helpful staff Generally a pleasant stay and will recommend it 
300962,Holiday Inn London Bloomsbury,No Negative, Huge selection of breakfast to choose from very clean Staff very helpful and friendly Room was clean quiet and comfortable with large en suite Situated near tube station and West End 
300963,Holiday Inn London Bloomsbury,No Negative, We have stayed here earlier and the staff and services are excellent as is the morning breakfast The location is less than a 5 minute walk down fro the Russell Square tube station making it super easy to go for theatre shows and come back safely even if it is late It is next to Brunswick Square which has everything you could want including a gorgeous second hand bookshop and a sort of food fair every Saturday morning 
300964,Holiday Inn London Bloomsbury, Reception abysmal I think just unlucky who we spoke to Overcharged for meal gratuity added to bill THEN 10 service charge wrong , Hotel reasonably located good and fair priced parking Good price although room a little small 
300965,Holiday Inn London Bloomsbury, Not having wash cloths was very unusual We are accustomed to using wash cloths but the hotel only furnished bath and hand towels , The entire facility was wonderful as well as the staff The location was perfect 
300966,Holiday Inn London Bloomsbury, the room was at the first floor with a bad view of the broken glass from lower floors None of the windows can ever be opened nth is operable for fresh air Just ACs for ventilation Really unhealthy internal environment although the weather outside was amazing during our stay in July ,No Positive
300967,Holiday Inn London Bloomsbury, The bedroom and bathroom were a bit on the small side and were getting a bit tired and in need of some refurbishment But not to a point where it detracted from the overall excellent service and quality of the staff and other facilities , Excellent breakfast great service from all staff good location close to Kings Cross but a good area for bars restaurants convenience shops etc
300968,Holiday Inn London Bloomsbury,No Negative, My wife and I were visiting London for weekend to see U2 in concert and take in a West End show The hotel is situated ideally for people travelling to or from Euston or Kings Cross stations 10 minutes walk It is also within 2 minutes of the Piccadilly Line which takes you anywhere you want to go in London Buses within 2 minutes walk Lots of nearby bars and restaurants Covent Garden theatreland within 15 20 minutes walk The room though small was comfortable clean and quiet Air conditioning was excellent Just as well as temperatures were in the 80 s Managed two good nights sleep Breakfast buffet was substantial with wide variety of products Staff at front desk and in restaurant were polite efficient and friendly No major problems during the stay All in all coming from a Scotland for the weekend the hotel met all our requirements and allowed us to enjoy the sights and sounds of this great city I would happily use this hotel again 
300969,Holiday Inn London Bloomsbury, On a sweltering day it was good to find the room very cool but it was VERY cool and even following the guidance on the controls it did not seem possible to make any noticeable adjustment to temperature other than turning the air con off , I was warmly greeted at reception and despite being early I d have been happy to drop my bag with the concierge I was able to check in This was helpful and much appreciated Housekeeping staff on the third floor corridor greeted me with a cheery good morning the following morning and concierge staff were very helpful and efficient when I left my bag when checking out for later collection 
300970,Holiday Inn London Bloomsbury, Conditioner There wasn t any Also shampoo was not very good I understand why they have hangers without hooks in the closets but it would have been nice if I could have transferred one to the bathroom each morning Instead I had to take my clothes off the hanger and place them on the counter while I showered Worse the night before our flight we went to arrange a cab to the airport The guy at the counter said they had a fixed rate and would arrange it The next morning it was not a cab but a car service It was not clean The car smelled like the driver had been smoking in it with the windows rolled up and the ashtray was never cleaned Also he didn t take credit cards and we didn t know this until we were at the airport We didn t have any cash because all the London cabs take credit cards , Concierges were excellent They got our tickets online gave us directions made reservations and were very knowledgeable Also check in was very good 
300971,Holiday Inn London Bloomsbury, The room size is extremenly small Even drinking water not provided by hotel The placement of window is bad The taxi booked from hotel but even after confirming the taxi charged extra , The speed of check in is very good Location is perfect Staff are co operative
300972,Holiday Inn London Bloomsbury, Can t really fault it but was expecting something more by the advert More for business than romantic weekend, Excellent location for onward travel to Euston station Clean and tidy
300973,Holiday Inn London Bloomsbury, The staff approach on entrance Extremely embarrassing Rude aggressive Never ever experienced that behaviour in any Holiday Inn ever , Check out luggage storage was absolutely fabulous Majority staff good Very clean 
300974,Holiday Inn London Bloomsbury, No shower caps no hairdyers in rooms, Bartek the concierge was very very helpful and supportive Breakfast was excellent including all attending staff helpful and polite 
300975,Holiday Inn London Bloomsbury, Check in took 30 minutes Soundproofing was very poor even on 4th floor Could hear people and traffic on the streets and movements and sound from Neighbouring rooms and the room above us The double room is very crammed There was no ironing board and housekeeping did not clear room service crockery Found dirty glasses in the room Our laundry was also not picked up by housekeeping when they cleaned the room and one top came back damaged , The location and the breakfast with the exception of the coffee was great Very close to Russell Square station 
300976,Holiday Inn London Bloomsbury, This hotel is NOT value for money The rooms are basic Facilities poor Staff were miserable and not engaging I would not recommend it , The location to Paddington was great 10 mins in taxi
300977,Holiday Inn London Bloomsbury, Breakfast food is very satisfactory but the hotel should add some variation say special dish of the day You get tired if you eat the same breakfast in a one week stay Add excitement in the menu There should be a refrigerator , The location is excellent since it s near the underground and bus stations 
300978,Holiday Inn London Bloomsbury, We dined a few times in the hotel restaurant in the early evening The quality of the food was excellent However the wait staff in the evening was completely off They charged the wrong price didn t come to take our order until we got up and asked brought the wrong food never apologized and were generally resentful and disorganized This is in stark contrast to the staff at breakfast which is friendly and competent , This is the hotel you want to stay in when you go to London The rooms are perfectly set up quiet updated clean The location is perfect just a block from a tube station with shops just around the corner and close to the British Museum Breakfast is fabulous The Wifi is great The staff are professional friendly and responsive We were there during a heat wave and the air condition was fabulous Also kids under 13 eat free including breakfast 
300979,Holiday Inn London Bloomsbury, The room was a tiny box room no basic toiletries such as shower cap and body lotion Room was uncomfortable not good value for money expected better Would not stay again , Parking was good Breakfast was excellent
300980,Holiday Inn London Bloomsbury, The tissues paper box was not refill After pulling out one tissue the box was empty , Breakfast had more choices compared to other Holiday Inn Express hotels
300981,Holiday Inn London Bloomsbury, I missed having a bedside table on both sides of the bed, We arrived in the morning not expecting to be able to check in so early but they had a room ready and I was able to freshen up on a very hot day quite a good location for museum tube and Covent Garden 
300982,Holiday Inn London Bloomsbury,No Negative, Great location just a short walk from the Russell Square station so very handy for Heathrow access and travelling to see the sights We stayed two nights very comfortable and clean The restaurant below was quite nice and had a good selection of meals and nice range of drinks 
300983,Holiday Inn London Bloomsbury,No Negative, The staff were all so friendly polite from reception waiting staff cleaners Made to feel so welcome The bar area was so relaxing Breakfast was so nice fresh a great selection for all The room was Lovely bed so comfy So clean which is a big thing for me I would definitely return It s close to Russle tube station round the corner just go anywhere from there Fantastic 
300984,Holiday Inn London Bloomsbury, The bed seems to be a bit old and rolls into the middle and this is not because we are overweight Think they need replacing Also a lot of noise when people going back to rooms late at night , We enjoyed everything apart from noise and beds
300985,Holiday Inn London Bloomsbury,No Negative, Breakfast was good Wide variety Room was clean spacious Location wise is good safe too They have everything you need free wifi aircon complimentary toiletries hairdryer kettle 
