,Hotel_Name,Negative_Review,Positive_Review
294505,Holiday Inn London Regent s Park, Without paying a lot more I don t think you would get much better, Location Lots of restaurants nearby but the hotel was quiet Area was lively but not just full of tourists 
294506,Holiday Inn London Regent s Park, I didn t like being in the basement it was a little too secluded for someone on their own , Very conveniently situated near town and hospital where my husband was staying Very reasonable 
294507,Holiday Inn London Regent s Park, The parking was extra expensive as it doesn t belong to the hotel although there hardly any other places to leave the car, Close to tube station but quiet
294508,Holiday Inn London Regent s Park, Parking extra 40 per day and room rates high but I guess thats just central London for you , Good location Very comfortable clean rooms Nice English breakfast buffet Friendly staff 
294509,Holiday Inn London Regent s Park, Underground parking barriers were broken so had to reverse around the underground to get back up car park was out of order with no sinage with high curbs this wasn t ideal Told the hotel and no one really cared , Room and Bed nice breakfast good 
294510,Holiday Inn London Regent s Park, the kettle was dirty and the filter looked like it had not been changed in a very long time we did not use it , the staff were very helpful and nice 
294511,Holiday Inn London Regent s Park, The cost of watching movies and that the original price i seen for a 2 night stay at the hotel on booking com was 250 and due to me having to ask permission to book this hotel i went back on to book and it cost 372 which was a substantial jump within a day I still booked the hotel based on its location and the holiday inn reputation, The amount of choice at breakfast was great and the staff were very helpful 
294512,Holiday Inn London Regent s Park, Rooms are too small Bathroom is very tiny and door barely opened to pass to the toilet We were a group of 7 and every room was the same I would definitely not stay at this hotel again Just because of the room size , Breakfast was excellent Great location Very friendly staff 
294513,Holiday Inn London Regent s Park, The view from our window was into the courtyard which was a roof with plastic trees , The location is great 5 minutes walking distance to Regent s Park entrance Two tube stations within 5 minutes of walking to connect you to the shopping streets and tourist attractions The breakfast was really good and very varied Continental and English whatever you wanted The twin bed room was bigger than what is usual for London Enough space for two people with weekend bags might be a bit of a tighter fit if you have huge bags 
294514,Holiday Inn London Regent s Park, Nothing to dislike, Staff extremely kind and helpful I am a bit disabled and everyone did their best to help me I would thoroughly recommend this hotels
294515,Holiday Inn London Regent s Park, Bathroom is too small you can t have 2people in the bathroom at once the shower isn t very powerful either , Good location with some fantastic restaurants clean room but the bedside cabinet has seen better days we stayed in room 420 and the bedroom cabinet was falling apart on the plus side the bed was comfortable but only a double bed 
294516,Holiday Inn London Regent s Park, The hotel was fine but we did have a complaint about the towels that were left one morning as they were dirty They were replaced on request Also on one of the days housekeeping did not clean dirty cups that had been used Reported this to the hotel reception , 
294517,Holiday Inn London Regent s Park, Caution first world problem The air condition was way too cold in the breakfast room , All staff were very friendly The room was a good size ours was a 2 single bed one and clean bonus points for the tub shower combo in the bathroom The breakfast was an amazing warm and cold buffet everything was fresh The location is great to head into the city it s only a 5min walk to Regent s Park supermarkets and a tube station are nearby All in all would recommend for a short trip 
294518,Holiday Inn London Regent s Park, The room bathroom was small The room was dimly lit Air condition noisy mattress sinking in the middle There are 70 rooms on one floor The location was so so the tube had lots of stairs to climb Not value for money , Nothing
294519,Holiday Inn London Regent s Park, Very small tired and scruffy rooms not at all value for money Bathroom tiny shower curtain failed and bathroom floor soaked in minutes poor toilet flush Very very poor for cost of rooms, Location and reception area very nice
294520,Holiday Inn London Regent s Park, The pillows were a bit thin for me although on checking out i found you could request a different one , The staff were very helpful the rooms were good and the breakfast was excellent 
294521,Holiday Inn London Regent s Park, Decor a bit tired needs updating Expensive car park no reduced rates for hotel guests so 40 for 24 hours , Great location easy to get to comfortable bed Quiet and clean 
294522,Holiday Inn London Regent s Park, No big drawers for placing clothes in only shelves which we put shoes on Plenty coat hangers though , Excellent staff at breakfast and the breakfast was lovely very fresh and a great choice Rooms very clean and plenty hot water for shower Daughter loved the bath The fridge in the room is great it s empty so no worries about being billed you just fill it yourself Great location we walked down to oxford st in about 20 mins with walk resistant 12 year old Also 2 mins to tube at great portland st Adults with comfy footwear could easily walk from here down to soho picadilly circus area and more 
294523,Holiday Inn London Regent s Park, Beverages needed topping up Maybe a bottle water would be good in fridge, Staff polite cheerful helpful Room clean with comfortable beds Great stay great location
294524,Holiday Inn London Regent s Park, noisy and the management does not deal with the noise instead they call you 30 min later after you ve finally managed to go back to sleep to tell you they can t locate the noise room carpet was smelly it wasn t aired out no basic amenities like Q tips shower cap or slippers , location is about the only good thing
294525,Holiday Inn London Regent s Park, Not keen on the bar area not enough seats also no timings for restaurant openings etc in the room Not obvious about if you have forgotten any toiletries didn t see this until we were about to leave, Very helpful staff especially in the breakfast room Room was very clean and the bed was so comfortable would definitely book again Great location so near to the tube and a walk away to oxford street 
294526,Holiday Inn London Regent s Park, Room is to small we are four person to small room uncomfortable for us When I booked through booking com I clear all but room is to small for us , Is near city center all bar restaurant very near 
294527,Holiday Inn London Regent s Park, The restaurant staff could have been more efficient they seemed understaffed the evening we ate there , We had a very good meal at the steak restaurant at the hotel although on the night we ate there they seemed a little understaffed and we actually had to ask them to clear the table as a couple we sat for well over 30 mins after finishing our main course before the table was cleared 
294528,Holiday Inn London Regent s Park,No Negative, Great location very near Oxford Street also lots of nice restaurants nearby Staff were friendly and helpful Nice hotel would definitely stay there again 
294529,Holiday Inn London Regent s Park, Bedding at room 314 spring was not good anymore as it bends too much and this has caused me a painful on my back right on the first nite of my staying the other 3 remaining nites was good after moving to room 344 Water drainage at the wash basin also got studied, Staff immediate attention upon my complaint on room 314 poor bedding condition to move me to room 344
294530,Holiday Inn London Regent s Park,No Negative, First stay in London the hotel was central to meet our friends the surrounding area was great the greet from staff was great from start to finish would stay again and tell people to stay there the staff friendly and helpful truly a great place to stay 
294531,Holiday Inn London Regent s Park, The room we had was a but small for 2 people would of been ideal for a single person, It was in a good location easy access to most places and it was in a quite area the breakfast was good aswel
294532,Holiday Inn London Regent s Park, In general hotel rooms in London are just a little bit too small for what you pay Holiday Inn was just ok but not special Also the Bar has not much atmosphere , Location of Holiday inn is very good on the edge between beautiful Regent Park where you can jog every morning and Oxford street and main stations almost walking distance Very good breakfast a bit busy though Very good location for business centre and meeting rooms even bigger conferennce room 
294533,Holiday Inn London Regent s Park, The rooms next to the street below are not good because of the noises from the traffic The smoking area should be relocated further from the lobby , Location is excellent Walking distance to all the places I wanted to go The front office staff to the housekeeping staff are friendly 
294534,Holiday Inn London Regent s Park, Shower wasn t the best no power , Location is great for Regent s park literally 2 minute walk Hotel is 200 yards from Great Portland street tube station use warren street for tube into the centre of London takes about 5 minutes walk to get there then 10 minutes on the tube to Leicester Square Plenty of convenience stores and pubs to have a drink around the hotel 10 minute walk down Portland Street and you are in Oxford street 
294535,Holiday Inn London Regent s Park, The room was too hot and the air con very ineffective and noisy Opening the windows is not an option because of the traffic noise The rest of the hotel had brilliant air con The breakfast was plentiful and varied but the hot food wasn t very hot The supply of tea coffee milk was mean and no bottled water , The location was good and the breakfast was varied The staff were nice There was a fridge in the room which was helpful We could leave our bags there after checking out which was great 
294536,Holiday Inn London Regent s Park, We left our cases at the hotel for collection later in the day We had to wait a while before we could find someone to open the locked room where they were kept This wasn t a problem as we had left ourselves plenty of time but if we had been rushing for a train it might have been a little different , The view from our room was the inside square of the hotel which obviously wasn t much to look at but we were very pleased with this as it meant that it was very quiet as were weren t facing the road so I would count this as a plus The staff on reception at check in were very pleasant and helpful assisting us with finding our way around London Breakfast was super with lots of choice It was very well organised and there were plenty of tables 
294537,Holiday Inn London Regent s Park, I don t have anything negative to say about my stay , The location was excellent for our needs the staff were friendly and professional and the breakfast buffet was superb 
294538,Holiday Inn London Regent s Park, Plug in basin didn t operate properly but I should have brought it to the attention of the staff Otherwise all good , It s in a quieter location than closed to Oxford Street but close enough to walk there and further to Piccadilly Circus Taxis always nearby Some lovely restaurants in area too Close to tube station 
294539,Holiday Inn London Regent s Park, There was nothing in the mini bar and when I opened it it smelled horrible like someone had left some strong alcohol overnight it was vile but that was my only concern , Bed was comfy staff were nice enough good breakfast nice atmosphere good amount of TV channels surprisingly 
294540,Holiday Inn London Regent s Park, A member of reservations were rude I asked to pay early and because I hadn t got a code he were shouting at me then I mentioned to him I didn t like his attitude towards me and he said ok bye and put the phone down , The cleaning staff were absolutely fabulous Made our room look brand new everyday One member of staff changed our room for us because the Air con wasn t working 
294541,Holiday Inn London Regent s Park,No Negative, Clean modern rooms facilities in the business rooms were fantastic One of the nicer Holiday Inn s I ve stayed in around the UK A little pricey but given the location and how easy it was to get to only a hop on the tube to all the tourist attractions I would say it s worth it 
294542,Holiday Inn London Regent s Park, The rooms were small very small It was not possible to place two chairs around the table in the room There was no walking space without bumping into the bed or a chair The price for breakfast was high especially for vegetarians who do not eat breakfast meats , The location is excellent right in the heart of London and within walking distance 1 2 miles of practically every site and museum 
294543,Holiday Inn London Regent s Park, The bathroom was a bit tight for space The room was slightly expensive for just sleeping in the room and having no breakfast I didn t select the breakfast option but I still felt the price was a bit much for just having a bed but the room that myself and my friend were in was grand clean and tidy , The cleanliness of the room was great Clean and tidy was all I want and that s what I got 
294544,Holiday Inn London Regent s Park, The bathroom was a real squeeze The street can be very noisy from nearby pubs until quite late The Hotel advertise free bottled water but this is not the case , Clean Comfy beds Room cleaned well every day It s near the tube and bus The restaurant was very good value for food in the evening Fairly convenient to the train at Kings Cross Public parking available Near Regents Park 
294545,Holiday Inn London Regent s Park, Car parking facilities, Room was lovely staff were friendly good location parking not good private car park next to hotel charges 40 per day 
294546,Holiday Inn London Regent s Park, I found breakfast expensive for what it was Easier cheaper to walk 5 minutes to Starbucks or supermarket across the street , Clean spacious and comfortable rooms Very convenient 20 minute walk to Oxford Circus Station enormous shopping district Great pubs supermarkets and lots of good restaurants nearby spanish thai italian chinese 5 minutes to tube station Great Portland 10 minutes to beautiful Regent s Park Business center was very nice helping me print my boarding pass 
294547,Holiday Inn London Regent s Park, The person on the desk made a hash of taking payment and ended up taking almost 150 too much out of my bank causing me to go overdrawn , It was perfect for what we required
294548,Holiday Inn London Regent s Park, The fact that I couldn t get a refund from booking com or the hotel as I booked an extra day by mistake the hotel wouldn t even give us breakfast instead ,No Positive
294549,Holiday Inn London Regent s Park, Miss leading ad On the hotel description it says there is parking with no mention of any extra fees on arrival you find that it s NCP parking costing you 40 per day, Location
294550,Holiday Inn London Regent s Park,No Negative, Very well located within walking distance of Metro great restaurants and Regent Park Nice room Small but with good layout desk and sitting chair Very nice minibar unstocked so you can fill from Sainsbury express across street 
294551,Holiday Inn London Regent s Park, No facilities in the hotel Basically just the room And the location is not that great as the metro station Great Portland does not have direct lines to all the important places in London we had to walk to Oxford Circus to have better access to the subway direct lines , The comfort of the bed and there s no noise coming from the street
294552,Holiday Inn London Regent s Park, Toilets are too small to move amenities were not ready Entrance is to tight even for room service tray to enter when you open No sockets bedside , Most of the staffs are nice
294553,Holiday Inn London Regent s Park, There wasn t anything I was unhappy with , The scrambled eggs were perfect A good range of breakfast items Everything was fresh and replenished frequently 
294554,Holiday Inn London Regent s Park,No Negative, The hotel is close to the Oxford Rebellion and the staff is very courteous The hotel is clean and the breakfast is very good we enjoyed and highly recommend
294555,Holiday Inn London Regent s Park, The room was a little cold and took a while to warm up and I asked for a wake up call but didn t get it The tv only seemed to have four channels as well, The bed was super comfy and the room was really clean
294556,Holiday Inn London Regent s Park, People in next room were very noisy From extremely early morning both mornings and late at night Could hear their third party telephone conversations, Food was excellent staff were very friendly and helpful Location was excellent view from room was pants 
294557,Holiday Inn London Regent s Park, Not enough lighting in room around the mirror or tea making area air con in bar area too cold pillows in bedroom hard flat , Cleanliness room size good food in bar area ALL staff were friendly and very helpful 
294558,Holiday Inn London Regent s Park, Nothing, The location of the hotel is perfect Easy walking distance to metro bus station Staff is friendly helpful Clean room Comfortable bed
294559,Holiday Inn London Regent s Park, The first room had uneven beds and dirty stained carpets Second room had dirty light fitting and less wonky beds At night the bar toilets were dirty with wonky toilet seats Mangers were shirty They close two of the three lifts due to waking patrons after 11 and it was busy It is an old poorly maintained hotel Not what you expect for a stay in the centre of London at that price point , Lovely cooked breakfast Seated in no time Cleaners were lovely Good bar person
294560,Holiday Inn London Regent s Park,No Negative, Easy walking distance from the subway station surrounded by some good Italian restaurants Staff breakfast and accommodation was all held to a good standard 
294561,Holiday Inn London Regent s Park, The intercom in my room wasn t working although I didn t make a complaint as I had little need for it , The hotel has a very good central location so its quite easy to get anything or go anywhere The staff were really nice and generally I am really pleased with my stay Also have to add that the rooms are exceptionally neat The rooms are not that big though and at times it was annoying moving around especially if you have more than one person around but ideally it should be perfect for couples Other than that it is a beautiful and peaceful place to stay 
294562,Holiday Inn London Regent s Park, Wifi no connection the bedrooms but I believe the hotel had an unusual issue with this while I was staying there and were doing everything to get it fixed, The staff were really great so helpful
294563,Holiday Inn London Regent s Park, We had breakfast over two mornings On both days when we left the table to get our cooked breakfast staff cleared away our juice and cutlery without checking that we were still in the dining room This was quite annoying, The bar area and dining room were very good First room was noisy so they changed us to another room which was much better
294564,Holiday Inn London Regent s Park, The room and bathroom were quite small only one person could fit into the bathroom We would like a wider selection of cheeses at the breakfast there were only two types of individual cheese portions available but overall the breakfast was of excellent quality and taste The bed and pillows were not very comfortable , We loved the breakfast Everything was fresh and tasty The buffet included a full English breakfast as well as a selection of cereals fruit and yogurt The bread and croissants were freshly baked and everything was replenished at a regular basis The location was excellent just a 3 minute walk from the Great Portland Street tube station and a 10 minute walk from Regent s Park It is right in the center of London The room had a mini fridge which was empty for us to use as and tea coffee making facilities which was a great bonus The room facilities included a safe and an iron and ironing board There was free wifi throughout the hotel which was of good quality for browsing and checking e mail There is the option to pay for a quicker wifi service suitable for video streaming 
294565,Holiday Inn London Regent s Park, If anything the bathroom was a little cramped , Everything was just as it was advertised Breakfast was excellent The staff were very helpfull The lady who cleaned the rooms was top class 
294566,Holiday Inn London Regent s Park, The second night of stay i wanted to take a cup of tea Just when I found out that the mug cup were dirty Stained by tea maybe the previous guest used it and the cleaner of the room forgot to check it , Location comfortable bed and pillows clean room
294567,Holiday Inn London Regent s Park, There were spider old net int the corner if the room means ni good cleaning no vacuum , Really nothing very small rooms very old furniture poor and very used poor breakfast helpful stuff but fir no facilities not even 3 stars
294568,Holiday Inn London Regent s Park, the rooms are very close together and the walls are thin therefore quite noisy but earplugs helped with this problem food in the bar wasn t very nice , very central location staff very friendly nice clean rooms 
294569,Holiday Inn London Regent s Park, Stayed for six nights Never again Very unprofessional staff billing mistakes Terrible terrible attitude towards guest Can believe this is a holiday inn Avoid your self frustration Stay at another hotel ,No Positive
