,Hotel_Name,Negative_Review,Positive_Review
196840,Holiday Inn London Whitechapel, We booked two rooms at the same time but forgot to ask specifically that they be close if not next door In the event one was on 3rd floor the other on the 2nd ,No Positive
196841,Holiday Inn London Whitechapel, The area seemed a little rough but it was an excellent location for the Olympic Park , The staff were really friendly We were there for the Ride London and they were very helpful The room was a good size and clean We left too early for breakfast but the restaurant looked nice 
196842,Holiday Inn London Whitechapel, There was a slight odor in the room we were only spending an evening at the hotel so there was no need to change it The service at breakfast was not great The server was friendly but only offered us coffee and milk after my husband flagged her down to ask where we could get coffee after waiting for 10 minutes , We stayed at the Holiday Inn during a weekend trip to London to attend Afropunk Music Festival It was conveniently located for an easy trip to the venue It was also an easy walk to Brick Lane for a lively community feel It was also incredibly reasonably priced for a London hotel 
196843,Holiday Inn London Whitechapel, Overall this is a good hotel but food in the restaurant is limited and the check in process was slow especially after a long days work still wouldn t put me off staying here again though , Nice room
196844,Holiday Inn London Whitechapel, The area around the hotel is a bit shady , The staff were very friendly the hotel and room was lovely and modern and there were more facilities than I expected 
196845,Holiday Inn London Whitechapel, A bit far away from the city center Shoreditch within walking distance 15 mns , Normal Holiday Inn standard good staff Ideal if leaving from London City Airport take the DLR from Shadwell a 10 minutes walk 
196846,Holiday Inn London Whitechapel, couldn t get a twin room and the double bed was not really good for me and my mom it was the smallest double bed I ve slept in As a couple I guess if you cuddle it s fine , The hotel is new modern and with large rooms It also looked very clean good bathroom and shower quiet great value for London Location might seem bad cause it s not a rich area but Shadwell station is actually 5 minutes away and gets you to central London very easily Personally I had no trouble walking even alone at night and one time I walked from Whitechapel station which is a bit further away 
196847,Holiday Inn London Whitechapel, The location is a bit far from central London which is where most of the tourist attractions are We used Uber and it was very easy but we did waste a bit of time because of the location , Staff was very friendly and helpful I give them top marks for sure There were a couple of minor issues with the room which were attended to very quickly The breakfast buffet was excellent with a lot of variety I would stay here again absolutely 
196848,Holiday Inn London Whitechapel, Staff were helpful in booking us a taxi with the company they use to get to the station at a fixed price of 8 Although the meter showed 8 the driver insisted the cost was 10 Not a big deal but was disappointing for a partner company to let the Holiday inn down I paid the 10 but no tips Will definitely stay there next time but will get a black cab which cost us 5 on the way in , Staff friendly and extremely helpful Went out of their way to assist us in every way Great asset to the company
196849,Holiday Inn London Whitechapel,No Negative, The room was light comfortable with air conditioning making the temperature more than comfortable The room was immaculately clean The staff were polite and friendly and very accommodating a very nice stay
