,Hotel_Name,Negative_Review,Positive_Review
260623,Holiday Inn Paris Saint Germain des Pr s, The carpet in the room was filthy and needs to be changed Room was generally very dark , Great location close to montpanasse 25 minute walk to the Eiffel Tower Lots of local shops 
260624,Holiday Inn Paris Saint Germain des Pr s, UNTIDY AND OLD INTERIOR YOU Won t HAVE SLEEPERS IN THE ROOM UNLESS YOU PAY FOR THEM THE TV DOESNT WORK IF YOU DON T PAY FOR IT YOU CAN NOT EVEN WATCH NEWS UNLESS YOU PAY ONE DAY THEY DIDNT CLEAN THE ROOM EVEN WE CAME BACK AND FOUND THE ROOM LEFT UNFINISHED WITH SHEETS PILLED ON THE CORNER OF THE ROOM SUPER MESSY AND WE CALLED THE RECEPTION AND AFTER 10 MINUTES THEY SENT SOMEONE TO CLEAN THE ROOM AND DO THE SHEETS THE INTERNET FOR THE WHOLE HOTEL WAS GONE FOR HALF OF THE DAY THE LOBBY STANK WITH ODOR THE FURNITURE WAS OLD AND THE TEXTILE OF THEM HAD BECOME RIPPED OFF , LOCATION WAS REALLY GREAT 
260625,Holiday Inn Paris Saint Germain des Pr s, Nothing , Great location We waked to a patisserie daily for breakfast about 100m and there were three excellent cafes within the same distance for dinner Hotel staff were welcoming friendly and helpful King size bed with an excellent mattress and pillows 
260626,Holiday Inn Paris Saint Germain des Pr s, Shower door did not close Tv controller did not work until the batteries were replaced Carpet showed several soiled spots , The location was perfect for our stay The bed was comfortable 
260627,Holiday Inn Paris Saint Germain des Pr s,No Negative, Nice staff and clean hotel close to Metro station in a calm neighbourhood not to calm Easy to take the metro or a taxi to the tourist attractions The garage was small if you have a big car 
260628,Holiday Inn Paris Saint Germain des Pr s, My room sink was not functioning the drainage i could not brush my teeth or wash my hands too for my 2 nights stay Was not able to fix it , Very nice staff specially My last Ight staff stay in the late evening one lady receptionis and one From Housekeeper or who was incharge of rooms erands was very nice and accommodating I asking about how to go to lourdes notre dame Lourds south france he was very helpful to give information and on time to call me too with my request wake up call Excellent and friendly Service 
260629,Holiday Inn Paris Saint Germain des Pr s, Poor service lots of issues with room a water leak in the ceiling bath tub didn t drain very noisy The room rate quoted changed daily Bad expensive breakfast , Location 
260630,Holiday Inn Paris Saint Germain des Pr s, It was a little far from the main drag of shops and touristy areas and had to walk a good bit also the breakfast not worth paying the extra money for it when it said it was in st germain de pres it was a little out of the way , A amazing shower also the bed 
260631,Holiday Inn Paris Saint Germain des Pr s, usual problem of being a single traveller I was put in a poor room with a shower but no bath and one of the older rooms Once I complained I was put in one of the newer rooms with a bath But why do you need to complain Saving the better rooms for people that are not single travellers Also I asked for an early morning call when I was leaving and I didn t get it They did remember to order my taxi though , Location
260632,Holiday Inn Paris Saint Germain des Pr s, A bit more cupboard and some drawers in the room would be good but it is possible as is A bar to hold onto when getting into the bath that is also the shower recess , Very good location Many places within walking distance and metro station St Placide just outside The staff were incredibly friendly and helpful taking time to help us with any questions order taxis give us directions etc I will definitely use this hotel as my base in Paris every time I visit And it was nice having a kettle and tea making facilities in the room The bed was very comfortable the room was quiet a good size and clean 
260633,Holiday Inn Paris Saint Germain des Pr s, Breakfast was good but too expensive for what is offered I would feel more comfortable if bathroom had a proper door instead of sliding glass door Overall there is no enough light in the room but this is not really something not to like it s more of a personal appeal , Overall experience was excellent Staff is very kind and helpful hotel is clean location is excellent very near to most touristic locations WIFI was perfect Although the hotel is in a noisy area sound isolation is good and when windows are closed the noise level is not disturbing This is my second stay in this hotel and I had a superior room this time Compared to standard room I had previously superior room has just enough space for comfortable movement around the room 
260634,Holiday Inn Paris Saint Germain des Pr s, You cannot sleep well in the morning because the light come thru the side of the curtains and when having a shower the water is all over the bathroom,No Positive
260635,Holiday Inn Paris Saint Germain des Pr s,No Negative, Location Size of room Beds Armchair in the room Possibility to have a continental breakfast And after applying for membership the possibility of checking out at 14h00 
260636,Holiday Inn Paris Saint Germain des Pr s, The shower sprayed water everywhere in the bathroom but that was minor and not something they could have helped , It was a lovely hotel and the staff was very friendly It was within walking distance of the Louvre and the Eiffel Tower Easy bike rentals made it even more accessible 
260637,Holiday Inn Paris Saint Germain des Pr s, The rooms are very small as well as throughout Paris Two people in one room must be well organized to avoid colliding , Location is great A few steps to the metro station If you arrive from the CDG airport you only need one easy transfer to the hotel metro station RER B rail and metro line 4 Within a 15 minute walk from hotel you will find several very beautiful tourist facilities The breakfast was delicious Very good quality food Excellent juice croissant jam Very helpful staff The hotel is well maintained The cleanliness of the hotel is very good The street where the hotel is located is very quiet and provides a good night s sleep Around the hotel there are several good restaurants and cafes if you do not want to go too far 
260638,Holiday Inn Paris Saint Germain des Pr s,No Negative, The hotel went an extra mile to give us a warm welcome on our honeymoon The team left us a mini treat with a greeting letter Also the staff helped us with our package delivery by printing important documents for us The location of the hotel was very close to the metro station too 
260639,Holiday Inn Paris Saint Germain des Pr s, The accessory for the bathroom are very bad I didn t have any fruit or something else as I am member in IHG The floor between the rooms was everyday dirty, The bed and the pillows are perfect
260640,Holiday Inn Paris Saint Germain des Pr s, Fairly small room with not much storage for clothes Very odd window from the bedroom into the bathroom this had a blind but didn t quite cover Not very private when you are trying to use the loo on a romantic break away , Extra comfy bed and lovely and clean Great staff good breakfast nice food and plenty of choice Good location if you are familiar with the metro system 
260641,Holiday Inn Paris Saint Germain des Pr s, Room too hot despite air conditioning Room smaller than expected and quite noisy at night , Close to two Metro stations Places to eat and drink close by Staff helpful 
260642,Holiday Inn Paris Saint Germain des Pr s, the elevator is really slow if you are on the 7th Floor like us it s important to know, Great location very central restaurant and shops really close great public transportation Staff were very friendly and helpful room was perfect and they left us fresh macaroons fruits and two cocktails because we celebrated our anniversary We are very happy we choose this hotel we had a great experience and we will definitely recommend 
260643,Holiday Inn Paris Saint Germain des Pr s,No Negative, The location is very good the metro is very close just a few meters away We were on the first floor on our first night which was not a very good room It was a bit noisy from the sounds on the streets and there was some noise in the room probably from the AC or something We moved to the 6th floor the next day which is much better more quiet without the noise The staff was nice The breakfast was very good plenty of choices I would stay here again should I go back to Paris 
260644,Holiday Inn Paris Saint Germain des Pr s, the window was broken a bit and a lot of noide was passing by it was completely dark and im very sensible to dark so I got up early wifi not so powerful the hotel prposed me another room but all room had the issue of the curtain not covering enought the light appenrently they are fixing it i need complete darkness to sleep well , the location and look of the room great shower
260645,Holiday Inn Paris Saint Germain des Pr s, Breakfast was not satifying enough for 18 coffe was not good at all was like instant coffee instead of filter , Ben is very comfortable location is good 
260646,Holiday Inn Paris Saint Germain des Pr s, The hotel parking was full and we needed to park on the street, The staff was very friendly and they upgrade us to a superior room because they fully booked the normal ones
260647,Holiday Inn Paris Saint Germain des Pr s,No Negative, The bed was very comfortable the location however wasn t very central although close to a metro station which helped we needed to take cabs in the evening next time we will stay over the river nearer the centre 
260648,Holiday Inn Paris Saint Germain des Pr s, Rooms are small not much space to put the luggage Lot of noise even when I chose Quiet room Staff was not aware of the details on places to visit and also the availability of the tickets for bus tour etc , Comfortable Bed Cleanliness 
260649,Holiday Inn Paris Saint Germain des Pr s, Nothing, Location was fab St Placide metro across the road also walked to notre dame in like 20 mins really nice area felt safe at night Beds were super comfy Very clean Staff very friendly and helpful Overall lovely hotel would definitely recommend
260650,Holiday Inn Paris Saint Germain des Pr s,No Negative, This property was amazing So central and staff were fabulous My boyfriend and I stayed here for 3 nights and would definitely come back A 1 minute walk to Saint Placide metro lots of shops restaurants etc around Free wifi was great too as was the breakfast Huge bed which was so comfy and very clean and spacious We stayed in room 216 which I think was the executive or deluxe and was 100 worth paying the little bit extra for it There was also robes and slippers in the room for us Would recommend to anyone coming to Paris we had a lovely stay 
