,Hotel_Name,Negative_Review,Positive_Review
352575,Hollmann Beletage Design Boutique, Instructions re operating the relaxation room in the suite would have been helpful I m sure someone would have told us how to use it if we had asked but didn t want to be constantly bothering reception More TV channels would have been welcome even if it was just Sky news or CNN , The staff certainly contribute to the success of this hotel They were all very friendly efficient couldn t do enough to help you Would agree that the entrance to the hotel does not attract but once at reception that all changes We booked the suite it was more like having our own apartment Located one floor up in a different part of the building it was quiet clean very spacious Kitchen area lounge dining room large bedroom modern bathroom shower relaxation area separate WC Tasteful combination of modern fittings with original older building Pointed out to the maid that the bath water did not seem to drain away properly technician was there to sort it within minutes Wish other hotels were as efficient Breakfast Dishes were freshly cooked to order Hotel Restaurant recommendations were very good 
352576,Hollmann Beletage Design Boutique,No Negative, The staff were extremely friendly The hotel has it s original style During our stay we feel as visiting our good friends Breakfasts were very special and lovely Room was spacious pleasant and clean 
352577,Hollmann Beletage Design Boutique, An extra suitcase stand rack in bedroom would be nice , Katrina on reception a delight Without doubt the best breakfast room experience in 120 days stunning Walk in shower separate toilet 
352578,Hollmann Beletage Design Boutique, Bed not very confortable , Loved the modern hospitality of the hotel Small details and attentions to make you feel at home rather than in a hotel There was a hand written welcome note with my name on a board outside my room The toiletry products are great 
352579,Hollmann Beletage Design Boutique,No Negative, This is an absolutely fantastic boutique hotel with a location that couldn t be better 5 minutes walk from St Stephen s Cathedral south and Schwedenplatz Station north The rooms are spacious and luxurious the breakfast is incredibly delicious and the service is impeccable I can t recommend this hotel highly enough if you re traveling to Vienna definitely stay here 
352580,Hollmann Beletage Design Boutique, parking is a little tricky but not bad Really no major downsides with this place , Wonderful made to order all you can eat breakfast Location is great in old Vienna 
352581,Hollmann Beletage Design Boutique, May be the WC can be improved , A lovely suitable location in the middle of historical Vienna and lots of shops and restaurant The building is an antiquity the suite is designed in a rustic yet modern way We loved it it is private and quite and feels at home The breakfast area is an open kitchen stations the variety is well studied healthy And simple as if your own chef is cooking at home The staff are kind happy And helpful We loved it 
352582,Hollmann Beletage Design Boutique, Nothing all good, Great location spacious room very good shower Loved the breakfast probably one of the best I have had throughout my travels Free WiFi 
352583,Hollmann Beletage Design Boutique, I would put the carpet looks very pure without , Location is exelent Hotel looks not attractive enough from outside but when you see everything from inside you understand that somebody did super job Sure quality of the rooms could have been better if you compare with Chinese for example But there are a lot of small things which create really comfort atmosphere 
352584,Hollmann Beletage Design Boutique,No Negative, Wonderful breakfasts with innovative menu and serving style The heated wet room in the suite was fantastic to relax and unwind with a bottle of wine after a long day sightseeing
352585,Hollmann Beletage Design Boutique,No Negative, Room was spacious and well designed This was especially important given that we were traveling with an infant which required a pack n play in the room Our son enjoyed playing with the rubber duckies and the antique telephones The breakfast was probably our favorite part of each day in Vienna Staff was welcoming and professional Location cannot be beat plenty of great restaurants and sites within a very short walk 
352586,Hollmann Beletage Design Boutique,No Negative, Fantastic hotel excellent breakfast friendly and personable staff Room was clean and spacious Amazing central location 5 minute walk to St Stephens Cathedral 
352587,Hollmann Beletage Design Boutique,No Negative, This place is a gem Beautifully designed rooms super comfortable beds thought through concept and beautiful decor If you are looking for friendly comfortable quirky and a tad different then this is the place to go When wandering through the different areas of the hotel you will find little special details everywhere to put a smile on your face The breakfast was lovely The only downside of our stay was that we could only stay for one night 
