,Hotel_Name,Negative_Review,Positive_Review
286961,Hotel Alimara, Wifi does not work well poor No swimming pool in a very warm place Gym very small Fridge very small No restaurants bars close by Reception sent us to a room that was not ready to occupy We had to let them know about it The hotel charged the total amount of four nights when I did the booking even though they said that they will not charge anything They explained that they wanted to check if my card was valid This caused that my credit card was blocked for a few days until I talked to the hotel and my credit card company , The size of the bathroom A supermarket close by the hotel The building looks nice
286962,Hotel Alimara, Air conditioning is a joke The room is spacious but the noise and hot indoor temperature don t provide the comfort required for a 4 stars hotel The staff wasn t helpful and attentive , Really close to a metro station spacious room and nice bathroom
286963,Hotel Alimara, We requested a cab the day before we were set to departure and the can never showed up The front desk said thy only use one cab service and if I knew of any I can call Not sure how a tourist would know about different cab services Totally disappointment in the customer service provided by the front desk Also AC was not working and had to call several times before anyone showed up to fix it ,No Positive
286964,Hotel Alimara, Far from the main stops, The staff were so friendly and helpful The room was really value for money It was close to the metro so it made our trip easy 
286965,Hotel Alimara,No Negative, I loved that the window could open fully It seems a trivial thing to mention but in a warm climate it is delightful to be able to let the cool breeze blow in if you want it 
286966,Hotel Alimara, Overpriced for what it offers Restaurant food was good but not much of it so poor value On two consecutive mornings our dirty coffee cups were left in the room and not exchanged for clean ones Water was only available from the minibar and charged for Reception staff efficient but not caring , Convenient for metro line although a long way out of centre Local coffee shops in residential area good for breakfast Fast lifts WiFi very good Breakfast plentiful 
286967,Hotel Alimara, A C wasn t on and breakfast was way too expensive My room was also charged for a restaurant charge that I didn t make but it should ve been taken care of , Close to metro and very clean Beds were decently comfy and grocery store was across the street It s a taxi stop so we didn t have trouble getting one to go to the airport 
286968,Hotel Alimara, It was all good but nothing really special for such a high price , Very close to the subway metro and a super market 2 minutes big comfortable bed large bathroom
286969,Hotel Alimara,No Negative, Very confortable bed Good services and the hotel is near the Metro Station Mundet line wich brings you to centre of the city in 20 30 minutes Near the hotel are some grocery stores and some restaurants I recomand with pleasure this hotel 
286970,Hotel Alimara, There s no aircon open in April although is already a little hot , The location is good The metro station is just 2 minutes away from the hotel You can walk 3 minutes from the hotel to the nearest supermarket If you want a hotel for reasonable price during your trip in Barcelona Hotel Alimara will be your great choice 
286971,Hotel Alimara, The room had a very strange smell Heating did not work so it was very cold Staff were very unfriendly so we were not too keen on asking them for their help Breakfast was disappointing Too many cakes and sweet stuff were served Eggs were cold Not very much choice for vegetarians and vegans For this price I expected much more for breakfast and more assistance from the staff , The room was spacious The hotel is close to the underground station 
286972,Hotel Alimara, The invoiced amount was higher than the deal confirmed by Booking com Correction took time and argument Their accounting department does not seem to be functioning very well , Rooms are well organized and clean Breakfast buffet is very good Most of the front desk staff are nice and helpful 
286973,Hotel Alimara, Air Conditioning did not work for six days and you cannot open the window because it is too laud Windows do not close tight enough Hotel is noisy , nice rooms close to Metro great breakfast across the street
