,Hotel_Name,Negative_Review,Positive_Review
475409,Hotel Auriga, surroundings of the hotel homeless people old school bathroom with difficult managing of water temperature very bad almost not working airconditioning, Proximity to central station interior style of the hotel 24 hour reception
475410,Hotel Auriga, Each room doesn t have a coffee machine even when I request for a hot water machine they just sent me a hot water in a bottle Air condition doesn t work last day before we check out It s just switch off automatically while we do nothing I found a smell shirt in the wardrobe at the first day I came into the room, Good location friendly staff
475411,Hotel Auriga, Everything was very nice , The bed was extra comfy The bed linens and the towels were very soft and extra clean The location is great two minutes from the main train station 
475412,Hotel Auriga, Everything was good, Very delicious breakfast we had a room on the sixth floor and a big balcony with a beautiful view on the Pirelli Tower The hotel is in a very convenient location 5 minutes from the railway station and 20 minutes from the city center We will definitely choose this hotel again when staying in Milan 
475413,Hotel Auriga, The breakfast was adequate but is your typical European breakfast variety We tended to go have breakfast at local cafe s just because we wanted to experience the local food , The hotel was just like the photos The hotel was clean and the rooms very nice The staff were very friendly The hotel had a nice boutique feel to it and was very close to the metro and train station that we were using Would stay there again
475414,Hotel Auriga,No Negative, Hotel with old but well maintained equipment In general everything fuctioned pretty well Garage is behind the hotel Garage 2000 however one has to leave keys of the car to the garage staff In vicinity is also an other garage not sure whether you have to leave keys also there 
475415,Hotel Auriga, The staff member who did my check in had plenty of attitude he appeared to be bothered as he ran through my check in and gave me a key But that s all I had to ask where s the elevator What is the WIFI access code What time and where is breakfast He is not the kind of guy I would want greeting my hotel guests , Location was great Room was clean and quiet comfortable bed Most of the staff was very helpful 
475416,Hotel Auriga, The pillows could be softer for my taste , Friendly staff The fact that we got a parking spot right in front off the hotel though that was more by luck I suppose The breakfast was good and the wait staff was attentive 
475417,Hotel Auriga, Staff were rude and this was such a contrast to the other two accommodations we had in Italy Also the online description included airport shuttle and we had to go to a bus stop near the train station and buy our own tickets The staff wouldn t provide any times or information about this service ,No Positive
475418,Hotel Auriga, Would have been nice to have tea and coffee facilities in the room Otherwise all good , Proximity to train station metro and airport shuttle Decor was very interesting and we liked its effect Good breakfast Restaurants nearby Cafe Pirelli Nouvo next door was a gem and had great happy hour with very jovial proprietor Quiet room even though area was busy Easy metro access to city center 
475419,Hotel Auriga,No Negative, Located just across the square from the railway station this hotel was perfect for an overnight stay The reception staff were a little off hand but check in was smooth and efficient and our room was quite lovely Most of all the bed was super comfy and exactly what we needed after a long day of travel Next morning we enjoyed an excellent breakfast buffet with plenty to choose from 
475420,Hotel Auriga,No Negative, Even the single room has the enough and comfort space The decor n style inside of the room really impressive Breakfast was wonderful n various each days Staff are kindly Good location definitely 
475421,Hotel Auriga, Everything was OK , Excellent location just 2 minutes from central Station metro station is 100 m away good breakfast comparing to Italian standards very clean very good wifi connection large beds 
475422,Hotel Auriga, The decor is a bit dark Could do with a brightening up , The location which is close to the central station The staff also were very accommodating and stored our bags overnight for us when we went on an overnight trip 
475423,Hotel Auriga,No Negative, Not a 4 start hotel but nice for a quick stay in Milan Comfortable and clean Localisation was practical for reaching the airport or when we come by car 
