,Hotel_Name,Negative_Review,Positive_Review
77829,Hotel Bachaumont, Disclaimer I am a sensitive sleeper we were on a lower floor where I felt the vibrations of the subway even though it was not too bad they weren t able to switch the rooms , Location is in a very lively neighborhood with restaurants and charming boutiques immediately to left and right when you step out Convenient location walkable distance to Louvre Saint Honore and department stores The hotel design is beautiful modern and clean room decently sized 
77830,Hotel Bachaumont, We had come to the hotel previously and had an incredible stay This time however we were incredibly disappointed with the unprofessionalism of the front desk staff We were told our room would be ready by the check in time but were left waiting over an hour and a half past the check in time The staff was hardly apologetic and didn t even seem to care about their blatant breakdown in communication This hotel was always our go to place when we visited Paris but from now on we will take our business elsewhere ,No Positive
77831,Hotel Bachaumont, the room was a bit small in my opinion The bed fills most of it , great location very friendly and helpful staff room very clean and with good atmosphere 
77832,Hotel Bachaumont, The breakfast buffet is too expensive at 25 Euros And the rooms are pretty small Other than that everything was very nice , The staff was exceptionally friendly 
77833,Hotel Bachaumont, Can t think of anything negative Did not eat here so can t comment on that , New modern hotel in excellent location Stayed in superior room which was a fine size by Paris standards D cor was beautiful hotel was very clean staff were very welcoming location was quiet beds were very comfortable bathroom was lovely All in all a very enjoyable stay and I would definitely stay here again 
77834,Hotel Bachaumont, Our room faced the street with a small Juliette balcony Picturesque but the street noise and restaurant noise kept us up most of the night Get an INSIDE room if you value sleep There is no lobby to wait in only a bar that is closed until evening a restaurant that closes in between meals and a hall with a tiny alcove I thought breakfast was included with the booking but they said no Not a problem as there are beautiful pastries at the end of the street , Chic Nice bathroom with a large shower Very polite and helpful staff A wonderful restaurant loaded street is at the end of the street Monteguell 
77835,Hotel Bachaumont, Rooms are a little small Not much free anything other than water I think No chocolates or fruit for 450 Euros a night there should be a few extras frills , Staff were hip sharp and responsive 
77836,Hotel Bachaumont, Staff are okay didn t really offer much more then your check in check out experience which makes it hard when you don t speak the language as you don t feel they will give much however the staff in the reasturant and bar are incredible and the breakfast and food is amazing , Stunning Parisian Hotel Loved the rooms view of the courtyard is beautiful Location is perfect straight outside your surrounded by cafe s reasturants deli s and more If your looking for a Parisian experience this is the one 
77837,Hotel Bachaumont, Staff were a bit too cool to provide good service especially during breakfast one day they were more interested in talking to their friends than attending to customers , Clean and stylish
77838,Hotel Bachaumont, Although friendly and welcoming staff seemed quite inexperienced and gave a vague impression At an upscale place like this you d express staff to make you feel at ease , Beautiful design at a great location A great restaurant both for breakfast and dinner 
77839,Hotel Bachaumont, Breakfast was limited choice and the hot scrambled eggs presented in a cooper pot were lovely looking but always luke warm, The hotel is immaculate nice and quiet location beds are incredibly comfortable and the cocktail bar was great With a friendly accomadating bar man
77840,Hotel Bachaumont, Breakfast is the only weak aspect to my mind Don t recommend to buy it , Excellent hotel very modern and sophisticated The rooms are fabulous however we had a lot of luggage so would appreciate more space The street is quiet but very vibrant at the same time if you turn around the corner with multiple shops and restaurants 
77841,Hotel Bachaumont, The wifi isn t great but that s honestly the only complaint , The staff are excellent as are the rooms and the food And you can t beat the location if you want to live more like a local 
77842,Hotel Bachaumont, I ve expected better food for the price We ve asked to clean the room because of a broken glass but it was not done when we came back in the night , I liked the decoration the bed quality and the suite Very good cocktail Free water cookies tea and coffee 
77843,Hotel Bachaumont, Housekeeping was appalling Amenities were not replaced on a daily basis The room was not ready and we only manage to check in past 3 30pm and this is after insisting on going into the room We had to hang around at the lobby and we would have felt better had we been offered a cup of tea or water while waiting , I enjoyed staying at the location 
77844,Hotel Bachaumont,No Negative, The hotel rooms are stylish and modern as is the rest of the establishment The beds are SUPER comfortable too There is an excellent restaurant and bar and the staff are really friendly 
77845,Hotel Bachaumont,No Negative, A travel journalist friend recommended this property and she nailed it amazing location and a great restaurant and we will be stay there the next time we are in Paris 
77846,Hotel Bachaumont, The rooms were very small and there was hardly space to put your clothes and using the wardrobe resulted in not being able to close the doors Also the rooms at the front are terribly noisy and when you have a room downstairs you can feel the vibration of the Metro and hear the noise , We liked the staff the food and location of the hotel 
77847,Hotel Bachaumont, The scrambled eggs could have been warmer , Excellent location friendly staff tasteful decor cosy rooms and great coffee Really liked the shampoo brand too 
77848,Hotel Bachaumont, The hotel is based in a very vibrant part of Paris and is therefore noisy at night The windows do an excellent job of shutting the noise out however our room was very hot and stuffy because of having to close them , Right in the heart of the city Couldn t be better and the bed was soooo comfy following a days sightseeing 
77849,Hotel Bachaumont,No Negative, Very charming hotel with really excellent restaurant where we had a delicious meal in the evening Breakfast was well worth the money Would definitely like to stay there again 
77850,Hotel Bachaumont, Only 1 bed duvet but we received additional one after asking two times We booked 3 rooms for 3 nights and had to leave a 3000 deposit , Fantastic scrampled eggs and cups of yoghurt in the breakfast buffet 20 extra for breakfast nice staff comfy beds good pressure in the shower would like to stay here again Perfect location 
77851,Hotel Bachaumont,No Negative, Beautiful hotel in an amazing location The neighbourhood has plenty of restaurants and bars with the added benefit of only a 10 min walk to the Louvre and other attractions 
77852,Hotel Bachaumont, There really wasn t anything we didn t like about this hotel It was perfect , The staff was extremely nice and helpful The breakfast was very good and the rooms were clean They helped us to make dinner reservations and called cabs for us when necessary The room we were in had several nice balconies which we were able to sit at and have a drink after a day of sight seeing The rooms were extremely sound proof we could not hear street noise or the neighbors which is unusual in Paris where the street noise can often be unbearable at night 
77853,Hotel Bachaumont, The first night the air con didn t work and the hotel didn t put enough effort to fix it or change our room or give us a discount Also they didn t come clean the room until we told them specifically,No Positive
77854,Hotel Bachaumont,No Negative, The staff were so helpful the place was clean well located and the room size was great for Paris As it was our honeymoon The staff were lovely to make a lovely heart with rose pedals on our bead and provide delicious macaroons Such a lovely surprise 
77855,Hotel Bachaumont, No tea coffee making facility No face cloths, The room was very comfortable We liked the little terrace outside our room The reception staff were great they were happy to help with questions on hiw to get to places 
77856,Hotel Bachaumont, I had to leave , The entire staff was lovely and so helpful on funding fun things to do The barista Jeremy was amazing He befriended us and made us feel really welcome The area is quiet which was nice at night but one block away there are streets and streets of bars and restaurants frequented by locals Amazing experience all around We went as a group of friends but it s definitely a place I ll go back to again and again 
77857,Hotel Bachaumont,No Negative, The staff were very helpful with recommendations and information The location was excellent off a main road but in an excellent area with easy access to everything 
77858,Hotel Bachaumont, Room was noisy from other people banging doors and building works outside , Very clean and in a great location Surrounding shops were nice and the atmosphere around the hotel was nice 
77859,Hotel Bachaumont,No Negative, A stunning hotel in an excellent location Staff very courteous and professional an excellent restaurant and bar with beautiful people Highly recommended 
77860,Hotel Bachaumont,No Negative, Friendly and helpful staff great location end the street led to one of the best eating foody paradise Walk to Pont Neuf the Latin quarter and Notre Dam Lourve 
77861,Hotel Bachaumont, Inside the room sometime are not comfortable when something happen outside because we can hear the sound , Hotel staffs are very helpfull and they speak English fluenly
77862,Hotel Bachaumont, We had a standard room do not expect it too big Everything small but still nice starting with the bathroom and ends with the closet Breakfast is a little bit too expensive for what it is 20 but ok you are in Paris , Very nice Art Deco Hotel perfectly redone Nice staff good location with various bars and restaurants in the neighborhood Good bar and restaurant in the hotel good vibe in the evening Definitely will come back 
77863,Hotel Bachaumont,No Negative, Beautiful building in a lovely location staff very helpful and the cocktails were beautiful The room was comfortable and had everything expected or needed All in all a perfect Parisian hotel 
77864,Hotel Bachaumont, We had booked a suite for 4 but the bathroom was set up for 2 so we had to ring a few times to get extra towels and robes brought up , The location was brilliant Really central Staff were amazing and very attentive They gave us free breakfast because something in our room was broken 
77865,Hotel Bachaumont, Some noise from the room above on the first night none after that , Staff were very friendly the decor is really well finished Restaurant was lovely 
77866,Hotel Bachaumont, Restaurant is a bit noisy Breakfast is a bit expensive 20EU per person , Modern hotel Perfect location Romantic atmosphere Restaraunt is very good Staff is very helpful and communicative 
77867,Hotel Bachaumont, Nothing, This is in a great location Walking distance from a train station so easily accessible from the airport Lovely shops and restaurants close by Staff very friendly Rooms spacious and clean 
77868,Hotel Bachaumont,No Negative, From the moment we arrived we felt welcomed all the staff was really friendly and welcoming the rooms are fantastic and the bed was unbelievably comfortable there is honestly nothing me and my girlfriend can fault with the place thoroughly enjoyed every minute definitely coming back again soon
77869,Hotel Bachaumont, problem with heating over heated during the night no possibility of stopping the heat up to 30 in the bedroom My husband didn t sleep at all we opened the window and since it s in a noisy neibourhood very uncomfortable in a prestige suite no discount or excuses from hotel Quite sorry about that since the rest of the stay was good, great location helpful staff kudos to Amandine and we loved the deco of our suite
77870,Hotel Bachaumont, Internet did not work properly during our entire stay of 6 nights breakfast was expansive and did not live up to our expectations, great location friendly staff comfy bed
