,Hotel_Name,Negative_Review,Positive_Review
282494,Hotel Barcelona Center, AC in room was very noisy and had to be turned off to enable sleep , great location and general room facilities were very good other than AC noise Maintenance appeared not to be able to fix 
282495,Hotel Barcelona Center, You need to walk at least 15 mins to get to the main tourist areas , Rooms were lovely and clean Beds are firm and comfortable Staff are very friendly 
282496,Hotel Barcelona Center, Bed mattress too hard If taking the airport shuttle to the town centre suggest you get a taxi to the Hotel , As this was our Anniversary we were delighted to have received a bottle of Bubbly for our special day Staff very friendly accommodating Roof top terrace very enjoyable
282497,Hotel Barcelona Center, The staff was not very friendly There was an outdoor light right under our window and the curtains did not close so there was a bright light shining in our room all night The jacuzzi was only open until 8 pm and several times it was closed for a private event ,No Positive
282498,Hotel Barcelona Center, The cleaning of the room starts after 2pm so if we return early we had to stay in the lobby until our room is cleaned, Great location elegant hotel friendly staff and v near to bus and metro stations close to many resataurants and shopping area highly recommend it
282499,Hotel Barcelona Center, Nothing, Nice location very clean staff very helpful facilities fab especially roof terrace and fast wifi Just lovely would visit again and recommend
282500,Hotel Barcelona Center, A little pricey and no breakfast included but loved this hotel , I loved this hotel The room was wonderful very clean spacious and classy with a lovely huge bathroom with two showers There was a safe and tea and coffee making facilities The location was perfect within walking distance of shops bars restaurants metro bus the Old Gothic Quarter the beach if you like to walk for 30 minutes or so and the shopping centre The hotel was so easy to get to from the airport on the metro and back to the airport at night by night bus Located in a beautiful area I would recommend this hotel 
282501,Hotel Barcelona Center, The beds were hard and the a c did not work consistently , The hotel was in a good location The staff was friendly Rooms were clean Terrace provided a good view of city 
282502,Hotel Barcelona Center, Uncomfortable beds air conditioning was warm Terrace was not open for smoking in the a m had to go to the sidewalk in front of hotel no available coffee in the hotel in the morning, Rooms were nice
282503,Hotel Barcelona Center, Twice in our 6 day stay the rooms was not cleaned until mid to late afternoon We would have preferred to have two regular coffee packets in the room , The floors were so shiney and the room was set up with all we needed 
282504,Hotel Barcelona Center, More options for breakfast, The location was good right near a taxi stop and 24 hr super market The room was really nice and clean all the time The staff were great and really helpful We really enjoyed our staying at the hotel 
282505,Hotel Barcelona Center, Can hear trains underground from second floor glad I wasn t on lower floors Staff didn t replace used tea bags and no spoons to stir the tea Towels were not replaced as used Started out with plenty however , Staff were lovely Easy walk to main shopping cafes buses and Gaudi highlights Very spacious room but decor was quite dark brown and beige Large walk in shower and bath Restaurant served food late into evening and was excellent Flamenco show was in same street only 10 mins walk Good breakfast selection 
282506,Hotel Barcelona Center, we had the room with small window which goes direct to the wall no light in the at all it should be noted like no window room to slippery in bathroom you have to stand under shower in a tube write where the head should be mold in a bathroom, the location is not bad close to all activities
282507,Hotel Barcelona Center, Rooms had new flooring renovated but odd musty or sewer type smells at hotel entrance a little in hallways also It did not impact our stay , Friendly very helpful staff rooms nice size clean quiet A few blocks away f busy streets 
282508,Hotel Barcelona Center, More English speaking tv channels Slightly bigger wardrobe space and this is being really picky The sauna is very small and located off the bar area on the terrace It was too cold to use the outdoor uncovered pools , Room size was very big with a huge bed Bathroom had a walk in shower and bath tub Coffee facilities in the room Good blackout curtains Clean Modern Good lighting Good full size mirror Good and friendly housekeeping staff 
282509,Hotel Barcelona Center, the hallways smelt like poop the elevator smelt like lavender and the room service didn t replace the nespresso caps or coffee during the stay , the location was mostly good
282510,Hotel Barcelona Center, There was one bar staff male with a slightly bald head he could do with some training on customer service and people skills and how to smile , This was our first trip to Barcelona and this hotel went the extra mile I had stated on the booking that is was my boyfriends birthday in the hope we got a nice room Not only did we get a fabulous room we also go a bottle of champagne sent to our room complements of the hotel which we were not expecting and both of us were really impressed The room was spacious as was the bathroom very clean and comfortable bed House keeping did an excellent job or servicing our room each day Desk as reception staff very friendly Excellent location walking distance to Barcelona s main shopping area with plenty of restaurants and bars around 
282511,Hotel Barcelona Center, The hotel is a bit old not like picture room is very dull low lights very uncofortable bed not cleaned well the flush was not working and the staff not helpful at many times we once asked for a change and they refused we asked for a taxi they toldus to manage i think there are many more better hotels around Breakfast very expensive, Very basic hotel nothing special maybe the restaurant at the hotel entrance The AC was in a very good condition and the room is spacious 
282512,Hotel Barcelona Center, Porter service for bags would be helpful , Room was good size very clean Lots of closet space Breakfast was good although not included in our room rate so a little pricey Coffee in room helps to start day Nice view from room 306 Bar food was good service also Great to have taxi rank just outside 
282513,Hotel Barcelona Center, Unfortunately the restaurant in the hotel was appalling waited best part of 2 hours for meal which was only 2 caeser salads with many other diners complaining to manager then out at main reception that was only time we ate their, The hotel staff were very nice and helpful would certainly stay again nice restaurants easy walking distance Also all the shops Zara H M c a along with all designer shops
282514,Hotel Barcelona Center, The room temperature was a bit warm the aircon didnt help to cool the room enough the bed was a bit too hard Perhaps more pillows , Friendly staff excellent service spoke good English too 
282515,Hotel Barcelona Center, The bed was of the hardest and less comfortable I have slept in The air conditioning was not running in March so we had to open the window towards a street with heavy traffic , The staff was friendly and the location was good 
282516,Hotel Barcelona Center, We booked half board and had to have the same menu three times in a row and was also limited to what we could eat We also had to eat dinner in the bar cos the restaurant was not open in the evenings, Location was good to visit all the attractions 
282517,Hotel Barcelona Center, Breakfast Coffee and tea awful All self service so food left out and looked tired often cold Very poor quality bread the cheapest cut bread which was a marked contrast to the bread in any other part of Barcelona , Cleanliness Spacious room and dressing room Convenient safe location Plenty of fresh fruit offered at breakfast
282518,Hotel Barcelona Center, I like to iron my own clothes I had an option to use the service of the hotel which i didn t use for the reason above The bed was not very comfortable as it was an extra bed folding bed although an extra pillow would probably have solved the problem , The hotel was good in all aspects location staff cleanliness etc 
282519,Hotel Barcelona Center, When I forgot to pack a dress when I left the hotel it was eventually found and was successfuly returned to the U K via a friend who picked it up from the hotel at first the front of desk didn t know about it then located it Better communication between the staff is therefore required but I much appreciated their help The jacuzzi wasn t working unfortunately , The bed was very comfortable The staff were very pleasant Breakfast was good I enjoyed the sauna 
282520,Hotel Barcelona Center, Condition of the hotel room was completely unacceptable, Please don t stay here felt completely tricked by the pictures online Room was very small much smaller than the hotel Pictures and was not properly sealed Smoke from the other properties lifted into our room all day and all night We emailed the property to inquire why our room was stinking of smoke ongoing no one could even take the time to email me back Did we forget to mention that we were travelling with young child both allergic to ciggrate smoke 
282521,Hotel Barcelona Center, The room was stuffy Electrical circut was broken The toilet didn t flush properly There was coffee but no tea The remote for the TV didn t work When we told reception and they gave us an awkward laugh We ordered a taxi and it hadn t been ordered and we had to catch a train but the helpful porter went onto the street to hail one for us There was a conference on in Barcelona so therefore the prices we put up , The central location The comfortable beds and PILLOWS Help with our suitcases 
282522,Hotel Barcelona Center, The room and lobby were heavily perfumed the bathrooms could use some scrubbing in the corners to get rid of black spots on the grout, Space value and location were excellent
282523,Hotel Barcelona Center, Giving one small beg of coffee natural and one small beg of coffee decaf for 2 guests for 24 hours is ridiculous Even more ridiculous is to argue with the guest that actually the coffee is courtesy of the hotel and therefore whatever the hotel decides to give is fine ,No Positive
282524,Hotel Barcelona Center, Can hear and feel the subway every 10 minutes They advertise hot tub but they don t have one The staff called us for a wake up call we never requested, Room was modern and chic
282525,Hotel Barcelona Center, Picky no supply of biscuits 2 in 5 days , Safe area with great walking connections to most areas of town Rooms are good and well maintined Good to get to Jaqusi after walking all day
282526,Hotel Barcelona Center, Facility and room plumbing did not work properly Bath tub flooded because drain did not work in tub and the sink leaked in the room , Friendly staff and room was cleaned
282527,Hotel Barcelona Center, Breakfast package Scrambled eggs were salty and greasy It was pretty much the same for all the other cooked dishes Only good thing is fresh OJ to cut the grease Get breakfast elsewhere Location is great but noisy If your room faces the street you will hear traffic noise So if you get a room where the thermostat to control heat or cooling does not work and you open the glass door for some air be prepared for traffic noise and smell of car exhaust If you get a room along small atrium it is quiet but stuffy for 2 people occupancy , Staff was very accommodating Location is in walking distance to many local sites such as Casa Batllo Casa Milla restaurants shops Las Ramblas and public transportation 
282528,Hotel Barcelona Center, I found some of the staff at reception a bit dull and sour faced to start On Arrival guests should be greeted with a smile this sets the scene for the rest of the stay There is a gloomy atmosphere in the hotel and management should take note The shower was in a dark corner of the bathroom no lights on that area and difficult to tell whether you are washing your hair with shAmpoo or body wash , Hotel interior and room very nice Bed comfortable and everything seemed to work well 
282529,Hotel Barcelona Center, the recpetion is lightly manned one would expect that a 4 star has more than two often only one people manning the desk especially in the morning with check in out going on, they sent in a maid to make our twin beds into a massive double bed she was AMAZING did it in less than 5 minutes The room was facing inside a very small yard not a great view but this made it perfectly silent
282530,Hotel Barcelona Center, Despite requesting a double bed we got two singles also the room only had one bath towel and hand towel when we arrived while only a small amount of money the City tax was a surprise The sauna and gym were tiny , location was nice staff very helpful little cafe across the road was great 24 hour shops close by 
282531,Hotel Barcelona Center, A bit noisy cause metro runs under the street of the building Always the same limited breakfast options every day some vegetables would be better Quite a distance to the bus stop of the airport shuttles 15 20 mins walking , Staff At the reception and the entrance is really friendly and helpful Location is great close to most of the attractions Facilities are great clean Wifi really fast I would recommend this hotel to friends who visit Barcelona 
282532,Hotel Barcelona Center, lacks some basic requirements in the room like iron and no body take your luggages to the room , Hotel Barcelona Center located near the city centre and is considered fairly well
282533,Hotel Barcelona Center,No Negative, This hotel was more than our expectations The size of the room cleanness breakfast location were absolutely fantastic and we couldn t find any negative point about this nice hotel At the end I should add we are travelling a lot to the different destinations and my wife is quite fussy about quality so you can choose this hotel with ease of mind Thank you so much for good memories that you made for us 
282534,Hotel Barcelona Center, A little bit far from the metro but it is manageable , The hotel smells very good and the staffs were friendly The triple room is spacious and the bathroom as well There is a 24h grocery store near the hotel as well 
282535,Hotel Barcelona Center, breakfast was too expensive for what you got and the in room coffee maker was there but we had to ask daily for coffee pods , Staff friendly and centrally located 
282536,Hotel Barcelona Center, Very hard uncomfortable beds high synthetic pillows Worst breakfast we have ever experienced This hotel goes for the cheapest food Nothing was edible , Large rooms 
282537,Hotel Barcelona Center, Poor english for part of the staff very important for the first contact person behind the desk to have a much better understanding and speaking , all very comfortable avarage scale 4 pts out of 5
282538,Hotel Barcelona Center, Because the building is old there were a couple of issues with our bathroom faucet Note that energy conservation across Barcelona is a priority We felt that the room became warm in the night It is best to crack your window to stay comfortable on warmer nights , We became very close to the staff They were full service to the max and even solved a difficult issue with an adapter The rooms were always spotless 
282539,Hotel Barcelona Center, Bed was making noises room service didnt provide the 2nd bathrope repeatedly no heating function for air conditioner just passive heating break in internet connection removal of toilet brush , Location the restaurant breakfast friendly staff
282540,Hotel Barcelona Center, Not really Don t understand bad reviews honestly guessing mostly spoiled ppl , 5th floor I stayed Very quite Clean and nice Bed is firm and big Nice wooden floor They even call us if everything alright after check in How considerate Bathroom is big and nice clean Two showers in the bathroom no need to wait for others Just in the same time And amazing bath tub Water is hot and strong Long window can open for fresh air Sleepers on request Wifi in the room Lobby has nice smell Good helping staff 
282541,Hotel Barcelona Center, All the silly extras you had to pay for tea and coffee in room should be free The light on the balcony and the curtains didn t close to block the light on the balcony, Size of the room
282542,Hotel Barcelona Center, Room service closes at 11 Late arrivals have to sleep hungry The breakfast is horrible The chicken wings and omelette smelled of stale oil Water is not provided in the room and it s charged , The spacious rooms in europe are a plus The cleanliness awesome The best of all is the location
282543,Hotel Barcelona Center, Breakfast could have been warmer, Location great lioved the roof top terrace Bedroom for the 3 of us very spacious Will definitely use the hotel again 
282544,Hotel Barcelona Center, Cleaning staff were not very consistent , location within walking distance of Plaza Catalunya Touristic hop on hop off bus within 5 minutes Local bus straight down to beach or other locations right there 
282545,Hotel Barcelona Center, No tissue boxes in the rooms and not easy to get which bothered us no iron as well so we couldn t iron our clothes if needed, The location was excellent not so close nor so far just in the middle rooms were ok and staff were extremely helpful
282546,Hotel Barcelona Center, Our room was a little noisy due to traffic as it was facing the road , Large room with extra bed for totally 3 people Nice rooftop terrace with jacuzzi Very friendly and helpful staff Good location close to paseo de gracia 
282547,Hotel Barcelona Center, Stated above iron , Great stay only thing I could possibly say and I m a little picky there are no irons found this a bit strange considering the hotel it s clean up to date just a couple of blocks off of avenue diagonal for us was perfect but no iron didn t cause a big fuss but could have been useful thanks for the week was awesome
282548,Hotel Barcelona Center, Everything was poor Very uncomfortable beds They gave us a room with one bed when we checked in but we were a family of three Our teenager daughter was with us the purpose of this trip to celebrate her birthday I had to fight on a different room That was a bad start for us ,No Positive
282549,Hotel Barcelona Center, Breakfast Quantity of food like 3 star hotel Breakfast served in very cold basement No windows not nice Airconditionig were icing the premisses when we ask to slow down we were said that it is not possible so we asked to drink coffe and worm up in roof terrace this was also forbidden Main person in breakfast room who was incharge of everything he was not nice not helpfull for customer at all In roof terrace coffe we couldn t buy there were no service there no personell only in the evening but whille sitting there nobody came for taking an order so went to drink champagne somewhere else , Location just too blocks from main street nice interior of the hotel nice furnished rooms wonderfull roof terrace view and interior really nice 
282550,Hotel Barcelona Center,No Negative, I really enyoyed the rooftop terrace The jacuzzi and the sunchairs Tapas All staff were friendly The location suberb Restos closeby in nice neighbourhoods and also close to shops and Ramblas You can see Sagrada Familia from rooftop terrace and also la mer 
282551,Hotel Barcelona Center, Third bed towel service heat of Jacuzzis , Third bed could have been more comfortable Had to call for third set of towels every day Staff very polite and responsive Excellent dining room food and staff Jacuzzis too cool Lobby excellent place to hangout WIFI generally good throughout Definitely would stay again 
282552,Hotel Barcelona Center, Coffee from machine in breakfast room was pretty dire although there were sachets of tea and decaffinated coffee available , Beds very comfortable and bedrooms quiet and clean although windows quite small and therefore rooms are dark Excellent reception and portering staff who were helpful and very informative about local transport and attractions etc Hotel is in a good location with excellent restaurants and bars within 5 mins walk Roof top bar with jacuzzi and sun beds is a wonderful addition to the hotel and was very quiet during our stay 
282553,Hotel Barcelona Center, That you would have to pay for extra tea and coffee in your room They only provide one complementary serving per person , The staff couldn t be more helpful They were very kind to us helping us with every wish need 
282554,Hotel Barcelona Center, The cleaning of the rooms was problematic We were away from the room until 16 00 and the room was not cleaned until then and after they would clean around 17 00 so if you were at the room at the time you would miss the cleaning service for a day If they did clean always forgot to add the paper and the amenities The Indian receptionist was not friendly at all at the limit of being rude , Great location firm nice beds 
282555,Hotel Barcelona Center, nothing to be mentioned, very nice room and comfortable beds room was very clean bathroom fantastic the location is very close by the center of BCN on foot and metro was close by also also a very quiet room
282556,Hotel Barcelona Center, Nothing I can complain about except that one had to pay to replenish the tea coffee tray and no gratis water bottles placed in room , Location Location Location The old world charm of the lobby the nicely done up rooms 
282557,Hotel Barcelona Center, They had electrical problems for 2 days It was difficult to sleep with the problems that we were experiencing , Wonderful location pleasant staff members who were extremely helpful and a clean and comfortable room 
282558,Hotel Barcelona Center, Two nights in a row the electricity did not work and caused many disturbances throughout the nights No compensation was offered , Good location in Eixample clean hotel 
282559,Hotel Barcelona Center, 4nights impossible to sleep due to electricity failure Keep switched on and off the door made loud noise every 9 seconds Could not use air con for the same reason , Staff and location
282560,Hotel Barcelona Center, The location of the breakfast room is below street level therefore no daylight I found the breakfast poor for my taste and did only go once , Location is excellent the room was clean and the staff friendly It was my second stay at this hotel and I recommend 
282561,Hotel Barcelona Center, A bit further to the nearest metro than some other city centre locations but a short walk in Barcelona is generally a nice thing to do anyway , Good location in centre of the city helpful staff esp the doorman who got the taxi s for us clean and quiet room and a decent breakfast too 
282562,Hotel Barcelona Center, The shower No shower curtain water splashing outside the tub area A box of Kleenex in the room would be much appreciated instead of a few sheets in the small package , The location the hotel restaurant and the friendly waiter 
282563,Hotel Barcelona Center, The room was lovely but the mattress on the bed could of been a bit more comfortable, Location you could walk everywhere the room was lovely and big and the staff were very helpful They looked up a lovely restaurant for us on the Saturday night and booked it of us and they gave us an adapter plug because we did not have one to charge our phone They also gave us lots of chocolates with our coffees which was nice 
282564,Hotel Barcelona Center, The room was too small really for three of us An extra bed had just been wheeled into a double room for our 13 year old son The extra bed actually blocked one of the wardrobes and the window so it was a bit awkward moving around Furthermore it was unbearably hot in the room at night although only in April There was air con but it didn t work We couldn t open the window because of the noise of traffic outside so difficult to sleep Receptionist quite indifferent to our comment on how hot the room was We opted for half board and the food was good but we were offered quite a limited menu which would have been fine for about three nights but not for six Coffee not good from a machine and not at all fresh tasting , The breakfast buffet was excellent with a very good choice of food The room was spotless Food in the restaurant was good and with very large portions Good central location 
282565,Hotel Barcelona Center, We could fo und nothing , Beautyful and exellent hotel near the city of Barcelona Friendly personal good breakfast and ideal starting point for excursions 
282566,Hotel Barcelona Center, Some light fittings didn t work in the room Air conditioning didn t work very well room was very warm and had to keep window open during night as a result , Room was quiet and beds were comfy 
282567,Hotel Barcelona Center, Room a bit tired holes in curtains and blackout blind also curtains don t close properly not nice when a light just outside the window Two people staying in the room but only one robe and slippers provided would have been better to have had none Espresso pods were not replaced after use even though it was requested , Good location nice staff and good breakfast Very amenable to late checkout 
282568,Hotel Barcelona Center, The reception desk staff were all disinterested and not helpful at all They really made us feel a nuisance if we asked the simplest of questions Snotty is the word for their attitude , Comfortable bed and great bathroom facilities 
282569,Hotel Barcelona Center, We visited in February but it was not too cold The hotel only had the heater on in the winter I called to confirm that but the room gets pretty warm during the day and we did not need heating at all It was not possible to have fans without heating or cooling AC We had to open the window to let some cool air in but the street was very noisy The room got stuffy and too warm without AC or an open window We kept the window close for the night but had to get up and open it a couple of times during the night to cool down the room I suppose it d have been perfect in the summer when only the cooling AC is on , The hotel s interior design is nice and the staff is friendly Very clean and great location for the price Their buffet breakfast was wonderful though a bit pricey We visited with our parents and we all liked the hotel a lot except for the stupid AC system 
282570,Hotel Barcelona Center, this is my second time staying and I am not sure why almost everything was not as good as the first time Wifi very poor there is a new notice underground like that I didn t notice the first time The hotel insisted that I pay all 5 days in full when I arrived The most surprising thing was the bed have become uncomfortable, I like the location and I like the fact that I was given an early check in
282571,Hotel Barcelona Center, asking for the payment to be in advance the guest is just arriving from a tiring trip although it was secured by the credit card , the location cleanness 
282572,Hotel Barcelona Center, The bed in my room made some horrible sounds when you sit or sleep on it So I balanced the bed out with guide books from the room Hope someone finds them Are hottubs meant to be cold or hot , I like the idea of a walk in wardrobe huge space 
282573,Hotel Barcelona Center, Breakfast was the same everyday and very basic Some of the facilities were not available like heater in the rooftop sitting area , Location was perfect Staff is chearful and very helpful in promoting the attractions 
282574,Hotel Barcelona Center, The room was incredibly hot no air conditioning To have a bit of fresh air we had to keep door and window open We asked the staff for another room but we didn t get one The room was full of dust and the tiles of the bathroom were dirty black At breakfast the personnel was absolutely unkind and annoying They were rushing continuously to have the tables free On a Sunday we have witnessed the scene of a waiter insisting on a client to leave immediately the breakfast room because it was 11 05 and way beyond the breakfast time 11 00 All this for 220 eur a night Beware , Nothing
282575,Hotel Barcelona Center, Before arriving in Barcelona the hotel tried to charge us 100 euro for a taxi from the airport to the hotel After researching prices it turned out that a taxi should only cost in the region of 30 euro so this was disappointing from the hotel in terms of honesty and customer value , Very clean hotel Excellent location Staff were very helpful and friendly 
282576,Hotel Barcelona Center,No Negative, THE ROOM HAD A WOODEN FLOOR AND WAS FANTASTIC A BOTTLE OF WATER AND FRUIT WERE OFFERED TO US AS WE ARRIVED ALL AROUND THE HOTEL THERE ARE VERY NICE TAPAS BARS AND RESTAURANTS 
282577,Hotel Barcelona Center, Nothing as such , Almost everything Place is centrally located with easy access to train metro bus and taxi Also passeige de gracia one of the top location is just 5 minutes 500mtrs 
282578,Hotel Barcelona Center, I expected the hot tubs at the roof top area to be a hot tubs unfortunately they were filled only with cold water so they were useless , Very nice interior design modern and everything feels new Big amazing bathroom Helpful and fast staff Nice rooftop area Great hotel in general 
282579,Hotel Barcelona Center,No Negative, Hotel staff were very friendly and helpful It was my boyfriends birthday whilst we were there and they bought us a bottle of champagne up to our room totally unexpected and a really nice touch 
282580,Hotel Barcelona Center, Hotel is about 7 mins to got from main shopping street However at the location there are no other facilities as restaurants food markets or pubs etc to stay next to the hotel If for some reason you got to the hotel during the day you have to spend 7 mins again, Friendly and open staff
282581,Hotel Barcelona Center, The bed in our room was a bit on the hard side and creaked Tea and coffee facilities in the room would have been nice , The hotel was close to the metro and easy walking distance of the centre of Barcelona restaurants and attractions A friendly and welcoming team made our stay easy the room was cleaned daily to a high standard and the roof terrace was the icing on the cake 
282582,Hotel Barcelona Center, Bathroom had not been cleaned and still had a tub of paint and tools lying in it At the end of the stay we had someone else s bar bill charged to our room , Roof top hot tubs and design of room
282583,Hotel Barcelona Center, The jacuzi at top of terrace are of no use since the water is always cold in them Breakfast was poor except for the scrambled eggs very fresh and tasty Other breakfast such as pastries were not fresh coffee machine doesnt give good coffee , Very clean nice rooms not too small big walk in closet was great Very nice and clean lobby nice terrace
282584,Hotel Barcelona Center, Nescaf machine as the only possibility to have a coffee for breakfast really hard mattress necessity to ask for towels at the main reception when going to 7th floor jacuzzi area poor level of English at the reception hard to explain them what we want,No Positive
282585,Hotel Barcelona Center, Our rooms did not have coffee or Tea facilities but did not raise with hotel staff Too busy trying out all the local bars and cafes , Lovely helpful staff So much choice for food and drink Foodie heaven 
282586,Hotel Barcelona Center, The roof top bar was very expensive and poor service There was a lot of pigeons in the hot tubes, Very helpful staff and excellent English our flight was at 9 at night and they had no problem keeping our suitcases for the day 
282587,Hotel Barcelona Center, There was no wifi signal in our room The room was very dim and dark The jacuzzis on the rooftop don t open at night , The location is central and perfect Staff were very good Room service was great 
282588,Hotel Barcelona Center, I really did not like to get deduced a tourist tax out of the fixed prize It is much better to include it in the prize and do not say anything at all It was disgusting like being called an unwelcomed guest and gives the hotel and the city a minus , The location and facilities in the hotel are superb 
