,Hotel_Name,Negative_Review,Positive_Review
472256,Hotel Capitol Milano, Breakfast should be improved , Good hotel for short business trip Room shoes and a hair conditioner were equipped Parking was extremely difficult to enter but hotel staff kindly assisted us 
472257,Hotel Capitol Milano, Breakfast wasn t worth the money , Very comfortable and convenient with secure parking and good bedroom facilities Helpful and welcoming staff Would stay again 
472258,Hotel Capitol Milano,No Negative, Bed was very comforable Bath room was spottless Location was ideal as I was in town to watch an AC Milan game at the San Siro and wanted to tour the city as well Location was right in the middle between the city center and stadium 2 stops from Cardona metro stop which connects to Malpensa Airport 
472259,Hotel Capitol Milano, Some small minuses First time not so easy to locate from street see attached photo Middle choose in breakfast Bed in single room 60 70 cm wide , Really kind stuff with willingness to help and do their best Helped with early check in and early breakfast before departure to airport Really interested in to find solution if you have any problems Good English Comfortable rooms Allow to sleep during a day in complete darkness because curtains completely blocks the daylight TV in wide variety of languages WiFi is one of the best I ve seen in hotels No problems at all with coverage network load quality As per info tabloid hotel even can give you a laptop for usage within room for free if you forgot your own 
472260,Hotel Capitol Milano, Had a problem in the early hours of the morning with a fault in our room was provided with an alternative room but meant moving in early hours Would have been nice if management had contacted us in morning with an apology but did not even get this on check out, Quiet room generally well kept close to public transport 
472261,Hotel Capitol Milano, Decor a bit outdated Location is good but the actual street where is the hotel is a bit gloomy at night , A bit old fashioned but overall a really pleasant stay Staff was helpful and prepared The room very spacious and comfortable 
472262,Hotel Capitol Milano, A very small issue with the Wi FI basically just a suggestion beeing free you had to register with a social account I would prefer having a pwd as usual , Everything was accurate from the fresh orange juice in the morning and wide selection of food till the quality of bath products a lovely ginger and lime cream for the body The room was not really big but it was quite confortable and quit 
472263,Hotel Capitol Milano, The door of the bathroom is a sliding door and couldn t close properly due to lack of maintenance , Breakfast location and the luxury bathroom with the Jacuzzi
472264,Hotel Capitol Milano, Room was small and very warm I could not change the temperature The road was quite noisy so also couldn t leave the window open at night , Electric curtains 
472265,Hotel Capitol Milano,No Negative, We liked everithing in this hotel I totally reccommend it We booked a twin room but at arrival got an upgrate for a suit at the same price and it was amasing Modern confortable clean hotel at excellent location 
