,Hotel_Name,Negative_Review,Positive_Review
73120,Hotel Champs Elys es Friedland by Happyculture, Nothing I would definitely go there again , The reception guy is the best there is He s helpful caring and always remembers your name The hotel has a 24hrs complementary coffee and small snacks table and the minibar was free gets refilled every 2 days Location is less than 5 minutes walking from the champs elysee which is perfect 
73121,Hotel Champs Elys es Friedland by Happyculture, Would have liked a mirror in the bedroom and not just in the toilet but otherwise perfect, Lovely hotel in a central location with lovely little touches which make it special such as macaroons on arrival and a free afternoon tea and mini bar Friendly helpful staff and clean comfortable room perfect to relax in after a busy day sightseeing
73122,Hotel Champs Elys es Friedland by Happyculture, We only stayed for a one night If we planned to stay more we would ve definitely changed the hotel We had been upgraded to a bigger room which was so small I can t imagine what the other room would have been like The room had poor lighting too dark to put a makeup on, The staff was so friendly
73123,Hotel Champs Elys es Friedland by Happyculture, No complaints, The room decor was lovely the beds were super comfy the macaroons upon arrival complementary afternoon tea the staff were so helpful and the location could not have been better
73124,Hotel Champs Elys es Friedland by Happyculture, Way too small elevator and bathroom But acceptable since it is a hotel in paris , Small hotel but good quality Tea time and small sweets prepared at the reception were so nice and adorable Breakfast buffet as well was very small but in a good quality Super nice and kind staffs 
73125,Hotel Champs Elys es Friedland by Happyculture, The room was quite small Sufficient for our stay but would prefer a bigger space No restaurant or bar however you have the option to help yourself to an alcoholic drink out of hours and write to your room The breakfast was mostly the same each day , Very good location Only about 10 min walk to the closest metro and arc de triumph Staff were very friendly Absolute pleasure to deal with 
73126,Hotel Champs Elys es Friedland by Happyculture, Lots of descriptions including in this case the name of the hotel imply proximity to places which in reality tend to be a lot further away than one would assume So in this case the Champs d Elysee was actually a few streets away while not necessarily a big deal is useful to know before hand if you are not in fighting form Google maps is your friend , Chain run establishment old Parisian building done up nicely and in a modern style on the inside Very sweet staff 24hr coffee they do serve breakfast but we chose to buy fresh croissants and coffee at the local bakery which were great so cannot comment on the breakfast but people were certainly eating there Location is sort of mixed at a macro level its in a good area at a specific level it is a brisk walk from the metro but there are local buses that stop outside and taxis are plentiful as is Uber and to get to the Opera area etc its a bit of a hike on foot Rooms beds showers all great We got there at noon but couldn t get the room till official check in time so had to mark time but that s not unusual The view from our room looked like the first Bourne movie when Matt Damon goes to Paris wide streets with massive trees and classical buildings cars and bikes parked on both sides We would stay there again 
73127,Hotel Champs Elys es Friedland by Happyculture, We stayed on top floor where bathroom had slanted ceiling which would not suit a tall person though it was perfect for us if tall I d suggest a lower floor , Lovely boutique hotel in quiet location so close to Arc de Triomphe and the Champs Elysee plus within walking distance of so many infamous Parisian landmarks Bedroom was very spacious large comfy bed well sound proofed complimentary non alcohol mini bar kettle and safe at no extra charge bathroom very clean with bath shower etc All staff were exceptionally pleasant welcoming helpful and friendly such a lovely hotel to stay in 
73128,Hotel Champs Elys es Friedland by Happyculture, Our room was very well appointed but found that it was too warm and couldn t control the thermostat , We have stayed at this hotel previously and chose to return for a one night stay because of it s great location just off the Champs Elysee and because of the warm welcome and comfort that it offers 
73129,Hotel Champs Elys es Friedland by Happyculture, Bed was not comfortable very hard but it s a personal choice matter, Excellent client oriented service in the hotel Pretty exceptional for Paris
73130,Hotel Champs Elys es Friedland by Happyculture, Nothing , Convenient for all the tourist sites Staff very friendly Unexpected room upgrade lovely surprise Free afternoon tea and cakes plus free tea coffee sweets any time 
73131,Hotel Champs Elys es Friedland by Happyculture, Nothing , I love everything Shorty Very center clean lovely staff 5tea fast internet Especially i would like to say Thank you to Ousman Don t think twice to book 
73132,Hotel Champs Elys es Friedland by Happyculture, The room got very hot which meant we had to leave the window open at times , The hotel was great The staff were so friendly and helpful All of the personal touches like the free mini bar in the room made our stay even better The wifi was fantastic and the breakfast had every option you could want The location was excellent so close to all of the sites Overall a very pleasant stay 
73133,Hotel Champs Elys es Friedland by Happyculture, Room very warm and one was unable to override the preset temperature to reduce Rather hot than cold though Room cleaning nearby was noisy hoovering etc promptly from 9am which woke me earlier than may have otherwise Reception kindly agreed a later check out without quibble and a free mini bar was a nice touch too Overall a very pleasant stay in a friendly hotel, Staff great afternoon Tea was sweet Very accommodating and responsive
73134,Hotel Champs Elys es Friedland by Happyculture, The towels are very few and no shower cap , My stay was great The staff were very helpful and pleasant The location is just 10 minutes walking from champs elysees 
73135,Hotel Champs Elys es Friedland by Happyculture,No Negative, The staff is very friendly the guy in the reception is very helpful They have a welcome coffe set and chocolates in the reception for every one for free They help you by getting your luggage so you can enjoy your day till the check in The mini bar contents are free and refilled every 3 days It has very nice location in the champs elysee very near of the arc de triumph and other attractions The rooms are very clean and comfortable If i come back to paris for sure i will stay here again 
73136,Hotel Champs Elys es Friedland by Happyculture,No Negative, Excellent value for money when thinking location only 500m from Champs Elysees Helpful staff who spoke good English Free wi fi but you can get portable you can carry it everywhere and connetct to your phone or tablet wi fi system only for 2 day and it worked very well highly recommended Close to RER trainstation so easy te get from Airport Close to metro Clean rooms
73137,Hotel Champs Elys es Friedland by Happyculture, nothing, The hotel is very good as it is in a great location literally 2 min from Champs Elysees The staff was very friendly and helpful They offer a mobile wifi to use outside of the hotel for 2 euros a day and it can have multiple phones in use I have never seen that before and I always spend lots of money buying internet The hotel was clean and the value was great I recommend this hotel 
