,Hotel_Name,Negative_Review,Positive_Review
365418,Hotel Daniel Vienna, restaurant food was very average a bit of a let down here as it actually lowered overall grade we got buy one get one free frappe coupon when we checked in Nice touch sure but as it was crazy hot we asked at restaurant if we could get anything cold instead coke ice tea whatever one waitress said that she does not know what that coupon is and that it says frappe the other one echoed the same but she called somebody and asked if we can get something else and the answer was no frappe means frappe In the meantime she made quite non friendly comment about our question in German language not knowing that I actually speak German approached both ladies in English so my wife knows what we are talking about Just to point out this lady basically ruined nice check in experience we had as much as room interior is indeed interesting and different the fully look through shower cabin in the middle of the room is quite controversial idea We found it just weird while I can imagine some people would not like it I think this should be mentioned at check in , staff was nice apart from two ladies in restaurant mentioned in not like section this is an original hotel meaning that they try to be different in design style and customer approach Mostly it works in plus however there are small disadvantages again look at not like section location close to main train station very close to Belvedere 20 25 minutes walking to city centre train to city centre just next to the hotel very interesting room interior really urban
365419,Hotel Daniel Vienna, I woke up at 7 on the first day because even with the curtains didn t bloke any light I ask the reception help she gives me eye mask On the sexond day I woke up at 8 even with the eye mask the room was so bright On the last day I tell her when I leave the hotel And only there she told me that they were darker rooms , Very design and cool
365420,Hotel Daniel Vienna, This hotel is a converted office block The public space furniture is mainly recycled wooden shipping pallets All very plebeian and aimed at younger travellers All pipe work totally exposed under ceiling level in public area just adds to feeling Of being in a warehouse No sign of other usual hotel amenities Room small Despite booking for two there was only one set of bedding and towels on arrival more had to be ordered There is no wardrobe space and insufficient coat hangers more had to be sent up Very strange arrangement of hand basin and mirror Mirror at 90 degrees from basin so had to shave from a very odd position , Hotel chosen for proximity to Belvedere our reason for visiting Vienna excellent position five minutes walk
365421,Hotel Daniel Vienna, I didn t ask so I cannot say they re not available but directly in the room there where no reading lamps available , Friendly and effcient staff wonderful breakfast sexy panoramic shower very confortable beds cute hotel 
365422,Hotel Daniel Vienna,No Negative, Absolutely wonderful family run hotel The staff is very friendly and professional the breakfast was fantastic exceeded all expectations The hotel location is perfect as well everything walking distance and transport is in front of the door If I will return to Innsbruck sure I will stay here again 
365423,Hotel Daniel Vienna, this is a cool hotel for people who appreciate design but not the most comfortable or family friendly one hotel charged 10euro a night extra to provide a baby cot this is usually complementary it is after all not an extra bed While the hotel prides itself on being a design hotel the rooms are so minimalist they are bare bones there is no mini bar not even an empty fridge to store baby food or milk you have tag and run down to the reception who will store it for you no coffee or tea making facilities in the room and no complementary water bottle even if Vienna tap water is the best in Europe a complementary bottle of sparkling or still water is a nice gesture while the other amenties such as shampoo are good quality they provide the minimum shampoo wash combo and lotion no hair conditioner or anything else given the price per night i would expect a tough more pampering the light system is interesting design wise but wholly unsuited if you have a baby that needs to sleep early as you cannot turn on the sidelamps which are above the bed separately from the rest of the room you can only dim the light the washbasin is tiny for some reason forget washing a baby let alone a small child in it given there is only a shower albeit a nice one and no bathtub bath time becomes something of an ordeal while the hammock looks cool but it s a waste of space as there is no couch or other cozy seating area to hang out once the baby sleeps other than the bed , Good location trendy hotel nice vibe in the restaurant bar nice outside seating area in the summer very cool historic building spacious room 
365424,Hotel Daniel Vienna, Small rooms No closet no table no chair Too modern bathroom for my taste should have been shown in photos , Beautiful reception and the restaurant 
365425,Hotel Daniel Vienna, Pillows were a little soft but that s just if I had to say anything critical , Very friendly staff entertained my poor attempts at German but had no issues when I failed 
365426,Hotel Daniel Vienna, Not a bad thing for everyone but the pillows were a little soft But each to their own , The location was within walking distance of the city itself and very easy to get around Interesting shower layout make sure you look through the pictures first Friendly staff and quite helpful Clean and simple rooms with nice food from the bar 
365427,Hotel Daniel Vienna,No Negative, Awesome hotel The breakfast was incredible room clean and big staff friendly location close to U bahn and train station and walkable to centre in 20 mins trendy and relaxed vibe loved it 
365428,Hotel Daniel Vienna, Unfortunately the staff of the hotel was very unhelpful sometimes even bordering with being rude which is a pity the hotel has a very nice concept otherwise ,No Positive
365429,Hotel Daniel Vienna, Not much around immediate area in terms of other food options Tea and coffee in room would have been nice , Trendy modern hotel next to garden and palace Corner room had two walls of glass and plenty of light Breakfast varied and generous and included fresh cooked items Restaurant on site 
365430,Hotel Daniel Vienna, Windows in the rooms don t isolate from the road noise Also blinds on the windows make an impression that you are staying in the office Some kind of curtains could have made the rooms looking more cozy Apart from that the hotel is quite far for walking to the city center , Easy connection with the airport via RJ train from the main railway station which is in 5 mins walk from the hotel Modern style of interior in the rooms and throughout the hotel 
365431,Hotel Daniel Vienna, There is no wardrobe in the room Only a few hangers hung on hooks on the wall Also the windows overlook the road and it was quite noisy at the room , Nice restaurant downstairs The bed was soft and comfortable Room and shower toilet were clean Service was perfectly nice 
365432,Hotel Daniel Vienna,No Negative, Very alternative stylish and cozy place Excellent breakfast Indeed very close to Main Railway Station and in the same time few hundreds meters from the center Excellent jogging paths and parks around very green location 
365433,Hotel Daniel Vienna, Would have liked tea coffee in the rooms No disabled access that we could see We travelled with our baby and had to carry the pram up the steps Also the lift is very small , Fabulous restaurant food Very nice atmosphere Rooms very comfortable Great lockers for luggage storage 
365434,Hotel Daniel Vienna, When we checked out the guy behind the desk gave one of my twin daughters a cookie Just one of them Yes I am annoyed at him Other than him the staff is great , The breakfasts are the best The location is great particularly if you like being slightly away from the center Nearly all of the staff are great see didn t like and helpful 
365435,Hotel Daniel Vienna, Parking elevator has been broken, Hotel design something that is too different looks too good urban style Shower guys will love it you can see you girl all the time Breakfast i wish to have same breakfast at home everyday Labels somebody took a great job all labels are funny Family atmosphere
365436,Hotel Daniel Vienna, I would have liked an English speaking news service on tv but no deal breaker that s for sure, I liked the reception area and the restaurant because they were quite informal and funky
365437,Hotel Daniel Vienna, Room is rather small and oddly shaped toilet on one and sink on the other end of the room Everything was ok but for the price I m sure I could have better overall facility somewhere else , Location is really good just few stops with a tram to the centre and few steps from the Belvedere castle Food is great staff are really really friendly and beds are really comfy 
365438,Hotel Daniel Vienna, The hotel has great design but it is very noisy half of the hotel is facing main street and as the windows are thin and without any noise cancellation materials all of it comes to the room and it is dificult to sleep So go for the room in the backyard , The food in the restaurant was great 
365439,Hotel Daniel Vienna, only for real urban lovers room equiped very basic and in real raw urban style only bed and one chair shower with pure glass wall so no privacy at all Noisy street in front of Hotel and this noise you can hear also with closed windows Wifi in very poor quality in room Definitelly no enough value for this Price I was in other Hotels in Wien and you can get more for the same price , Good breakfast
365440,Hotel Daniel Vienna, Really these are only small things that would have been nice An extra pillow on the bed and some bathe robes There is a lot of glass windows Perhaps a few more comfy chairs in the lobby area for busy times like Saturday breakfast time , Hotel Daniel staff went out of their way to be helpful as we were not German speakers Their English was excellent The bar and restaurant had a great atmosphere and wonderful food The bartender was full of knowledge about the wine list and I ended up trying some great Viennese wines due to his reccomendations The breakfast and hotel bakery were very very tasty It s very hard to create a relaxed hotel lobby bar and restuarnt that you want to hang out in but they have done an excellent job The hotel is unusual and quirky as it s an old converted office block but has all the modern conveniences great design and some unusual features such as hammocks and see through glass showers in the rooms Very fun 
365441,Hotel Daniel Vienna, Breakfast is a bit pricey but the dining room is really beautiful , We really loved how light and airy room is And the hammock is really great addition Impeccable design in whole hotel 
365442,Hotel Daniel Vienna, I was surprised to discover a transparent shower cabin in the room and the staff in the bar downstairs seemed to be ignoring us during breakfast, Very nice rooms with a great design
365443,Hotel Daniel Vienna, The room seemed a bit too small despite being a Superior and the hotel was not even full Also there was only one towel and the bed was ready only for one person and not a couple , Location is perfect Staff is very friendly The room was very clean and warm The shower was fantastic 
365444,Hotel Daniel Vienna, Not possible to completely darken the room Very dry air, Very welcoming and professional staff excellent breakfast and food 24 7 reception The rooms are tastefully designed with comfy bed and shower Well connected with public transport 
365445,Hotel Daniel Vienna, Small things Room was boiling had to fight the heating No privacy when showering the glass is clear and next to the bed so be prepared to be on show when soaping up No shower cap extras , Loved the open airy modern quirky dining and lounge area Food was great and available all day breakfast excellent wines good choice good value Staff were all lovely Fabulous atmosphere humorous brand touches 
