,Hotel_Name,Negative_Review,Positive_Review
385873,Hotel Die Port van Cleve, The reception area is not particularly inviting in fact rather shabby It could do with a make over The hotel is on a main thoroughfare so ask for a back room , The breakfast was satisfying Scrambled eggs seem to be common to most hotel breakfasts Continental options are always available and are good with lots of quality coffee 
385874,Hotel Die Port van Cleve, Elevator to slow, Excellent hotel good value for money location can t be better breakfast is 10 the numbered steak was very good mine was number 5 812 391 and the icewatertank in the lobby is a brilliant idea Friendly and professional staff overall highly recommended hotel 
385875,Hotel Die Port van Cleve, Bathroom design and overall lighting can be improved , The room was very comfortable great air conditioning The hotel is in great location especially for shopping and site seeing 
385876,Hotel Die Port van Cleve,No Negative, excellent location and exceptionally helpful and friendly staff 3pm checkout available at an additional cost of 10euro per hour after 12 midday great for a later flight 
385877,Hotel Die Port van Cleve,No Negative, Good location good facilities special interior style very nice staff Like the restaurant especially like the bar tasted the numbered steak Great experience to stay 
385878,Hotel Die Port van Cleve, Corridors are a bit dark and could do with a coat of paint Carpets also need deep cleaned but these points didn t detract from the positives , The location was fantastic and could not be bettered for our needs The bed was extremely large and comfortable and the fridge actually kept your drinks cold unlike many other hotel fridges We received a very welcome free upgrade to an executive suite which was a nice touch I would definitely stay here again 
385879,Hotel Die Port van Cleve, Catering in dining not good hamburgers were not cooked to requested medium half raw Bedroom door difficult to turn handle from inside , Convenience of position old world atmosphere size of room great bathroom
385880,Hotel Die Port van Cleve,No Negative, The staff are genuinely friendly not the professional smile but genuinely interested in you very friendly The room is clean and has all the facilities that you would expect It is in a wonderful location just behind the Dam square with a tram stop outside the door You get a voucher for a complimentary drink in the hotel bar which is a proper beer pub as opposed to a sterile hotel bar 
385881,Hotel Die Port van Cleve, A C did not work well so room was too warm for comfortable sleeping Staff did look at it for us and tried to get it working better to no avail, Concierge was extremely attentive and helpful
385882,Hotel Die Port van Cleve, The air conditioner leaked the first evening as well as the drain in the shower was slow to drain We put in a maintenance order online for these to be fixed The drain was repaired and it seemed the air conditioner was fixed as well Unfortunately the second night the air conditioner began to leak again We were kept awake both evenings of our stay We were given a 10 discount but felt we should have received more given we did not sleep well Also the room was extremely small It was difficult for two people to move about the room There are less expensive hotels nearby with better amenities , The staff were friendly
385883,Hotel Die Port van Cleve, The room was very very small but then I guess you can pay extra and get a bigger one ours was the cheapest on booking com I think But Amsterdam accommodation is not cheap , Location is fantastic and staff very very helpful 
385884,Hotel Die Port van Cleve,No Negative, Everything about the hotel was great very clean and well looked after Hotel bar restuarant staff were very helpful and polite Great location also 
385885,Hotel Die Port van Cleve, The room was very small with no view out either window and the bed was very uncomfortable with a definite dip in the middle We both had sore backs after the forst nights sleep which only got worse over the next couple of nights In additiiin the door was pretty much at the end of the bed and opened outwards on to the hallway therfore every time the door opened other guests can get a good view of you in or sitting on the bed Ithink we were just disappointed because the room was nothing like any of the pictures on the website and the very clever photo of the hotel front is just as deceptive , Great location the staff were very helpful and the room was very clean This hotel was ideal as a base to go and explore the city as it was central and trams stopped outside the hotel It had a nice restaurant and bar We didn t visit them but they looked lovely 
385886,Hotel Die Port van Cleve,No Negative, Staff were so friendly and happy just that alone i will be back i have been coming to Amsterdam one or two times per year for the last 20y The staff you have here is the best i have encountered well done I will be back 
385887,Hotel Die Port van Cleve, Guests are paying for the location which is excellent The room itself was clean and tidy but very small with little room for clothes and luggage The room seemed designed for a weekend stay and if that is your goal then it will be fine , The hotel is in central Amsterdam moments from the man square 
385888,Hotel Die Port van Cleve, Very very bad sound proof so bad I thought my own door was being opened every time my neighbours were opening their doors and you can hear their footsteps very clearly The hotel is very old and has this damp smell from age Toiletries are very simple It s not a horrible hotel but for what it s charging it s far from value for money 3 star at most , Very good location just a stone s throw from the Royal Palace and 10 min walk from Central Station There s a grocery store 5 min away which is a bonus as well 
385889,Hotel Die Port van Cleve, None, Located in the oldest part of Amsterdam About 5 minutes walk to the central station A tram station is right outside the gate It s a very beautiful hotel Equipments are aged but functional Friendly stuff and nice breakfast the lady from the reception desk introduce me the city when I checked in 
385890,Hotel Die Port van Cleve, The room they gave me was not upto my expectation I have to take the lift to the 1st floor walk along the corridor of the rooms till the end and take a narrow stairs down to my room, Location
385891,Hotel Die Port van Cleve, Basic double room was a bit of a squeeze We just managed to get into either side of the bed We asked for a quiet room so had no outlook but that didn t bother us as we were out and about most of the time , Old fashioned comfort and charm Staff friendly and helpful Great breakfast 
