,Hotel_Name,Negative_Review,Positive_Review
133406,Hotel Duminy Vendome, One of the people who was at the front desk was very rude when we let him know there was a problem with the sink drain The shower was tiny and uncomfortable , The place was clean and was in a fantastic location
133407,Hotel Duminy Vendome, The toilet was old and didn t flush great but it wasn t a big deal The lifts were not air conditioned and Paris was having a heat wave so hot but in normal temps would be fine It would have been helpful to have a list of restaurants nearby but the person at the front desk didn t seem to know There are lots of choices you just have to find them , The hotel was very nice clean and the staff was friendly The breakfast was wonderful with great service and good food Room was very large for Paris 
133408,Hotel Duminy Vendome, The lift is pretty small Be patient if you have luggages you may have to take turns As it could only fit 3 people in the lift , Great location Very close to the shops bars and restaurants Just a second away from Jardin du Luxembourg and few minutes walk to the Louvre museum The hotel lobby smells very nice 
133409,Hotel Duminy Vendome, The room was very small and not as I expected it was on a garret so very hot The air conditioning blown a bad smell , Nice breakfast with quick service Very nice position 
133410,Hotel Duminy Vendome,No Negative, I especially liked the way we were welcomed and how we were assisted by the Asian lady in the front desk unfortunately I did not get her name Two thumbs up to her hospitality 
133411,Hotel Duminy Vendome, Lift was erratic Room too hot and air conditioning not working Room was minute Had to walk around the bed sideways we are not fat people how do others manage Emailed before to request a room high up no reply and we were on the 2nd floor of 6 , Breakfast was good Staff good helped where they could 
133412,Hotel Duminy Vendome, The elevator took a little time to get from floor to floor , The breakfast was great The quality of food excellent Staff friendly and helpful Hotel was quiet 
133413,Hotel Duminy Vendome,No Negative, The staff of the Hotel Duminy Vendome were wonderful They provided me with maps as well as great excellent recommendations that ranged from restaurants to local attractions The location is great as it is 2 blocks from the Tuileries Garden and an easy walk to the Musee du Louvre The breakfast was worth every penny and was a great way to start my day I would absolutely recommend this hotel 
133414,Hotel Duminy Vendome, Rooms are Parisian small and bathroom even smaller but it is something that you need to live with in Paris , Perfect location and very helpful stuff I stayed twice already once for business and once with family weekend and in both cases it was a very good experience 
133415,Hotel Duminy Vendome, apart from its location there is nothing else to like about this hotel the worst was the smell of cigarette in the room unacceptable The price was ok for the location but there were other options in the area also very reasonably priced , The location
133416,Hotel Duminy Vendome, Very noisy at about 4 5am everday of stay Hotel had a slightly overpowering smell of perfume, Nice location 5 mins walk from louvre and 2 mins to metro
133417,Hotel Duminy Vendome, Condensed milk in the bar for taking with tea and coffee is revolting Better to have fresh skimmed milk available , Breakfast ok tea selection ok front desk excellent location excellent
