,Hotel_Name,Negative_Review,Positive_Review
398256,Hotel Front Maritim, Though we were not interested to use the safe It didn t worked on following the instruction of operation There should be a place for Change of Money , Reception Very much attentive Well equiped with the information Curteous and helpfull Rooms We were alloted Room No 1008 facing the sea Enough spacious Room for a couple Cleaning and cleaning staff perfect Food in Restaurant Excellent enough varities Close to the Bus Tram Metro and Train Taxi always available in front of the Hotel Good WiFi in Lobby and Rooms Good storage facility for luggage Good value for money I wish very best to the Hotel and Staff Recommend others for stay 
398257,Hotel Front Maritim, I didn t like 1 the door lock was broken You had to literally push the doors to opened them and very hard to pull if you wanted to close it And when you closed it you could see that it wasn t closed porperly you could see partially opened doors The cleaning lady also left them opened not locked porperly because she didn t know that the doors were broken At the beginning we also didn t closed it fully and then our cards were diconnected and we couldn t go inside When we went to the receptionist we said what the problem was and he was so flegmatic that he didn t said anything and he did not do anything about it I was so angry because someone could stole from our room if we or the cleaning lady keep left them unproperly closed Such a negligence Not safe 2 The receptionist were so flegmatic They didn t listen to us and ours problem at all Also I think their English was wery poor and they didn t even understand us I had a feeling that the whole staff was very bad in English 3 there was not wc brush in the room 4 there was only one socket outlet working in the room 5 there is no pool only welness and fitness 6 in the bathroom the shower floor which was made of plastic was bending inside when you stepped on it And also was making funny noises 7 in the edge of the shower you could see small spots of black mold 8 on the courtain was a hole 9 when we arrived to the room there were 2 big yellow spots on the bed sheet in the middle I have written to the cleaning lady to change them but she didn t do it So we were sleeping 7 nights on the stained beed sheets Never seen that in the 4 stars hotel 10 there was no closet for the dresses Only few hangars thet you put them on 2 metal sticks 11 the window lock was also half broken It was almost swingin when you wanted to open or to lock the window 12 there were no maps of public transport or map of Barcelona in the room , I like the outer look of the hotel and nearness of he beach 
398258,Hotel Front Maritim, Poor ventilation in my hotel room 2701 ended up with headaches and nausea Had to leave the hotel room repeatedly during the day and night to get fresh air , Great location 
398259,Hotel Front Maritim, Location was terrible absolutely nothing around you could hire bikes if they had more than 4 for 15 euros per bike what a joke should have been complimentary as we were so far away from everything Paper cups in room for tea and coffee powered milk what s wrong with proper crockery and proper milk All I can say is we won t be going back ,No Positive
398260,Hotel Front Maritim, The breakfast was a little less than desirable for 9 euro the wifi was very slow If i wasn t on business that wouldn t have mattered but to try and do some work in the hotel it was tough, The location was nice
398261,Hotel Front Maritim, Breakfast may have more vegetable options No slippers found in the hotel room The curtains were dirty Room was a bit noisy due to the traffic outside , The front desk staff was so friendly and helpful The bed was comfortable Easy access to public transportation and shopping mall 
398262,Hotel Front Maritim, No aircondition only hot air No noise insulation next to a busy street Bad wifi Cheap plastic mattress protector making sleeping uncomfortable NB Similar comments by many other reviewers so obviously management is not taking action, Friendly reception
398263,Hotel Front Maritim, Things In our room i e table hair dryer There was also a loud continuous noise that you could hear in our room the whole morning and night shower want really clean Hotel room was freezing and we could only get an extra blanket Things in passage outside our room were broken, Staff amazing
398264,Hotel Front Maritim, Limited choice of breakfast for vegetarians and vegans Rooms are very small compared to the pics also the hotel gave us a twin beds despite us requesting for double bed , The hotel staff is helpful
398265,Hotel Front Maritim, We got to our room and it had not be cleaned properly Hairs in the shower and the floor was dirty The size of the room was small and for the amount it cost I would have expected a little bit more Our card didn t work for the sauna and fitness suites We had a noisy hotel guests next to us and when reported was told why did you not just call down next time you should call down to security was really disappointed with this hotel It advertises itself well but in reality it s not great , The hotel location is great for the beach and close to the metro to access all of Barcelona
398266,Hotel Front Maritim, The air conditioner did not work We were out during the days and our room was quite warm when we returned It was cool at night so we left the window open The bathroom sink did not drain well but the shower was fine We did not report either of the problems but hope they will be fixed for future guests , The front desk staff was wonderful Albert was very helpful with our questions and with having Andre print our boarding passes Gracias The room was cozy and the bed was comfortable We liked the area and proximity to the Hop on Hop off Bus 
398267,Hotel Front Maritim, With its proximity to the convention centre this should be a business hotel but the facilities are beyond poor The wifi was intermittent they don t have an iron or ironing board in the rooms and they only have 1 iron in the entire hotel There are no wardrobes in the rooms Their were only 3 hangers available for clothing I would never stay here again Poor facilities for a business visit surprised it s a 4 property , 10 min walk to Convention Centre
398268,Hotel Front Maritim, Limited access to hotel facilities No refill of tea coffee cups without asking , Location of the hotel was perfect if you want to be away from the business of the cry while enjoying all its advantages
398269,Hotel Front Maritim, Old looking bedroom very basic tv arm was broke so it didn t turn towards the bed very noisy with the road room was with sea views but from the first floor you cannot see the sea as trees are there bed not very comfortable breakfast was very basic wifi kept disconnecting while price of room was very expensive Hotel was more a 2 stars than 4 Will not be staying there again , Nothing
398270,Hotel Front Maritim, I changed the rooms first one was in a different building quiet but terribly cold had to turn on A C to warm it up Second room too hot A C was not working at all It had view to the sea but it was very noisy as close to the street , Location is great very close to the sea and like 30 minutes from city center Good places to eat nearby shopping moll by 10 minutes walk Staff is friendly 
