,Hotel_Name,Negative_Review,Positive_Review
62502,Hotel Indigo London Paddington, Could have healthier food options for dinner Which besides salads doesn t leave you with many options , Excellent location nice room good prices for London 
62503,Hotel Indigo London Paddington, We ve been twice in a short period The first time the double room was really tiny we could only open the luggage in the bathroom The second time the double room was PERFECT With the necessary comfort to move in the room and to manage our luggage which had several pieces at that time , The staff s friendliness and attitude towards finding a way to resolve any inconvenience was unique I would like to come back to this hotel not only for the location which is exceptionally favourable but because of the staff 
62504,Hotel Indigo London Paddington, The room size is a bit small and the bed is overloaded with pillows and cushions Not recommended if you have many pieces of luggage , Excellent location with a very short walk to Paddington Underground and Train Station The room is well equipped with free minibar iHome player and Nespresso machine There are also a couple of good restaurants nearby too 
62505,Hotel Indigo London Paddington, Can t say that I can think of anything that was a problem , The room was very comfortable Facilities very good A great location The London Brassiere food was very tasty Staff service in all areas was excellent I will certainly be staying again on future visits and recommending it to my friends 
62506,Hotel Indigo London Paddington, I love everything about the room but perhaps I ll skip breakfast next time It wasn t really nice and the breakfast area was messy , Very conveniently located Love the interior design of the room Modern clean and comfortable They have tea and a nespresso machine in the room too 
62507,Hotel Indigo London Paddington, Arrived late and tired and surprised by the size of our room We had to stack our suitcases in front of the door so we could move around The bed did not even seem a double On checking our booking the next morning discovered we had not been given a king superior room Duty manager offered lunch and drinks to compensate but only had time for a drink so a small financial compensation was given Not a good start to our trip , Breakfast
62508,Hotel Indigo London Paddington, Small room but comfortable Wifi not always reliable , Very central and close to Paddington Station which made it very practical for continuing our trip towards Bristle Close to good restaurants Also quiet 
62509,Hotel Indigo London Paddington, The reception is far away from clear always confused about what happened no ever when you do check in or check out Also the not good price only own you a base room , Great location convenience to everywhere
62510,Hotel Indigo London Paddington, room was tiny water pressure poor breakfast worse over priced Room right next to lift which kept me awake from 5am Room alarm not reset which also woke me up happy days,No Positive
62511,Hotel Indigo London Paddington, The queen sized bed was nice but small and a bit too soft making spooning the only choice available Good for some I guess but with two spread eagles it wasn t working as good We found a couple of cockroaches but I guess it s hard to keep them out Could be because our room was located at the basement level , When flying to and from Heathrow the walking distance from the train at Paddington station to the hotel was really good as we arrived late at night Close to buses and subway and walking distance to Hyde Park The Breakfast was nice and we liked the bathroom with a great shower The gym looked really nice even if we didn t use it 
62512,Hotel Indigo London Paddington, Ensuite was almost bigger than the bedroom No space to use ironing board Barely room to walk around the bed , Loved the closeness to Paddington Station Very confortable bed and clean large ensuite with a great shower 
62513,Hotel Indigo London Paddington, The room was a little small although had all the fascilities you could wish for , We enjoyed our stay Very professional Good location for train travellers coming to London via Paddington Station Easy walking distance 
62514,Hotel Indigo London Paddington, Somedays forgot to give us body wash body lotion but could call to reception for all no change bathrob, Good Location near paddington Station Full breakfast and strabuck coffee and could order in everything in menu Friendly staffs Relax and sleep well
