,Hotel_Name,Negative_Review,Positive_Review
90105,Hotel Indigo Paris Opera, The Air conditioner would automaticly turn off The room tempreture was too hot We can t sleep well because we have to wake up to turn on the air conditioner at the midnight,No Positive
90106,Hotel Indigo Paris Opera, We booked Queen Suite as this was our wedding anniversary At the hotel we were offered upgrade to duplex room Duplex room was really small and did not meet our expectations at all As the hotel was fully booked we had to stay in tiny duplex room, The location and quiet street
90107,Hotel Indigo Paris Opera, We are given a smaller room that what we reseved because we arrived early and we had to take a rest and this is what was available The hotel saud there is no difference in the price which is strange, We like the little sink in the toilet seat room Because you have the chance to use the water and to wash your hand before coming out of the toilet They gave us a small gift at time of departure 
90108,Hotel Indigo Paris Opera, Sometimes there is noise from the Pubs and restaurants in the area under the hotel s windows , The Hotel location was very good and between many shopping and touristic facilities the staff was helpful and friendly 
90109,Hotel Indigo Paris Opera, I didn t like that they say the soft drinks are free in the mini bar while it s free on the first night only and if you want refill you have to pay And the breakfast options were really poor not a 4 star standard , The staff was really helpful and honest I lost my watch at the restaurant and they found it It s a good hotel in a beautiful neighbourhood 
90110,Hotel Indigo Paris Opera, They blocked 800 euros on credit card at check in which was more than the cost of our stay Then they charged the cost of stay in addition to the blocked amount It s been two days since check out and they still haven t unblocked this amount Today we called the property and we had great difficulty getting the staff to understand and acknowledge the problem They were unhelpful and showed no interest in solving our problem What they said was something along the lines of this is how we operate we cannot say when we will unblock it it will be at least a few weeks We will definitely be avoiding this hotel chain in the future ,No Positive
90111,Hotel Indigo Paris Opera, The breakfast is simple and cold for Asians And our window was facing to a office building which is 24 hours lighting , The room is modern location is good Easy for rossiybus from airport and city seeing bus station Bed is good 
90112,Hotel Indigo Paris Opera, Nothing particular , Great location very convenient for both shopping and sight seeing Free mobile equipment was extremely helpful replacing the paper map and guide book to google map and trip adviser 
90113,Hotel Indigo Paris Opera, Reception staff are friendly and helpful but cleaning staff are not All surfaces in our room had dust for the entire stay We didn t complain waiting to see when it would be cleaned we even drew a line on the dust to be visible It was never cleaned and the cleaning staff were just rude Whenever we would sleep in and put the do not disturb sign they would vacuum our threshold banging the vacuum cleaner onto our door for 20 mins Just so that they finish all the cleaning at 10 am The Handy Smartphone they give is horrible It s slow works half the time and has a short battery life 2 3 hours or so with usage or attempt at usage to be accurate , Comfortable bed
90114,Hotel Indigo Paris Opera, Our only regret was to only stay for one night we wished we had more time to enjoy it Next time , We usually go to Paris at least once a year and we kept changing hotel hoping to find one we really like We both decided to make this one our future pick every time we visit Everything was great The location is fantastic The room was very specious clean modern and comfortable We loved it The staff was also particularly friendly and helpful being a ballet fan I loved the theme of the hotel and was even gifted mini ballerina shoes by the reception staff when they overheard my passion for classical dance Attention to details was very much appreciated The bed was also very comfy and the bathroom extremely modern and well equipped We also appreciated the access to the car park which can be a real inconvenience in Paris 
90115,Hotel Indigo Paris Opera, Arrangement for certain egg less items I e veggetarian food could have been better Did not get the breakfast as was requested while checking out , The smart phone provided by the hotel
90116,Hotel Indigo Paris Opera,No Negative, Modern elegant hotel with very friendly staff Appreciated having plenty of English language tv channels 2 BBC and 3 ITV rather than the usual BBC World Service and a comfortable chair to sit in Great location in a pedestrianised street Excellent cheaper alternative to the Intercontinental Le Grand 
90117,Hotel Indigo Paris Opera, toiletries not enough for 2 ppl but you can ask for more at no charge water at shower not much pressure , amazing bed and pillows located very centrally hotel is clean and rooms are spacious 
90118,Hotel Indigo Paris Opera,No Negative, best service great location very quiet attentive staff They do their best to fulfill guest s extra requests I would definitely stay there again and recommend to all my associates 
90119,Hotel Indigo Paris Opera, Nothing It s the kind of hotels you start looking at the smallest details to find something bad like the free cookies in the room doesn t taste good every thing is perfect, Everything was perfect The staff is the best in Paris specially the receptionists
90120,Hotel Indigo Paris Opera, Nothing, The staff are amazing this is our second time to stay in the same hotel It s in the heart of Paris perfect location If we will visit Paris again for sure we will stay in the same hotel
90121,Hotel Indigo Paris Opera, Nothing, Great location and we can walk to almost every attraction Galleries Lafayette is only about 5 mins alway Fantastic staff and service Bed was comfortable room was clean and good size Overall a wonderful experience and will definitely book this hotel again
90122,Hotel Indigo Paris Opera, Nothing to fault , Great decor very roomy and comfortable Free phone calls and local advice is invaluable Very friendly and informative staff Great location in quiet pedestrian street so close to the Opera and main boulevardes 
