,Hotel_Name,Negative_Review,Positive_Review
448418,Hotel K nig von Ungarn,No Negative, Bed was very comfortable and the room was clean Bathroom was clean too Location was great and staff was helpful Loved the hot breakfast Overall great value for money and would recommend this place very highly 
448419,Hotel K nig von Ungarn, The lift was a bit slow in appearing I wouldn t have liked to be dependent on it if I was in a hurry , I can only comment from my experience I had a single room with small dressing room wardrobe ensuite facilities If you want to experience a little bit of old Austria then this is the place The facilities were very modern suberb shower safe fridge etc but the decor which was clean and fresh reflected an older period Right in the middle of Vienna next door to the central cathedral yet on a quiet street with one way through traffic Breakfast is cooked and served to order with a buffet for the usual fruit bread etc etc 
448420,Hotel K nig von Ungarn, No complaints , Everthing A block away from Stephensplatz within walking distance of a number of great restaurants as well as the Stehphensplatz U Bahn stop Room staff ambience breakfast you name it the hotel nailed it 
448421,Hotel K nig von Ungarn,No Negative, Fantastic location right in the center Ambiance of the butic hotel with proper character of old premises with modern ammenities Friendly personnel very helpful with getting tickets taxis late check out etc Good food 
448422,Hotel K nig von Ungarn, We had an evening meal at the hotel which was very pleasant but there was only one other couple which meant there was little atmosphere , We had a lovely spacious room with sofa and chairs and a large bathroom with double sinks The location couldn t have been better as it provided easy access to the whole of the city centre and its palaces churches and museums 
448423,Hotel K nig von Ungarn, Can t think of anything we didn t like but I suppose our room could have done with a teeny bit of updating , Our friends collected us from Vienna Airport and we arrived late afternoon The hotel staff were really friendly and helpful We liked the fact that this hotel goes back to the 1740s and had a real warm and cosy feel The room was lovely and big with bathroom and separate toilet We requested a room overlooking the lovely courtyard and small bar which is quieter than street side but that wasn t too busy either The hotel is less than a minute s walk to St Stephens Cathedral and all the bars and restaurants so it s perfect for exploring the City Centre Also the underground is about a two minute walk which is great for going to the various attractions We didn t need help with tours or information as our friends are Viennese so they showed us around However there was a lot of information in the foyer at the hotel The staff are very helpful and will tell you everything you need to know and would probably help you to organise your day My friend asked how much we paid for our accommodation and she said that it was really good value being right in the 1st district of the city We had a lovely time in Vienna and at this hotel and were sad to leave 
448424,Hotel K nig von Ungarn,No Negative, Great location room large and comfortable The bathroom was modern and spacious The breakfast was good The chocolate left in the room at night was a really nice touch The staff member helped us find a great concert to go to and changed our dinner reservations to another restaurant so that we could get to the show 
448425,Hotel K nig von Ungarn, Taking a seat in the lobby bar area and expecting a waiter to immediately come and take your order is expecting a bit much It sometimes took a bit of searching to find someone to serve you there A bit more proactive approach to bar tendering might be helpful , Right in the middle of Vienna s centre just behind Stephan Cathedral Everything you want to see in walking distance many nice restaurants in the area Hotel is not ultra modern but in a nice traditional Viennese style as you might expect Though most people will want to explore restaurants around town the restaurant in the hotel is really good many traditional dishes well prepared staff very kind and helpful 
448426,Hotel K nig von Ungarn, It was an extremely firm bed Window view on to narrow street was of offices opposite , Extremely convenient location most tourist sites were walkable distances No real traffic or other noise very quiet Excellent breakfasts One meal in restaurant was OK but not special All staff extremely friendly and helpful Oldest hotel in Vienna and hence in keeping d cor Mozart lived there at one time Air conditioned No hesitation in recommending 
448427,Hotel K nig von Ungarn,No Negative, Excellent hotel The staff and amenities were excellent including the spacious stately rooms the courtyard for relaxation and cocktails and the restaurant The staff was extremely helpful in recommending restaurants arranging excursions with private guides and purchasing Opera tickets for us We enjoyed our stay at the hotel The Rowlees
448428,Hotel K nig von Ungarn, There was absolutely nothing about this hotel that I could fault , This small hotel has a lot of character due to being in an old building with lots of nice features Just off Stephansplatz it is central easy access to Vienna s excellent underground and tram system but separate from all the noise of the main square They have a modern section which has been tastefully done We stayed in one of the modern rooms very spacious it had a nice large bathroom Breakfast was good try an omelette they are wonderful The coffee was also good We ate in the restaurant also the breakfast room one night and the food was good Every single member of staff at all levels was friendly and helpful We fell victim to pickpockets on the Underground beware young slim women in pairs asking directions and the front desk staff helped us with directions to the nearest Police Station and in contacting the Lost and Found dept of the Underground who speak only German which we do not On a more cheerful note they have wonderful recommendations for local restaurants all within a 5 minute walk from the hotel tucked away in side streets We went to several and all were either good or superb I would not hesitate to return to this lovely hotel 
448429,Hotel K nig von Ungarn, The bar could be improved There was no real atmosphere to incent patrons to enjoy a beverage after a long day of sightseeing , The hotel is located in a great area not in the middle of the busy St Stephen s Cathedral traffic noise but a very short walk there Easy walk to train station shopping and plenty of restaurants Staff was very friendly and helpful The bathrooms have been renovated and are beautiful They re spacious and well appointed with rainfall shower separate tub as well as a second private toilet room The restaurant was very good for breakfast with an assortment of foods to please pretty much every type of appetite We did not have dinner there Overall hotel was great We would definitely stay there again 
448430,Hotel K nig von Ungarn, Not one complaint , Room size was bigger than normal European room Very clean Very helpful friendly and knowledgeable staff Location perfect Would stay there again and again Would also recommend the hotel 
448431,Hotel K nig von Ungarn, Leaving , If you enjoy staying in a small expertly run historic hotel in the center of Vienna near the oldest quarters of the city etc etc you will love it here 
448432,Hotel K nig von Ungarn, Lack of coffee maker in the room or coffee service in the lobby , Historic property but high quality renovation Boutique hotel but well appointed and spacious rooms very courteous and engaging staff from Bellman to House Cleaning to Front Desk and Concierge services Eager to assist Extremely close to St Stephens cathedral and world class shopping Couldn t be a better location 
448433,Hotel K nig von Ungarn,No Negative, The Weather was fantastic The Spanish Riding School was brilliant The Schonbrumn Place was a lovely day out Breakfast was fabulous especially the eggs and bacon 
448434,Hotel K nig von Ungarn, contemporary room decor felt a bit tired, front desk and concierge bell staff were helpful and efficient facilitated early check in for me bath very spacious and well supplied w all a traveler needs 
448435,Hotel K nig von Ungarn,No Negative, room clean and bed very comfortable warm welcome upon arrival from reception staff concierge waiters and housekeeping Salamat to the nice ladies Breakfast choice plenty fresh and delicious Close to the city centre and all other attractions 
448436,Hotel K nig von Ungarn, We looked for hotel transfer as we arrived at Munich International but didn t find several rounds we checked However one of the staff kept stressing that we didn t check properly , Breakfast was good staff was friendly at the front desk and restaurant 
448437,Hotel K nig von Ungarn, Honestly as far as we are concerned nothing could have been better If or rather when we return to Vienna we will definately stay in Hotel Konig von Ungarn , The staff Without exception the hotel s staff were warm and friendly efficient and very professional We were given a warm welcome and made to feel very comfortable and well cared for The restaurant We enjoyed excellent meals in the hotel s restaurant on two evenings on the other two evenings we decided to try two of the nearby restaurants for variety Being mid February the restaurant which serves traditional Austrian cuisine was very quiet but we enjoyed the out of season genteel atmosphere and the formal but friendly service The enclosed courtyard We made the most of the lovely enclosed courtyard it s a very welcoming and relaxing space filled with natural light ideal for pre dinner or after dinner drinks or just somewhere nice to sit chat and relax Breakfast We booked 4 nights room only but enjoyed breakfast twice in the hotel at 20 euros per person per breakfast Many and varied cold items were on offer as well as hot options On those morning when we felt less hungry we had a good light breakfast in the nearby busy Diglas Cafe for 9 euros per person We enjoyed the setting the bustle and the food but the service although efficient wasn t very friendly The room Our room was pleasantly decorated and furnished comfortable and very clean and we had everything we needed Note for anyone expecting tea and coffee making facilities these are not offered but room service is Location Situated next to the Stephansplatz and the cathedral the hotel is ideally located for walking to many of Vienna s splendid attractions or the U Bahn station is just a 2 or 3 minute walk away 
448438,Hotel K nig von Ungarn, The price, So central walking distance to museums but most of all its other old worldy atmosphere where we could shelter from the cold plus the restaurant was excellent
448439,Hotel K nig von Ungarn,No Negative, Great location next to Mozart house spacious very comfortable rooms warm atmosphere servicable staff very clean nice patio perfect wifi connection The most positive impression 
448440,Hotel K nig von Ungarn, There was nothing to dislike , This is a very well run private hotel right in the centre of Vienna Everywhere is within easy walking distance the bedroom was gorgeous and very comfortable breakfast was excellent with delicious eggs cooked to order and the staff well they were all wonderful and couldn t have done more for us especially when it came to accessing tickets for Must see performances We are already looking forward to our next visit 
448441,Hotel K nig von Ungarn,No Negative, This hotel is a very well located very close to the Stefansdom The rooms are comfortable and well insulated Breakfast is excellent and the availability of staff could an example for other hotels There was a problem with the wifi connection quite in the evening The person at the desk did his utmost best to find a solution and managed to solve the problem He handled this in a very professional way
448442,Hotel K nig von Ungarn, Double glazing poor soundproofing in old part poor hard mattresses uncomfortable pillows Very cold sitting bar area glassed over courtyard , Friendly reception concierge and excellent breakfast and housekeeping staff Great position near everything either by walking or using public transport 
448443,Hotel K nig von Ungarn,No Negative, The beds were very comfortable The room was very convienient and spacious for four people and also very clean The people there were very warm and friendly I recommend it for families and individuals 
448444,Hotel K nig von Ungarn, Nothing negative to say , Lovely breakfast in room at no extra charge Good bed beautiful room Elegant and cosy atmosphere Flawless service All superlatives apply 
448445,Hotel K nig von Ungarn, European weather could have been better, The room size was of suite proportions at regular room rates The breakfast omelette was one of the best ever Staff was friendly and accommodating on every request Location was excellent and waking to the horses walking on the cobble stones was a special treat 
