,Hotel_Name,Negative_Review,Positive_Review
502028,Hotel Kaiserin Elisabeth,No Negative, Very quiet environment despite being so close to Stephansplatz Convenient location to attend meetings at the Vienna International Centre U1 Convenient location for tourism purposes Availability of guest computer permitting online bookings and airline check in 
502029,Hotel Kaiserin Elisabeth, This is a very conservative hotel steeped in Austrian History quiet and suitable for a restful few days Because of the out standing position in the city it deserves 10 10 you don t need a car , Well Travelled and over 70yrs we found the bed extremely comfortable Every thing clean big windows to open Front reception friendly and helpful Staff all able to converse in English 
502030,Hotel Kaiserin Elisabeth, Pressure of water was quite weak in the shower You have to wait some while to get warm or cold water , Location was excellent Breakfast was pretty good Personel were very friendly and helpful 
502031,Hotel Kaiserin Elisabeth,No Negative, The staff at the property were all very friendly and helpful The museums galleries architecture and the history of Vienna is exceptional The Naschmarkt is a great place to visit for delicious food it s amazing over a 100 stalls and the beautiful architectural old buildings surrounding it Hundert Waser Haus is a worthy place to see too 
502032,Hotel Kaiserin Elisabeth, Not a single thing , Normally I never write reviews but since this is the third time I have stayed at this property and return because it is so wonderful I feel obliged to say something For anyone who does not require a pool a spa etc this might be the loveliest hotel you ll find anywhere It is in the very best location in the First District of Vienna It has wonderful historical bones The staff is gracious and helpful and the breakfast is quintessentially Viennese It is IMMACULATELY clean The beds are wonderful and even a single room is spacious very nicely appointed and welcoming I return to Kaiserin Elisabeth for all of the reasons I ve listed I would not trade the KE for the Imperial or the Bristol where I have also stayed 
502033,Hotel Kaiserin Elisabeth, Nothing, Very friendly staff Fantastic inner city location Longer than usual breakfast hours til 11am which allowed us much more flexibility in our schedule 
502034,Hotel Kaiserin Elisabeth, Breakfast selections were a bit limited but what they had was good , Location is excellent just a few steps to Saint Stephens Platz and the mall Front desk staff are excellent Rooms are comfortable Beds have light weight down comforters no top sheets which I like 
502035,Hotel Kaiserin Elisabeth, Like other hotels in Europe they don t have the bathroom amenities that we prefer Instead of bar soap shampoo and conditioner you get one all purpose liquid mounted on the wall Luckily we brought our own soap etc That liquid stuff is just too generic , Classy old world charm Superb location Our room was very spacious with high ceilings and immaculate linens Big bathroom with double sinks seperate shower and great water pressure Very nice breakfast service Helpful gentlemen who staff the front desk Room was very quiet Excellent maid service We also used their car service to and from the airport which worked very well and took a lot of stress out of the whole process 
502036,Hotel Kaiserin Elisabeth, Freshly squeezed orange juice , Bed and pillows very comfortable good breakfast excellent traditional hotel in best possible location and helpful staff 
502037,Hotel Kaiserin Elisabeth, Really no complaints could have been more fresh fruit at breakfast , Room was very large especially considering it is in the heart of Vienna The room and bathroom were very clean Air conditioning was excellent The hotel common areas have a nice elegance to it 
502038,Hotel Kaiserin Elisabeth, No bathroom slippers But I brought mine so it wasn t a big deal , The staff was very nice It turned out that I paid extra when I checked out They were so honest they called me when I was on my way to the airport and apologized and returned my money Oh and they arranged all the limousine service for me from and to the airport The location is absolutely perfect for solo travelers I went there alone and having to tour the city proper alone was so convenient And the breakfast was awesome I m stuffed 
502039,Hotel Kaiserin Elisabeth, Coffee and tea making facilities should be mandatory in a four star hotel Breakfast were rich but eggs were not properly boiled Should also like to be offered fried eggs or omelet, This hotel has the very best location walking distance to almost everything For those who love shopping location could not be better Our room was big very clean and had a large comfortable bed Very helpful staff and giving us good advise to all questions We also got a late check out for free 
502040,Hotel Kaiserin Elisabeth, Pillows were very soft Some building work noise could be heard Double bed was made up of two singles, Location was excellent near underground and all facilities Decor was very attractive Staff were very knowledgable friendly and professional Large room
502041,Hotel Kaiserin Elisabeth, nothing but there is construction across the street double windows kept the room quiet, Very friendly and helpful staff Great central location We had the larger room and were very comfortable Modern hotel but with a traditional Vienna feel 
502042,Hotel Kaiserin Elisabeth, There was construction next door which resulted in very early drilling 6am and loud banging This was no fault of the hotel but was very disruptive in the morning and prevented a sleep in Otherwise no complaints, The staff were lovely and helpful the rooms were spacious and breakfast was very good The location was also fantastic
502043,Hotel Kaiserin Elisabeth, breakfast options were a little disappointing if you are not into the European continental breakfast no toast and eggs and bacon were not up to speed, Big room quiet location away from the main street we were placed at the back of the hotel Comfy beds and doonas helpful staff located close to everything
502044,Hotel Kaiserin Elisabeth, I don t have anything negative to say about my stay at the hotel The only negative thing was there was construction noise next to the hotel that woke me up in the morning That wasn t the fault of the hotel though , The hotel was very elegant beautiful The location was great with so many places in the area to see and do Great restaurants within walking distance I would recommend this hotel to anyone 
502045,Hotel Kaiserin Elisabeth, I had a single bedroom didn t understand why the WC wasnt placed in the bathroom I would recommend replacing the bidet with the WC The bathroom was very spacious yet the toilet had no room to sit on the WC and close the door and I m only tiny , Loved everything The staff were very friendly and helpful Taxi arrive in 3 minutes when called I had a single bedroom which was very spacious TV had almost all language channels even Arabic Hairdryer was powerful They had almost all the relevant tour brochures at the lobby The hotel was on the main shopping street plenty of restaurants Breakfast was standard continental many varieties of bread cheese confitures cereal etc you can also order eggs of your choice at no cost Restaurant staff were lovely and cheerful and quick Bed and pillows were comfortable Room was very quiet although it was facing the street had double windows literally Room was delightful with lots of paintings of Vienna It was a hotel you love to step in at the end of a long day 
502046,Hotel Kaiserin Elisabeth, The breakfast was disappointing for us almost entirely continental with very little remotely resembling English There is no restaurant no bar mini bar in room and no tea and coffee facilitie The hotel could be considered a little dated , The location is very good almost next to the cathedral The staff are also very friendly and have a comprehensive knowledge of restaurants and concerts etc 
502047,Hotel Kaiserin Elisabeth,No Negative, Loved everything about this place the pretty rooms the tub shower and bathroom soap and lotion the breakfast buffet and coffee the incredibly friendly staff and the perfect location Everything you could want in a hotel in the center of Vienna 
502048,Hotel Kaiserin Elisabeth, there is construction working going on right now march 2017 outside the hotel which start 7am in the morning nothing the hotel can do but if you wanna sleep longer windows gotta be shut , lovel rooms great and friendly service exceptional location
502049,Hotel Kaiserin Elisabeth, It was the second time I went to this hotel No comparison with the first one very small room rather basic fitting of the room window on a claustrophobic inner court If ever back to this hotel I ll be sure I get a proper room that is spacious and with a view , The excellent position central and next to public transport The overall atmosphere of the hotel lobby and common spaces 
