,Hotel_Name,Negative_Review,Positive_Review
49514,Hotel Le Six, Just the weather , Everything And on top of that they give you a Samsung phone to use while in Paris Free calls to the US excellent guides and directions right in the palm of your hand A fantastic touch from a fantastic hotel Eat at Chez Marcel right across the street but make reservations early it s always busy 
49515,Hotel Le Six, There is currently utility construction taking place on the street in front of the hotel so a little noisy at times and barriers in place , Neat boutique hotel Some of the most comfortable hotel beds I have ever come across Staff was wonderful Loved the location Not too touristy Luxembourg gardens close by and a great place for a morning run walk 
49516,Hotel Le Six, The only thing I would have liked is the option to have a smaller and less expensive breakfast than the full breakfast option at 19 Euros per person Just coffee juice pastry option would have been very nice to have for those who don t want a large breakfast , Excellent staff very helpful for anything needed Friendly and professional 
49517,Hotel Le Six,No Negative, Excellent staff helped with location of nearby restaurants and activities Centrally located in quiet neighborhood but still within walking distance to main attractions 
49518,Hotel Le Six, There was little room for our cases but apart from that nothing to add , Breakfast was served in a very pleasant room and everything offered was tasty and high quality I have seen more variety on offer at some Paris hotels but I felt that I had a good breakfast and enjoyed it This hotel is particularly convenient if you are travelling onwards to the south west from Montparnasse Until the end of May be aware that the metro from Gare du Nord cannot stop here and it s a fairly expensive taxi ride You see lots of Paris en route 
49519,Hotel Le Six, Small room Disappointed for 500 euros for one night in a suite internal courtyard room without air and it felt felt damp , Staff extremely friendly and helpful 
49520,Hotel Le Six, Noisy elevator was being fixed squeaky bed a large double bed would have been better than the 2 seperate beds , Small hotel very friendly and helpful staff small but comfortable room very quiet large modern bathroom excellent breakfast hammam
49521,Hotel Le Six, Wee bit pricey Breakfast much too expensive but the the staff recovered once again Trouble with the keys was a bit annoying but again great response from the front desk TV was on the blink for 1 night but those great staff again this time a bottle of Champagne , Tireless honest and timely helpfulness of all staff for everything repeatedly
49522,Hotel Le Six, street is a bit on the noisy side and a little difficult to find I was supposed to be in a superior room not sure if I was but it s a bit on the small side breakfast was ok but would be nice if they varied it a bit from day to day after a couple of mornings can t say I was looking too forward to eating the same things our room was on the side of the street and was noisy thru most of the night and early morning trash pickup was annoying would also be nice to have water in the room everything was charged from the minibar , bed was comfortable staff was very friendly and helpful and location is fairly central but not really close to most things we did a lot of walking to get around 45 minute walk to eifel tower etc
49523,Hotel Le Six, Couldn t fault the hotel, Really great location easy to get around on foot and close to metro staff v friendly great English language and informative re sights of Paris Rooms and bathrooms very nice Modern and clean and v good free wifi We were there when 38 degrees so air conditioning in rooms brilliant think one of the best we have experienced in a hotel Plus v comfy bed and a nice little chocolate on your pillow when they turn down the bed Great hotel all round second time we have stayed
