,Hotel_Name,Negative_Review,Positive_Review
265181,Hotel Les Th tres,No Negative, The staff in this hotel were amazing I booked a room that was not quite what I wanted and they did everything possible to accommodate my needs The room I was moved into was larger than most I have seen in Paris The front desk worker Franck was great as was the lady manager with my requests These workers are a valuable asset to this hotel 
265182,Hotel Les Th tres,No Negative, Overall a very good hotel Friendly and helpful service Room was quiet clean and well serviced The complimentary cell phone to use was great for getting around town 
265183,Hotel Les Th tres, No view from the window Would have liked a theatre guide as in the theatre centre There were a lot of vagrants in this area , Interesting quirky little hotel Loved reading the theatre posters Friendly helpful staff Good choice at breakfast Very comfortable bed Able to have a night cap in the bar 
265184,Hotel Les Th tres, It would be great to have fresh orange juice for free for breakfast wifi was not always stable but generally fine Bottle of water in the room would be a nice compliment during hot summer , Mobile for internet and international calls comfortable bed croissants for breakfast Funny room design
265185,Hotel Les Th tres, The room was not cleaned or serviced on our 2nd day no replenishment of used soap and shampoo make up spilt on floor was left where it was was our accident but it would be normal for this to be swept up when housekeeping serviced the room The Bathroom was the smallest that I have ever seen just about room to stand between shower and basin to wash but no room for a toilet that was in a very claustrophobic closet on the opposite side of the bedroom with no hand washing facilities which is not ideal in the middle of the night or any time for that matter How this has 4 stars is beyond me 2 at best The neigbourhood seemed to be in the red light area with prostitutes lurking in every alleyway and sex shops and brothels on every block This may suit some but we will not be back Hope this helps other find what they are looking for , Bed was comfy and the front desk staff polite
265186,Hotel Les Th tres, room was very small even by Paris standards It was also decorated very dark making it seem even smaller The neighborhood was very busy though the hotel is on a quiet street We will stay in the 5th or 6th arrondisment next time, less than 200 yards from 2 Metro stations they had a honor bar which worked well Wine selection was limited though using a funky dispenser 
265187,Hotel Les Th tres, Our room was not available when we arrived and had to wait another 45min to 2 45pm Could have been acceptable if they hadn t known we were coming in at 2 but we arrived the first time at 11 asking if it was ready and said we d only go out for lunch and then get back at 2 They then offerd us a free drink but no one came to take our order until 5min before our room was ready ,No Positive
265188,Hotel Les Th tres, Very tight space Not a great neighbourhood One reception staff member unhelpful but others excellent , Super comfortable bed and pillows Very clean Great sleep 
265189,Hotel Les Th tres, no restaurant or bar inside the hotel as you arrive and would to eat or drink something there are no facilities but just out of the hotel is full of pubs bistro and brasseries , nice place in nice area 15 minutes walk from Notre Dame the neighborhood is funny with some strange situations coffee shops brothels etc but definitely safe which in paris is not easy at this days the whole stay has been nice and relaxing
265190,Hotel Les Th tres, The room is very small and there was no privacy in the bathroom Is very open , The hotel is nice and the location is very good The breakfast was very good The terrase was great 
265191,Hotel Les Th tres, Small room with even smaller bathroom , Good location close to gare du nord so easy access for everyone traveling by eurostar Also not far to centre Pompidou and louvre 
265192,Hotel Les Th tres, My only negative point is the ongoing musty smell originating from the shower due to the old inadequately maintained Paris city pipe system a typical Parisian problem which a lot of hotels and buildings must bear with and on and off overflowing into the bedroom area , Highlights are the excellent breakfast buffet and by usually poor French standards all the better the dedicated service minded staff whether day or night the stylish and tasteful Napoleon III style and decoration of the breakfast area the lovely private 8 sqm rooftop terrace featured en suite to my room 5th floor 504 in cramped Paris an absolute luxury and rarity Thank you for this 
265193,Hotel Les Th tres, No noise isolation Weird room plan with bathroom and toilet in opposite parts of the room See window view in the attached , Location is reasonable Rooms are decorated nicely but not really comfortable see below 
