,Hotel_Name,Negative_Review,Positive_Review
55195,Hotel Lumen Paris Louvre, Nothing could have been better Wish I could have stayed longer , Everything was amazing Such friendly staff all English speaking 24 hour service sooo helpful at all times Perfect location walking distance to so many places views 
55196,Hotel Lumen Paris Louvre, Pull out couch wasn t very comfortable as mattress was quite thin Only complaint , Breakfast at the restaurant was amazing as was all the food Staff were exceptionally friendly and helpful booked our dinners on request and made recommendations 
55197,Hotel Lumen Paris Louvre, The bath tub got stuck first we couldnt use the bath till next day when they fixed it Hotel needs massive re innovation as the elevator smell was pungent everynight They charged extra 3euro per person per night city tax and no complimentary water it costs 4 5 euro for a small water and chips from minibar cost 7euros , The hotel location and staff was brilliant They managed to handle my temper in a very calm and professional manner 
55198,Hotel Lumen Paris Louvre, The breakfast used to be much better a few years ago, I like the suite much better than the standard rooms Nice bathroom and comfortable bed and good toiletries very nice small hotel well located 
55199,Hotel Lumen Paris Louvre,No Negative, The hotel is five minutes from the Louvre and the Sienne so we could spend our time sight seeing not travelling The staff are friendly and helpful The reception is open 24 hours so we could get back late without a hassle They also allowed us to store our luggage before check in and after check out for a few hours so we din t have to lug our case around on our first and last days The breakfast was lovely and plentiful so we only needed a light lunch saving a fortune in expensive Paris The room was clean and very comfortable and quite big by Paris standards It overlooked the Rue Des Pyramides but was not noisy 
55200,Hotel Lumen Paris Louvre, Pillows are a little flat A C was not great Didn t have the breakfast Looked ok Definitely would return , The room was small as expected but had all the ammentities Even a cell phone to use Staff was attentive Location was great Pic s were accurate 
55201,Hotel Lumen Paris Louvre, Small suit and only one front desk staff on duty normally Breakfast was just ok I had a 2 of 500 notes ready to pay for the hotel payment unfortunately they could only take one of it even my total charge is over 700 Large notes like 500 are useless in Paris , Location Location location Prefect to walking around Friendly staff Room has coffee facility Rooftop view is very Parisian Good tea options from hotel too 
55202,Hotel Lumen Paris Louvre, Gym was renovated while my stay , I am very satisied with my stay in Lumen Hotel Service was very helpful and friendly breakfasts served to the room were amazing everything was super delivious and fresh portions were very big Room was perfectly clean comfortable bed and had a nice view Lumen is definitely worth to recommend 
55203,Hotel Lumen Paris Louvre, The gym area is a bit tiny and doesn t have either music on or TV , I was surprised about the mobile that you give for free to use around the city Hats off for that excellent idea It was pretty helpful and useful 
55204,Hotel Lumen Paris Louvre, We found the coffee to be a little on the cool side , The bed was very comfy nice and firm Slept like a baby There is a good selection of cold meats and fresh fruit at breakfast with a good selection of sweeter things 
55205,Hotel Lumen Paris Louvre,No Negative, Outstanding customer service from the time we arrived until we left The breakfast was very nice with eggs fruits pastries juice coffee etc I would stay there again Great location 
55206,Hotel Lumen Paris Louvre, the only thing is that when you shower you end up getting the floor all wet but a small thing , one of the only hotels I found that have breakfast included which was quite the price is also very good considering the perfect location and what you get you also have a mobile phone in the room which you can use to make calls and take with you since it has 4G pretty useful to use the maps and internet while on the move also there are many recommendations of restaurants and places to go will definitely stay there again next time 
55207,Hotel Lumen Paris Louvre, Only negative was room size tres petite And room lighting a bit too dark , Staff was incredibly helpful in every way Restaurant was delicious and breakfast was perfect They even gave me my double espresso free 
55208,Hotel Lumen Paris Louvre, The hotel and room itself is little bit old Needs some renovation for the essential facilities , The location of the hotel is really nice to see anywhere in Paris Louvre museum and Opera house is very close Saint Honore is just in few steps easy for shopping
55209,Hotel Lumen Paris Louvre,No Negative, Great location staff and breakfast I would definitely go back and recommend this hotel to friends and family Lovely room with tall ceilings and cute bathrooms 
55210,Hotel Lumen Paris Louvre, The gentlemen that worked Friday to Sunday Of course he had no name tag so I can t give his name was rude We ask a couple of questions and he told us to just go find they place our selves After that we would not deal with him We waited until Sunday to make our car reservations , The location was great for us Our tour connections were just minutes away The restaurant staff was great very friendly The front desk staff as long as you were there Sunday to Thursday were also great 
55211,Hotel Lumen Paris Louvre, Slow elevator, Friendly and helpfull staff Excellent location close to HOHO stop and regular metro nice breakfast very nice rooms with good beds small hotel
55212,Hotel Lumen Paris Louvre, Lack of air conditioning, Breakfast had great variety quality Staff was helpful and rooms were small but clean Loved the smart phone that was provided to hotel guests during their stay It was a great tool for navigating the city and free international calls were awesome 
55213,Hotel Lumen Paris Louvre, The cupboard is rather small and would barely allow clothes for 2 people nor is there space to hang your long dresses skirts or coats The gym is small but with the Tuileries next door that is not an issue isn t it , Everything worked and the available space is efficiently organized Staff throughout helpful and lovely They offer sort of a cell phone with selected free calls in France and abroad and free browser so you could even google your way through Paris if you needed wanted to 
55214,Hotel Lumen Paris Louvre, Pillows so insubstantial I had to use cushions underneath them strange smell in the shower area which was down stairs from the main room , Jacuzzi in the room was a great idea Amazing view from the top floor suite Helpful staff 
55215,Hotel Lumen Paris Louvre,No Negative, The bed was super comfortable the bathroom clean the balcony had a perfect Parisien street view the breakfasts were delicious and bountiful the staff were helpful and encouraged me to practice my French despite speaking very good English and the position of the hotel was central to everything a tourist wants We had a wonderful trip to Paris and Hotel Lumens was the perfect place to stay 
