,Hotel_Name,Negative_Review,Positive_Review
481965,Hotel Mediolanum, The shower cabine was a bit small , The hotel has a very unusual decor which I liked The staff was very polite the room nice and the bed comfy The location is ok close to the central station and it s about half an hour walk to the centre We traveled by car and the hotel s staff parked the car away it cost 30 Euro The breakfast was good with plenty of choices 
481966,Hotel Mediolanum, Unfortunately the window was broken not isolated You could hear everything from the street even tough we had a room on the 4th floor , Very central location in Milano and friendly staff
481967,Hotel Mediolanum,No Negative, We live in hotel Mediolanum in July 2017 This hotel has a great location not far from central train station and underground station close to restorants supermarket Our room is big comfortable ad clean Service in hotel is very good when we ask an iron we get it in a minute we hen we out the hotel our luggage staying in hotel for free with no problems before we going to the train etc Our breakfast in hotel was delicious at any day This is fantastic staying in Milan thanks to the hotel Mediolanum 
481968,Hotel Mediolanum, room smaller than expected floor blanket didn t seem very clean room too warm air conditioning not working very well could hear noise from outside, good location for stazione centrale medium good quality vs price considering the location
481969,Hotel Mediolanum, The shower was fairly small and the toilet was a little cramped , The room was clean comfortable and quiet with good beds The breakfast buffet was one of the best I d had in Italy against any equivalent hotel Staff were super friendly and helpful So close to the train station 
481970,Hotel Mediolanum,No Negative, Very near to Milan Central train station plus loads of great restaurants nearby Clean and comfortable rooms Friendly helpful staff Nice breakfast Great value for money
481971,Hotel Mediolanum,No Negative, Great location walking distance from metro and train station The neighbourhood is friendly with beautiful buildings to admire restaurants bars crazy cat cafe is nextdoor and a nice way to have a coffee break while your kids run after the cats The staff was very friendly and the breakfast was excellent It had everything scrambled eggs cheese vegetables fruits 
481972,Hotel Mediolanum, The bed was disappointment as there was only one very thin pillow per person and the blanket was not comfortable I also wished to have more healthy options in the breakfast selection , Location was great and the room was very clean 
481973,Hotel Mediolanum,No Negative, Excellent location for exploring the city Nearest metro stations crocery stores and Corso Buenos Aires within a 5 to 10 minutes walking distance Neighborhood was hip Super friendly staff Good breakfest with lots of variations 
481974,Hotel Mediolanum,No Negative, perfect rooms excellent service from the reception excellent breakfast 5 minutes from the central station and very close to the shop avenue Buenos Aires
