,Hotel_Name,Negative_Review,Positive_Review
439256,Hotel Neri, Given the location there is some street noise pedestrians The buildings are very close together with small walking streets in between , To be honest the whole thing was amazing Staff are very accommodating Property is in excellent shape 
439257,Hotel Neri, We liked everything My only suggestion is even though they provide a map listing where they are located I would have a more detailed map with walking directions from Juame Square possibly even listing stores and streets you must turn down The area is a little maze like and can be confusing , We rented the apartments that they now offer Loved the location apartment cleanliness and overall experience I highly recommend 
439258,Hotel Neri, Nothing , The decor was amazing modern renovation inside several hundred old building which retained much of old construction Staff was extremely friendly courteous and helpful Apartment was spacious immaculate and in perfect shape when we arrived Dinner at Hotel restaurant was fabulous outside in a medieval square Incredible location inside Gothic Quarter 
439259,Hotel Neri, Late check in at 15 And early check out at 12 For the price they should facilitate their international guests that fly in early and have late return flights ,No Positive
439260,Hotel Neri, They were painting the hallways in the AM The repairman did his best to open door to vent fumes but you could smell the paint anyhow That sort of repair to the immediate access to premises if ongoing during a guest stay should be something the hotel notifies you of in advance of your reservation or at check in The building w the suites which is separate from main hotel doesn t have staff watching the doors and the front door remained propped open Perhaps it wasn t a security concern for them but I walked in the front door seemingly undetected unless the entrance was being monitored by security camera that I didn t see so that raised an eyebrow from me , The staff were wonderfully friendly considerate and accommodating which makes a big impression when traveling w a small child Great beds Nice that they had the pullout bed set up for our daughter Stocked kitchen was great We were able to prepare meals for our little one and have access to her snacks The layout of the suite was efficient and well planned out separate TVs in bedroom and living area meant we could relax and our daughter could watch her cartoons The elevators were in great condition and had more room than what we were accustomed to in BCN But for slight snafu w the painting in the hallway the next AM it was an ideal stay 
439261,Hotel Neri, The two recommendations for dinner were not great one very expensive and ok and the other recommended for the paella was not so great The hotel breakfast is very pricey so we opted to eat in the neighborhood The location is very challenging The taxi driver did not know where it was and dropped us off at a nearby main street which required us to lug three pieces of luggage and a guitar through a rabbit warren of winding narrow streets until we found the hotel They do suggest a pickup transport from the airport but it cost 90 euros , The Hotel is lovely as is the staff a great aesthetic and very comfortable The restaurant is excellent We found their recommendation for tapas at Portalon around the corner a real find The hotel s rooftop terrace a garden sanctuary and retreated there on several occasions with guitar for yummy snacks and great sangria 
439262,Hotel Neri,No Negative, This is a hidden gem Everything about Hotel Neri was exceptional I am very pick when it comes to hotels but there was not a single negative aspect here From the start the front desk was so nice and warming It is a little trick to get to the hotel since it is hidden behind the Cathedral in a pedestrian street but Daniel waited for us and helped us with all our bags The building is a dream impeccable in every detail The rooms so clean quiet cozy and comfortable The decoration amazing And the location Oh my God We were right in the middle of everything within seconds of walking Safe neighborhoods great places to eat including the hotel the breakfast was delicious great for shopping and within minutes of the famous places to visit Transportation available super easy We really felt sad to leave 
439263,Hotel Neri, , We had an appartment which was spacious to relax in and the best we have ever stayed in anywhere We told them so We were there when BA s computers crashed The staff could not have been more helpful They even put our room aside for an extra night in case we could not leave Barcelona that day We texted them to say our flight was in service 
439264,Hotel Neri, see above, The location and the hotel facilities were excellent The staff was very friendly but unfortunately they were not very competent Reservations were not made taxis were not called and we even received a 4 30am wake up call when we requested a 4 30pm taxi to the airport I suggest some older more mature and experienced management would good a long way 
439265,Hotel Neri,No Negative, It was so beautiful I adored that the architecture was from the 12th century Then they gutted the interior and made it modern The play on styles was fabulous This may be one of my favorite hotels ever 
439266,Hotel Neri, For this price breakfast really should be included , I had lived in Barcelona for four years and it had been my dream to stay at Hotel Neri for a while You can t beat the location The square is not only stunning it s one of the most poignant reminders of the darker chapters of the city s history The apartment was beautifully decorated and had all the comforts you d need The staff were lovely 
