,Hotel_Name,Negative_Review,Positive_Review
73015,Hotel Plaza Elys es, Still a little tight space in room makes it crowded with 2 people but expected in Paris where space is at a premium , Clean and modern facility located in residential area but within five minutes of the Champs lys es and another 5 minutes to the Arc de Triumph Breakfast included fresh croissants fruit some hot foods in a spacious and clean room Thoroughly enjoyed this air conditioned facility 
73016,Hotel Plaza Elys es, No porter to assist with luggage to room Mean on the supplies for the room 2 x decaf coffee no full strength I can t stand decaf and we usually have 2 coffees each of a morning especially when we are out of our time zone and awake at 4 in the morning The toiletries were pump bottles bolted to the wall If this had been a 3 star 100 night hotel I would understand but at this price come on What I didn t like was the room tariffs posted at reception were less than what I paid through booking com Felt a little ripped off by this , Quality rooms and fixtures Very modern and a little quirky Reception is a bit of a menagerie which was nice different This Hotel is not far from the center Just a short walk 10 mins for us to the metro and Champ Elysees Comfortable sleep 
73017,Hotel Plaza Elys es, Rooms were small which is a rule for Paris but still no restaurant or opportunity to have a cup of coffee inside, Hotel was really good excellent situation there is an underground parking nearby not free of course not a modern one but very decent for Paris Clean and friendly 
73018,Hotel Plaza Elys es, We struggled to find an open restaurant on Saturday night by the hotel but there were a couple open You just need to go down to the Main Street by the metro though as I m sure those restaurants will be open on a Saturday , Great location being only a 10 minute walk from George V metro station which is in view of the Arc di Triomphe and then another 5 minutes or less to be standing in front of it Lots of restaurants around and the Main Street by the metro is very lively and good atmosphere The staff were also friendly and helpful Good selection for the breakfast buffet and the gentleman that worked there was very friendly 
73019,Hotel Plaza Elys es, The fact that money was stolen from our room And we were made to feel like we were lying The view was terrible The bed was hard , The interior design is good Close to the champs elysee 
73020,Hotel Plaza Elys es, Liked everything about my stay at this hotel What s not to like , Lovely staff very warm and friendly special mention to Deborah who ensured that we made the most of our trip to Paris and while checking out Jennet who too was very friendly and efficient Location and room wise the hotel is value for money Keep up with the awesome work 
73021,Hotel Plaza Elys es, Breakfast was standard staff pleasant but struggled to cope with demand on one day Did not appreciate being woken by reception at 4 55am to be told our driver had arrived when we had not booked one , Room good and very clean reasonably comfortable bed toiletries good quality Staff friendly and helpful Hotel easy to find and very easy to get around on foot Local bar restaurant Marion s was excellent but there was something nearby to suit every budget 
73022,Hotel Plaza Elys es, Small bathroom with a weird slide door that didn t allow for privacy but normal to other Paris hotels we ve stayed at , The breakfast was very good and the staff was lovely 
73023,Hotel Plaza Elys es, The breakfast was a disappointment but that s in most hotels in Paris A small croissant with fresh orange juice and some other standard items you expect should not cost 18 euro s So I would suggest one of the many bakeries , My room was street facing but no noise from the busy traffic at all The walk in shower Yes no bathtub here is working great but be advised that the entire floor gets wet as the divider is to short I guess housekeeping is okay with this The room has enough storage and a window you can fully open Good internet and the option to connect the PC with HDMI to stream Netflix There is a nice little bar restaurant next door with a small terrace Very busy so do come early you can eat and drink for a very affordable price and good quality The decoration of reception and breakfast room is not to my taste seems a bit chaotic with bling bling everywhere But it s not a bother for me Staff is very friendly and speak very good English I would book again 
73024,Hotel Plaza Elys es, No sign indication of the hotel outside the hotel People will have to enter the lobby to find out if this is hotel plaza elysees , The staff was really very helpful great 
