,Hotel_Name,Negative_Review,Positive_Review
404270,Hotel Principe Di Savoia, well just one LITTLE detail the wi fi had to be reconnected everyday as the free wi fi for guests is for just one day Rather have it for the whole stay small detail everything else is super , This property is an absolute delight The service is 7 star From the bell man to the reception to the exceptional concierge Everyone goes out of their way to help My husband forgot his phone in a cab on the way to the hotel and we didn t earlier bother to look at the taxi number The bell man and concierge were a great help called up all the taxi companies described the driver etc and managed to locate our phone 3 hours later The breakfast is super They serve champagne everyday made to order eggs and they would oblige special requests for kids food as well The beds r super comfy And BIG The housekeeping does a excellent job They even leave behind a sleep spray for your pillows at night I LOVE this property n would recommend it to anyone Even with kids it s great as it s hardly 10 mins walking from the Duomo and main shopping streets Cab s available right outside the hotel bell man would call one for us Super super super also they have a good gym pool sauna steam Noodle bars and kick boards for kids as well 
404271,Hotel Principe Di Savoia,No Negative, This hotel is exceptional everything is 5 star or above Our room was very elegant beautiful room and marble bathroom were huge and a foyer with closet More like a suite View from roof top patio was lovely and spa and pool were on the top flooor as well only wished we would have had time to use them 
404272,Hotel Principe Di Savoia,No Negative, Amazing hotel with very friendly and helpful staff Our room was upgraded to a Mosaic Room it was very comfortable and stylish We had a wonderful dinner at the restaurant Acanto and also a delicious breakfast the next morning There is a complimentary limo that takes you to the main shopping areas and Duomo We had a fantastic stay and would definitey stay again in the future 
404273,Hotel Principe Di Savoia, The Terrace should be open throughout and not closed during day , We came back second time in 4 weeks Pasquale made is feel very good and looked after us nicely 
404274,Hotel Principe Di Savoia, Breakfast comparatively restricted choice and very poor value Better bar next door , One of the best rooms ever Best bed ever Room made up twice a day Great concierge service Good reception 
404275,Hotel Principe Di Savoia, Would like tea coffee making facilities in the room Breakfast was expensive Hotel car service finished early evening But being very picky , The staff were amazing especially the conseige They helped with advice on restaurants trips and travel The room was perfect and I loved the pool on the top floor so nice to have a swim first thing in the morning Lovely touch to have a special something in the room for our wedding anniversary Great to have a hotel car to take us into the cathedral area 
404276,Hotel Principe Di Savoia, There was an unusual smell in the hallways Maybe the carpet It smelled a little musty Irritated that the movies cost 20E, The room was very attractive and comfortable The bathroom was beautiful 
404277,Hotel Principe Di Savoia, Nothing , General manager was very rud The breakfast was rerribe after what with ambulance we go to the hospital And General manager was just complainibg that was our fault never recomend this hotel 
404278,Hotel Principe Di Savoia, It was extremely expensive with nothing included apart from charming staff , Breakfast fabulous Bed extremely luxurious The staff were charming helpful and faultless 
404279,Hotel Principe Di Savoia, They upgrade us for suit but the price was the same price like if we booked anyway and the suit was not o big for the money we paid Food menu for room service is very very poor , Great place for breakfast good location Fantastic staff 
404280,Hotel Principe Di Savoia,No Negative, Staff was truly exceptional Above and beyond for everyone we interacted with The free shuttle mercedes limo into the heart of the city was a nice touch 
404281,Hotel Principe Di Savoia, On the left of the hotel is a roof top bar Don t stay on this side of the hotel Music often goes on until 1am Its very noisy I moved rooms as i couldn t sleep , The staff are wonderful Ive been staying here for 15 years Room service breakfast is better than ordering hot food in the breakfast room Not sure why 
