,Hotel_Name,Negative_Review,Positive_Review
116793,Hotel Pulitzer Paris,No Negative, Location Ambience Service are superb We were greeted by friendly and helpful personnel minimal fuss around the reservation and a cute tidy and comfortable room Then there is the lobby designed like a Library with a fireplace in the back like a gentleman s club in front And one of the best features It is in the middle of Paris walking distance from the Louvre If you arrive at the train station you can ride the Metro for about 3 Euros per person it s 2 or 3 stations 
116794,Hotel Pulitzer Paris, The wifi was rather slow and picky , This hotel has a great location within 20 min walking distance to Gare du Nord and Gare Est or 5 minutes by metro and within walking distance to Louvre Many good restaurants and bars in close vicinity Very helpful and friendly staff The rooms have a simple yet tasteful decor very spacious bathroom with rain water shower Mini bar Given the location it s really good value for the money Please be aware that breakfast is not included in most rooms and is 18 extra 
116795,Hotel Pulitzer Paris, it was a great value for money nothing more can be said except the rooms as small as you would expect in any Parisian hotel, It had the perfect character and charm for a four day stay 
116796,Hotel Pulitzer Paris, Nothing special do not forget that almost all hotels in Paris are relatively small, Very nice room 503 although in front of the hotel facing the road it was very quite something very important to me design very modern staff friendly breakfast better than expected
116797,Hotel Pulitzer Paris, There was no name on the premises and I had to ask passers bye if they could tell me where no 23 was I had actually asked two gentlemen who were exiting the property , Everything Suite was excellent spacious and comfortable Bed was extremely comfortable and everything was absolutely spotless 
116798,Hotel Pulitzer Paris, The entrance is pretty dark, The staff the room with the excellent shower was all great In regard to other hotel I stayed inparis the room size was good The location was super l I will suggest to my friends to stay here 
116799,Hotel Pulitzer Paris, This was undergoing renovations which I was not told about This included concrete dust from the build everywhere in the air black dirty dust sheets up lights out in the hallway next to my room ,No Positive
116800,Hotel Pulitzer Paris,No Negative, Great location near metro near patisseries restaurants Lovely bedroom very comfy bed new upgraded bathroom very helpful and friendly staff 
116801,Hotel Pulitzer Paris, Dark black no fun , It has been renovation so it was not pleasant I couldn t have eal all day and arrived afre a long journey but room service closed by 11 30pm only a banana The bed was good but room was dark 
116802,Hotel Pulitzer Paris, It s not a complain but check in time is 3 pm which in my opinion very late , Beautiful hotel with great service Rooms are spacious and comfortable The location of the hotel is fantastic Breakfast is great 
116803,Hotel Pulitzer Paris, The check in which too long asking for the same info even if I stay in this hotel regularly the noisy and outdated heating system , The location the showroom
116804,Hotel Pulitzer Paris, Some minor DIY being done on the building next door Nothing the hotel can do about that but woke us up earlier than we d have liked , Fantastic hotel all round Location was easy to find and really handy for Paris metro Cadet and Grand Boulevards stops are very close Hotel was stylish and spotlessly clean and the breakfast was a great start to the days we were there Very glad we chose to stay at Hotel Pulitzer 
116805,Hotel Pulitzer Paris, small room but in line with Paris standard a modern shower will let earning very good feedback, excellent breakfast included in the room rate nice design style position friendly staff
116806,Hotel Pulitzer Paris,No Negative, Great location Staff was very nice good and varied breakfast Nice lobby and free welcome glass of wine at the bar Wi fi worked well 2 minutes from a metro stasion a lot of places to eat and drink Club room was very comfortable Will stay again 
116807,Hotel Pulitzer Paris, The rooms and stairs are a bit narrow but that is everywhere in central Paris , It s a really great place to stay in Paris Very close to convinient metro station The personal is helpful and the food for breakfast is just awesome 
116808,Hotel Pulitzer Paris, General service and the co operation of the manager as I had notified them prior of change of check in time Yet at the end of my stay I was still charged the extra night that I was not at the hotel , I liked the decor 
116809,Hotel Pulitzer Paris, Beds stuck together when I asked not to have that Overpriced tea , I had asked specifically for twin beds for two people non couple And still we ended up in a tiny room with twin beds stuck together as a double bed which I did not want That was frustrating Cup of tea with a tea bag worth about 40 cents was five euros crazy Otherwise loved it 
116810,Hotel Pulitzer Paris,No Negative, Breakfast is excellent many types of fruits savory and sweet choices for main course enjoyed the hot chocolate The ambient temperature within the hotel is comfortable Location is perfect near to Metro station and walking distance to many tourist attractions
116811,Hotel Pulitzer Paris, On the first day the lift was being repaired so we had to use the stairs They re dark and twisty I wouldn t want to use them as a fire exit , Good location near Metro Monoprix and Chartier s restaurant Friendly and helpful staff bathroom clean with novelty basin Excellent buffet breakfast Marriage Freres teabags good value for money 
116812,Hotel Pulitzer Paris, Room size, Smallest rooms i have ever seen but everything else is is good Not the typical aria for tourists but cosy if you like to walk around and experience more then chalms ellyse etc The staff was good and cosy lobby 
116813,Hotel Pulitzer Paris, the toiliet in my room smells wired and the breakfast was not perfect, the staffs were very nice and helpful good location very easy to get access to shopping area and attractions cosy lobby 
116814,Hotel Pulitzer Paris, The lobby and staircases were too dark , The hotel is located in a great neighbor and in a walking distance from many shops restaurants and cafes Room and bathroom were clean and spacious Staff were very friendly and helpful Breakfast is excellent 
116815,Hotel Pulitzer Paris, Guest room not carpeted drinking water no replenish , 3rd time stay in this hotel overall still happy with this hotel friendly services and clean room 
116816,Hotel Pulitzer Paris,No Negative, Great location closer to Seine River closer to Louvre Notre Dame Royal Palace Sacre Coeur Easy acces to main metro and train station Very clean and quiet place great for relax and sleep after a visiting day in Paris Friendly staff and very good services 
116817,Hotel Pulitzer Paris, The staff was friendly but most of the staff was young and unexperienced The breakfast did not meet my expectations for a 4 star hotel as the croissants and cakes weren t fresh , Nice interior decoration clean and comfortable rooms Service minded staff 
116818,Hotel Pulitzer Paris, The rooms are on the small side but so are most in Paris , Very friendly staff great breakfast quiet rooms a great place to stay and excellent value for money in Paris
116819,Hotel Pulitzer Paris, Unfortunately the bathroom s flush wouldn t work the first night They couldn t fix it but we were able to use the toilet down in the lounge area The next day they immediately fixed the flush so it wasn t a problem for the rest of the weekend Also the pillows are a tad lumpy but the bed is fantastically comfortable , Hotel is a quiet refuge from the hustle and bustle of the neighborhood Hotel amenities also inspire serious interior design goals especially their public lounge library areas Staff were courteous through all hours of the day and night Our rooms were always clean and smelled pleasantly of citrus Breakfast was included and energized us before we tackled the city 
116820,Hotel Pulitzer Paris, We had our stuff everywhere in the room the rooms were smaller than we had expected I also don t know why there is no logo or name of the hotel outside If you can t find the hotel like us notice it from the black sun blinds , The staff was really friendly we felt welcomed When you enter the hotel there is this refreshing smell I loved it And not to mention the detox water they serve you in the lobby 
116821,Hotel Pulitzer Paris, Rooms are depressingly small and worn out Elevator going to rooms ending in x11 and x12 has such a small space that a small family of three with their suite cases do not fit in Stairs and corridors are terribly narrow and not air conditioned , Lobby is beautiful Rooms are air conditioned and quite Food in the hotel is very good 
116822,Hotel Pulitzer Paris, The complementary glass of wine The lounge area is lovely and relaxing and we definitely would have loved to enjoy a glass or two in the hotel surroundings except the bar is relatively unmanned And the choice of beverage is questionable , The breakfast was a treat The rooms were very clean and comfortable Such a quiet location and in close proximity to a number of good restaurants 
116823,Hotel Pulitzer Paris, Hotel main entrance is not eye catching If you are walking and finding the hotel it is easy to miss it The hotel lobby ambiance is designed and decorated with dull color feels like lack of brightness Service personnel are friendly smiley face but not very fluent in English Guest rooms facing the main street maybe disturb by noise from the street rear guest rooms are relatively quiet, Locate in the 9th neighborhood of Paris 15 30 minutes walking distance from the Opera or the Louvre surrounded by few supermarkets coffee shops Chinese restaurants French restaurants and bars feels safe staying outside of the area nearby hotel Rooms are clean very comfortable toiletries and bathrobes are provided there is a mini fridge tea coffee making facilities and air conditioning in the room the only drawback is no carpeted 
116824,Hotel Pulitzer Paris, Breakfast was not of 4 star standard very small and dark corridors Rooms were not spacious Charged EUR 20 extra for my kid who was only 3 1 2 year old , Location was very good Rooms were clean and staff was friendly 
116825,Hotel Pulitzer Paris, Would appreciate freshly squeezed orange juice , Excellent location great value for money Fully worthy of the 4 stars Breakfast included in the price was standard but fully statisfying 
116826,Hotel Pulitzer Paris, We were told ther was an elevator to all floors when i contacted the hotel prior to booking Untrue There is none to the breakfast area When booking com contacted them to seek a refund of our breakfast charge they lied again saying we had not asked for an elevator This is quite upsetting as i am not able to use steps due to a disability , Room and barhroom very clean
116827,Hotel Pulitzer Paris, The room supposedly came with a city view but I had a view into other rooms My room was directly by the fire escape The bed was less comfy than I would expect of a 4 star hotel Quite hard mattress The Standard room was very small and I was missing a bedside table , The breakfast was really good the staff were very pleasant and helpful Nice to have a bath although small and air conditioning Location was great 
116828,Hotel Pulitzer Paris,No Negative, Clean rooms genial staff Breakfast provides The hotel is accessible to all sites Near Metro And walk fifteen minutes to half an hour at well known locations
116829,Hotel Pulitzer Paris, Sub par breakfast , Great ambience and concept I enjoyed the wine hour and the rooms were comfortablr and clean The bathrooms were very clean and also larger than average in France The AC worked very well and adjusted quickly as well The breakfast was a little sub par for the price but that was the only down side Decent location would recommend 
