,Hotel_Name,Negative_Review,Positive_Review
411830,Hotel SB Diagonal Zero Barcelona 4 Sup, The hitel area it not that bad and A toilet door in the hotel bar the door can t locked whic it been damaged and not repair , The hotel it so nice and clean and feeling safe with a good security all the staff are so friendly we are feel warm welcome to stayed on the first minute walks into the hotel 
411831,Hotel SB Diagonal Zero Barcelona 4 Sup, Air conditioner didn t work at first but when reported to front desk it became functional Noisy however Other than that all was OK , Nice room great breakfast Shopping centre right across the street Nearby metro station so it s easy to get from the airport to the hotel 
411832,Hotel SB Diagonal Zero Barcelona 4 Sup, The hotel should warn people of the pick pocketing in the central clubbing area We were not warned and all experienced pick pocketing , Excellent service help was given with problems Staff were very friendly Would go back to the hotel 
411833,Hotel SB Diagonal Zero Barcelona 4 Sup,No Negative, Staff were so friendly Loved the jacuzzi it was super cheap and the 15th floor complimentary terrence was beautiful so was the downstairs garden and outdoor pool Drinks served 24 hours Amazing hotel
411834,Hotel SB Diagonal Zero Barcelona 4 Sup,No Negative, It was a magical experience the room was very big super clean and all the amenities make for an amazing stay Also bed was very good and loved the pillows Stuff is very nice and super polite View also beautiful some buildings cut some of the view but all in all you can enjoy the sea and it is very relaxing Room lounge bar pool spa everything is amazing 
411835,Hotel SB Diagonal Zero Barcelona 4 Sup, If I am going to be super picky there is a window from the bathroom to the main room There is a blind but you can see through it when the lights are out in the main room This would be fine if it was just me and my partner but I was travelling with my 13 year old step daughter However this is minor fault and I d definitely stay there again , The executive lounge on the 15th floor with free access to alcahol and snacks was fantastic for a free lunch with brilliant views over the city and the sea Aditionally the buffet for breakfast was exceptional and almost worth staying in the hotel by itself 
411836,Hotel SB Diagonal Zero Barcelona 4 Sup, Breakfast started at 7 and by the time my husband and son went down around 9 some food had already run out and were not replaced This included the chocolate fountain , The hotel was strategically located within a short walking distance to the conference centre where my congress was making it convenient for me to walk to and fro each day There was a tram stop directly in front of the hotel and a metro station a little farther away This made exploring the city very easy for my husband and son who had accompanied me on the trip The natural history museum which was just next to the conference centre and the beach a little beyond the centre were also firm favourites with them There was a shopping mall with eateries and popular brands within walking distance too During their walkabouts my husband and son discovered several halal eateries One was in the shopping mall while there were at least 3 others in the vicinity of the hotel These restaurants sold mainly middle eastern food such as kebab and biryani and were reasonably priced Breakfast was good with an exciting array of food to choose from 
411837,Hotel SB Diagonal Zero Barcelona 4 Sup, We booked a triple room for 3 adults but It was a double room with an lesser quality bed added We were not always supplied with 3 of everything It was possible to see into the bathroom from the bedroom , The breakfast was very good The front desk staff were very helpful 
411838,Hotel SB Diagonal Zero Barcelona 4 Sup, The fact that the taxis were on strike This meant traveling by public transportation to the hotel Although close to public transportation stop it is quite far from the airport, Hotel is very close to the company I was visiting It is located in a nice area close to the beach
411839,Hotel SB Diagonal Zero Barcelona 4 Sup, the pool from the picture looked much bigger than what it is The design of the room and the hallway is a bit tired comparing the lounge on the 15th floor and the patio on ground floor which are very modern looking and sleek the room was a bit of a disappointment let alone the very tired looking hallways When calling the reception the guy picking up all the time was the most unfriendly person together with one of the male bar tender they need to work on it a bit , The lounge space outside the bar s patio and the pool were really lovely Location is great if you want to be away from the crowd and the noise of the center and if you already know barcelona The hotel in walking distance to the Parc Forum with the sea close by mind you if you want decent sea you should go towards Barceloneta
411840,Hotel SB Diagonal Zero Barcelona 4 Sup, Though very convenient for the work conference it wasn t at all convenient for the rest of what we wanted to see in BCN That definitely makes it a tradeoff We picked it partly b c of the rooftop pool thinking that my mom and son could relax and play there while I was at work mtg but the pool was a scene really only for women not fun for a grandmother and teenager The hotel had a lot of generic ads about things to do in BCN they could give more specific info about the beach and how to get to it it took me 4 days to realize where to go to get to the beach The first 3 times I walked out of the conference center I only saw the cement area behind the CCIB and thought that s all there was nearby but it wasn t They also could have made a more specific rec about the Museu Blau which was right across the street and was FABULOUS , Clean pleasant common area in the back was as pleasant as could be with construction going on was right across from the CCIB where my work conference was happening so very convenient for the work part of my trip nice workout room Fabulous spread at breakfast not clear which breakfast days breakfast was included with room or not 
411841,Hotel SB Diagonal Zero Barcelona 4 Sup, nothing, the staff was very friendly and helpful special thanks to Bianca in the reception she did everything to help from check in to arranging a transfer to the airport at check out the location is excellent in a quite neighborhood but with access to all public transportation at walking distance including bus metro and tram which made moving to downtown rambella and port very easy also the proximity to diagonal mar shopping mall made shopping an amusement at the end of everyday
411842,Hotel SB Diagonal Zero Barcelona 4 Sup, The was nothing that we did not like The metro ride to the center of the city and other main attractions takes about 15 minutes but this was not a problem for us , Close to metro station After a busy day in the city enjoyed the lounge facility on the 15th floor Extremely comfortable bed Quiet room 
411843,Hotel SB Diagonal Zero Barcelona 4 Sup, Nothing, It s not my first time to book in SB Diagonal I adore this luxury 5 stars hotel everything is wonderful the swiming pool in the 17 th etage the luxury rooms and the verry Freindly staf
411844,Hotel SB Diagonal Zero Barcelona 4 Sup, The chef was terrible disgusting food Although set ok was beautiful Wasted 62 50 on the worst cuisine ever Other than that I can t complain much however I thought the staff were not informative enough No one came and told us about any events and where to go Staff could have been talkative and more approachable Seemed stuck up girls to be honest , Bed was comfy and hotel very clean
411845,Hotel SB Diagonal Zero Barcelona 4 Sup, The location in terms of accessibility to other tourist spots was good but the actual location right next to an abandoned building under construction made the view out our window not even worth opening the curtains Also the 24hr available room service was a bit of a joke for the prices they charged In hindsight I should ve just grabbed some late night McDee s instead , The room was very nice the bed super comfy the ability to turn the AC down as cold as we wanted and the blackout curtains made it a dream to sleep in 
411846,Hotel SB Diagonal Zero Barcelona 4 Sup, Slowest check in ever had wi fi to improve despite two sign of do not disturb on the door the cleaning service knocked and entered in my room the window was broken and they were not able to fix it till the next day closing time of the spa closing time of the rooftop shower temperature regulation room temperature regulation , Gym facilities ergonomic pillow confortable bed
411847,Hotel SB Diagonal Zero Barcelona 4 Sup, The wifi was horrible and inconsistent There was no variety for breakfast same buffet daily may be adding a station for making omelette pancakes lively will bring some flavor The entrance to shower cabinet is so tiny and tricky and could result in slippage or injuries, Friendly and pleasant staff overall 
411848,Hotel SB Diagonal Zero Barcelona 4 Sup, The hotel had a raucous party going on in the garden from 2pm until late evening on both evenings of our stay which was also open to non residents to purchase a ticket Although guests could attend for nothing we didn t want to and this made the garden inaccessible for us as we just wanted a pleasant early evening drink The bar area was also not conducive for the same reasons Hugely disappointing and totally inappropriate for an allegedly four star hotel , Breakfast selection was very good 
411849,Hotel SB Diagonal Zero Barcelona 4 Sup, We arrive by 1 00 at night and we unfortunately we was not able to enjoy full day room and services, Excelent staff excelent hotel when travelling by car to Barcelona excelent bed excelent situation excellent all They upgrade us to a better room excelent quality service to clients
411850,Hotel SB Diagonal Zero Barcelona 4 Sup, The shower was really difficult to use to turn off The touchscreen controls that control temperature lighting etc were very difficult to use initially when we arrived at 2am in the morning and had to work out how to operate them and you had to get out of bed during the night to make any adjustments ,No Positive
411851,Hotel SB Diagonal Zero Barcelona 4 Sup, We enter the hotel 2 o clock in the night me and My college get a room with double bed that was not the request We come down to sort it out the straff send us to a temporary room and guess What There was a woman sleeping in the room when We entered UNACCEPTABLE She became angry and we were so embarrased I wanted to leave the hotel immediatly and refund My money The hotel arranged a room on the fifth floor and guess What happened next The shower was not working It felt useless to contact the lobby Every 5 minutes I was at this moment super disapointed The next morning we went to explain that I felt disrespected with How everything was going and I had paid a lot of money for 2 nights We got upgraded by the restaurant manager a lovely room with a view Fruits and champagne in the room we got access to the excecutive lounge and spa as compensation We were satisfied a couple of hours until We noticed that the room was like a sauna during sleeping time I was exhausted and had no energy to Call the staff I have astma so I Did not get so much oxygen I could not breathe during the night I just gave up Because there was ALWAYS something that was not working We got compensated with 9 euro discount for massage and late check out Even through i am Very Happy with the manager i am Very disappointed with the hotel and the lack of professionalism I feel like I have been robbed on the money I had so much expectations but I had a horrible experience with this hotel It is supposed to be 4 hotel , The breakfast was great the restaurant manager and the manager Diana were Very kind and Always tried a better solution for us 
411852,Hotel SB Diagonal Zero Barcelona 4 Sup, The staff took time to check everyone in and check everyone out The process took long both times so that could have been better , The room was a nice size and the bathroom was clean and spacious 
411853,Hotel SB Diagonal Zero Barcelona 4 Sup, The personal at the reception are helpless They really have to improve their check in and out system To request a late check out it is necessary to wait until the same morning of departure day , Well kept facilities
411854,Hotel SB Diagonal Zero Barcelona 4 Sup,No Negative, The room was excelext the bathroom great Large clean and very comfortable Modern installation including touch screen light and air con controls Staff very friendly and the Diagonal Mar shopping center with cinema and restaurants just across the street Perfect for attending an event in Port Forum 
411855,Hotel SB Diagonal Zero Barcelona 4 Sup, Reception was very busy , Loved the outdoor bar area as relaxation area Close proximity beach park skate park shopping mall and restaurants for dinner A little way out from centre but didn t mind that as combined relaxing break with city break so win win 
411856,Hotel SB Diagonal Zero Barcelona 4 Sup, Some of the staff the poor food in the VIP lounge and some things not working well in the bathroom like the jacuzzi and the tube of the sink broken, Near to the beach size of rooms with jacuzzi
411857,Hotel SB Diagonal Zero Barcelona 4 Sup,No Negative, Upgraded to a great room with jaccuzzi I came back to this hotel because of the gym and its location easy to pick up as at the end of Av Diagonal in front of convention center and see to go for a run 
411858,Hotel SB Diagonal Zero Barcelona 4 Sup, Bar staff Ignored at the bar then once ordered waited 20 minutes and still no drinks arrived at our table It wasnt busy , Staff very welcoming and helpful reception staff and porters 
411859,Hotel SB Diagonal Zero Barcelona 4 Sup, Rooms could have been serviced earlier in the day, Comfy beds amazing breakfast with great choice very friendly and helpful staff good location with transport shops and beach all nearby Would definitely stay again 
